age,sex,mort,ylds (years lived with disability)_rate_utrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,7499,utrc,0,10,0,0,0,5,female_utrc,liverpool
1,female,0,0,0,1e-8,7499,utrc,0,10,0,0,0,5,female_utrc,liverpool
2,female,0,0,0,1e-8,7499,utrc,0,10,0,0,0,5,female_utrc,liverpool
3,female,0,0,0,1e-8,7499,utrc,0,10,0,0,0,5,female_utrc,liverpool
4,female,0,0,0,1e-8,7499,utrc,0,10,0,0,0,5,female_utrc,liverpool
5,female,0,0,0,1e-8,7726,utrc,0,10,5,0,0,5,female_utrc,liverpool
6,female,0,0,0,1e-8,7726,utrc,0,10,5,0,0,5,female_utrc,liverpool
7,female,0,0,0,1e-8,7726,utrc,0,10,5,0,0,5,female_utrc,liverpool
8,female,0,0,0,1e-8,7726,utrc,0,10,5,0,0,5,female_utrc,liverpool
9,female,0,0,0,1e-8,7726,utrc,0,10,5,0,0,5,female_utrc,liverpool
10,female,0,0,0,1e-8,7268,utrc,0,50,10,0,0,5,female_utrc,liverpool
11,female,0,0,0,1e-8,7268,utrc,0,50,10,0,0,5,female_utrc,liverpool
12,female,0,0,0,1e-8,7268,utrc,0,50,10,0,0,5,female_utrc,liverpool
13,female,0,0,0,1e-8,7268,utrc,0,50,10,0,0,5,female_utrc,liverpool
14,female,0,0,0,1e-8,7268,utrc,0,50,10,0,0,5,female_utrc,liverpool
15,female,1.2711675503039599e-7,1.1662890291513126e-6,1.7401122456458885e-5,2.0352976840903143e-6,7653,utrc,0,50,15,0,0,5,female_utrc,liverpool
16,female,1.2711675503039599e-7,1.1662890291513126e-6,1.7401122456458885e-5,2.0352976840903143e-6,7653,utrc,0,50,15,0,0,5,female_utrc,liverpool
17,female,1.2711675503039599e-7,1.1662890291513126e-6,1.7401122456458885e-5,2.0352976840903143e-6,7653,utrc,0,50,15,0,0,5,female_utrc,liverpool
18,female,1.2711675503039599e-7,1.1662890291513126e-6,1.7401122456458885e-5,2.0352976840903143e-6,7653,utrc,0,50,15,0,0,5,female_utrc,liverpool
19,female,1.2711675503039599e-7,1.1662890291513126e-6,1.7401122456458885e-5,2.0352976840903143e-6,7653,utrc,0,50,15,0,0,5,female_utrc,liverpool
20,female,1.5015262760630444e-7,1.6066702022482896e-6,2.3973054783439235e-5,2.796442237861937e-6,8896,utrc,0,50,20,0,0,5,female_utrc,liverpool
21,female,1.5015262760630444e-7,1.6066702022482896e-6,2.3973054783439235e-5,2.796442237861937e-6,8896,utrc,0,50,20,0,0,5,female_utrc,liverpool
22,female,1.5015262760630444e-7,1.6066702022482896e-6,2.3973054783439235e-5,2.796442237861937e-6,8896,utrc,0,50,20,0,0,5,female_utrc,liverpool
23,female,1.5015262760630444e-7,1.6066702022482896e-6,2.3973054783439235e-5,2.796442237861937e-6,8896,utrc,0,50,20,0,0,5,female_utrc,liverpool
24,female,1.5015262760630444e-7,1.6066702022482896e-6,2.3973054783439235e-5,2.796442237861937e-6,8896,utrc,0,50,20,0,0,5,female_utrc,liverpool
25,female,3.6579684844766057e-7,4.522825034405404e-6,6.758139021274068e-5,7.875804836782237e-6,9954,utrc,0,50,25,0,0,5,female_utrc,liverpool
26,female,3.6579684844766057e-7,4.522825034405404e-6,6.758139021274068e-5,7.875804836782237e-6,9954,utrc,0,50,25,0,0,5,female_utrc,liverpool
27,female,3.6579684844766057e-7,4.522825034405404e-6,6.758139021274068e-5,7.875804836782237e-6,9954,utrc,0,50,25,0,0,5,female_utrc,liverpool
28,female,3.6579684844766057e-7,4.522825034405404e-6,6.758139021274068e-5,7.875804836782237e-6,9954,utrc,0,50,25,0,0,5,female_utrc,liverpool
29,female,3.6579684844766057e-7,4.522825034405404e-6,6.758139021274068e-5,7.875804836782237e-6,9954,utrc,0,50,25,0,0,5,female_utrc,liverpool
30,female,9.066940836581225e-7,9.87224685303295e-6,1.5101165276962532e-4,1.7643982150881694e-5,9292,utrc,0,50,30,0,0,5,female_utrc,liverpool
31,female,9.066940836581225e-7,9.87224685303295e-6,1.5101165276962532e-4,1.7643982150881694e-5,9292,utrc,0,50,30,0,0,5,female_utrc,liverpool
32,female,9.066940836581225e-7,9.87224685303295e-6,1.5101165276962532e-4,1.7643982150881694e-5,9292,utrc,0,50,30,0,0,5,female_utrc,liverpool
33,female,9.066940836581225e-7,9.87224685303295e-6,1.5101165276962532e-4,1.7643982150881694e-5,9292,utrc,0,50,30,0,0,5,female_utrc,liverpool
34,female,9.066940836581225e-7,9.87224685303295e-6,1.5101165276962532e-4,1.7643982150881694e-5,9292,utrc,0,50,30,0,0,5,female_utrc,liverpool
35,female,2.265044663297448e-6,2.4342191071398732e-5,3.769805005091912e-4,4.400023605773146e-5,8441,utrc,0,50,35,0,0,5,female_utrc,liverpool
36,female,2.265044663297448e-6,2.4342191071398732e-5,3.769805005091912e-4,4.400023605773146e-5,8441,utrc,0,50,35,0,0,5,female_utrc,liverpool
37,female,2.265044663297448e-6,2.4342191071398732e-5,3.769805005091912e-4,4.400023605773146e-5,8441,utrc,0,50,35,0,0,5,female_utrc,liverpool
38,female,2.265044663297448e-6,2.4342191071398732e-5,3.769805005091912e-4,4.400023605773146e-5,8441,utrc,0,50,35,0,0,5,female_utrc,liverpool
39,female,2.265044663297448e-6,2.4342191071398732e-5,3.769805005091912e-4,4.400023605773146e-5,8441,utrc,0,50,35,0,0,5,female_utrc,liverpool
40,female,5.31869088607534e-6,4.963343337399569e-5,7.642949310110734e-4,8.947259680145298e-5,8014,utrc,0,50,40,0,0,5,female_utrc,liverpool
41,female,5.31869088607534e-6,4.963343337399569e-5,7.642949310110734e-4,8.947259680145298e-5,8014,utrc,0,50,40,0,0,5,female_utrc,liverpool
42,female,5.31869088607534e-6,4.963343337399569e-5,7.642949310110734e-4,8.947259680145298e-5,8014,utrc,0,50,40,0,0,5,female_utrc,liverpool
43,female,5.31869088607534e-6,4.963343337399569e-5,7.642949310110734e-4,8.947259680145298e-5,8014,utrc,0,50,40,0,0,5,female_utrc,liverpool
44,female,5.31869088607534e-6,4.963343337399569e-5,7.642949310110734e-4,8.947259680145298e-5,8014,utrc,0,50,40,0,0,5,female_utrc,liverpool
45,female,1.081453605581588e-5,9.099141610718209e-5,0.0013966743065867687,1.6425479770291695e-4,9231,utrc,0,50,45,0,0,5,female_utrc,liverpool
46,female,1.081453605581588e-5,9.099141610718209e-5,0.0013966743065867687,1.6425479770291695e-4,9231,utrc,0,50,45,0,0,5,female_utrc,liverpool
47,female,1.081453605581588e-5,9.099141610718209e-5,0.0013966743065867687,1.6425479770291695e-4,9231,utrc,0,50,45,0,0,5,female_utrc,liverpool
48,female,1.081453605581588e-5,9.099141610718209e-5,0.0013966743065867687,1.6425479770291695e-4,9231,utrc,0,50,45,0,0,5,female_utrc,liverpool
49,female,1.081453605581588e-5,9.099141610718209e-5,0.0013966743065867687,1.6425479770291695e-4,9231,utrc,0,50,45,0,0,5,female_utrc,liverpool
50,female,2.327253072453555e-5,1.8791331432505256e-4,0.0029475205522432792,3.4783493582818756e-4,10009,utrc,0,50,50,0,0,5,female_utrc,liverpool
51,female,2.327253072453555e-5,1.8791331432505256e-4,0.0029475205522432792,3.4783493582818756e-4,10009,utrc,0,50,50,0,0,5,female_utrc,liverpool
52,female,2.327253072453555e-5,1.8791331432505256e-4,0.0029475205522432792,3.4783493582818756e-4,10009,utrc,0,50,50,0,0,5,female_utrc,liverpool
53,female,2.327253072453555e-5,1.8791331432505256e-4,0.0029475205522432792,3.4783493582818756e-4,10009,utrc,0,50,50,0,0,5,female_utrc,liverpool
54,female,2.327253072453555e-5,1.8791331432505256e-4,0.0029475205522432792,3.4783493582818756e-4,10009,utrc,0,50,50,0,0,5,female_utrc,liverpool
55,female,4.9318402552370775e-5,0.00033970287247368645,0.005359486164568211,6.387254561115828e-4,9452,utrc,0,50,55,0,0,5,female_utrc,liverpool
56,female,4.9318402552370775e-5,0.00033970287247368645,0.005359486164568211,6.387254561115828e-4,9452,utrc,0,50,55,0,0,5,female_utrc,liverpool
57,female,4.9318402552370775e-5,0.00033970287247368645,0.005359486164568211,6.387254561115828e-4,9452,utrc,0,50,55,0,0,5,female_utrc,liverpool
58,female,4.9318402552370775e-5,0.00033970287247368645,0.005359486164568211,6.387254561115828e-4,9452,utrc,0,50,55,0,0,5,female_utrc,liverpool
59,female,4.9318402552370775e-5,0.00033970287247368645,0.005359486164568211,6.387254561115828e-4,9452,utrc,0,50,55,0,0,5,female_utrc,liverpool
60,female,9.357171454689658e-5,4.2462860202419094e-4,0.006591138587172432,8.079950193247607e-4,8153,utrc,0,50,60,0,1,5,female_utrc,liverpool
61,female,9.357171454689658e-5,4.2462860202419094e-4,0.006591138587172432,8.079950193247607e-4,8153,utrc,0,50,60,0,1,5,female_utrc,liverpool
62,female,9.357171454689658e-5,4.2462860202419094e-4,0.006591138587172432,8.079950193247607e-4,8153,utrc,0,50,60,0,1,5,female_utrc,liverpool
63,female,9.357171454689658e-5,4.2462860202419094e-4,0.006591138587172432,8.079950193247607e-4,8153,utrc,0,50,60,0,1,5,female_utrc,liverpool
64,female,9.357171454689658e-5,4.2462860202419094e-4,0.006591138587172432,8.079950193247607e-4,8153,utrc,0,50,60,0,1,5,female_utrc,liverpool
65,female,1.6499310722022385e-4,5.089585956567389e-4,0.007755394187387775,9.934297475192955e-4,7705,utrc,0,50,65,0,1,5,female_utrc,liverpool
66,female,1.6499310722022385e-4,5.089585956567389e-4,0.007755394187387775,9.934297475192955e-4,7705,utrc,0,50,65,0,1,5,female_utrc,liverpool
67,female,1.6499310722022385e-4,5.089585956567389e-4,0.007755394187387775,9.934297475192955e-4,7705,utrc,0,50,65,0,1,5,female_utrc,liverpool
68,female,1.6499310722022385e-4,5.089585956567389e-4,0.007755394187387775,9.934297475192955e-4,7705,utrc,0,50,65,0,1,5,female_utrc,liverpool
69,female,1.6499310722022385e-4,5.089585956567389e-4,0.007755394187387775,9.934297475192955e-4,7705,utrc,0,50,65,0,1,5,female_utrc,liverpool
70,female,2.028741436206793e-4,4.7621423971032107e-4,0.0069649848987542295,9.482109905283119e-4,6342,utrc,0,50,70,0,1,5,female_utrc,liverpool
71,female,2.028741436206793e-4,4.7621423971032107e-4,0.0069649848987542295,9.482109905283119e-4,6342,utrc,0,50,70,0,1,5,female_utrc,liverpool
72,female,2.028741436206793e-4,4.7621423971032107e-4,0.0069649848987542295,9.482109905283119e-4,6342,utrc,0,50,70,0,1,5,female_utrc,liverpool
73,female,2.028741436206793e-4,4.7621423971032107e-4,0.0069649848987542295,9.482109905283119e-4,6342,utrc,0,50,70,0,1,5,female_utrc,liverpool
74,female,2.028741436206793e-4,4.7621423971032107e-4,0.0069649848987542295,9.482109905283119e-4,6342,utrc,0,50,70,0,1,5,female_utrc,liverpool
75,female,2.4276575372676363e-4,3.952190309691039e-4,0.0054309722893253545,8.263963742512591e-4,5174,utrc,0,50,75,0,1,5,female_utrc,liverpool
76,female,2.4276575372676363e-4,3.952190309691039e-4,0.0054309722893253545,8.263963742512591e-4,5174,utrc,0,50,75,0,1,5,female_utrc,liverpool
77,female,2.4276575372676363e-4,3.952190309691039e-4,0.0054309722893253545,8.263963742512591e-4,5174,utrc,0,50,75,0,1,5,female_utrc,liverpool
78,female,2.4276575372676363e-4,3.952190309691039e-4,0.0054309722893253545,8.263963742512591e-4,5174,utrc,0,50,75,0,1,5,female_utrc,liverpool
79,female,2.4276575372676363e-4,3.952190309691039e-4,0.0054309722893253545,8.263963742512591e-4,5174,utrc,0,50,75,0,1,5,female_utrc,liverpool
80,female,2.8044255384937196e-4,2.677277408162516e-4,0.003360598592625767,5.835607852222611e-4,4180,utrc,0,20,80,0,1,5,female_utrc,liverpool
81,female,2.8044255384937196e-4,2.677277408162516e-4,0.003360598592625767,5.835607852222611e-4,4180,utrc,0,20,80,0,1,5,female_utrc,liverpool
82,female,2.8044255384937196e-4,2.677277408162516e-4,0.003360598592625767,5.835607852222611e-4,4180,utrc,0,20,80,0,1,5,female_utrc,liverpool
83,female,2.8044255384937196e-4,2.677277408162516e-4,0.003360598592625767,5.835607852222611e-4,4180,utrc,0,20,80,0,1,5,female_utrc,liverpool
84,female,2.8044255384937196e-4,2.677277408162516e-4,0.003360598592625767,5.835607852222611e-4,4180,utrc,0,20,80,0,1,5,female_utrc,liverpool
85,female,3.59969608911483e-4,3.409298051301433e-4,0.0036573715056395437,7.48841349680386e-4,2669,utrc,0,20,85,0,1,5,female_utrc,liverpool
86,female,3.59969608911483e-4,3.409298051301433e-4,0.0036573715056395437,7.48841349680386e-4,2669,utrc,0,20,85,0,1,5,female_utrc,liverpool
87,female,3.59969608911483e-4,3.409298051301433e-4,0.0036573715056395437,7.48841349680386e-4,2669,utrc,0,20,85,0,1,5,female_utrc,liverpool
88,female,3.59969608911483e-4,3.409298051301433e-4,0.0036573715056395437,7.48841349680386e-4,2669,utrc,0,20,85,0,1,5,female_utrc,liverpool
89,female,3.59969608911483e-4,3.409298051301433e-4,0.0036573715056395437,7.48841349680386e-4,2669,utrc,0,20,85,0,1,5,female_utrc,liverpool
90,female,3.917000616857815e-4,3.5492014621103487e-4,0.003089908743336152,8.146881810615824e-4,1183,utrc,0,10,90,0,0,5,female_utrc,liverpool
91,female,3.917000616857815e-4,3.5492014621103487e-4,0.003089908743336152,8.146881810615824e-4,1183,utrc,0,10,90,0,0,5,female_utrc,liverpool
92,female,3.917000616857815e-4,3.5492014621103487e-4,0.003089908743336152,8.146881810615824e-4,1183,utrc,0,10,90,0,0,5,female_utrc,liverpool
93,female,3.917000616857815e-4,3.5492014621103487e-4,0.003089908743336152,8.146881810615824e-4,1183,utrc,0,10,90,0,0,5,female_utrc,liverpool
94,female,3.917000616857815e-4,3.5492014621103487e-4,0.003089908743336152,8.146881810615824e-4,1183,utrc,0,10,90,0,0,5,female_utrc,liverpool
95,female,4.550781989478682e-4,2.2947829195532588e-4,7.01165017525379e-4,9.460691415250101e-4,282,utrc,0,10,95,0,0,6,female_utrc,liverpool
96,female,4.550781989478682e-4,2.2947829195532588e-4,7.01165017525379e-4,9.460691415250101e-4,282,utrc,0,10,95,0,0,6,female_utrc,liverpool
97,female,4.550781989478682e-4,2.2947829195532588e-4,7.01165017525379e-4,9.460691415250101e-4,282,utrc,0,10,95,0,0,6,female_utrc,liverpool
98,female,4.550781989478682e-4,2.2947829195532588e-4,7.01165017525379e-4,9.460691415250101e-4,282,utrc,0,10,95,0,0,6,female_utrc,liverpool
99,female,4.550781989478682e-4,2.2947829195532588e-4,7.01165017525379e-4,9.460691415250101e-4,282,utrc,0,10,95,0,0,6,female_utrc,liverpool
100,female,4.550781989478682e-4,2.2947829195532588e-4,7.01165017525379e-4,9.460691415250101e-4,282,utrc,0,10,95,0,0,6,female_utrc,liverpool
