age,sex,mort,ylds (years lived with disability)_rate_brsc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,7892,brsc,0,10,0,0,0,5,male_brsc,liverpool
1,male,0,0,0,1e-8,7892,brsc,0,10,0,0,0,5,male_brsc,liverpool
2,male,0,0,0,1e-8,7892,brsc,0,10,0,0,0,5,male_brsc,liverpool
3,male,0,0,0,1e-8,7892,brsc,0,10,0,0,0,5,male_brsc,liverpool
4,male,0,0,0,1e-8,7892,brsc,0,10,0,0,0,5,male_brsc,liverpool
5,male,0,0,0,1e-8,8083,brsc,0,10,5,0,0,5,male_brsc,liverpool
6,male,0,0,0,1e-8,8083,brsc,0,10,5,0,0,5,male_brsc,liverpool
7,male,0,0,0,1e-8,8083,brsc,0,10,5,0,0,5,male_brsc,liverpool
8,male,0,0,0,1e-8,8083,brsc,0,10,5,0,0,5,male_brsc,liverpool
9,male,0,0,0,1e-8,8083,brsc,0,10,5,0,0,5,male_brsc,liverpool
10,male,0,0,0,1e-8,7493,brsc,0,50,10,0,0,5,male_brsc,liverpool
11,male,0,0,0,1e-8,7493,brsc,0,50,10,0,0,5,male_brsc,liverpool
12,male,0,0,0,1e-8,7493,brsc,0,50,10,0,0,5,male_brsc,liverpool
13,male,0,0,0,1e-8,7493,brsc,0,50,10,0,0,5,male_brsc,liverpool
14,male,0,0,0,1e-8,7493,brsc,0,50,10,0,0,5,male_brsc,liverpool
15,male,1.0868589206826439e-7,6.02009779431674e-7,6.43766356475906e-6,7.227605918355391e-7,7771,brsc,0,50,15,0,0,5,male_brsc,liverpool
16,male,1.0868589206826439e-7,6.02009779431674e-7,6.43766356475906e-6,7.227605918355391e-7,7771,brsc,0,50,15,0,0,5,male_brsc,liverpool
17,male,1.0868589206826439e-7,6.02009779431674e-7,6.43766356475906e-6,7.227605918355391e-7,7771,brsc,0,50,15,0,0,5,male_brsc,liverpool
18,male,1.0868589206826439e-7,6.02009779431674e-7,6.43766356475906e-6,7.227605918355391e-7,7771,brsc,0,50,15,0,0,5,male_brsc,liverpool
19,male,1.0868589206826439e-7,6.02009779431674e-7,6.43766356475906e-6,7.227605918355391e-7,7771,brsc,0,50,15,0,0,5,male_brsc,liverpool
