age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,7892,carc,0,10,0,0,0,5,male_carc,liverpool
1,male,0,0,0,1e-8,7892,carc,0,10,0,0,0,5,male_carc,liverpool
2,male,0,0,0,1e-8,7892,carc,0,10,0,0,0,5,male_carc,liverpool
3,male,0,0,0,1e-8,7892,carc,0,10,0,0,0,5,male_carc,liverpool
4,male,0,0,0,1e-8,7892,carc,0,10,0,0,0,5,male_carc,liverpool
5,male,0,0,0,1e-8,8083,carc,0,10,5,0,0,5,male_carc,liverpool
6,male,0,0,0,1e-8,8083,carc,0,10,5,0,0,5,male_carc,liverpool
7,male,0,0,0,1e-8,8083,carc,0,10,5,0,0,5,male_carc,liverpool
8,male,0,0,0,1e-8,8083,carc,0,10,5,0,0,5,male_carc,liverpool
9,male,0,0,0,1e-8,8083,carc,0,10,5,0,0,5,male_carc,liverpool
10,male,0,0,0,1e-8,7493,carc,0,50,10,0,0,5,male_carc,liverpool
11,male,0,0,0,1e-8,7493,carc,0,50,10,0,0,5,male_carc,liverpool
12,male,0,0,0,1e-8,7493,carc,0,50,10,0,0,5,male_carc,liverpool
13,male,0,0,0,1e-8,7493,carc,0,50,10,0,0,5,male_carc,liverpool
14,male,0,0,0,1e-8,7493,carc,0,50,10,0,0,5,male_carc,liverpool
15,male,6.074895238753016e-7,2.1176008558043633e-6,1.8880087014108703e-5,2.7482757745805822e-6,7771,carc,0,50,15,0,0,5,male_carc,liverpool
16,male,6.074895238753016e-7,2.1176008558043633e-6,1.8880087014108703e-5,2.7482757745805822e-6,7771,carc,0,50,15,0,0,5,male_carc,liverpool
17,male,6.074895238753016e-7,2.1176008558043633e-6,1.8880087014108703e-5,2.7482757745805822e-6,7771,carc,0,50,15,0,0,5,male_carc,liverpool
18,male,6.074895238753016e-7,2.1176008558043633e-6,1.8880087014108703e-5,2.7482757745805822e-6,7771,carc,0,50,15,0,0,5,male_carc,liverpool
19,male,6.074895238753016e-7,2.1176008558043633e-6,1.8880087014108703e-5,2.7482757745805822e-6,7771,carc,0,50,15,0,0,5,male_carc,liverpool
20,male,1.5736792267401176e-6,6.316765258034523e-6,5.868080929641001e-5,8.31511401599798e-6,8877,carc,0,50,20,0,0,5,male_carc,liverpool
21,male,1.5736792267401176e-6,6.316765258034523e-6,5.868080929641001e-5,8.31511401599798e-6,8877,carc,0,50,20,0,0,5,male_carc,liverpool
22,male,1.5736792267401176e-6,6.316765258034523e-6,5.868080929641001e-5,8.31511401599798e-6,8877,carc,0,50,20,0,0,5,male_carc,liverpool
23,male,1.5736792267401176e-6,6.316765258034523e-6,5.868080929641001e-5,8.31511401599798e-6,8877,carc,0,50,20,0,0,5,male_carc,liverpool
24,male,1.5736792267401176e-6,6.316765258034523e-6,5.868080929641001e-5,8.31511401599798e-6,8877,carc,0,50,20,0,0,5,male_carc,liverpool
25,male,4.563544137101711e-6,1.8848106886471963e-5,1.8416415293326586e-4,2.61094979559589e-5,10365,carc,0,50,25,0,0,5,male_carc,liverpool
26,male,4.563544137101711e-6,1.8848106886471963e-5,1.8416415293326586e-4,2.61094979559589e-5,10365,carc,0,50,25,0,0,5,male_carc,liverpool
27,male,4.563544137101711e-6,1.8848106886471963e-5,1.8416415293326586e-4,2.61094979559589e-5,10365,carc,0,50,25,0,0,5,male_carc,liverpool
28,male,4.563544137101711e-6,1.8848106886471963e-5,1.8416415293326586e-4,2.61094979559589e-5,10365,carc,0,50,25,0,0,5,male_carc,liverpool
29,male,4.563544137101711e-6,1.8848106886471963e-5,1.8416415293326586e-4,2.61094979559589e-5,10365,carc,0,50,25,0,0,5,male_carc,liverpool
30,male,1.2646729015277767e-5,4.578281484262534e-5,4.829685911612119e-4,6.940560847744193e-5,10132,carc,0,50,30,0,0,5,male_carc,liverpool
31,male,1.2646729015277767e-5,4.578281484262534e-5,4.829685911612119e-4,6.940560847744193e-5,10132,carc,0,50,30,0,0,5,male_carc,liverpool
32,male,1.2646729015277767e-5,4.578281484262534e-5,4.829685911612119e-4,6.940560847744193e-5,10132,carc,0,50,30,0,0,5,male_carc,liverpool
33,male,1.2646729015277767e-5,4.578281484262534e-5,4.829685911612119e-4,6.940560847744193e-5,10132,carc,0,50,30,0,0,5,male_carc,liverpool
34,male,1.2646729015277767e-5,4.578281484262534e-5,4.829685911612119e-4,6.940560847744193e-5,10132,carc,0,50,30,0,0,5,male_carc,liverpool
35,male,2.5854072388097615e-5,8.187616327375132e-5,9.016749988263739e-4,1.2903371644046153e-4,8790,carc,0,50,35,0,0,5,male_carc,liverpool
36,male,2.5854072388097615e-5,8.187616327375132e-5,9.016749988263739e-4,1.2903371644046153e-4,8790,carc,0,50,35,0,0,5,male_carc,liverpool
37,male,2.5854072388097615e-5,8.187616327375132e-5,9.016749988263739e-4,1.2903371644046153e-4,8790,carc,0,50,35,0,0,5,male_carc,liverpool
38,male,2.5854072388097615e-5,8.187616327375132e-5,9.016749988263739e-4,1.2903371644046153e-4,8790,carc,0,50,35,0,0,5,male_carc,liverpool
39,male,2.5854072388097615e-5,8.187616327375132e-5,9.016749988263739e-4,1.2903371644046153e-4,8790,carc,0,50,35,0,0,5,male_carc,liverpool
40,male,5.199738187366234e-5,1.45184906381838e-4,0.0016329812779313313,2.3430232343132638e-4,7858,carc,0,50,40,0,0,5,male_carc,liverpool
41,male,5.199738187366234e-5,1.45184906381838e-4,0.0016329812779313313,2.3430232343132638e-4,7858,carc,0,50,40,0,0,5,male_carc,liverpool
42,male,5.199738187366234e-5,1.45184906381838e-4,0.0016329812779313313,2.3430232343132638e-4,7858,carc,0,50,40,0,0,5,male_carc,liverpool
43,male,5.199738187366234e-5,1.45184906381838e-4,0.0016329812779313313,2.3430232343132638e-4,7858,carc,0,50,40,0,0,5,male_carc,liverpool
44,male,5.199738187366234e-5,1.45184906381838e-4,0.0016329812779313313,2.3430232343132638e-4,7858,carc,0,50,40,0,0,5,male_carc,liverpool
45,male,9.980600010418733e-5,2.104129745147914e-4,0.0024048747416215046,3.583466662146093e-4,9035,carc,0,50,45,0,1,5,male_carc,liverpool
46,male,9.980600010418733e-5,2.104129745147914e-4,0.0024048747416215046,3.583466662146093e-4,9035,carc,0,50,45,0,1,5,male_carc,liverpool
47,male,9.980600010418733e-5,2.104129745147914e-4,0.0024048747416215046,3.583466662146093e-4,9035,carc,0,50,45,0,1,5,male_carc,liverpool
48,male,9.980600010418733e-5,2.104129745147914e-4,0.0024048747416215046,3.583466662146093e-4,9035,carc,0,50,45,0,1,5,male_carc,liverpool
49,male,9.980600010418733e-5,2.104129745147914e-4,0.0024048747416215046,3.583466662146093e-4,9035,carc,0,50,45,0,1,5,male_carc,liverpool
50,male,1.7793376570072181e-4,3.526889208162652e-4,0.004134491738274732,6.19920209624305e-4,9431,carc,0,50,50,0,2,5,male_carc,liverpool
51,male,1.7793376570072181e-4,3.526889208162652e-4,0.004134491738274732,6.19920209624305e-4,9431,carc,0,50,50,0,2,5,male_carc,liverpool
52,male,1.7793376570072181e-4,3.526889208162652e-4,0.004134491738274732,6.19920209624305e-4,9431,carc,0,50,50,0,2,5,male_carc,liverpool
53,male,1.7793376570072181e-4,3.526889208162652e-4,0.004134491738274732,6.19920209624305e-4,9431,carc,0,50,50,0,2,5,male_carc,liverpool
54,male,1.7793376570072181e-4,3.526889208162652e-4,0.004134491738274732,6.19920209624305e-4,9431,carc,0,50,50,0,2,5,male_carc,liverpool
55,male,3.1440559289074374e-4,5.79720759962882e-4,0.00681235645508663,0.0010387361983607206,8950,carc,0,50,55,0,3,5,male_carc,liverpool
56,male,3.1440559289074374e-4,5.79720759962882e-4,0.00681235645508663,0.0010387361983607206,8950,carc,0,50,55,0,3,5,male_carc,liverpool
57,male,3.1440559289074374e-4,5.79720759962882e-4,0.00681235645508663,0.0010387361983607206,8950,carc,0,50,55,0,3,5,male_carc,liverpool
58,male,3.1440559289074374e-4,5.79720759962882e-4,0.00681235645508663,0.0010387361983607206,8950,carc,0,50,55,0,3,5,male_carc,liverpool
59,male,3.1440559289074374e-4,5.79720759962882e-4,0.00681235645508663,0.0010387361983607206,8950,carc,0,50,55,0,3,5,male_carc,liverpool
60,male,5.444467647641317e-4,9.272734282509705e-4,0.010785797978409482,0.0016887588509038353,7803,carc,0,50,60,1,4,5,male_carc,liverpool
61,male,5.444467647641317e-4,9.272734282509705e-4,0.010785797978409482,0.0016887588509038353,7803,carc,0,50,60,1,4,5,male_carc,liverpool
62,male,5.444467647641317e-4,9.272734282509705e-4,0.010785797978409482,0.0016887588509038353,7803,carc,0,50,60,1,4,5,male_carc,liverpool
63,male,5.444467647641317e-4,9.272734282509705e-4,0.010785797978409482,0.0016887588509038353,7803,carc,0,50,60,1,4,5,male_carc,liverpool
64,male,5.444467647641317e-4,9.272734282509705e-4,0.010785797978409482,0.0016887588509038353,7803,carc,0,50,60,1,4,5,male_carc,liverpool
65,male,8.621185281425631e-4,0.001376985722681603,0.01583356855512214,0.0025527863204607938,7430,carc,0,50,65,1,6,5,male_carc,liverpool
66,male,8.621185281425631e-4,0.001376985722681603,0.01583356855512214,0.0025527863204607938,7430,carc,0,50,65,1,6,5,male_carc,liverpool
67,male,8.621185281425631e-4,0.001376985722681603,0.01583356855512214,0.0025527863204607938,7430,carc,0,50,65,1,6,5,male_carc,liverpool
68,male,8.621185281425631e-4,0.001376985722681603,0.01583356855512214,0.0025527863204607938,7430,carc,0,50,65,1,6,5,male_carc,liverpool
69,male,8.621185281425631e-4,0.001376985722681603,0.01583356855512214,0.0025527863204607938,7430,carc,0,50,65,1,6,5,male_carc,liverpool
70,male,0.0012721830133407088,0.0017598570399444194,0.019651507523356405,0.0033801538916791557,5708,carc,0,50,70,1,7,5,male_carc,liverpool
71,male,0.0012721830133407088,0.0017598570399444194,0.019651507523356405,0.0033801538916791557,5708,carc,0,50,70,1,7,5,male_carc,liverpool
72,male,0.0012721830133407088,0.0017598570399444194,0.019651507523356405,0.0033801538916791557,5708,carc,0,50,70,1,7,5,male_carc,liverpool
73,male,0.0012721830133407088,0.0017598570399444194,0.019651507523356405,0.0033801538916791557,5708,carc,0,50,70,1,7,5,male_carc,liverpool
