age,sex,mort,ylds (years lived with disability)_rate_crdd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,1.4152898735881788e-5,8.51894502610866e-5,7.595636154439483e-4,3.215165513605784e-4,7892,crdd,0,10,0,0,0,5,male_crdd,liverpool
1,male,1.4152898735881788e-5,8.51894502610866e-5,7.595636154439483e-4,3.215165513605784e-4,7892,crdd,0,10,0,0,0,5,male_crdd,liverpool
2,male,1.4152898735881788e-5,8.51894502610866e-5,7.595636154439483e-4,3.215165513605784e-4,7892,crdd,0,10,0,0,0,5,male_crdd,liverpool
3,male,1.4152898735881788e-5,8.51894502610866e-5,7.595636154439483e-4,3.215165513605784e-4,7892,crdd,0,10,0,0,0,5,male_crdd,liverpool
4,male,1.4152898735881788e-5,8.51894502610866e-5,7.595636154439483e-4,3.215165513605784e-4,7892,crdd,0,10,0,0,0,5,male_crdd,liverpool
5,male,2.547856330026659e-6,1.9627121756479951e-4,0.002060751685660845,2.3112047907447293e-4,8083,crdd,0,10,5,0,0,5,male_crdd,liverpool
6,male,2.547856330026659e-6,1.9627121756479951e-4,0.002060751685660845,2.3112047907447293e-4,8083,crdd,0,10,5,0,0,5,male_crdd,liverpool
7,male,2.547856330026659e-6,1.9627121756479951e-4,0.002060751685660845,2.3112047907447293e-4,8083,crdd,0,10,5,0,0,5,male_crdd,liverpool
8,male,2.547856330026659e-6,1.9627121756479951e-4,0.002060751685660845,2.3112047907447293e-4,8083,crdd,0,10,5,0,0,5,male_crdd,liverpool
9,male,2.547856330026659e-6,1.9627121756479951e-4,0.002060751685660845,2.3112047907447293e-4,8083,crdd,0,10,5,0,0,5,male_crdd,liverpool
10,male,5.077478645877062e-6,1.9172517215495236e-4,0.0014139264449277748,2.3111032067526575e-4,7493,crdd,0,50,10,0,0,5,male_crdd,liverpool
11,male,5.077478645877062e-6,1.9172517215495236e-4,0.0014139264449277748,2.3111032067526575e-4,7493,crdd,0,50,10,0,0,5,male_crdd,liverpool
12,male,5.077478645877062e-6,1.9172517215495236e-4,0.0014139264449277748,2.3111032067526575e-4,7493,crdd,0,50,10,0,0,5,male_crdd,liverpool
13,male,5.077478645877062e-6,1.9172517215495236e-4,0.0014139264449277748,2.3111032067526575e-4,7493,crdd,0,50,10,0,0,5,male_crdd,liverpool
