age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,7892,ishd,0,10,0,0,0,5,male_ishd,liverpool
1,male,0,0,0,1e-8,7892,ishd,0,10,0,0,0,5,male_ishd,liverpool
2,male,0,0,0,1e-8,7892,ishd,0,10,0,0,0,5,male_ishd,liverpool
3,male,0,0,0,1e-8,7892,ishd,0,10,0,0,0,5,male_ishd,liverpool
4,male,0,0,0,1e-8,7892,ishd,0,10,0,0,0,5,male_ishd,liverpool
5,male,0,0,0,1e-8,8083,ishd,0,10,5,0,0,5,male_ishd,liverpool
6,male,0,0,0,1e-8,8083,ishd,0,10,5,0,0,5,male_ishd,liverpool
7,male,0,0,0,1e-8,8083,ishd,0,10,5,0,0,5,male_ishd,liverpool
8,male,0,0,0,1e-8,8083,ishd,0,10,5,0,0,5,male_ishd,liverpool
9,male,0,0,0,1e-8,8083,ishd,0,10,5,0,0,5,male_ishd,liverpool
10,male,0,0,0,1e-8,7493,ishd,0,50,10,0,0,5,male_ishd,liverpool
11,male,0,0,0,1e-8,7493,ishd,0,50,10,0,0,5,male_ishd,liverpool
12,male,0,0,0,1e-8,7493,ishd,0,50,10,0,0,5,male_ishd,liverpool
13,male,0,0,0,1e-8,7493,ishd,0,50,10,0,0,5,male_ishd,liverpool
14,male,0,0,0,1e-8,7493,ishd,0,50,10,0,0,5,male_ishd,liverpool
15,male,1.486570055974403e-6,5.315001897407079e-6,1.3405569605411246e-4,2.2618431249047017e-5,7771,ishd,0,50,15,0,0,5,male_ishd,liverpool
16,male,1.486570055974403e-6,5.315001897407079e-6,1.3405569605411246e-4,2.2618431249047017e-5,7771,ishd,0,50,15,0,0,5,male_ishd,liverpool
17,male,1.486570055974403e-6,5.315001897407079e-6,1.3405569605411246e-4,2.2618431249047017e-5,7771,ishd,0,50,15,0,0,5,male_ishd,liverpool
18,male,1.486570055974403e-6,5.315001897407079e-6,1.3405569605411246e-4,2.2618431249047017e-5,7771,ishd,0,50,15,0,0,5,male_ishd,liverpool
19,male,1.486570055974403e-6,5.315001897407079e-6,1.3405569605411246e-4,2.2618431249047017e-5,7771,ishd,0,50,15,0,0,5,male_ishd,liverpool
20,male,3.766206406788873e-6,2.1822562844609697e-5,4.498892790539584e-4,6.829327793177181e-5,8877,ishd,0,50,20,0,0,5,male_ishd,liverpool
21,male,3.766206406788873e-6,2.1822562844609697e-5,4.498892790539584e-4,6.829327793177181e-5,8877,ishd,0,50,20,0,0,5,male_ishd,liverpool
22,male,3.766206406788873e-6,2.1822562844609697e-5,4.498892790539584e-4,6.829327793177181e-5,8877,ishd,0,50,20,0,0,5,male_ishd,liverpool
23,male,3.766206406788873e-6,2.1822562844609697e-5,4.498892790539584e-4,6.829327793177181e-5,8877,ishd,0,50,20,0,0,5,male_ishd,liverpool
24,male,3.766206406788873e-6,2.1822562844609697e-5,4.498892790539584e-4,6.829327793177181e-5,8877,ishd,0,50,20,0,0,5,male_ishd,liverpool
25,male,1.258481350442287e-5,4.651589704331523e-5,0.0010523695367889224,1.1439466779484864e-4,10365,ishd,0,50,25,0,0,5,male_ishd,liverpool
26,male,1.258481350442287e-5,4.651589704331523e-5,0.0010523695367889224,1.1439466779484864e-4,10365,ishd,0,50,25,0,0,5,male_ishd,liverpool
27,male,1.258481350442287e-5,4.651589704331523e-5,0.0010523695367889224,1.1439466779484864e-4,10365,ishd,0,50,25,0,0,5,male_ishd,liverpool
28,male,1.258481350442287e-5,4.651589704331523e-5,0.0010523695367889224,1.1439466779484864e-4,10365,ishd,0,50,25,0,0,5,male_ishd,liverpool
29,male,1.258481350442287e-5,4.651589704331523e-5,0.0010523695367889224,1.1439466779484864e-4,10365,ishd,0,50,25,0,0,5,male_ishd,liverpool
30,male,3.777269276228958e-5,9.155252235508167e-5,0.002316592052640815,3.155117889085483e-4,10132,ishd,0,50,30,0,0,5,male_ishd,liverpool
31,male,3.777269276228958e-5,9.155252235508167e-5,0.002316592052640815,3.155117889085483e-4,10132,ishd,0,50,30,0,0,5,male_ishd,liverpool
32,male,3.777269276228958e-5,9.155252235508167e-5,0.002316592052640815,3.155117889085483e-4,10132,ishd,0,50,30,0,0,5,male_ishd,liverpool
33,male,3.777269276228958e-5,9.155252235508167e-5,0.002316592052640815,3.155117889085483e-4,10132,ishd,0,50,30,0,0,5,male_ishd,liverpool
34,male,3.777269276228958e-5,9.155252235508167e-5,0.002316592052640815,3.155117889085483e-4,10132,ishd,0,50,30,0,0,5,male_ishd,liverpool
35,male,1.0151096526584135e-4,1.7541861164186383e-4,0.005187614959687106,6.716974774746929e-4,8790,ishd,0,50,35,0,1,5,male_ishd,liverpool
36,male,1.0151096526584135e-4,1.7541861164186383e-4,0.005187614959687106,6.716974774746929e-4,8790,ishd,0,50,35,0,1,5,male_ishd,liverpool
37,male,1.0151096526584135e-4,1.7541861164186383e-4,0.005187614959687106,6.716974774746929e-4,8790,ishd,0,50,35,0,1,5,male_ishd,liverpool
38,male,1.0151096526584135e-4,1.7541861164186383e-4,0.005187614959687106,6.716974774746929e-4,8790,ishd,0,50,35,0,1,5,male_ishd,liverpool
39,male,1.0151096526584135e-4,1.7541861164186383e-4,0.005187614959687106,6.716974774746929e-4,8790,ishd,0,50,35,0,1,5,male_ishd,liverpool
40,male,2.616256919348983e-4,3.463612093494349e-4,0.010843000170227353,0.0013922377405284697,7858,ishd,0,50,40,1,2,5,male_ishd,liverpool
41,male,2.616256919348983e-4,3.463612093494349e-4,0.010843000170227353,0.0013922377405284697,7858,ishd,0,50,40,1,2,5,male_ishd,liverpool
42,male,2.616256919348983e-4,3.463612093494349e-4,0.010843000170227353,0.0013922377405284697,7858,ishd,0,50,40,1,2,5,male_ishd,liverpool
43,male,2.616256919348983e-4,3.463612093494349e-4,0.010843000170227353,0.0013922377405284697,7858,ishd,0,50,40,1,2,5,male_ishd,liverpool
44,male,2.616256919348983e-4,3.463612093494349e-4,0.010843000170227353,0.0013922377405284697,7858,ishd,0,50,40,1,2,5,male_ishd,liverpool
45,male,5.058762634312159e-4,6.125138539983642e-4,0.020186050818123837,0.002477425804123445,9035,ishd,0,50,45,1,5,5,male_ishd,liverpool
46,male,5.058762634312159e-4,6.125138539983642e-4,0.020186050818123837,0.002477425804123445,9035,ishd,0,50,45,1,5,5,male_ishd,liverpool
47,male,5.058762634312159e-4,6.125138539983642e-4,0.020186050818123837,0.002477425804123445,9035,ishd,0,50,45,1,5,5,male_ishd,liverpool
48,male,5.058762634312159e-4,6.125138539983642e-4,0.020186050818123837,0.002477425804123445,9035,ishd,0,50,45,1,5,5,male_ishd,liverpool
49,male,5.058762634312159e-4,6.125138539983642e-4,0.020186050818123837,0.002477425804123445,9035,ishd,0,50,45,1,5,5,male_ishd,liverpool
50,male,8.125853469311807e-4,9.68214119773571e-4,0.0347810619199193,0.004397920863914205,9431,ishd,0,50,50,2,8,5,male_ishd,liverpool
51,male,8.125853469311807e-4,9.68214119773571e-4,0.0347810619199193,0.004397920863914205,9431,ishd,0,50,50,2,8,5,male_ishd,liverpool
52,male,8.125853469311807e-4,9.68214119773571e-4,0.0347810619199193,0.004397920863914205,9431,ishd,0,50,50,2,8,5,male_ishd,liverpool
53,male,8.125853469311807e-4,9.68214119773571e-4,0.0347810619199193,0.004397920863914205,9431,ishd,0,50,50,2,8,5,male_ishd,liverpool
