age,sex,mort,ylds (years lived with disability)_rate_strk,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,1.973366562870117e-6,2.5960187563673115e-5,0,8.475611620221171e-5,7892,strk,0,10,0,0,0,5,male_strk,liverpool
1,male,1.973366562870117e-6,2.5960187563673115e-5,0,8.475611620221171e-5,7892,strk,0,10,0,0,0,5,male_strk,liverpool
2,male,1.973366562870117e-6,2.5960187563673115e-5,0,8.475611620221171e-5,7892,strk,0,10,0,0,0,5,male_strk,liverpool
3,male,1.973366562870117e-6,2.5960187563673115e-5,0,8.475611620221171e-5,7892,strk,0,10,0,0,0,5,male_strk,liverpool
4,male,1.973366562870117e-6,2.5960187563673115e-5,0,8.475611620221171e-5,7892,strk,0,10,0,0,0,5,male_strk,liverpool
5,male,6.969370219682946e-7,6.695000104675394e-5,2.763493223929395e-4,5.364432670611795e-5,8083,strk,0,10,5,0,0,5,male_strk,liverpool
6,male,6.969370219682946e-7,6.695000104675394e-5,2.763493223929395e-4,5.364432670611795e-5,8083,strk,0,10,5,0,0,5,male_strk,liverpool
7,male,6.969370219682946e-7,6.695000104675394e-5,2.763493223929395e-4,5.364432670611795e-5,8083,strk,0,10,5,0,0,5,male_strk,liverpool
8,male,6.969370219682946e-7,6.695000104675394e-5,2.763493223929395e-4,5.364432670611795e-5,8083,strk,0,10,5,0,0,5,male_strk,liverpool
9,male,6.969370219682946e-7,6.695000104675394e-5,2.763493223929395e-4,5.364432670611795e-5,8083,strk,0,10,5,0,0,5,male_strk,liverpool
10,male,1.3197307873473888e-6,1.0528390239526157e-4,4.1321674221396173e-4,4.9824052593284494e-5,7493,strk,0,50,10,0,0,5,male_strk,liverpool
11,male,1.3197307873473888e-6,1.0528390239526157e-4,4.1321674221396173e-4,4.9824052593284494e-5,7493,strk,0,50,10,0,0,5,male_strk,liverpool
12,male,1.3197307873473888e-6,1.0528390239526157e-4,4.1321674221396173e-4,4.9824052593284494e-5,7493,strk,0,50,10,0,0,5,male_strk,liverpool
13,male,1.3197307873473888e-6,1.0528390239526157e-4,4.1321674221396173e-4,4.9824052593284494e-5,7493,strk,0,50,10,0,0,5,male_strk,liverpool
14,male,1.3197307873473888e-6,1.0528390239526157e-4,4.1321674221396173e-4,4.9824052593284494e-5,7493,strk,0,50,10,0,0,5,male_strk,liverpool
15,male,4.228706980812727e-6,1.4147553849450586e-4,6.245947615534965e-4,4.749503013401028e-5,7771,strk,0,50,15,0,0,5,male_strk,liverpool
16,male,4.228706980812727e-6,1.4147553849450586e-4,6.245947615534965e-4,4.749503013401028e-5,7771,strk,0,50,15,0,0,5,male_strk,liverpool
17,male,4.228706980812727e-6,1.4147553849450586e-4,6.245947615534965e-4,4.749503013401028e-5,7771,strk,0,50,15,0,0,5,male_strk,liverpool
18,male,4.228706980812727e-6,1.4147553849450586e-4,6.245947615534965e-4,4.749503013401028e-5,7771,strk,0,50,15,0,0,5,male_strk,liverpool
19,male,4.228706980812727e-6,1.4147553849450586e-4,6.245947615534965e-4,4.749503013401028e-5,7771,strk,0,50,15,0,0,5,male_strk,liverpool
20,male,5.583666514015806e-6,1.8217581158195856e-4,8.957458853180963e-4,5.921876898745768e-5,8877,strk,0,50,20,0,0,5,male_strk,liverpool
21,male,5.583666514015806e-6,1.8217581158195856e-4,8.957458853180963e-4,5.921876898745768e-5,8877,strk,0,50,20,0,0,5,male_strk,liverpool
22,male,5.583666514015806e-6,1.8217581158195856e-4,8.957458853180963e-4,5.921876898745768e-5,8877,strk,0,50,20,0,0,5,male_strk,liverpool
23,male,5.583666514015806e-6,1.8217581158195856e-4,8.957458853180963e-4,5.921876898745768e-5,8877,strk,0,50,20,0,0,5,male_strk,liverpool
24,male,5.583666514015806e-6,1.8217581158195856e-4,8.957458853180963e-4,5.921876898745768e-5,8877,strk,0,50,20,0,0,5,male_strk,liverpool
25,male,9.772453549183884e-6,2.3199043096078806e-4,0.0013591704498942202,8.520764450098878e-5,10365,strk,0,50,25,0,0,5,male_strk,liverpool
26,male,9.772453549183884e-6,2.3199043096078806e-4,0.0013591704498942202,8.520764450098878e-5,10365,strk,0,50,25,0,0,5,male_strk,liverpool
27,male,9.772453549183884e-6,2.3199043096078806e-4,0.0013591704498942202,8.520764450098878e-5,10365,strk,0,50,25,0,0,5,male_strk,liverpool
28,male,9.772453549183884e-6,2.3199043096078806e-4,0.0013591704498942202,8.520764450098878e-5,10365,strk,0,50,25,0,0,5,male_strk,liverpool
29,male,9.772453549183884e-6,2.3199043096078806e-4,0.0013591704498942202,8.520764450098878e-5,10365,strk,0,50,25,0,0,5,male_strk,liverpool
30,male,1.8870752662093123e-5,3.086834532060908e-4,0.0020003792126920576,1.617768955493095e-4,10132,strk,0,50,30,0,0,5,male_strk,liverpool
31,male,1.8870752662093123e-5,3.086834532060908e-4,0.0020003792126920576,1.617768955493095e-4,10132,strk,0,50,30,0,0,5,male_strk,liverpool
32,male,1.8870752662093123e-5,3.086834532060908e-4,0.0020003792126920576,1.617768955493095e-4,10132,strk,0,50,30,0,0,5,male_strk,liverpool
33,male,1.8870752662093123e-5,3.086834532060908e-4,0.0020003792126920576,1.617768955493095e-4,10132,strk,0,50,30,0,0,5,male_strk,liverpool
34,male,1.8870752662093123e-5,3.086834532060908e-4,0.0020003792126920576,1.617768955493095e-4,10132,strk,0,50,30,0,0,5,male_strk,liverpool
35,male,3.7439608068305105e-005,4.263244706477214e-4,0.0033080817527747428,2.892213343921878e-4,8790,strk,0,50,35,0,0,5,male_strk,liverpool
36,male,3.7439608068305105e-005,4.263244706477214e-4,0.0033080817527747428,2.892213343921878e-4,8790,strk,0,50,35,0,0,5,male_strk,liverpool
37,male,3.7439608068305105e-005,4.263244706477214e-4,0.0033080817527747428,2.892213343921878e-4,8790,strk,0,50,35,0,0,5,male_strk,liverpool
38,male,3.7439608068305105e-005,4.263244706477214e-4,0.0033080817527747428,2.892213343921878e-4,8790,strk,0,50,35,0,0,5,male_strk,liverpool
39,male,3.7439608068305105e-005,4.263244706477214e-4,0.0033080817527747428,2.892213343921878e-4,8790,strk,0,50,35,0,0,5,male_strk,liverpool
40,male,7.674248712791378e-5,6.545540765815925e-4,0.005302462006195063,5.537407806672208e-4,7858,strk,0,50,40,0,1,5,male_strk,liverpool
41,male,7.674248712791378e-5,6.545540765815925e-4,0.005302462006195063,5.537407806672208e-4,7858,strk,0,50,40,0,1,5,male_strk,liverpool
42,male,7.674248712791378e-5,6.545540765815925e-4,0.005302462006195063,5.537407806672208e-4,7858,strk,0,50,40,0,1,5,male_strk,liverpool
43,male,7.674248712791378e-5,6.545540765815925e-4,0.005302462006195063,5.537407806672208e-4,7858,strk,0,50,40,0,1,5,male_strk,liverpool
44,male,7.674248712791378e-5,6.545540765815925e-4,0.005302462006195063,5.537407806672208e-4,7858,strk,0,50,40,0,1,5,male_strk,liverpool
45,male,1.225688123922062e-4,0.0010420158925155143,0.008621572477882193,9.541363394220192e-4,9035,strk,0,50,45,0,1,5,male_strk,liverpool
46,male,1.225688123922062e-4,0.0010420158925155143,0.008621572477882193,9.541363394220192e-4,9035,strk,0,50,45,0,1,5,male_strk,liverpool
47,male,1.225688123922062e-4,0.0010420158925155143,0.008621572477882193,9.541363394220192e-4,9035,strk,0,50,45,0,1,5,male_strk,liverpool
48,male,1.225688123922062e-4,0.0010420158925155143,0.008621572477882193,9.541363394220192e-4,9035,strk,0,50,45,0,1,5,male_strk,liverpool
49,male,1.225688123922062e-4,0.0010420158925155143,0.008621572477882193,9.541363394220192e-4,9035,strk,0,50,45,0,1,5,male_strk,liverpool
50,male,1.710490309502881e-4,0.0016111267501436168,0.013540283099208081,0.001539343047309476,9431,strk,0,50,50,1,2,5,male_strk,liverpool
51,male,1.710490309502881e-4,0.0016111267501436168,0.013540283099208081,0.001539343047309476,9431,strk,0,50,50,1,2,5,male_strk,liverpool
52,male,1.710490309502881e-4,0.0016111267501436168,0.013540283099208081,0.001539343047309476,9431,strk,0,50,50,1,2,5,male_strk,liverpool
53,male,1.710490309502881e-4,0.0016111267501436168,0.013540283099208081,0.001539343047309476,9431,strk,0,50,50,1,2,5,male_strk,liverpool
54,male,1.710490309502881e-4,0.0016111267501436168,0.013540283099208081,0.001539343047309476,9431,strk,0,50,50,1,2,5,male_strk,liverpool
55,male,2.3829456374853037e-4,0.0024579688952365945,0.020087212089184424,0.0023078594190993535,8950,strk,0,50,55,1,2,5,male_strk,liverpool
56,male,2.3829456374853037e-4,0.0024579688952365945,0.020087212089184424,0.0023078594190993535,8950,strk,0,50,55,1,2,5,male_strk,liverpool
57,male,2.3829456374853037e-4,0.0024579688952365945,0.020087212089184424,0.0023078594190993535,8950,strk,0,50,55,1,2,5,male_strk,liverpool
58,male,2.3829456374853037e-4,0.0024579688952365945,0.020087212089184424,0.0023078594190993535,8950,strk,0,50,55,1,2,5,male_strk,liverpool
59,male,2.3829456374853037e-4,0.0024579688952365945,0.020087212089184424,0.0023078594190993535,8950,strk,0,50,55,1,2,5,male_strk,liverpool
60,male,3.9317327549023465e-4,0.003495502691904159,0.028364799717180138,0.002976893275668748,7803,strk,0,50,60,1,3,5,male_strk,liverpool
61,male,3.9317327549023465e-4,0.003495502691904159,0.028364799717180138,0.002976893275668748,7803,strk,0,50,60,1,3,5,male_strk,liverpool
62,male,3.9317327549023465e-4,0.003495502691904159,0.028364799717180138,0.002976893275668748,7803,strk,0,50,60,1,3,5,male_strk,liverpool
63,male,3.9317327549023465e-4,0.003495502691904159,0.028364799717180138,0.002976893275668748,7803,strk,0,50,60,1,3,5,male_strk,liverpool
64,male,3.9317327549023465e-4,0.003495502691904159,0.028364799717180138,0.002976893275668748,7803,strk,0,50,60,1,3,5,male_strk,liverpool
65,male,7.442067372183466e-4,0.004749170853332971,0.03813041139153363,0.0035421777333155356,7430,strk,0,50,65,2,6,5,male_strk,liverpool
66,male,7.442067372183466e-4,0.004749170853332971,0.03813041139153363,0.0035421777333155356,7430,strk,0,50,65,2,6,5,male_strk,liverpool
67,male,7.442067372183466e-4,0.004749170853332971,0.03813041139153363,0.0035421777333155356,7430,strk,0,50,65,2,6,5,male_strk,liverpool
68,male,7.442067372183466e-4,0.004749170853332971,0.03813041139153363,0.0035421777333155356,7430,strk,0,50,65,2,6,5,male_strk,liverpool
69,male,7.442067372183466e-4,0.004749170853332971,0.03813041139153363,0.0035421777333155356,7430,strk,0,50,65,2,6,5,male_strk,liverpool
70,male,0.0014752801957238048,0.007014259329506182,0.04940381455107816,0.004472404565776618,5708,strk,0,50,70,2,8,5,male_strk,liverpool
71,male,0.0014752801957238048,0.007014259329506182,0.04940381455107816,0.004472404565776618,5708,strk,0,50,70,2,8,5,male_strk,liverpool
72,male,0.0014752801957238048,0.007014259329506182,0.04940381455107816,0.004472404565776618,5708,strk,0,50,70,2,8,5,male_strk,liverpool
73,male,0.0014752801957238048,0.007014259329506182,0.04940381455107816,0.004472404565776618,5708,strk,0,50,70,2,8,5,male_strk,liverpool
74,male,0.0014752801957238048,0.007014259329506182,0.04940381455107816,0.004472404565776618,5708,strk,0,50,70,2,8,5,male_strk,liverpool
75,male,0.002918159398889604,0.009855561235663751,0.062039245765725407,0.005771758632972324,4131,strk,0,50,75,3,12,5,male_strk,liverpool
76,male,0.002918159398889604,0.009855561235663751,0.062039245765725407,0.005771758632972324,4131,strk,0,50,75,3,12,5,male_strk,liverpool
77,male,0.002918159398889604,0.009855561235663751,0.062039245765725407,0.005771758632972324,4131,strk,0,50,75,3,12,5,male_strk,liverpool
78,male,0.002918159398889604,0.009855561235663751,0.062039245765725407,0.005771758632972324,4131,strk,0,50,75,3,12,5,male_strk,liverpool
79,male,0.002918159398889604,0.009855561235663751,0.062039245765725407,0.005771758632972324,4131,strk,0,50,75,3,12,5,male_strk,liverpool
80,male,0.005598662186173958,0.01340190961122571,0.07587032991685025,0.008672187388507068,2983,strk,0,20,80,2,17,5,male_strk,liverpool
81,male,0.005598662186173958,0.01340190961122571,0.07587032991685025,0.008672187388507068,2983,strk,0,20,80,2,17,5,male_strk,liverpool
82,male,0.005598662186173958,0.01340190961122571,0.07587032991685025,0.008672187388507068,2983,strk,0,20,80,2,17,5,male_strk,liverpool
83,male,0.005598662186173958,0.01340190961122571,0.07587032991685025,0.008672187388507068,2983,strk,0,20,80,2,17,5,male_strk,liverpool
84,male,0.005598662186173958,0.01340190961122571,0.07587032991685025,0.008672187388507068,2983,strk,0,20,80,2,17,5,male_strk,liverpool
85,male,0.011212503871712722,0.01724640423580556,0.0915397968179739,0.013174162332313121,1613,strk,0,20,85,2,18,5,male_strk,liverpool
86,male,0.011212503871712722,0.01724640423580556,0.0915397968179739,0.013174162332313121,1613,strk,0,20,85,2,18,5,male_strk,liverpool
87,male,0.011212503871712722,0.01724640423580556,0.0915397968179739,0.013174162332313121,1613,strk,0,20,85,2,18,5,male_strk,liverpool
