age,sex,mort,ylds (years lived with disability)_rate_tbalc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,7892,tbalc,0,10,0,0,0,5,male_tbalc,liverpool
1,male,0,0,0,1e-8,7892,tbalc,0,10,0,0,0,5,male_tbalc,liverpool
2,male,0,0,0,1e-8,7892,tbalc,0,10,0,0,0,5,male_tbalc,liverpool
3,male,0,0,0,1e-8,7892,tbalc,0,10,0,0,0,5,male_tbalc,liverpool
4,male,0,0,0,1e-8,7892,tbalc,0,10,0,0,0,5,male_tbalc,liverpool
5,male,0,0,0,1e-8,8083,tbalc,0,10,5,0,0,5,male_tbalc,liverpool
6,male,0,0,0,1e-8,8083,tbalc,0,10,5,0,0,5,male_tbalc,liverpool
7,male,0,0,0,1e-8,8083,tbalc,0,10,5,0,0,5,male_tbalc,liverpool
8,male,0,0,0,1e-8,8083,tbalc,0,10,5,0,0,5,male_tbalc,liverpool
9,male,0,0,0,1e-8,8083,tbalc,0,10,5,0,0,5,male_tbalc,liverpool
10,male,0,0,0,1e-8,7493,tbalc,0,50,10,0,0,5,male_tbalc,liverpool
11,male,0,0,0,1e-8,7493,tbalc,0,50,10,0,0,5,male_tbalc,liverpool
12,male,0,0,0,1e-8,7493,tbalc,0,50,10,0,0,5,male_tbalc,liverpool
13,male,0,0,0,1e-8,7493,tbalc,0,50,10,0,0,5,male_tbalc,liverpool
14,male,0,0,0,1e-8,7493,tbalc,0,50,10,0,0,5,male_tbalc,liverpool
15,male,2.2003954364979128e-7,7.174895228756542e-8,2.9580781157804535e-7,2.824576623885237e-7,7771,tbalc,0,50,15,0,0,5,male_tbalc,liverpool
16,male,2.2003954364979128e-7,7.174895228756542e-8,2.9580781157804535e-7,2.824576623885237e-7,7771,tbalc,0,50,15,0,0,5,male_tbalc,liverpool
17,male,2.2003954364979128e-7,7.174895228756542e-8,2.9580781157804535e-7,2.824576623885237e-7,7771,tbalc,0,50,15,0,0,5,male_tbalc,liverpool
18,male,2.2003954364979128e-7,7.174895228756542e-8,2.9580781157804535e-7,2.824576623885237e-7,7771,tbalc,0,50,15,0,0,5,male_tbalc,liverpool
19,male,2.2003954364979128e-7,7.174895228756542e-8,2.9580781157804535e-7,2.824576623885237e-7,7771,tbalc,0,50,15,0,0,5,male_tbalc,liverpool
20,male,6.673969046642852e-7,2.803585097095785e-7,1.5694186956327466e-6,9.991735231195048e-7,8877,tbalc,0,50,20,0,0,5,male_tbalc,liverpool
21,male,6.673969046642852e-7,2.803585097095785e-7,1.5694186956327466e-6,9.991735231195048e-7,8877,tbalc,0,50,20,0,0,5,male_tbalc,liverpool
22,male,6.673969046642852e-7,2.803585097095785e-7,1.5694186956327466e-6,9.991735231195048e-7,8877,tbalc,0,50,20,0,0,5,male_tbalc,liverpool
23,male,6.673969046642852e-7,2.803585097095785e-7,1.5694186956327466e-6,9.991735231195048e-7,8877,tbalc,0,50,20,0,0,5,male_tbalc,liverpool
24,male,6.673969046642852e-7,2.803585097095785e-7,1.5694186956327466e-6,9.991735231195048e-7,8877,tbalc,0,50,20,0,0,5,male_tbalc,liverpool
25,male,1.6589195355067617e-6,8.286350644406723e-7,5.0098949196657696e-6,2.8630798996627505e-6,10365,tbalc,0,50,25,0,0,5,male_tbalc,liverpool
26,male,1.6589195355067617e-6,8.286350644406723e-7,5.0098949196657696e-6,2.8630798996627505e-6,10365,tbalc,0,50,25,0,0,5,male_tbalc,liverpool
27,male,1.6589195355067617e-6,8.286350644406723e-7,5.0098949196657696e-6,2.8630798996627505e-6,10365,tbalc,0,50,25,0,0,5,male_tbalc,liverpool
28,male,1.6589195355067617e-6,8.286350644406723e-7,5.0098949196657696e-6,2.8630798996627505e-6,10365,tbalc,0,50,25,0,0,5,male_tbalc,liverpool
29,male,1.6589195355067617e-6,8.286350644406723e-7,5.0098949196657696e-6,2.8630798996627505e-6,10365,tbalc,0,50,25,0,0,5,male_tbalc,liverpool
30,male,6.2613434066356125e-6,2.6839449195887004e-6,1.415135648549115e-5,9.7864300027327e-6,10132,tbalc,0,50,30,0,0,5,male_tbalc,liverpool
31,male,6.2613434066356125e-6,2.6839449195887004e-6,1.415135648549115e-5,9.7864300027327e-6,10132,tbalc,0,50,30,0,0,5,male_tbalc,liverpool
32,male,6.2613434066356125e-6,2.6839449195887004e-6,1.415135648549115e-5,9.7864300027327e-6,10132,tbalc,0,50,30,0,0,5,male_tbalc,liverpool
33,male,6.2613434066356125e-6,2.6839449195887004e-6,1.415135648549115e-5,9.7864300027327e-6,10132,tbalc,0,50,30,0,0,5,male_tbalc,liverpool
34,male,6.2613434066356125e-6,2.6839449195887004e-6,1.415135648549115e-5,9.7864300027327e-6,10132,tbalc,0,50,30,0,0,5,male_tbalc,liverpool
35,male,2.1610086394340647e-5,8.149617998039261e-6,4.237992065179059e-5,2.9865975633481006e-5,8790,tbalc,0,50,35,0,0,5,male_tbalc,liverpool
36,male,2.1610086394340647e-5,8.149617998039261e-6,4.237992065179059e-5,2.9865975633481006e-5,8790,tbalc,0,50,35,0,0,5,male_tbalc,liverpool
37,male,2.1610086394340647e-5,8.149617998039261e-6,4.237992065179059e-5,2.9865975633481006e-5,8790,tbalc,0,50,35,0,0,5,male_tbalc,liverpool
38,male,2.1610086394340647e-5,8.149617998039261e-6,4.237992065179059e-5,2.9865975633481006e-5,8790,tbalc,0,50,35,0,0,5,male_tbalc,liverpool
39,male,2.1610086394340647e-5,8.149617998039261e-6,4.237992065179059e-5,2.9865975633481006e-5,8790,tbalc,0,50,35,0,0,5,male_tbalc,liverpool
40,male,6.909414008025783e-5,2.3281100014693853e-5,1.2085340657692023e-4,8.541144869080642e-5,7858,tbalc,0,50,40,0,1,5,male_tbalc,liverpool
41,male,6.909414008025783e-5,2.3281100014693853e-5,1.2085340657692023e-4,8.541144869080642e-5,7858,tbalc,0,50,40,0,1,5,male_tbalc,liverpool
42,male,6.909414008025783e-5,2.3281100014693853e-5,1.2085340657692023e-4,8.541144869080642e-5,7858,tbalc,0,50,40,0,1,5,male_tbalc,liverpool
43,male,6.909414008025783e-5,2.3281100014693853e-5,1.2085340657692023e-4,8.541144869080642e-5,7858,tbalc,0,50,40,0,1,5,male_tbalc,liverpool
44,male,6.909414008025783e-5,2.3281100014693853e-5,1.2085340657692023e-4,8.541144869080642e-5,7858,tbalc,0,50,40,0,1,5,male_tbalc,liverpool
45,male,1.7754331352121062e-4,5.5856289255327164e-5,2.7971960094386845e-4,2.084194235951318e-4,9035,tbalc,0,50,45,0,2,5,male_tbalc,liverpool
46,male,1.7754331352121062e-4,5.5856289255327164e-5,2.7971960094386845e-4,2.084194235951318e-4,9035,tbalc,0,50,45,0,2,5,male_tbalc,liverpool
47,male,1.7754331352121062e-4,5.5856289255327164e-5,2.7971960094386845e-4,2.084194235951318e-4,9035,tbalc,0,50,45,0,2,5,male_tbalc,liverpool
48,male,1.7754331352121062e-4,5.5856289255327164e-5,2.7971960094386845e-4,2.084194235951318e-4,9035,tbalc,0,50,45,0,2,5,male_tbalc,liverpool
49,male,1.7754331352121062e-4,5.5856289255327164e-5,2.7971960094386845e-4,2.084194235951318e-4,9035,tbalc,0,50,45,0,2,5,male_tbalc,liverpool
50,male,3.737871218096084e-4,1.1178114811560795e-4,6.183186656273572e-4,4.4154560200646345e-4,9431,tbalc,0,50,50,0,4,5,male_tbalc,liverpool
51,male,3.737871218096084e-4,1.1178114811560795e-4,6.183186656273572e-4,4.4154560200646345e-4,9431,tbalc,0,50,50,0,4,5,male_tbalc,liverpool
52,male,3.737871218096084e-4,1.1178114811560795e-4,6.183186656273572e-4,4.4154560200646345e-4,9431,tbalc,0,50,50,0,4,5,male_tbalc,liverpool
53,male,3.737871218096084e-4,1.1178114811560795e-4,6.183186656273572e-4,4.4154560200646345e-4,9431,tbalc,0,50,50,0,4,5,male_tbalc,liverpool
54,male,3.737871218096084e-4,1.1178114811560795e-4,6.183186656273572e-4,4.4154560200646345e-4,9431,tbalc,0,50,50,0,4,5,male_tbalc,liverpool
55,male,7.521642097625599e-4,2.382617810888335e-4,0.0014445539004142606,9.21394902814618e-4,8950,tbalc,0,50,55,0,7,5,male_tbalc,liverpool
56,male,7.521642097625599e-4,2.382617810888335e-4,0.0014445539004142606,9.21394902814618e-4,8950,tbalc,0,50,55,0,7,5,male_tbalc,liverpool
57,male,7.521642097625599e-4,2.382617810888335e-4,0.0014445539004142606,9.21394902814618e-4,8950,tbalc,0,50,55,0,7,5,male_tbalc,liverpool
58,male,7.521642097625599e-4,2.382617810888335e-4,0.0014445539004142606,9.21394902814618e-4,8950,tbalc,0,50,55,0,7,5,male_tbalc,liverpool
59,male,7.521642097625599e-4,2.382617810888335e-4,0.0014445539004142606,9.21394902814618e-4,8950,tbalc,0,50,55,0,7,5,male_tbalc,liverpool
60,male,0.001485232837615118,4.7929558887417124e-4,0.0031689440871350096,0.0018725869165879753,7803,tbalc,0,50,60,0,12,5,male_tbalc,liverpool
61,male,0.001485232837615118,4.7929558887417124e-4,0.0031689440871350096,0.0018725869165879753,7803,tbalc,0,50,60,0,12,5,male_tbalc,liverpool
62,male,0.001485232837615118,4.7929558887417124e-4,0.0031689440871350096,0.0018725869165879753,7803,tbalc,0,50,60,0,12,5,male_tbalc,liverpool
63,male,0.001485232837615118,4.7929558887417124e-4,0.0031689440871350096,0.0018725869165879753,7803,tbalc,0,50,60,0,12,5,male_tbalc,liverpool
64,male,0.001485232837615118,4.7929558887417124e-4,0.0031689440871350096,0.0018725869165879753,7803,tbalc,0,50,60,0,12,5,male_tbalc,liverpool
65,male,0.002578461711402174,8.143172418316238e-4,0.005451798735210573,0.0032500177263641464,7430,tbalc,0,50,65,0,19,5,male_tbalc,liverpool
66,male,0.002578461711402174,8.143172418316238e-4,0.005451798735210573,0.0032500177263641464,7430,tbalc,0,50,65,0,19,5,male_tbalc,liverpool
67,male,0.002578461711402174,8.143172418316238e-4,0.005451798735210573,0.0032500177263641464,7430,tbalc,0,50,65,0,19,5,male_tbalc,liverpool
68,male,0.002578461711402174,8.143172418316238e-4,0.005451798735210573,0.0032500177263641464,7430,tbalc,0,50,65,0,19,5,male_tbalc,liverpool
69,male,0.002578461711402174,8.143172418316238e-4,0.005451798735210573,0.0032500177263641464,7430,tbalc,0,50,65,0,19,5,male_tbalc,liverpool
70,male,0.003655291177355667,0.001104078662386135,0.007310490381380109,0.0045155181124893525,5708,tbalc,0,50,70,0,21,5,male_tbalc,liverpool
71,male,0.003655291177355667,0.001104078662386135,0.007310490381380109,0.0045155181124893525,5708,tbalc,0,50,70,0,21,5,male_tbalc,liverpool
72,male,0.003655291177355667,0.001104078662386135,0.007310490381380109,0.0045155181124893525,5708,tbalc,0,50,70,0,21,5,male_tbalc,liverpool
73,male,0.003655291177355667,0.001104078662386135,0.007310490381380109,0.0045155181124893525,5708,tbalc,0,50,70,0,21,5,male_tbalc,liverpool
74,male,0.003655291177355667,0.001104078662386135,0.007310490381380109,0.0045155181124893525,5708,tbalc,0,50,70,0,21,5,male_tbalc,liverpool
75,male,0.004938945637750009,0.0013601042431449003,0.008374668865462204,0.005889533344712472,4131,tbalc,0,50,75,0,20,5,male_tbalc,liverpool
76,male,0.004938945637750009,0.0013601042431449003,0.008374668865462204,0.005889533344712472,4131,tbalc,0,50,75,0,20,5,male_tbalc,liverpool
77,male,0.004938945637750009,0.0013601042431449003,0.008374668865462204,0.005889533344712472,4131,tbalc,0,50,75,0,20,5,male_tbalc,liverpool
78,male,0.004938945637750009,0.0013601042431449003,0.008374668865462204,0.005889533344712472,4131,tbalc,0,50,75,0,20,5,male_tbalc,liverpool
79,male,0.004938945637750009,0.0013601042431449003,0.008374668865462204,0.005889533344712472,4131,tbalc,0,50,75,0,20,5,male_tbalc,liverpool
80,male,0.005950509948716609,0.001306830594667939,0.0060984290017458255,0.006390174362602144,2983,tbalc,0,20,80,0,18,5,male_tbalc,liverpool
81,male,0.005950509948716609,0.001306830594667939,0.0060984290017458255,0.006390174362602144,2983,tbalc,0,20,80,0,18,5,male_tbalc,liverpool
82,male,0.005950509948716609,0.001306830594667939,0.0060984290017458255,0.006390174362602144,2983,tbalc,0,20,80,0,18,5,male_tbalc,liverpool
83,male,0.005950509948716609,0.001306830594667939,0.0060984290017458255,0.006390174362602144,2983,tbalc,0,20,80,0,18,5,male_tbalc,liverpool
84,male,0.005950509948716609,0.001306830594667939,0.0060984290017458255,0.006390174362602144,2983,tbalc,0,20,80,0,18,5,male_tbalc,liverpool
85,male,0.007788360170461103,0.001642581944879691,0.007387190757612901,0.00835656098092035,1613,tbalc,0,20,85,0,13,5,male_tbalc,liverpool
86,male,0.007788360170461103,0.001642581944879691,0.007387190757612901,0.00835656098092035,1613,tbalc,0,20,85,0,13,5,male_tbalc,liverpool
87,male,0.007788360170461103,0.001642581944879691,0.007387190757612901,0.00835656098092035,1613,tbalc,0,20,85,0,13,5,male_tbalc,liverpool
88,male,0.007788360170461103,0.001642581944879691,0.007387190757612901,0.00835656098092035,1613,tbalc,0,20,85,0,13,5,male_tbalc,liverpool
89,male,0.007788360170461103,0.001642581944879691,0.007387190757612901,0.00835656098092035,1613,tbalc,0,20,85,0,13,5,male_tbalc,liverpool
90,male,0.007105799735100395,0.0014404731749703568,0.00611653653654056,0.007625468304699477,553,tbalc,0,10,90,0,4,5,male_tbalc,liverpool
91,male,0.007105799735100395,0.0014404731749703568,0.00611653653654056,0.007625468304699477,553,tbalc,0,10,90,0,4,5,male_tbalc,liverpool
92,male,0.007105799735100395,0.0014404731749703568,0.00611653653654056,0.007625468304699477,553,tbalc,0,10,90,0,4,5,male_tbalc,liverpool
93,male,0.007105799735100395,0.0014404731749703568,0.00611653653654056,0.007625468304699477,553,tbalc,0,10,90,0,4,5,male_tbalc,liverpool
