age,sex,mort,ylds (years lived with disability)_rate_brsc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,61818,brsc,0,10,0,0,0,5,female_brsc,london
1,female,0,0,0,1e-8,61818,brsc,0,10,0,0,0,5,female_brsc,london
2,female,0,0,0,1e-8,61818,brsc,0,10,0,0,0,5,female_brsc,london
3,female,0,0,0,1e-8,61818,brsc,0,10,0,0,0,5,female_brsc,london
4,female,0,0,0,1e-8,61818,brsc,0,10,0,0,0,5,female_brsc,london
5,female,0,0,0,1e-8,58489,brsc,0,10,5,0,0,5,female_brsc,london
6,female,0,0,0,1e-8,58489,brsc,0,10,5,0,0,5,female_brsc,london
7,female,0,0,0,1e-8,58489,brsc,0,10,5,0,0,5,female_brsc,london
8,female,0,0,0,1e-8,58489,brsc,0,10,5,0,0,5,female_brsc,london
9,female,0,0,0,1e-8,58489,brsc,0,10,5,0,0,5,female_brsc,london
10,female,0,0,0,1e-8,50232,brsc,0,50,10,0,0,5,female_brsc,london
11,female,0,0,0,1e-8,50232,brsc,0,50,10,0,0,5,female_brsc,london
12,female,0,0,0,1e-8,50232,brsc,0,50,10,0,0,5,female_brsc,london
13,female,0,0,0,1e-8,50232,brsc,0,50,10,0,0,5,female_brsc,london
14,female,0,0,0,1e-8,50232,brsc,0,50,10,0,0,5,female_brsc,london
15,female,1.5118894161189993e-7,1.7257158754146698e-6,2.1662044095458608e-5,2.100627231557138e-6,47216,brsc,0,50,15,0,0,5,female_brsc,london
16,female,1.5118894161189993e-7,1.7257158754146698e-6,2.1662044095458608e-5,2.100627231557138e-6,47216,brsc,0,50,15,0,0,5,female_brsc,london
17,female,1.5118894161189993e-7,1.7257158754146698e-6,2.1662044095458608e-5,2.100627231557138e-6,47216,brsc,0,50,15,0,0,5,female_brsc,london
18,female,1.5118894161189993e-7,1.7257158754146698e-6,2.1662044095458608e-5,2.100627231557138e-6,47216,brsc,0,50,15,0,0,5,female_brsc,london
19,female,1.5118894161189993e-7,1.7257158754146698e-6,2.1662044095458608e-5,2.100627231557138e-6,47216,brsc,0,50,15,0,0,5,female_brsc,london
20,female,8.142440683917442e-7,1.0744712714880393e-5,1.304800807793432e-4,1.314957581985883e-5,60789,brsc,0,50,20,0,0,5,female_brsc,london
21,female,8.142440683917442e-7,1.0744712714880393e-5,1.304800807793432e-4,1.314957581985883e-5,60789,brsc,0,50,20,0,0,5,female_brsc,london
22,female,8.142440683917442e-7,1.0744712714880393e-5,1.304800807793432e-4,1.314957581985883e-5,60789,brsc,0,50,20,0,0,5,female_brsc,london
23,female,8.142440683917442e-7,1.0744712714880393e-5,1.304800807793432e-4,1.314957581985883e-5,60789,brsc,0,50,20,0,0,5,female_brsc,london
24,female,8.142440683917442e-7,1.0744712714880393e-5,1.304800807793432e-4,1.314957581985883e-5,60789,brsc,0,50,20,0,0,5,female_brsc,london
25,female,5.098678981434501e-6,7.057506637309153e-5,8.335545527853826e-4,9.341134145187006e-5,83549,brsc,0,50,25,0,0,5,female_brsc,london
26,female,5.098678981434501e-6,7.057506637309153e-5,8.335545527853826e-4,9.341134145187006e-5,83549,brsc,0,50,25,0,0,5,female_brsc,london
27,female,5.098678981434501e-6,7.057506637309153e-5,8.335545527853826e-4,9.341134145187006e-5,83549,brsc,0,50,25,0,0,5,female_brsc,london
28,female,5.098678981434501e-6,7.057506637309153e-5,8.335545527853826e-4,9.341134145187006e-5,83549,brsc,0,50,25,0,0,5,female_brsc,london
29,female,5.098678981434501e-6,7.057506637309153e-5,8.335545527853826e-4,9.341134145187006e-5,83549,brsc,0,50,25,0,0,5,female_brsc,london
30,female,2.062143886413748e-5,1.7855734064395416e-4,0.0021351484589632354,2.4316954095301375e-4,87991,brsc,0,50,30,0,2,5,female_brsc,london
31,female,2.062143886413748e-5,1.7855734064395416e-4,0.0021351484589632354,2.4316954095301375e-4,87991,brsc,0,50,30,0,2,5,female_brsc,london
32,female,2.062143886413748e-5,1.7855734064395416e-4,0.0021351484589632354,2.4316954095301375e-4,87991,brsc,0,50,30,0,2,5,female_brsc,london
33,female,2.062143886413748e-5,1.7855734064395416e-4,0.0021351484589632354,2.4316954095301375e-4,87991,brsc,0,50,30,0,2,5,female_brsc,london
34,female,2.062143886413748e-5,1.7855734064395416e-4,0.0021351484589632354,2.4316954095301375e-4,87991,brsc,0,50,30,0,2,5,female_brsc,london
35,female,5.353773337071766e-5,3.777530336420764e-4,0.004673336142463012,5.273098824292008e-4,79164,brsc,0,50,35,0,4,5,female_brsc,london
36,female,5.353773337071766e-5,3.777530336420764e-4,0.004673336142463012,5.273098824292008e-4,79164,brsc,0,50,35,0,4,5,female_brsc,london
37,female,5.353773337071766e-5,3.777530336420764e-4,0.004673336142463012,5.273098824292008e-4,79164,brsc,0,50,35,0,4,5,female_brsc,london
38,female,5.353773337071766e-5,3.777530336420764e-4,0.004673336142463012,5.273098824292008e-4,79164,brsc,0,50,35,0,4,5,female_brsc,london
39,female,5.353773337071766e-5,3.777530336420764e-4,0.004673336142463012,5.273098824292008e-4,79164,brsc,0,50,35,0,4,5,female_brsc,london
40,female,1.2877694770437446e-4,8.638631992370275e-4,0.01080317141348506,0.001210190319941233,63016,brsc,0,50,40,1,8,5,female_brsc,london
41,female,1.2877694770437446e-4,8.638631992370275e-4,0.01080317141348506,0.001210190319941233,63016,brsc,0,50,40,1,8,5,female_brsc,london
42,female,1.2877694770437446e-4,8.638631992370275e-4,0.01080317141348506,0.001210190319941233,63016,brsc,0,50,40,1,8,5,female_brsc,london
43,female,1.2877694770437446e-4,8.638631992370275e-4,0.01080317141348506,0.001210190319941233,63016,brsc,0,50,40,1,8,5,female_brsc,london
44,female,1.2877694770437446e-4,8.638631992370275e-4,0.01080317141348506,0.001210190319941233,63016,brsc,0,50,40,1,8,5,female_brsc,london
45,female,2.330656185717258e-4,0.0014370568051669953,0.018150684507402474,0.001998915268787156,59404,brsc,0,50,45,1,14,5,female_brsc,london
46,female,2.330656185717258e-4,0.0014370568051669953,0.018150684507402474,0.001998915268787156,59404,brsc,0,50,45,1,14,5,female_brsc,london
47,female,2.330656185717258e-4,0.0014370568051669953,0.018150684507402474,0.001998915268787156,59404,brsc,0,50,45,1,14,5,female_brsc,london
48,female,2.330656185717258e-4,0.0014370568051669953,0.018150684507402474,0.001998915268787156,59404,brsc,0,50,45,1,14,5,female_brsc,london
49,female,2.330656185717258e-4,0.0014370568051669953,0.018150684507402474,0.001998915268787156,59404,brsc,0,50,45,1,14,5,female_brsc,london
50,female,3.618803352537588e-4,0.0018243558227316347,0.0234985426127231,0.002528123998643755,55298,brsc,0,50,50,1,20,5,female_brsc,london
51,female,3.618803352537588e-4,0.0018243558227316347,0.0234985426127231,0.002528123998643755,55298,brsc,0,50,50,1,20,5,female_brsc,london
52,female,3.618803352537588e-4,0.0018243558227316347,0.0234985426127231,0.002528123998643755,55298,brsc,0,50,50,1,20,5,female_brsc,london
53,female,3.618803352537588e-4,0.0018243558227316347,0.0234985426127231,0.002528123998643755,55298,brsc,0,50,50,1,20,5,female_brsc,london
54,female,3.618803352537588e-4,0.0018243558227316347,0.0234985426127231,0.002528123998643755,55298,brsc,0,50,50,1,20,5,female_brsc,london
55,female,4.592429778611972e-4,0.0020182313653197862,0.02675503080402932,0.0027377662093927444,45630,brsc,0,50,55,1,21,5,female_brsc,london
56,female,4.592429778611972e-4,0.0020182313653197862,0.02675503080402932,0.0027377662093927444,45630,brsc,0,50,55,1,21,5,female_brsc,london
57,female,4.592429778611972e-4,0.0020182313653197862,0.02675503080402932,0.0027377662093927444,45630,brsc,0,50,55,1,21,5,female_brsc,london
58,female,4.592429778611972e-4,0.0020182313653197862,0.02675503080402932,0.0027377662093927444,45630,brsc,0,50,55,1,21,5,female_brsc,london
59,female,4.592429778611972e-4,0.0020182313653197862,0.02675503080402932,0.0027377662093927444,45630,brsc,0,50,55,1,21,5,female_brsc,london
60,female,5.114787157010615e-4,0.0022223543357169752,0.03012725713768332,0.002926424963407296,36511,brsc,0,50,60,2,19,5,female_brsc,london
61,female,5.114787157010615e-4,0.0022223543357169752,0.03012725713768332,0.002926424963407296,36511,brsc,0,50,60,2,19,5,female_brsc,london
62,female,5.114787157010615e-4,0.0022223543357169752,0.03012725713768332,0.002926424963407296,36511,brsc,0,50,60,2,19,5,female_brsc,london
63,female,5.114787157010615e-4,0.0022223543357169752,0.03012725713768332,0.002926424963407296,36511,brsc,0,50,60,2,19,5,female_brsc,london
64,female,5.114787157010615e-4,0.0022223543357169752,0.03012725713768332,0.002926424963407296,36511,brsc,0,50,60,2,19,5,female_brsc,london
65,female,6.874946024239258e-4,0.002591782032695093,0.035262210892028474,0.0034414244468771787,31156,brsc,0,50,65,2,21,5,female_brsc,london
66,female,6.874946024239258e-4,0.002591782032695093,0.035262210892028474,0.0034414244468771787,31156,brsc,0,50,65,2,21,5,female_brsc,london
67,female,6.874946024239258e-4,0.002591782032695093,0.035262210892028474,0.0034414244468771787,31156,brsc,0,50,65,2,21,5,female_brsc,london
68,female,6.874946024239258e-4,0.002591782032695093,0.035262210892028474,0.0034414244468771787,31156,brsc,0,50,65,2,21,5,female_brsc,london
69,female,6.874946024239258e-4,0.002591782032695093,0.035262210892028474,0.0034414244468771787,31156,brsc,0,50,65,2,21,5,female_brsc,london
70,female,8.599351656126866e-4,0.0026141504664818327,0.035513820434232256,0.0034771021648520124,26051,brsc,0,50,70,2,22,5,female_brsc,london
71,female,8.599351656126866e-4,0.0026141504664818327,0.035513820434232256,0.0034771021648520124,26051,brsc,0,50,70,2,22,5,female_brsc,london
72,female,8.599351656126866e-4,0.0026141504664818327,0.035513820434232256,0.0034771021648520124,26051,brsc,0,50,70,2,22,5,female_brsc,london
73,female,8.599351656126866e-4,0.0026141504664818327,0.035513820434232256,0.0034771021648520124,26051,brsc,0,50,70,2,22,5,female_brsc,london
74,female,8.599351656126866e-4,0.0026141504664818327,0.035513820434232256,0.0034771021648520124,26051,brsc,0,50,70,2,22,5,female_brsc,london
75,female,0.0011705587736720628,0.0028860365500355187,0.038143674522598876,0.003868604448618703,19959,brsc,0,50,75,2,23,5,female_brsc,london
76,female,0.0011705587736720628,0.0028860365500355187,0.038143674522598876,0.003868604448618703,19959,brsc,0,50,75,2,23,5,female_brsc,london
77,female,0.0011705587736720628,0.0028860365500355187,0.038143674522598876,0.003868604448618703,19959,brsc,0,50,75,2,23,5,female_brsc,london
78,female,0.0011705587736720628,0.0028860365500355187,0.038143674522598876,0.003868604448618703,19959,brsc,0,50,75,2,23,5,female_brsc,london
79,female,0.0011705587736720628,0.0028860365500355187,0.038143674522598876,0.003868604448618703,19959,brsc,0,50,75,2,23,5,female_brsc,london
80,female,0.0016839690465149612,0.0027499692414604195,0.03550037920054456,0.003862239254190012,15345,brsc,0,20,80,1,26,5,female_brsc,london
81,female,0.0016839690465149612,0.0027499692414604195,0.03550037920054456,0.003862239254190012,15345,brsc,0,20,80,1,26,5,female_brsc,london
82,female,0.0016839690465149612,0.0027499692414604195,0.03550037920054456,0.003862239254190012,15345,brsc,0,20,80,1,26,5,female_brsc,london
83,female,0.0016839690465149612,0.0027499692414604195,0.03550037920054456,0.003862239254190012,15345,brsc,0,20,80,1,26,5,female_brsc,london
84,female,0.0016839690465149612,0.0027499692414604195,0.03550037920054456,0.003862239254190012,15345,brsc,0,20,80,1,26,5,female_brsc,london
85,female,0.0026607956998288287,0.004070760794778924,0.045960871096524726,0.00609582945748851,10125,brsc,0,20,85,1,27,5,female_brsc,london
86,female,0.0026607956998288287,0.004070760794778924,0.045960871096524726,0.00609582945748851,10125,brsc,0,20,85,1,27,5,female_brsc,london
87,female,0.0026607956998288287,0.004070760794778924,0.045960871096524726,0.00609582945748851,10125,brsc,0,20,85,1,27,5,female_brsc,london
88,female,0.0026607956998288287,0.004070760794778924,0.045960871096524726,0.00609582945748851,10125,brsc,0,20,85,1,27,5,female_brsc,london
89,female,0.0026607956998288287,0.004070760794778924,0.045960871096524726,0.00609582945748851,10125,brsc,0,20,85,1,27,5,female_brsc,london
