age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,61818,carc,0,10,0,0,0,5,female_carc,london
1,female,0,0,0,1e-8,61818,carc,0,10,0,0,0,5,female_carc,london
2,female,0,0,0,1e-8,61818,carc,0,10,0,0,0,5,female_carc,london
3,female,0,0,0,1e-8,61818,carc,0,10,0,0,0,5,female_carc,london
4,female,0,0,0,1e-8,61818,carc,0,10,0,0,0,5,female_carc,london
5,female,0,0,0,1e-8,58489,carc,0,10,5,0,0,5,female_carc,london
6,female,0,0,0,1e-8,58489,carc,0,10,5,0,0,5,female_carc,london
7,female,0,0,0,1e-8,58489,carc,0,10,5,0,0,5,female_carc,london
8,female,0,0,0,1e-8,58489,carc,0,10,5,0,0,5,female_carc,london
9,female,0,0,0,1e-8,58489,carc,0,10,5,0,0,5,female_carc,london
10,female,0,0,0,1e-8,50232,carc,0,50,10,0,0,5,female_carc,london
11,female,0,0,0,1e-8,50232,carc,0,50,10,0,0,5,female_carc,london
12,female,0,0,0,1e-8,50232,carc,0,50,10,0,0,5,female_carc,london
13,female,0,0,0,1e-8,50232,carc,0,50,10,0,0,5,female_carc,london
14,female,0,0,0,1e-8,50232,carc,0,50,10,0,0,5,female_carc,london
15,female,2.0009048580739728e-7,8.427260819051296e-7,7.63301660846421e-6,1.072215768982085e-6,47216,carc,0,50,15,0,0,5,female_carc,london
16,female,2.0009048580739728e-7,8.427260819051296e-7,7.63301660846421e-6,1.072215768982085e-6,47216,carc,0,50,15,0,0,5,female_carc,london
17,female,2.0009048580739728e-7,8.427260819051296e-7,7.63301660846421e-6,1.072215768982085e-6,47216,carc,0,50,15,0,0,5,female_carc,london
18,female,2.0009048580739728e-7,8.427260819051296e-7,7.63301660846421e-6,1.072215768982085e-6,47216,carc,0,50,15,0,0,5,female_carc,london
19,female,2.0009048580739728e-7,8.427260819051296e-7,7.63301660846421e-6,1.072215768982085e-6,47216,carc,0,50,15,0,0,5,female_carc,london
20,female,9.360406891788383e-7,4.4574586000088336e-006,4.2037180798885355e-5,5.822786469247055e-6,60789,carc,0,50,20,0,0,5,female_carc,london
21,female,9.360406891788383e-7,4.4574586000088336e-006,4.2037180798885355e-5,5.822786469247055e-6,60789,carc,0,50,20,0,0,5,female_carc,london
22,female,9.360406891788383e-7,4.4574586000088336e-006,4.2037180798885355e-5,5.822786469247055e-6,60789,carc,0,50,20,0,0,5,female_carc,london
23,female,9.360406891788383e-7,4.4574586000088336e-006,4.2037180798885355e-5,5.822786469247055e-6,60789,carc,0,50,20,0,0,5,female_carc,london
24,female,9.360406891788383e-7,4.4574586000088336e-006,4.2037180798885355e-5,5.822786469247055e-6,60789,carc,0,50,20,0,0,5,female_carc,london
25,female,2.1289672346978965e-6,9.04548252245955e-6,8.902233176977126e-5,1.2349177127690544e-5,83549,carc,0,50,25,0,0,5,female_carc,london
26,female,2.1289672346978965e-6,9.04548252245955e-6,8.902233176977126e-5,1.2349177127690544e-5,83549,carc,0,50,25,0,0,5,female_carc,london
27,female,2.1289672346978965e-6,9.04548252245955e-6,8.902233176977126e-5,1.2349177127690544e-5,83549,carc,0,50,25,0,0,5,female_carc,london
28,female,2.1289672346978965e-6,9.04548252245955e-6,8.902233176977126e-5,1.2349177127690544e-5,83549,carc,0,50,25,0,0,5,female_carc,london
29,female,2.1289672346978965e-6,9.04548252245955e-6,8.902233176977126e-5,1.2349177127690544e-5,83549,carc,0,50,25,0,0,5,female_carc,london
30,female,5.471792754826947e-6,2.1946122158110467e-5,2.3394037431458356e-4,3.2611747360920725e-5,87991,carc,0,50,30,0,0,5,female_carc,london
31,female,5.471792754826947e-6,2.1946122158110467e-5,2.3394037431458356e-4,3.2611747360920725e-5,87991,carc,0,50,30,0,0,5,female_carc,london
32,female,5.471792754826947e-6,2.1946122158110467e-5,2.3394037431458356e-4,3.2611747360920725e-5,87991,carc,0,50,30,0,0,5,female_carc,london
33,female,5.471792754826947e-6,2.1946122158110467e-5,2.3394037431458356e-4,3.2611747360920725e-5,87991,carc,0,50,30,0,0,5,female_carc,london
34,female,5.471792754826947e-6,2.1946122158110467e-5,2.3394037431458356e-4,3.2611747360920725e-5,87991,carc,0,50,30,0,0,5,female_carc,london
35,female,1.0382477683034665e-5,3.7177800850255286e-5,4.141688663699345e-4,5.72004938142304e-5,79164,carc,0,50,35,0,1,5,female_carc,london
36,female,1.0382477683034665e-5,3.7177800850255286e-5,4.141688663699345e-4,5.72004938142304e-5,79164,carc,0,50,35,0,1,5,female_carc,london
37,female,1.0382477683034665e-5,3.7177800850255286e-5,4.141688663699345e-4,5.72004938142304e-5,79164,carc,0,50,35,0,1,5,female_carc,london
38,female,1.0382477683034665e-5,3.7177800850255286e-5,4.141688663699345e-4,5.72004938142304e-5,79164,carc,0,50,35,0,1,5,female_carc,london
39,female,1.0382477683034665e-5,3.7177800850255286e-5,4.141688663699345e-4,5.72004938142304e-5,79164,carc,0,50,35,0,1,5,female_carc,london
40,female,2.4624659943520614e-5,8.111927674101612e-5,9.380515259898252e-4,1.2996184795216204e-4,63016,carc,0,50,40,0,2,5,female_carc,london
41,female,2.4624659943520614e-5,8.111927674101612e-5,9.380515259898252e-4,1.2996184795216204e-4,63016,carc,0,50,40,0,2,5,female_carc,london
42,female,2.4624659943520614e-5,8.111927674101612e-5,9.380515259898252e-4,1.2996184795216204e-4,63016,carc,0,50,40,0,2,5,female_carc,london
43,female,2.4624659943520614e-5,8.111927674101612e-5,9.380515259898252e-4,1.2996184795216204e-4,63016,carc,0,50,40,0,2,5,female_carc,london
44,female,2.4624659943520614e-5,8.111927674101612e-5,9.380515259898252e-4,1.2996184795216204e-4,63016,carc,0,50,40,0,2,5,female_carc,london
45,female,5.113926238915066e-5,1.3043615942894744e-4,0.001526135575524486,2.1728470997918676e-4,59404,carc,0,50,45,0,3,5,female_carc,london
46,female,5.113926238915066e-5,1.3043615942894744e-4,0.001526135575524486,2.1728470997918676e-4,59404,carc,0,50,45,0,3,5,female_carc,london
47,female,5.113926238915066e-5,1.3043615942894744e-4,0.001526135575524486,2.1728470997918676e-4,59404,carc,0,50,45,0,3,5,female_carc,london
48,female,5.113926238915066e-5,1.3043615942894744e-4,0.001526135575524486,2.1728470997918676e-4,59404,carc,0,50,45,0,3,5,female_carc,london
49,female,5.113926238915066e-5,1.3043615942894744e-4,0.001526135575524486,2.1728470997918676e-4,59404,carc,0,50,45,0,3,5,female_carc,london
50,female,9.621001038645811e-5,2.2732265276313512e-4,0.0027370302686427063,3.9205201200847006e-4,55298,carc,0,50,50,0,5,5,female_carc,london
51,female,9.621001038645811e-5,2.2732265276313512e-4,0.0027370302686427063,3.9205201200847006e-4,55298,carc,0,50,50,0,5,5,female_carc,london
52,female,9.621001038645811e-5,2.2732265276313512e-4,0.0027370302686427063,3.9205201200847006e-4,55298,carc,0,50,50,0,5,5,female_carc,london
53,female,9.621001038645811e-5,2.2732265276313512e-4,0.0027370302686427063,3.9205201200847006e-4,55298,carc,0,50,50,0,5,5,female_carc,london
54,female,9.621001038645811e-5,2.2732265276313512e-4,0.0027370302686427063,3.9205201200847006e-4,55298,carc,0,50,50,0,5,5,female_carc,london
55,female,1.6323600572533644e-4,3.586798015513699e-4,0.004344899008215162,6.299704396717556e-4,45630,carc,0,50,55,0,7,5,female_carc,london
56,female,1.6323600572533644e-4,3.586798015513699e-4,0.004344899008215162,6.299704396717556e-4,45630,carc,0,50,55,0,7,5,female_carc,london
