age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,8.944670413567352e-7,2.8334331963395503e-5,3.8404833582216506e-4,1.2938789105177724e-4,61818,copd,0,10,0,0,0,5,female_copd,london
1,female,8.944670413567352e-7,2.8334331963395503e-5,3.8404833582216506e-4,1.2938789105177724e-4,61818,copd,0,10,0,0,0,5,female_copd,london
2,female,8.944670413567352e-7,2.8334331963395503e-5,3.8404833582216506e-4,1.2938789105177724e-4,61818,copd,0,10,0,0,0,5,female_copd,london
3,female,8.944670413567352e-7,2.8334331963395503e-5,3.8404833582216506e-4,1.2938789105177724e-4,61818,copd,0,10,0,0,0,5,female_copd,london
4,female,8.944670413567352e-7,2.8334331963395503e-5,3.8404833582216506e-4,1.2938789105177724e-4,61818,copd,0,10,0,0,0,5,female_copd,london
5,female,4.387755856468281e-7,8.833850208591995e-5,0.0012252083852029672,1.6456338606979175e-4,58489,copd,0,10,5,0,0,5,female_copd,london
6,female,4.387755856468281e-7,8.833850208591995e-5,0.0012252083852029672,1.6456338606979175e-4,58489,copd,0,10,5,0,0,5,female_copd,london
7,female,4.387755856468281e-7,8.833850208591995e-5,0.0012252083852029672,1.6456338606979175e-4,58489,copd,0,10,5,0,0,5,female_copd,london
8,female,4.387755856468281e-7,8.833850208591995e-5,0.0012252083852029672,1.6456338606979175e-4,58489,copd,0,10,5,0,0,5,female_copd,london
9,female,4.387755856468281e-7,8.833850208591995e-5,0.0012252083852029672,1.6456338606979175e-4,58489,copd,0,10,5,0,0,5,female_copd,london
10,female,6.850003094765188e-7,1.6603061143171077e-4,0.002350035706118872,3.42317336410062e-4,50232,copd,0,50,10,0,0,5,female_copd,london
11,female,6.850003094765188e-7,1.6603061143171077e-4,0.002350035706118872,3.42317336410062e-4,50232,copd,0,50,10,0,0,5,female_copd,london
12,female,6.850003094765188e-7,1.6603061143171077e-4,0.002350035706118872,3.42317336410062e-4,50232,copd,0,50,10,0,0,5,female_copd,london
13,female,6.850003094765188e-7,1.6603061143171077e-4,0.002350035706118872,3.42317336410062e-4,50232,copd,0,50,10,0,0,5,female_copd,london
14,female,6.850003094765188e-7,1.6603061143171077e-4,0.002350035706118872,3.42317336410062e-4,50232,copd,0,50,10,0,0,5,female_copd,london
15,female,5.374183997717133e-7,3.416932743850374e-4,0.00494446348707879,6.956512081882282e-4,47216,copd,0,50,15,0,0,5,female_copd,london
16,female,5.374183997717133e-7,3.416932743850374e-4,0.00494446348707879,6.956512081882282e-4,47216,copd,0,50,15,0,0,5,female_copd,london
17,female,5.374183997717133e-7,3.416932743850374e-4,0.00494446348707879,6.956512081882282e-4,47216,copd,0,50,15,0,0,5,female_copd,london
18,female,5.374183997717133e-7,3.416932743850374e-4,0.00494446348707879,6.956512081882282e-4,47216,copd,0,50,15,0,0,5,female_copd,london
19,female,5.374183997717133e-7,3.416932743850374e-4,0.00494446348707879,6.956512081882282e-4,47216,copd,0,50,15,0,0,5,female_copd,london
20,female,6.926152975397739e-7,6.311587552289622e-4,0.009278136406781124,0.0010320706696347502,60789,copd,0,50,20,0,0,5,female_copd,london
21,female,6.926152975397739e-7,6.311587552289622e-4,0.009278136406781124,0.0010320706696347502,60789,copd,0,50,20,0,0,5,female_copd,london
22,female,6.926152975397739e-7,6.311587552289622e-4,0.009278136406781124,0.0010320706696347502,60789,copd,0,50,20,0,0,5,female_copd,london
23,female,6.926152975397739e-7,6.311587552289622e-4,0.009278136406781124,0.0010320706696347502,60789,copd,0,50,20,0,0,5,female_copd,london
24,female,6.926152975397739e-7,6.311587552289622e-4,0.009278136406781124,0.0010320706696347502,60789,copd,0,50,20,0,0,5,female_copd,london
25,female,6.549254326100247e-7,0.0010247068872406516,0.015254230507361912,0.0013528358058844808,83549,copd,0,50,25,1,0,5,female_copd,london
26,female,6.549254326100247e-7,0.0010247068872406516,0.015254230507361912,0.0013528358058844808,83549,copd,0,50,25,1,0,5,female_copd,london
27,female,6.549254326100247e-7,0.0010247068872406516,0.015254230507361912,0.0013528358058844808,83549,copd,0,50,25,1,0,5,female_copd,london
28,female,6.549254326100247e-7,0.0010247068872406516,0.015254230507361912,0.0013528358058844808,83549,copd,0,50,25,1,0,5,female_copd,london
29,female,6.549254326100247e-7,0.0010247068872406516,0.015254230507361912,0.0013528358058844808,83549,copd,0,50,25,1,0,5,female_copd,london
30,female,1.012409036867272e-6,0.001538674910213585,0.023083739677055806,0.0018473089945918193,87991,copd,0,50,30,1,0,5,female_copd,london
31,female,1.012409036867272e-6,0.001538674910213585,0.023083739677055806,0.0018473089945918193,87991,copd,0,50,30,1,0,5,female_copd,london
32,female,1.012409036867272e-6,0.001538674910213585,0.023083739677055806,0.0018473089945918193,87991,copd,0,50,30,1,0,5,female_copd,london
33,female,1.012409036867272e-6,0.001538674910213585,0.023083739677055806,0.0018473089945918193,87991,copd,0,50,30,1,0,5,female_copd,london
34,female,1.012409036867272e-6,0.001538674910213585,0.023083739677055806,0.0018473089945918193,87991,copd,0,50,30,1,0,5,female_copd,london
35,female,2.1548748678405687e-6,0.002266693911498597,0.034365671759463874,0.0027899994500456228,79164,copd,0,50,35,2,0,5,female_copd,london
