age,sex,mort,ylds (years lived with disability)_rate_dmt2,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,61818,dmt2,0,10,0,0,0,5,female_dmt2,london
1,female,0,0,0,1e-8,61818,dmt2,0,10,0,0,0,5,female_dmt2,london
2,female,0,0,0,1e-8,61818,dmt2,0,10,0,0,0,5,female_dmt2,london
3,female,0,0,0,1e-8,61818,dmt2,0,10,0,0,0,5,female_dmt2,london
4,female,0,0,0,1e-8,61818,dmt2,0,10,0,0,0,5,female_dmt2,london
5,female,0,0,0,1e-8,58489,dmt2,0,10,5,0,0,5,female_dmt2,london
6,female,0,0,0,1e-8,58489,dmt2,0,10,5,0,0,5,female_dmt2,london
7,female,0,0,0,1e-8,58489,dmt2,0,10,5,0,0,5,female_dmt2,london
8,female,0,0,0,1e-8,58489,dmt2,0,10,5,0,0,5,female_dmt2,london
9,female,0,0,0,1e-8,58489,dmt2,0,10,5,0,0,5,female_dmt2,london
10,female,0,2.1306211067964254e-4,0.00427768211625929,0.002159614998305744,50232,dmt2,0,50,10,0,0,5,female_dmt2,london
11,female,0,2.1306211067964254e-4,0.00427768211625929,0.002159614998305744,50232,dmt2,0,50,10,0,0,5,female_dmt2,london
12,female,0,2.1306211067964254e-4,0.00427768211625929,0.002159614998305744,50232,dmt2,0,50,10,0,0,5,female_dmt2,london
13,female,0,2.1306211067964254e-4,0.00427768211625929,0.002159614998305744,50232,dmt2,0,50,10,0,0,5,female_dmt2,london
14,female,0,2.1306211067964254e-4,0.00427768211625929,0.002159614998305744,50232,dmt2,0,50,10,0,0,5,female_dmt2,london
15,female,1.0032564675070371e-7,0.0011396003999441387,0.021817935846671868,0.0038176620380025927,47216,dmt2,0,50,15,1,0,5,female_dmt2,london
16,female,1.0032564675070371e-7,0.0011396003999441387,0.021817935846671868,0.0038176620380025927,47216,dmt2,0,50,15,1,0,5,female_dmt2,london
17,female,1.0032564675070371e-7,0.0011396003999441387,0.021817935846671868,0.0038176620380025927,47216,dmt2,0,50,15,1,0,5,female_dmt2,london
18,female,1.0032564675070371e-7,0.0011396003999441387,0.021817935846671868,0.0038176620380025927,47216,dmt2,0,50,15,1,0,5,female_dmt2,london
19,female,1.0032564675070371e-7,0.0011396003999441387,0.021817935846671868,0.0038176620380025927,47216,dmt2,0,50,15,1,0,5,female_dmt2,london
20,female,1.3310216267022292e-7,0.00205239012211289,0.03710534795874932,0.0024323462986720295,60789,dmt2,0,50,20,2,0,5,female_dmt2,london
21,female,1.3310216267022292e-7,0.00205239012211289,0.03710534795874932,0.0024323462986720295,60789,dmt2,0,50,20,2,0,5,female_dmt2,london
22,female,1.3310216267022292e-7,0.00205239012211289,0.03710534795874932,0.0024323462986720295,60789,dmt2,0,50,20,2,0,5,female_dmt2,london
23,female,1.3310216267022292e-7,0.00205239012211289,0.03710534795874932,0.0024323462986720295,60789,dmt2,0,50,20,2,0,5,female_dmt2,london
24,female,1.3310216267022292e-7,0.00205239012211289,0.03710534795874932,0.0024323462986720295,60789,dmt2,0,50,20,2,0,5,female_dmt2,london
25,female,1.9287863232436929e-7,0.002558619057290844,0.043902252788067295,8.790553695624844e-4,83549,dmt2,0,50,25,2,0,5,female_dmt2,london
26,female,1.9287863232436929e-7,0.002558619057290844,0.043902252788067295,8.790553695624844e-4,83549,dmt2,0,50,25,2,0,5,female_dmt2,london
27,female,1.9287863232436929e-7,0.002558619057290844,0.043902252788067295,8.790553695624844e-4,83549,dmt2,0,50,25,2,0,5,female_dmt2,london
