age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,2.3220500560944137e-7,1.819257978120689e-5,1.280795268514368e-4,4.1882798535708765e-5,61818,iscs,0,10,0,0,0,5,female_iscs,london
1,female,2.3220500560944137e-7,1.819257978120689e-5,1.280795268514368e-4,4.1882798535708765e-5,61818,iscs,0,10,0,0,0,5,female_iscs,london
2,female,2.3220500560944137e-7,1.819257978120689e-5,1.280795268514368e-4,4.1882798535708765e-5,61818,iscs,0,10,0,0,0,5,female_iscs,london
3,female,2.3220500560944137e-7,1.819257978120689e-5,1.280795268514368e-4,4.1882798535708765e-5,61818,iscs,0,10,0,0,0,5,female_iscs,london
4,female,2.3220500560944137e-7,1.819257978120689e-5,1.280795268514368e-4,4.1882798535708765e-5,61818,iscs,0,10,0,0,0,5,female_iscs,london
5,female,3.680776397684344e-8,5.191706483944099e-5,3.682307076012381e-4,3.586689403332908e-5,58489,iscs,0,10,5,0,0,5,female_iscs,london
6,female,3.680776397684344e-8,5.191706483944099e-5,3.682307076012381e-4,3.586689403332908e-5,58489,iscs,0,10,5,0,0,5,female_iscs,london
7,female,3.680776397684344e-8,5.191706483944099e-5,3.682307076012381e-4,3.586689403332908e-5,58489,iscs,0,10,5,0,0,5,female_iscs,london
8,female,3.680776397684344e-8,5.191706483944099e-5,3.682307076012381e-4,3.586689403332908e-5,58489,iscs,0,10,5,0,0,5,female_iscs,london
9,female,3.680776397684344e-8,5.191706483944099e-5,3.682307076012381e-4,3.586689403332908e-5,58489,iscs,0,10,5,0,0,5,female_iscs,london
10,female,6.43950293395452e-8,8.288324871313005e-5,5.849346875167417e-4,3.2338152844265694e-5,50232,iscs,0,50,10,0,0,5,female_iscs,london
11,female,6.43950293395452e-8,8.288324871313005e-5,5.849346875167417e-4,3.2338152844265694e-5,50232,iscs,0,50,10,0,0,5,female_iscs,london
12,female,6.43950293395452e-8,8.288324871313005e-5,5.849346875167417e-4,3.2338152844265694e-5,50232,iscs,0,50,10,0,0,5,female_iscs,london
13,female,6.43950293395452e-8,8.288324871313005e-5,5.849346875167417e-4,3.2338152844265694e-5,50232,iscs,0,50,10,0,0,5,female_iscs,london
14,female,6.43950293395452e-8,8.288324871313005e-5,5.849346875167417e-4,3.2338152844265694e-5,50232,iscs,0,50,10,0,0,5,female_iscs,london
15,female,1.0994210305342967e-7,1.0990368274487593e-4,7.920951319399195e-4,2.8829122437327575e-5,47216,iscs,0,50,15,0,0,5,female_iscs,london
16,female,1.0994210305342967e-7,1.0990368274487593e-4,7.920951319399195e-4,2.8829122437327575e-5,47216,iscs,0,50,15,0,0,5,female_iscs,london
17,female,1.0994210305342967e-7,1.0990368274487593e-4,7.920951319399195e-4,2.8829122437327575e-5,47216,iscs,0,50,15,0,0,5,female_iscs,london
18,female,1.0994210305342967e-7,1.0990368274487593e-4,7.920951319399195e-4,2.8829122437327575e-5,47216,iscs,0,50,15,0,0,5,female_iscs,london
19,female,1.0994210305342967e-7,1.0990368274487593e-4,7.920951319399195e-4,2.8829122437327575e-5,47216,iscs,0,50,15,0,0,5,female_iscs,london
20,female,2.434566768599775e-7,1.3918226860119718e-4,0.0010023507766812832,3.38320168302391e-5,60789,iscs,0,50,20,0,0,5,female_iscs,london
21,female,2.434566768599775e-7,1.3918226860119718e-4,0.0010023507766812832,3.38320168302391e-5,60789,iscs,0,50,20,0,0,5,female_iscs,london
22,female,2.434566768599775e-7,1.3918226860119718e-4,0.0010023507766812832,3.38320168302391e-5,60789,iscs,0,50,20,0,0,5,female_iscs,london
23,female,2.434566768599775e-7,1.3918226860119718e-4,0.0010023507766812832,3.38320168302391e-5,60789,iscs,0,50,20,0,0,5,female_iscs,london
24,female,2.434566768599775e-7,1.3918226860119718e-4,0.0010023507766812832,3.38320168302391e-5,60789,iscs,0,50,20,0,0,5,female_iscs,london
25,female,3.388010320676316e-7,1.7423096583550943e-4,0.001255405365970929,4.733088615104777e-5,83549,iscs,0,50,25,0,0,5,female_iscs,london
26,female,3.388010320676316e-7,1.7423096583550943e-4,0.001255405365970929,4.733088615104777e-5,83549,iscs,0,50,25,0,0,5,female_iscs,london
27,female,3.388010320676316e-7,1.7423096583550943e-4,0.001255405365970929,4.733088615104777e-5,83549,iscs,0,50,25,0,0,5,female_iscs,london
28,female,3.388010320676316e-7,1.7423096583550943e-4,0.001255405365970929,4.733088615104777e-5,83549,iscs,0,50,25,0,0,5,female_iscs,london
29,female,3.388010320676316e-7,1.7423096583550943e-4,0.001255405365970929,4.733088615104777e-5,83549,iscs,0,50,25,0,0,5,female_iscs,london
30,female,4.986264506520087e-7,2.1259117956510507e-4,0.0016058089778307185,8.328036345832992e-5,87991,iscs,0,50,30,0,0,5,female_iscs,london
31,female,4.986264506520087e-7,2.1259117956510507e-4,0.0016058089778307185,8.328036345832992e-5,87991,iscs,0,50,30,0,0,5,female_iscs,london
32,female,4.986264506520087e-7,2.1259117956510507e-4,0.0016058089778307185,8.328036345832992e-5,87991,iscs,0,50,30,0,0,5,female_iscs,london
33,female,4.986264506520087e-7,2.1259117956510507e-4,0.0016058089778307185,8.328036345832992e-5,87991,iscs,0,50,30,0,0,5,female_iscs,london
34,female,4.986264506520087e-7,2.1259117956510507e-4,0.0016058089778307185,8.328036345832992e-5,87991,iscs,0,50,30,0,0,5,female_iscs,london
35,female,7.83707891207382e-7,2.904904267964602e-4,0.0022237901255228697,1.4166826544482366e-4,79164,iscs,0,50,35,0,0,5,female_iscs,london
36,female,7.83707891207382e-7,2.904904267964602e-4,0.0022237901255228697,1.4166826544482366e-4,79164,iscs,0,50,35,0,0,5,female_iscs,london
37,female,7.83707891207382e-7,2.904904267964602e-4,0.0022237901255228697,1.4166826544482366e-4,79164,iscs,0,50,35,0,0,5,female_iscs,london
38,female,7.83707891207382e-7,2.904904267964602e-4,0.0022237901255228697,1.4166826544482366e-4,79164,iscs,0,50,35,0,0,5,female_iscs,london
39,female,7.83707891207382e-7,2.904904267964602e-4,0.0022237901255228697,1.4166826544482366e-4,79164,iscs,0,50,35,0,0,5,female_iscs,london
40,female,1.9073834270643883e-6,4.11369788577685e-4,0.0032055251427642356,2.2908019433715034e-4,63016,iscs,0,50,40,0,0,5,female_iscs,london
41,female,1.9073834270643883e-6,4.11369788577685e-4,0.0032055251427642356,2.2908019433715034e-4,63016,iscs,0,50,40,0,0,5,female_iscs,london
42,female,1.9073834270643883e-6,4.11369788577685e-4,0.0032055251427642356,2.2908019433715034e-4,63016,iscs,0,50,40,0,0,5,female_iscs,london
43,female,1.9073834270643883e-6,4.11369788577685e-4,0.0032055251427642356,2.2908019433715034e-4,63016,iscs,0,50,40,0,0,5,female_iscs,london
44,female,1.9073834270643883e-6,4.11369788577685e-4,0.0032055251427642356,2.2908019433715034e-4,63016,iscs,0,50,40,0,0,5,female_iscs,london
45,female,4.2337709033531696e-6,5.982152606080565e-4,0.004757659885789191,3.4549336931388914e-4,59404,iscs,0,50,45,0,0,5,female_iscs,london
46,female,4.2337709033531696e-6,5.982152606080565e-4,0.004757659885789191,3.4549336931388914e-4,59404,iscs,0,50,45,0,0,5,female_iscs,london
47,female,4.2337709033531696e-6,5.982152606080565e-4,0.004757659885789191,3.4549336931388914e-4,59404,iscs,0,50,45,0,0,5,female_iscs,london
48,female,4.2337709033531696e-6,5.982152606080565e-4,0.004757659885789191,3.4549336931388914e-4,59404,iscs,0,50,45,0,0,5,female_iscs,london
49,female,4.2337709033531696e-6,5.982152606080565e-4,0.004757659885789191,3.4549336931388914e-4,59404,iscs,0,50,45,0,0,5,female_iscs,london
50,female,7.408567813271802e-6,8.957169633532411e-4,0.00702245699343164,5.31779557118298e-4,55298,iscs,0,50,50,0,0,5,female_iscs,london
51,female,7.408567813271802e-6,8.957169633532411e-4,0.00702245699343164,5.31779557118298e-4,55298,iscs,0,50,50,0,0,5,female_iscs,london
52,female,7.408567813271802e-6,8.957169633532411e-4,0.00702245699343164,5.31779557118298e-4,55298,iscs,0,50,50,0,0,5,female_iscs,london
53,female,7.408567813271802e-6,8.957169633532411e-4,0.00702245699343164,5.31779557118298e-4,55298,iscs,0,50,50,0,0,5,female_iscs,london
54,female,7.408567813271802e-6,8.957169633532411e-4,0.00702245699343164,5.31779557118298e-4,55298,iscs,0,50,50,0,0,5,female_iscs,london
55,female,1.2680017642306922e-5,0.0013742075785191821,0.010352788013094487,7.876527738663693e-4,45630,iscs,0,50,55,1,1,5,female_iscs,london
56,female,1.2680017642306922e-5,0.0013742075785191821,0.010352788013094487,7.876527738663693e-4,45630,iscs,0,50,55,1,1,5,female_iscs,london
57,female,1.2680017642306922e-5,0.0013742075785191821,0.010352788013094487,7.876527738663693e-4,45630,iscs,0,50,55,1,1,5,female_iscs,london
58,female,1.2680017642306922e-5,0.0013742075785191821,0.010352788013094487,7.876527738663693e-4,45630,iscs,0,50,55,1,1,5,female_iscs,london
59,female,1.2680017642306922e-5,0.0013742075785191821,0.010352788013094487,7.876527738663693e-4,45630,iscs,0,50,55,1,1,5,female_iscs,london
60,female,3.6897637982053237e-5,0.0020513151072833313,0.015052141153819643,0.0012631107112658496,36511,iscs,0,50,60,1,1,5,female_iscs,london
61,female,3.6897637982053237e-5,0.0020513151072833313,0.015052141153819643,0.0012631107112658496,36511,iscs,0,50,60,1,1,5,female_iscs,london
62,female,3.6897637982053237e-5,0.0020513151072833313,0.015052141153819643,0.0012631107112658496,36511,iscs,0,50,60,1,1,5,female_iscs,london
63,female,3.6897637982053237e-5,0.0020513151072833313,0.015052141153819643,0.0012631107112658496,36511,iscs,0,50,60,1,1,5,female_iscs,london
64,female,3.6897637982053237e-5,0.0020513151072833313,0.015052141153819643,0.0012631107112658496,36511,iscs,0,50,60,1,1,5,female_iscs,london
65,female,8.263545691632944e-5,0.0030706159269806104,0.022009829362803972,0.0019599601392708203,31156,iscs,0,50,65,1,3,5,female_iscs,london
66,female,8.263545691632944e-5,0.0030706159269806104,0.022009829362803972,0.0019599601392708203,31156,iscs,0,50,65,1,3,5,female_iscs,london
67,female,8.263545691632944e-5,0.0030706159269806104,0.022009829362803972,0.0019599601392708203,31156,iscs,0,50,65,1,3,5,female_iscs,london
68,female,8.263545691632944e-5,0.0030706159269806104,0.022009829362803972,0.0019599601392708203,31156,iscs,0,50,65,1,3,5,female_iscs,london
69,female,8.263545691632944e-5,0.0030706159269806104,0.022009829362803972,0.0019599601392708203,31156,iscs,0,50,65,1,3,5,female_iscs,london
70,female,2.6104534143914676e-4,0.004774898897736589,0.031440228214645885,0.0026365398886131295,26051,iscs,0,50,70,2,7,5,female_iscs,london
71,female,2.6104534143914676e-4,0.004774898897736589,0.031440228214645885,0.0026365398886131295,26051,iscs,0,50,70,2,7,5,female_iscs,london
72,female,2.6104534143914676e-4,0.004774898897736589,0.031440228214645885,0.0026365398886131295,26051,iscs,0,50,70,2,7,5,female_iscs,london
73,female,2.6104534143914676e-4,0.004774898897736589,0.031440228214645885,0.0026365398886131295,26051,iscs,0,50,70,2,7,5,female_iscs,london
74,female,2.6104534143914676e-4,0.004774898897736589,0.031440228214645885,0.0026365398886131295,26051,iscs,0,50,70,2,7,5,female_iscs,london
75,female,6.469687032383184e-4,0.007356431399047575,0.043551048908945136,0.003290705475048884,19959,iscs,0,50,75,2,13,5,female_iscs,london
76,female,6.469687032383184e-4,0.007356431399047575,0.043551048908945136,0.003290705475048884,19959,iscs,0,50,75,2,13,5,female_iscs,london
77,female,6.469687032383184e-4,0.007356431399047575,0.043551048908945136,0.003290705475048884,19959,iscs,0,50,75,2,13,5,female_iscs,london
78,female,6.469687032383184e-4,0.007356431399047575,0.043551048908945136,0.003290705475048884,19959,iscs,0,50,75,2,13,5,female_iscs,london
79,female,6.469687032383184e-4,0.007356431399047575,0.043551048908945136,0.003290705475048884,19959,iscs,0,50,75,2,13,5,female_iscs,london
80,female,0.0021513503752729943,0.010543969070875498,0.057891155255186184,0.005045681867769442,15345,iscs,0,20,80,1,33,5,female_iscs,london
81,female,0.0021513503752729943,0.010543969070875498,0.057891155255186184,0.005045681867769442,15345,iscs,0,20,80,1,33,5,female_iscs,london
82,female,0.0021513503752729943,0.010543969070875498,0.057891155255186184,0.005045681867769442,15345,iscs,0,20,80,1,33,5,female_iscs,london
83,female,0.0021513503752729943,0.010543969070875498,0.057891155255186184,0.005045681867769442,15345,iscs,0,20,80,1,33,5,female_iscs,london
84,female,0.0021513503752729943,0.010543969070875498,0.057891155255186184,0.005045681867769442,15345,iscs,0,20,80,1,33,5,female_iscs,london
85,female,0.0048255551050832395,0.014237553011504589,0.07366497848223921,0.007882648364925826,10125,iscs,0,20,85,1,49,5,female_iscs,london
86,female,0.0048255551050832395,0.014237553011504589,0.07366497848223921,0.007882648364925826,10125,iscs,0,20,85,1,49,5,female_iscs,london
87,female,0.0048255551050832395,0.014237553011504589,0.07366497848223921,0.007882648364925826,10125,iscs,0,20,85,1,49,5,female_iscs,london
88,female,0.0048255551050832395,0.014237553011504589,0.07366497848223921,0.007882648364925826,10125,iscs,0,20,85,1,49,5,female_iscs,london
89,female,0.0048255551050832395,0.014237553011504589,0.07366497848223921,0.007882648364925826,10125,iscs,0,20,85,1,49,5,female_iscs,london
90,female,0.008478055596149081,0.017592433085733362,0.08783572511158809,0.010676158528231987,5113,iscs,0,10,90,1,43,5,female_iscs,london
91,female,0.008478055596149081,0.017592433085733362,0.08783572511158809,0.010676158528231987,5113,iscs,0,10,90,1,43,5,female_iscs,london
92,female,0.008478055596149081,0.017592433085733362,0.08783572511158809,0.010676158528231987,5113,iscs,0,10,90,1,43,5,female_iscs,london
93,female,0.008478055596149081,0.017592433085733362,0.08783572511158809,0.010676158528231987,5113,iscs,0,10,90,1,43,5,female_iscs,london
94,female,0.008478055596149081,0.017592433085733362,0.08783572511158809,0.010676158528231987,5113,iscs,0,10,90,1,43,5,female_iscs,london
95,female,0.015614331551055113,0.02065621914492001,0.0984106662895599,0.013418032688683539,1387,iscs,0,10,95,1,21,6,female_iscs,london
96,female,0.015614331551055113,0.02065621914492001,0.0984106662895599,0.013418032688683539,1387,iscs,0,10,95,1,21,6,female_iscs,london
97,female,0.015614331551055113,0.02065621914492001,0.0984106662895599,0.013418032688683539,1387,iscs,0,10,95,1,21,6,female_iscs,london
98,female,0.015614331551055113,0.02065621914492001,0.0984106662895599,0.013418032688683539,1387,iscs,0,10,95,1,21,6,female_iscs,london
99,female,0.015614331551055113,0.02065621914492001,0.0984106662895599,0.013418032688683539,1387,iscs,0,10,95,1,21,6,female_iscs,london
100,female,0.015614331551055113,0.02065621914492001,0.0984106662895599,0.013418032688683539,1387,iscs,0,10,95,1,21,6,female_iscs,london
