age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,61818,lvrc,0,10,0,0,0,5,female_lvrc,london
1,female,0,0,0,1e-8,61818,lvrc,0,10,0,0,0,5,female_lvrc,london
2,female,0,0,0,1e-8,61818,lvrc,0,10,0,0,0,5,female_lvrc,london
3,female,0,0,0,1e-8,61818,lvrc,0,10,0,0,0,5,female_lvrc,london
4,female,0,0,0,1e-8,61818,lvrc,0,10,0,0,0,5,female_lvrc,london
5,female,2.915814315821502e-7,2.2208476118103048e-7,0,1.0530454379146606e-6,58489,lvrc,0,10,5,0,0,5,female_lvrc,london
6,female,2.915814315821502e-7,2.2208476118103048e-7,0,1.0530454379146606e-6,58489,lvrc,0,10,5,0,0,5,female_lvrc,london
7,female,2.915814315821502e-7,2.2208476118103048e-7,0,1.0530454379146606e-6,58489,lvrc,0,10,5,0,0,5,female_lvrc,london
8,female,2.915814315821502e-7,2.2208476118103048e-7,0,1.0530454379146606e-6,58489,lvrc,0,10,5,0,0,5,female_lvrc,london
9,female,2.915814315821502e-7,2.2208476118103048e-7,0,1.0530454379146606e-6,58489,lvrc,0,10,5,0,0,5,female_lvrc,london
10,female,4.81679610916558e-7,3.5490691405358677e-7,0,1.6514954271158214e-6,50232,lvrc,0,50,10,0,0,5,female_lvrc,london
11,female,4.81679610916558e-7,3.5490691405358677e-7,0,1.6514954271158214e-6,50232,lvrc,0,50,10,0,0,5,female_lvrc,london
12,female,4.81679610916558e-7,3.5490691405358677e-7,0,1.6514954271158214e-6,50232,lvrc,0,50,10,0,0,5,female_lvrc,london
13,female,4.81679610916558e-7,3.5490691405358677e-7,0,1.6514954271158214e-6,50232,lvrc,0,50,10,0,0,5,female_lvrc,london
14,female,4.81679610916558e-7,3.5490691405358677e-7,0,1.6514954271158214e-6,50232,lvrc,0,50,10,0,0,5,female_lvrc,london
15,female,7.291548962687047e-7,6.62882111153215e-7,0,3.078434975111696e-6,47216,lvrc,0,50,15,0,0,5,female_lvrc,london
16,female,7.291548962687047e-7,6.62882111153215e-7,0,3.078434975111696e-6,47216,lvrc,0,50,15,0,0,5,female_lvrc,london
17,female,7.291548962687047e-7,6.62882111153215e-7,0,3.078434975111696e-6,47216,lvrc,0,50,15,0,0,5,female_lvrc,london
18,female,7.291548962687047e-7,6.62882111153215e-7,0,3.078434975111696e-6,47216,lvrc,0,50,15,0,0,5,female_lvrc,london
19,female,7.291548962687047e-7,6.62882111153215e-7,0,3.078434975111696e-6,47216,lvrc,0,50,15,0,0,5,female_lvrc,london
20,female,8.329980611040837e-7,8.155282111180426e-7,0,3.810783187140325e-6,60789,lvrc,0,50,20,0,0,5,female_lvrc,london
21,female,8.329980611040837e-7,8.155282111180426e-7,0,3.810783187140325e-6,60789,lvrc,0,50,20,0,0,5,female_lvrc,london
22,female,8.329980611040837e-7,8.155282111180426e-7,0,3.810783187140325e-6,60789,lvrc,0,50,20,0,0,5,female_lvrc,london
