age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,61818,stmc,0,10,0,0,0,5,female_stmc,london
1,female,0,0,0,1e-8,61818,stmc,0,10,0,0,0,5,female_stmc,london
2,female,0,0,0,1e-8,61818,stmc,0,10,0,0,0,5,female_stmc,london
3,female,0,0,0,1e-8,61818,stmc,0,10,0,0,0,5,female_stmc,london
4,female,0,0,0,1e-8,61818,stmc,0,10,0,0,0,5,female_stmc,london
5,female,0,0,0,1e-8,58489,stmc,0,10,5,0,0,5,female_stmc,london
6,female,0,0,0,1e-8,58489,stmc,0,10,5,0,0,5,female_stmc,london
7,female,0,0,0,1e-8,58489,stmc,0,10,5,0,0,5,female_stmc,london
8,female,0,0,0,1e-8,58489,stmc,0,10,5,0,0,5,female_stmc,london
9,female,0,0,0,1e-8,58489,stmc,0,10,5,0,0,5,female_stmc,london
10,female,0,0,0,1e-8,50232,stmc,0,50,10,0,0,5,female_stmc,london
11,female,0,0,0,1e-8,50232,stmc,0,50,10,0,0,5,female_stmc,london
12,female,0,0,0,1e-8,50232,stmc,0,50,10,0,0,5,female_stmc,london
13,female,0,0,0,1e-8,50232,stmc,0,50,10,0,0,5,female_stmc,london
14,female,0,0,0,1e-8,50232,stmc,0,50,10,0,0,5,female_stmc,london
15,female,1.071366961963046e-7,1.2074083089434059e-7,1.1602464769458107e-6,3.343114175837097e-7,47216,stmc,0,50,15,0,0,5,female_stmc,london
16,female,1.071366961963046e-7,1.2074083089434059e-7,1.1602464769458107e-6,3.343114175837097e-7,47216,stmc,0,50,15,0,0,5,female_stmc,london
17,female,1.071366961963046e-7,1.2074083089434059e-7,1.1602464769458107e-6,3.343114175837097e-7,47216,stmc,0,50,15,0,0,5,female_stmc,london
18,female,1.071366961963046e-7,1.2074083089434059e-7,1.1602464769458107e-6,3.343114175837097e-7,47216,stmc,0,50,15,0,0,5,female_stmc,london
19,female,1.071366961963046e-7,1.2074083089434059e-7,1.1602464769458107e-6,3.343114175837097e-7,47216,stmc,0,50,15,0,0,5,female_stmc,london
20,female,3.4472825504491124e-7,4.2719882054967284e-7,4.201037704237136e-6,1.1581258363543167e-6,60789,stmc,0,50,20,0,0,5,female_stmc,london
21,female,3.4472825504491124e-7,4.2719882054967284e-7,4.201037704237136e-6,1.1581258363543167e-6,60789,stmc,0,50,20,0,0,5,female_stmc,london
22,female,3.4472825504491124e-7,4.2719882054967284e-7,4.201037704237136e-6,1.1581258363543167e-6,60789,stmc,0,50,20,0,0,5,female_stmc,london
23,female,3.4472825504491124e-7,4.2719882054967284e-7,4.201037704237136e-6,1.1581258363543167e-6,60789,stmc,0,50,20,0,0,5,female_stmc,london
24,female,3.4472825504491124e-7,4.2719882054967284e-7,4.201037704237136e-6,1.1581258363543167e-6,60789,stmc,0,50,20,0,0,5,female_stmc,london
25,female,9.889397874646507e-7,1.1971473298955372e-6,1.1808259698381526e-5,3.229603977765803e-6,83549,stmc,0,50,25,0,0,5,female_stmc,london
26,female,9.889397874646507e-7,1.1971473298955372e-6,1.1808259698381526e-5,3.229603977765803e-6,83549,stmc,0,50,25,0,0,5,female_stmc,london
27,female,9.889397874646507e-7,1.1971473298955372e-6,1.1808259698381526e-5,3.229603977765803e-6,83549,stmc,0,50,25,0,0,5,female_stmc,london
28,female,9.889397874646507e-7,1.1971473298955372e-6,1.1808259698381526e-5,3.229603977765803e-6,83549,stmc,0,50,25,0,0,5,female_stmc,london
29,female,9.889397874646507e-7,1.1971473298955372e-6,1.1808259698381526e-5,3.229603977765803e-6,83549,stmc,0,50,25,0,0,5,female_stmc,london
30,female,2.5990020729674157e-6,3.1180806065888573e-6,3.117998358658267e-5,8.297068870241543e-6,87991,stmc,0,50,30,0,0,5,female_stmc,london
31,female,2.5990020729674157e-6,3.1180806065888573e-6,3.117998358658267e-5,8.297068870241543e-6,87991,stmc,0,50,30,0,0,5,female_stmc,london
32,female,2.5990020729674157e-6,3.1180806065888573e-6,3.117998358658267e-5,8.297068870241543e-6,87991,stmc,0,50,30,0,0,5,female_stmc,london
33,female,2.5990020729674157e-6,3.1180806065888573e-6,3.117998358658267e-5,8.297068870241543e-6,87991,stmc,0,50,30,0,0,5,female_stmc,london
34,female,2.5990020729674157e-6,3.1180806065888573e-6,3.117998358658267e-5,8.297068870241543e-6,87991,stmc,0,50,30,0,0,5,female_stmc,london
35,female,4.500938159768645e-6,4.448944879739336e-6,4.2544724808026347e-5,1.2351817540754228e-5,79164,stmc,0,50,35,0,0,5,female_stmc,london
36,female,4.500938159768645e-6,4.448944879739336e-6,4.2544724808026347e-5,1.2351817540754228e-5,79164,stmc,0,50,35,0,0,5,female_stmc,london
37,female,4.500938159768645e-6,4.448944879739336e-6,4.2544724808026347e-5,1.2351817540754228e-5,79164,stmc,0,50,35,0,0,5,female_stmc,london
38,female,4.500938159768645e-6,4.448944879739336e-6,4.2544724808026347e-5,1.2351817540754228e-5,79164,stmc,0,50,35,0,0,5,female_stmc,london
39,female,4.500938159768645e-6,4.448944879739336e-6,4.2544724808026347e-5,1.2351817540754228e-5,79164,stmc,0,50,35,0,0,5,female_stmc,london
40,female,1.0651609576496622e-5,9.006295180737354e-6,8.455987973577304e-5,2.5391595701864933e-5,63016,stmc,0,50,40,0,1,5,female_stmc,london
41,female,1.0651609576496622e-5,9.006295180737354e-6,8.455987973577304e-5,2.5391595701864933e-5,63016,stmc,0,50,40,0,1,5,female_stmc,london
42,female,1.0651609576496622e-5,9.006295180737354e-6,8.455987973577304e-5,2.5391595701864933e-5,63016,stmc,0,50,40,0,1,5,female_stmc,london
43,female,1.0651609576496622e-5,9.006295180737354e-6,8.455987973577304e-5,2.5391595701864933e-5,63016,stmc,0,50,40,0,1,5,female_stmc,london
44,female,1.0651609576496622e-5,9.006295180737354e-6,8.455987973577304e-5,2.5391595701864933e-5,63016,stmc,0,50,40,0,1,5,female_stmc,london
45,female,1.6302199161349787e-5,1.3352468319237511e-5,1.27856853369766e-4,3.7822209092624526e-5,59404,stmc,0,50,45,0,1,5,female_stmc,london
46,female,1.6302199161349787e-5,1.3352468319237511e-5,1.27856853369766e-4,3.7822209092624526e-5,59404,stmc,0,50,45,0,1,5,female_stmc,london
