age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,64941,carc,0,10,0,0,0,5,male_carc,london
1,male,0,0,0,1e-8,64941,carc,0,10,0,0,0,5,male_carc,london
2,male,0,0,0,1e-8,64941,carc,0,10,0,0,0,5,male_carc,london
3,male,0,0,0,1e-8,64941,carc,0,10,0,0,0,5,male_carc,london
4,male,0,0,0,1e-8,64941,carc,0,10,0,0,0,5,male_carc,london
5,male,0,0,0,1e-8,61123,carc,0,10,5,0,0,5,male_carc,london
6,male,0,0,0,1e-8,61123,carc,0,10,5,0,0,5,male_carc,london
7,male,0,0,0,1e-8,61123,carc,0,10,5,0,0,5,male_carc,london
8,male,0,0,0,1e-8,61123,carc,0,10,5,0,0,5,male_carc,london
9,male,0,0,0,1e-8,61123,carc,0,10,5,0,0,5,male_carc,london
10,male,0,0,0,1e-8,52369,carc,0,50,10,0,0,5,male_carc,london
11,male,0,0,0,1e-8,52369,carc,0,50,10,0,0,5,male_carc,london
12,male,0,0,0,1e-8,52369,carc,0,50,10,0,0,5,male_carc,london
13,male,0,0,0,1e-8,52369,carc,0,50,10,0,0,5,male_carc,london
14,male,0,0,0,1e-8,52369,carc,0,50,10,0,0,5,male_carc,london
15,male,3.456869453137066e-7,1.4377300603505185e-6,1.2933126956712427e-5,1.8278944064576965e-6,49081,carc,0,50,15,0,0,5,male_carc,london
16,male,3.456869453137066e-7,1.4377300603505185e-6,1.2933126956712427e-5,1.8278944064576965e-6,49081,carc,0,50,15,0,0,5,male_carc,london
17,male,3.456869453137066e-7,1.4377300603505185e-6,1.2933126956712427e-5,1.8278944064576965e-6,49081,carc,0,50,15,0,0,5,male_carc,london
18,male,3.456869453137066e-7,1.4377300603505185e-6,1.2933126956712427e-5,1.8278944064576965e-6,49081,carc,0,50,15,0,0,5,male_carc,london
19,male,3.456869453137066e-7,1.4377300603505185e-6,1.2933126956712427e-5,1.8278944064576965e-6,49081,carc,0,50,15,0,0,5,male_carc,london
20,male,1.106493674758053e-6,5.2620865521110895e-6,4.92116830208718e-5,6.809809929376906e-6,60458,carc,0,50,20,0,0,5,male_carc,london
21,male,1.106493674758053e-6,5.2620865521110895e-6,4.92116830208718e-5,6.809809929376906e-6,60458,carc,0,50,20,0,0,5,male_carc,london
