age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,64941,ishd,0,10,0,0,0,5,male_ishd,london
1,male,0,0,0,1e-8,64941,ishd,0,10,0,0,0,5,male_ishd,london
2,male,0,0,0,1e-8,64941,ishd,0,10,0,0,0,5,male_ishd,london
3,male,0,0,0,1e-8,64941,ishd,0,10,0,0,0,5,male_ishd,london
4,male,0,0,0,1e-8,64941,ishd,0,10,0,0,0,5,male_ishd,london
5,male,0,0,0,1e-8,61123,ishd,0,10,5,0,0,5,male_ishd,london
6,male,0,0,0,1e-8,61123,ishd,0,10,5,0,0,5,male_ishd,london
7,male,0,0,0,1e-8,61123,ishd,0,10,5,0,0,5,male_ishd,london
8,male,0,0,0,1e-8,61123,ishd,0,10,5,0,0,5,male_ishd,london
9,male,0,0,0,1e-8,61123,ishd,0,10,5,0,0,5,male_ishd,london
10,male,0,0,0,1e-8,52369,ishd,0,50,10,0,0,5,male_ishd,london
11,male,0,0,0,1e-8,52369,ishd,0,50,10,0,0,5,male_ishd,london
12,male,0,0,0,1e-8,52369,ishd,0,50,10,0,0,5,male_ishd,london
13,male,0,0,0,1e-8,52369,ishd,0,50,10,0,0,5,male_ishd,london
14,male,0,0,0,1e-8,52369,ishd,0,50,10,0,0,5,male_ishd,london
15,male,7.042162417052353e-7,5.029947693293688e-6,1.2302967562293643e-4,2.0500026357679775e-5,49081,ishd,0,50,15,0,0,5,male_ishd,london
16,male,7.042162417052353e-7,5.029947693293688e-6,1.2302967562293643e-4,2.0500026357679775e-5,49081,ishd,0,50,15,0,0,5,male_ishd,london
17,male,7.042162417052353e-7,5.029947693293688e-6,1.2302967562293643e-4,2.0500026357679775e-5,49081,ishd,0,50,15,0,0,5,male_ishd,london
18,male,7.042162417052353e-7,5.029947693293688e-6,1.2302967562293643e-4,2.0500026357679775e-5,49081,ishd,0,50,15,0,0,5,male_ishd,london
19,male,7.042162417052353e-7,5.029947693293688e-6,1.2302967562293643e-4,2.0500026357679775e-5,49081,ishd,0,50,15,0,0,5,male_ishd,london
20,male,2.409009454617684e-6,2.0697746563874027e-5,4.2230080213172266e-4,6.141803807292025e-5,60458,ishd,0,50,20,0,0,5,male_ishd,london
21,male,2.409009454617684e-6,2.0697746563874027e-5,4.2230080213172266e-4,6.141803807292025e-5,60458,ishd,0,50,20,0,0,5,male_ishd,london
22,male,2.409009454617684e-6,2.0697746563874027e-5,4.2230080213172266e-4,6.141803807292025e-5,60458,ishd,0,50,20,0,0,5,male_ishd,london
23,male,2.409009454617684e-6,2.0697746563874027e-5,4.2230080213172266e-4,6.141803807292025e-5,60458,ishd,0,50,20,0,0,5,male_ishd,london
24,male,2.409009454617684e-6,2.0697746563874027e-5,4.2230080213172266e-4,6.141803807292025e-5,60458,ishd,0,50,20,0,0,5,male_ishd,london
25,male,6.338377167290174e-6,4.205551630086695e-5,9.589522994897305e-4,1.0201384374961637e-4,82579,ishd,0,50,25,0,1,5,male_ishd,london
26,male,6.338377167290174e-6,4.205551630086695e-5,9.589522994897305e-4,1.0201384374961637e-4,82579,ishd,0,50,25,0,1,5,male_ishd,london
27,male,6.338377167290174e-6,4.205551630086695e-5,9.589522994897305e-4,1.0201384374961637e-4,82579,ishd,0,50,25,0,1,5,male_ishd,london
