age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,64941,lvrc,0,10,0,0,0,5,male_lvrc,london
1,male,0,0,0,1e-8,64941,lvrc,0,10,0,0,0,5,male_lvrc,london
2,male,0,0,0,1e-8,64941,lvrc,0,10,0,0,0,5,male_lvrc,london
3,male,0,0,0,1e-8,64941,lvrc,0,10,0,0,0,5,male_lvrc,london
4,male,0,0,0,1e-8,64941,lvrc,0,10,0,0,0,5,male_lvrc,london
5,male,5.393204935070178e-7,5.356572604368297e-7,0,2.587729522296971e-6,61123,lvrc,0,10,5,0,0,5,male_lvrc,london
6,male,5.393204935070178e-7,5.356572604368297e-7,0,2.587729522296971e-6,61123,lvrc,0,10,5,0,0,5,male_lvrc,london
7,male,5.393204935070178e-7,5.356572604368297e-7,0,2.587729522296971e-6,61123,lvrc,0,10,5,0,0,5,male_lvrc,london
8,male,5.393204935070178e-7,5.356572604368297e-7,0,2.587729522296971e-6,61123,lvrc,0,10,5,0,0,5,male_lvrc,london
9,male,5.393204935070178e-7,5.356572604368297e-7,0,2.587729522296971e-6,61123,lvrc,0,10,5,0,0,5,male_lvrc,london
10,male,4.887528247456083e-7,4.827397298707027e-7,0,2.2856588329708706e-6,52369,lvrc,0,50,10,0,0,5,male_lvrc,london
11,male,4.887528247456083e-7,4.827397298707027e-7,0,2.2856588329708706e-6,52369,lvrc,0,50,10,0,0,5,male_lvrc,london
12,male,4.887528247456083e-7,4.827397298707027e-7,0,2.2856588329708706e-6,52369,lvrc,0,50,10,0,0,5,male_lvrc,london
13,male,4.887528247456083e-7,4.827397298707027e-7,0,2.2856588329708706e-6,52369,lvrc,0,50,10,0,0,5,male_lvrc,london
14,male,4.887528247456083e-7,4.827397298707027e-7,0,2.2856588329708706e-6,52369,lvrc,0,50,10,0,0,5,male_lvrc,london
15,male,8.434257744566114e-7,1.0167138106331085e-6,0,4.8057174167967845e-6,49081,lvrc,0,50,15,0,0,5,male_lvrc,london
16,male,8.434257744566114e-7,1.0167138106331085e-6,0,4.8057174167967845e-6,49081,lvrc,0,50,15,0,0,5,male_lvrc,london
17,male,8.434257744566114e-7,1.0167138106331085e-6,0,4.8057174167967845e-6,49081,lvrc,0,50,15,0,0,5,male_lvrc,london
18,male,8.434257744566114e-7,1.0167138106331085e-6,0,4.8057174167967845e-6,49081,lvrc,0,50,15,0,0,5,male_lvrc,london
19,male,8.434257744566114e-7,1.0167138106331085e-6,0,4.8057174167967845e-6,49081,lvrc,0,50,15,0,0,5,male_lvrc,london
20,male,1.1944627142696926e-6,1.52597969510367e-6,0,7.239595469305751e-6,60458,lvrc,0,50,20,0,0,5,male_lvrc,london
21,male,1.1944627142696926e-6,1.52597969510367e-6,0,7.239595469305751e-6,60458,lvrc,0,50,20,0,0,5,male_lvrc,london
22,male,1.1944627142696926e-6,1.52597969510367e-6,0,7.239595469305751e-6,60458,lvrc,0,50,20,0,0,5,male_lvrc,london
23,male,1.1944627142696926e-6,1.52597969510367e-6,0,7.239595469305751e-6,60458,lvrc,0,50,20,0,0,5,male_lvrc,london
24,male,1.1944627142696926e-6,1.52597969510367e-6,0,7.239595469305751e-6,60458,lvrc,0,50,20,0,0,5,male_lvrc,london
25,male,1.6195165244423813e-6,1.3834454633290941e-6,0,5.0605538816978274e-6,82579,lvrc,0,50,25,0,0,5,male_lvrc,london
26,male,1.6195165244423813e-6,1.3834454633290941e-6,0,5.0605538816978274e-6,82579,lvrc,0,50,25,0,0,5,male_lvrc,london
27,male,1.6195165244423813e-6,1.3834454633290941e-6,0,5.0605538816978274e-6,82579,lvrc,0,50,25,0,0,5,male_lvrc,london
28,male,1.6195165244423813e-6,1.3834454633290941e-6,0,5.0605538816978274e-6,82579,lvrc,0,50,25,0,0,5,male_lvrc,london
29,male,1.6195165244423813e-6,1.3834454633290941e-6,0,5.0605538816978274e-6,82579,lvrc,0,50,25,0,0,5,male_lvrc,london
30,male,3.0236163108435887e-6,2.9888412377706213e-6,0,1.0505804373187625e-5,89123,lvrc,0,50,30,0,0,5,male_lvrc,london
31,male,3.0236163108435887e-6,2.9888412377706213e-6,0,1.0505804373187625e-5,89123,lvrc,0,50,30,0,0,5,male_lvrc,london
32,male,3.0236163108435887e-6,2.9888412377706213e-6,0,1.0505804373187625e-5,89123,lvrc,0,50,30,0,0,5,male_lvrc,london
33,male,3.0236163108435887e-6,2.9888412377706213e-6,0,1.0505804373187625e-5,89123,lvrc,0,50,30,0,0,5,male_lvrc,london
