age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,64941,stmc,0,10,0,0,0,5,male_stmc,london
1,male,0,0,0,1e-8,64941,stmc,0,10,0,0,0,5,male_stmc,london
2,male,0,0,0,1e-8,64941,stmc,0,10,0,0,0,5,male_stmc,london
3,male,0,0,0,1e-8,64941,stmc,0,10,0,0,0,5,male_stmc,london
4,male,0,0,0,1e-8,64941,stmc,0,10,0,0,0,5,male_stmc,london
5,male,0,0,0,1e-8,61123,stmc,0,10,5,0,0,5,male_stmc,london
6,male,0,0,0,1e-8,61123,stmc,0,10,5,0,0,5,male_stmc,london
7,male,0,0,0,1e-8,61123,stmc,0,10,5,0,0,5,male_stmc,london
8,male,0,0,0,1e-8,61123,stmc,0,10,5,0,0,5,male_stmc,london
9,male,0,0,0,1e-8,61123,stmc,0,10,5,0,0,5,male_stmc,london
10,male,0,0,0,1e-8,52369,stmc,0,50,10,0,0,5,male_stmc,london
11,male,0,0,0,1e-8,52369,stmc,0,50,10,0,0,5,male_stmc,london
12,male,0,0,0,1e-8,52369,stmc,0,50,10,0,0,5,male_stmc,london
13,male,0,0,0,1e-8,52369,stmc,0,50,10,0,0,5,male_stmc,london
14,male,0,0,0,1e-8,52369,stmc,0,50,10,0,0,5,male_stmc,london
15,male,1.6418683901799411e-7,3.8611480077404036e-7,4.014466945021571e-6,9.203310506814812e-7,49081,stmc,0,50,15,0,0,5,male_stmc,london
16,male,1.6418683901799411e-7,3.8611480077404036e-7,4.014466945021571e-6,9.203310506814812e-7,49081,stmc,0,50,15,0,0,5,male_stmc,london
17,male,1.6418683901799411e-7,3.8611480077404036e-7,4.014466945021571e-6,9.203310506814812e-7,49081,stmc,0,50,15,0,0,5,male_stmc,london
18,male,1.6418683901799411e-7,3.8611480077404036e-7,4.014466945021571e-6,9.203310506814812e-7,49081,stmc,0,50,15,0,0,5,male_stmc,london
19,male,1.6418683901799411e-7,3.8611480077404036e-7,4.014466945021571e-6,9.203310506814812e-7,49081,stmc,0,50,15,0,0,5,male_stmc,london
20,male,3.948316270716683e-7,7.561335100695954e-7,7.86631638746134e-6,1.8048587400020925e-6,60458,stmc,0,50,20,0,0,5,male_stmc,london
21,male,3.948316270716683e-7,7.561335100695954e-7,7.86631638746134e-6,1.8048587400020925e-6,60458,stmc,0,50,20,0,0,5,male_stmc,london
22,male,3.948316270716683e-7,7.561335100695954e-7,7.86631638746134e-6,1.8048587400020925e-6,60458,stmc,0,50,20,0,0,5,male_stmc,london
23,male,3.948316270716683e-7,7.561335100695954e-7,7.86631638746134e-6,1.8048587400020925e-6,60458,stmc,0,50,20,0,0,5,male_stmc,london
24,male,3.948316270716683e-7,7.561335100695954e-7,7.86631638746134e-6,1.8048587400020925e-6,60458,stmc,0,50,20,0,0,5,male_stmc,london
25,male,9.073176450421112e-7,1.3281047666451852e-6,1.3254094692933142e-5,3.3203049326618727e-6,82579,stmc,0,50,25,0,0,5,male_stmc,london
26,male,9.073176450421112e-7,1.3281047666451852e-6,1.3254094692933142e-5,3.3203049326618727e-6,82579,stmc,0,50,25,0,0,5,male_stmc,london
27,male,9.073176450421112e-7,1.3281047666451852e-6,1.3254094692933142e-5,3.3203049326618727e-6,82579,stmc,0,50,25,0,0,5,male_stmc,london
28,male,9.073176450421112e-7,1.3281047666451852e-6,1.3254094692933142e-5,3.3203049326618727e-6,82579,stmc,0,50,25,0,0,5,male_stmc,london
29,male,9.073176450421112e-7,1.3281047666451852e-6,1.3254094692933142e-5,3.3203049326618727e-6,82579,stmc,0,50,25,0,0,5,male_stmc,london
30,male,2.430928071189494e-6,3.4489743094180343e-6,3.488755315312129e-5,8.486537646043158e-6,89123,stmc,0,50,30,0,0,5,male_stmc,london
31,male,2.430928071189494e-6,3.4489743094180343e-6,3.488755315312129e-5,8.486537646043158e-6,89123,stmc,0,50,30,0,0,5,male_stmc,london
32,male,2.430928071189494e-6,3.4489743094180343e-6,3.488755315312129e-5,8.486537646043158e-6,89123,stmc,0,50,30,0,0,5,male_stmc,london
33,male,2.430928071189494e-6,3.4489743094180343e-6,3.488755315312129e-5,8.486537646043158e-6,89123,stmc,0,50,30,0,0,5,male_stmc,london
34,male,2.430928071189494e-6,3.4489743094180343e-6,3.488755315312129e-5,8.486537646043158e-6,89123,stmc,0,50,30,0,0,5,male_stmc,london
35,male,5.870495103740139e-6,8.421142432851949e-6,8.569912963995001e-5,2.065038169057681e-5,79099,stmc,0,50,35,0,0,5,male_stmc,london
36,male,5.870495103740139e-6,8.421142432851949e-6,8.569912963995001e-5,2.065038169057681e-5,79099,stmc,0,50,35,0,0,5,male_stmc,london
37,male,5.870495103740139e-6,8.421142432851949e-6,8.569912963995001e-5,2.065038169057681e-5,79099,stmc,0,50,35,0,0,5,male_stmc,london
38,male,5.870495103740139e-6,8.421142432851949e-6,8.569912963995001e-5,2.065038169057681e-5,79099,stmc,0,50,35,0,0,5,male_stmc,london
39,male,5.870495103740139e-6,8.421142432851949e-6,8.569912963995001e-5,2.065038169057681e-5,79099,stmc,0,50,35,0,0,5,male_stmc,london
40,male,1.3524592472948367e-5,1.7124416319489036e-5,1.7638205869222281e-4,4.2966432501869776e-5,63436,stmc,0,50,40,0,1,5,male_stmc,london
41,male,1.3524592472948367e-5,1.7124416319489036e-5,1.7638205869222281e-4,4.2966432501869776e-5,63436,stmc,0,50,40,0,1,5,male_stmc,london
42,male,1.3524592472948367e-5,1.7124416319489036e-5,1.7638205869222281e-4,4.2966432501869776e-5,63436,stmc,0,50,40,0,1,5,male_stmc,london
43,male,1.3524592472948367e-5,1.7124416319489036e-5,1.7638205869222281e-4,4.2966432501869776e-5,63436,stmc,0,50,40,0,1,5,male_stmc,london
44,male,1.3524592472948367e-5,1.7124416319489036e-5,1.7638205869222281e-4,4.2966432501869776e-5,63436,stmc,0,50,40,0,1,5,male_stmc,london
45,male,2.9746038489510945e-5,3.235432404436862e-5,3.2725396413077425e-4,8.299113546898219e-5,59050,stmc,0,50,45,0,2,5,male_stmc,london
46,male,2.9746038489510945e-5,3.235432404436862e-5,3.2725396413077425e-4,8.299113546898219e-5,59050,stmc,0,50,45,0,2,5,male_stmc,london
47,male,2.9746038489510945e-5,3.235432404436862e-5,3.2725396413077425e-4,8.299113546898219e-5,59050,stmc,0,50,45,0,2,5,male_stmc,london
48,male,2.9746038489510945e-5,3.235432404436862e-5,3.2725396413077425e-4,8.299113546898219e-5,59050,stmc,0,50,45,0,2,5,male_stmc,london
49,male,2.9746038489510945e-5,3.235432404436862e-5,3.2725396413077425e-4,8.299113546898219e-5,59050,stmc,0,50,45,0,2,5,male_stmc,london
50,male,5.852364520802999e-5,5.763265021384058e-5,5.718887742154161e-4,1.5051579398478945e-4,53820,stmc,0,50,50,0,3,5,male_stmc,london
51,male,5.852364520802999e-5,5.763265021384058e-5,5.718887742154161e-4,1.5051579398478945e-4,53820,stmc,0,50,50,0,3,5,male_stmc,london
52,male,5.852364520802999e-5,5.763265021384058e-5,5.718887742154161e-4,1.5051579398478945e-4,53820,stmc,0,50,50,0,3,5,male_stmc,london
53,male,5.852364520802999e-5,5.763265021384058e-5,5.718887742154161e-4,1.5051579398478945e-4,53820,stmc,0,50,50,0,3,5,male_stmc,london
54,male,5.852364520802999e-5,5.763265021384058e-5,5.718887742154161e-4,1.5051579398478945e-4,53820,stmc,0,50,50,0,3,5,male_stmc,london
55,male,9.862589966171226e-5,8.873107721318536e-5,8.677362744740368e-4,2.3579357865226292e-4,44836,stmc,0,50,55,0,4,5,male_stmc,london
56,male,9.862589966171226e-5,8.873107721318536e-5,8.677362744740368e-4,2.3579357865226292e-4,44836,stmc,0,50,55,0,4,5,male_stmc,london
57,male,9.862589966171226e-5,8.873107721318536e-5,8.677362744740368e-4,2.3579357865226292e-4,44836,stmc,0,50,55,0,4,5,male_stmc,london
58,male,9.862589966171226e-5,8.873107721318536e-5,8.677362744740368e-4,2.3579357865226292e-4,44836,stmc,0,50,55,0,4,5,male_stmc,london
59,male,9.862589966171226e-5,8.873107721318536e-5,8.677362744740368e-4,2.3579357865226292e-4,44836,stmc,0,50,55,0,4,5,male_stmc,london
60,male,1.7327392644050953e-4,1.3588079975500992e-4,0.0013497987765207712,3.8598263172951136e-4,34898,stmc,0,50,60,0,6,5,male_stmc,london
61,male,1.7327392644050953e-4,1.3588079975500992e-4,0.0013497987765207712,3.8598263172951136e-4,34898,stmc,0,50,60,0,6,5,male_stmc,london
62,male,1.7327392644050953e-4,1.3588079975500992e-4,0.0013497987765207712,3.8598263172951136e-4,34898,stmc,0,50,60,0,6,5,male_stmc,london
63,male,1.7327392644050953e-4,1.3588079975500992e-4,0.0013497987765207712,3.8598263172951136e-4,34898,stmc,0,50,60,0,6,5,male_stmc,london
64,male,1.7327392644050953e-4,1.3588079975500992e-4,0.0013497987765207712,3.8598263172951136e-4,34898,stmc,0,50,60,0,6,5,male_stmc,london
65,male,2.9849981802281347e-4,2.0385869603409403e-4,0.0020270473209677902,6.149434480519315e-4,28692,stmc,0,50,65,0,9,5,male_stmc,london
66,male,2.9849981802281347e-4,2.0385869603409403e-4,0.0020270473209677902,6.149434480519315e-4,28692,stmc,0,50,65,0,9,5,male_stmc,london
67,male,2.9849981802281347e-4,2.0385869603409403e-4,0.0020270473209677902,6.149434480519315e-4,28692,stmc,0,50,65,0,9,5,male_stmc,london
