age,sex,mort,ylds (years lived with disability)_rate_utrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,64941,utrc,0,10,0,0,0,5,male_utrc,london
1,male,0,0,0,1e-8,64941,utrc,0,10,0,0,0,5,male_utrc,london
2,male,0,0,0,1e-8,64941,utrc,0,10,0,0,0,5,male_utrc,london
3,male,0,0,0,1e-8,64941,utrc,0,10,0,0,0,5,male_utrc,london
4,male,0,0,0,1e-8,64941,utrc,0,10,0,0,0,5,male_utrc,london
5,male,0,0,0,1e-8,61123,utrc,0,10,5,0,0,5,male_utrc,london
6,male,0,0,0,1e-8,61123,utrc,0,10,5,0,0,5,male_utrc,london
7,male,0,0,0,1e-8,61123,utrc,0,10,5,0,0,5,male_utrc,london
8,male,0,0,0,1e-8,61123,utrc,0,10,5,0,0,5,male_utrc,london
9,male,0,0,0,1e-8,61123,utrc,0,10,5,0,0,5,male_utrc,london
10,male,0,0,0,1e-8,52369,utrc,0,50,10,0,0,5,male_utrc,london
11,male,0,0,0,1e-8,52369,utrc,0,50,10,0,0,5,male_utrc,london
12,male,0,0,0,1e-8,52369,utrc,0,50,10,0,0,5,male_utrc,london
13,male,0,0,0,1e-8,52369,utrc,0,50,10,0,0,5,male_utrc,london
14,male,0,0,0,1e-8,52369,utrc,0,50,10,0,0,5,male_utrc,london
15,male,0,0,0,1e-8,49081,utrc,0,50,15,0,0,5,male_utrc,london
16,male,0,0,0,1e-8,49081,utrc,0,50,15,0,0,5,male_utrc,london
17,male,0,0,0,1e-8,49081,utrc,0,50,15,0,0,5,male_utrc,london
18,male,0,0,0,1e-8,49081,utrc,0,50,15,0,0,5,male_utrc,london
19,male,0,0,0,1e-8,49081,utrc,0,50,15,0,0,5,male_utrc,london
20,male,0,0,0,1e-8,60458,utrc,0,50,20,0,0,5,male_utrc,london
21,male,0,0,0,1e-8,60458,utrc,0,50,20,0,0,5,male_utrc,london
22,male,0,0,0,1e-8,60458,utrc,0,50,20,0,0,5,male_utrc,london
