age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,10402,carc,0,10,0,0,0,5,female_carc,northeast
1,female,0,0,0,1e-8,10402,carc,0,10,0,0,0,5,female_carc,northeast
2,female,0,0,0,1e-8,10402,carc,0,10,0,0,0,5,female_carc,northeast
3,female,0,0,0,1e-8,10402,carc,0,10,0,0,0,5,female_carc,northeast
4,female,0,0,0,1e-8,10402,carc,0,10,0,0,0,5,female_carc,northeast
5,female,0,0,0,1e-8,10982,carc,0,10,5,0,0,5,female_carc,northeast
6,female,0,0,0,1e-8,10982,carc,0,10,5,0,0,5,female_carc,northeast
7,female,0,0,0,1e-8,10982,carc,0,10,5,0,0,5,female_carc,northeast
8,female,0,0,0,1e-8,10982,carc,0,10,5,0,0,5,female_carc,northeast
9,female,0,0,0,1e-8,10982,carc,0,10,5,0,0,5,female_carc,northeast
10,female,0,0,0,1e-8,10229,carc,0,50,10,0,0,5,female_carc,northeast
11,female,0,0,0,1e-8,10229,carc,0,50,10,0,0,5,female_carc,northeast
12,female,0,0,0,1e-8,10229,carc,0,50,10,0,0,5,female_carc,northeast
13,female,0,0,0,1e-8,10229,carc,0,50,10,0,0,5,female_carc,northeast
14,female,0,0,0,1e-8,10229,carc,0,50,10,0,0,5,female_carc,northeast
15,female,2.6922365301114943e-7,9.672750850736054e-7,8.71271107456941e-6,1.2557642649737619e-6,10697,carc,0,50,15,0,0,5,female_carc,northeast
16,female,2.6922365301114943e-7,9.672750850736054e-7,8.71271107456941e-6,1.2557642649737619e-6,10697,carc,0,50,15,0,0,5,female_carc,northeast
17,female,2.6922365301114943e-7,9.672750850736054e-7,8.71271107456941e-6,1.2557642649737619e-6,10697,carc,0,50,15,0,0,5,female_carc,northeast
18,female,2.6922365301114943e-7,9.672750850736054e-7,8.71271107456941e-6,1.2557642649737619e-6,10697,carc,0,50,15,0,0,5,female_carc,northeast
19,female,2.6922365301114943e-7,9.672750850736054e-7,8.71271107456941e-6,1.2557642649737619e-6,10697,carc,0,50,15,0,0,5,female_carc,northeast
20,female,9.495366175763813e-7,3.891340353438199e-6,3.6533842235056306e-5,5.149744405429913e-6,12578,carc,0,50,20,0,0,5,female_carc,northeast
21,female,9.495366175763813e-7,3.891340353438199e-6,3.6533842235056306e-5,5.149744405429913e-6,12578,carc,0,50,20,0,0,5,female_carc,northeast
22,female,9.495366175763813e-7,3.891340353438199e-6,3.6533842235056306e-5,5.149744405429913e-6,12578,carc,0,50,20,0,0,5,female_carc,northeast
23,female,9.495366175763813e-7,3.891340353438199e-6,3.6533842235056306e-5,5.149744405429913e-6,12578,carc,0,50,20,0,0,5,female_carc,northeast
24,female,9.495366175763813e-7,3.891340353438199e-6,3.6533842235056306e-5,5.149744405429913e-6,12578,carc,0,50,20,0,0,5,female_carc,northeast
25,female,4.147796777323409e-6,1.7066783350075997e-5,1.6821269859443265e-4,2.3819070033315745e-5,13691,carc,0,50,25,0,0,5,female_carc,northeast
26,female,4.147796777323409e-6,1.7066783350075997e-5,1.6821269859443265e-4,2.3819070033315745e-5,13691,carc,0,50,25,0,0,5,female_carc,northeast
27,female,4.147796777323409e-6,1.7066783350075997e-5,1.6821269859443265e-4,2.3819070033315745e-5,13691,carc,0,50,25,0,0,5,female_carc,northeast
28,female,4.147796777323409e-6,1.7066783350075997e-5,1.6821269859443265e-4,2.3819070033315745e-5,13691,carc,0,50,25,0,0,5,female_carc,northeast
29,female,4.147796777323409e-6,1.7066783350075997e-5,1.6821269859443265e-4,2.3819070033315745e-5,13691,carc,0,50,25,0,0,5,female_carc,northeast
30,female,1.2610262525314653e-5,4.539440480667509e-5,4.884889076989418e-4,7.013293082472891e-5,12871,carc,0,50,30,0,0,5,female_carc,northeast
31,female,1.2610262525314653e-5,4.539440480667509e-5,4.884889076989418e-4,7.013293082472891e-5,12871,carc,0,50,30,0,0,5,female_carc,northeast
32,female,1.2610262525314653e-5,4.539440480667509e-5,4.884889076989418e-4,7.013293082472891e-5,12871,carc,0,50,30,0,0,5,female_carc,northeast
33,female,1.2610262525314653e-5,4.539440480667509e-5,4.884889076989418e-4,7.013293082472891e-5,12871,carc,0,50,30,0,0,5,female_carc,northeast
34,female,1.2610262525314653e-5,4.539440480667509e-5,4.884889076989418e-4,7.013293082472891e-5,12871,carc,0,50,30,0,0,5,female_carc,northeast
35,female,1.9208726979662046e-5,6.0998109224631355e-5,6.877415642452261e-4,9.787512480005443e-5,12119,carc,0,50,35,0,0,5,female_carc,northeast
36,female,1.9208726979662046e-5,6.0998109224631355e-5,6.877415642452261e-4,9.787512480005443e-5,12119,carc,0,50,35,0,0,5,female_carc,northeast
37,female,1.9208726979662046e-5,6.0998109224631355e-5,6.877415642452261e-4,9.787512480005443e-5,12119,carc,0,50,35,0,0,5,female_carc,northeast
38,female,1.9208726979662046e-5,6.0998109224631355e-5,6.877415642452261e-4,9.787512480005443e-5,12119,carc,0,50,35,0,0,5,female_carc,northeast
39,female,1.9208726979662046e-5,6.0998109224631355e-5,6.877415642452261e-4,9.787512480005443e-5,12119,carc,0,50,35,0,0,5,female_carc,northeast
40,female,3.3139021298255425e-5,9.371189251619247e-5,0.0010829712293536906,1.5365969197194312e-4,11629,carc,0,50,40,0,0,5,female_carc,northeast
41,female,3.3139021298255425e-5,9.371189251619247e-5,0.0010829712293536906,1.5365969197194312e-4,11629,carc,0,50,40,0,0,5,female_carc,northeast
42,female,3.3139021298255425e-5,9.371189251619247e-5,0.0010829712293536906,1.5365969197194312e-4,11629,carc,0,50,40,0,0,5,female_carc,northeast
43,female,3.3139021298255425e-5,9.371189251619247e-5,0.0010829712293536906,1.5365969197194312e-4,11629,carc,0,50,40,0,0,5,female_carc,northeast
44,female,3.3139021298255425e-5,9.371189251619247e-5,0.0010829712293536906,1.5365969197194312e-4,11629,carc,0,50,40,0,0,5,female_carc,northeast
45,female,7.636490914868623e-5,1.6798787541237348e-4,0.0019452062602831205,2.8578072785343406e-4,13839,carc,0,50,45,0,1,5,female_carc,northeast
46,female,7.636490914868623e-5,1.6798787541237348e-4,0.0019452062602831205,2.8578072785343406e-4,13839,carc,0,50,45,0,1,5,female_carc,northeast
47,female,7.636490914868623e-5,1.6798787541237348e-4,0.0019452062602831205,2.8578072785343406e-4,13839,carc,0,50,45,0,1,5,female_carc,northeast
48,female,7.636490914868623e-5,1.6798787541237348e-4,0.0019452062602831205,2.8578072785343406e-4,13839,carc,0,50,45,0,1,5,female_carc,northeast
49,female,7.636490914868623e-5,1.6798787541237348e-4,0.0019452062602831205,2.8578072785343406e-4,13839,carc,0,50,45,0,1,5,female_carc,northeast
50,female,1.0894101362143934e-4,2.2203536372305418e-4,0.002656295929140568,3.912101274625047e-4,14775,carc,0,50,50,0,2,5,female_carc,northeast
