age,sex,mort,ylds (years lived with disability)_rate_crdd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,1.0411020436019253e-5,8.15489498691317e-5,4.8410196326267407e-4,3.2922101571945865e-4,10402,crdd,0,10,0,0,0,5,female_crdd,northeast
1,female,1.0411020436019253e-5,8.15489498691317e-5,4.8410196326267407e-4,3.2922101571945865e-4,10402,crdd,0,10,0,0,0,5,female_crdd,northeast
2,female,1.0411020436019253e-5,8.15489498691317e-5,4.8410196326267407e-4,3.2922101571945865e-4,10402,crdd,0,10,0,0,0,5,female_crdd,northeast
3,female,1.0411020436019253e-5,8.15489498691317e-5,4.8410196326267407e-4,3.2922101571945865e-4,10402,crdd,0,10,0,0,0,5,female_crdd,northeast
4,female,1.0411020436019253e-5,8.15489498691317e-5,4.8410196326267407e-4,3.2922101571945865e-4,10402,crdd,0,10,0,0,0,5,female_crdd,northeast
5,female,1.606125403522929e-6,1.3950743825218113e-4,4.25041084352155e-4,2.6858118061926065e-4,10982,crdd,0,10,5,0,0,5,female_crdd,northeast
6,female,1.606125403522929e-6,1.3950743825218113e-4,4.25041084352155e-4,2.6858118061926065e-4,10982,crdd,0,10,5,0,0,5,female_crdd,northeast
7,female,1.606125403522929e-6,1.3950743825218113e-4,4.25041084352155e-4,2.6858118061926065e-4,10982,crdd,0,10,5,0,0,5,female_crdd,northeast
8,female,1.606125403522929e-6,1.3950743825218113e-4,4.25041084352155e-4,2.6858118061926065e-4,10982,crdd,0,10,5,0,0,5,female_crdd,northeast
9,female,1.606125403522929e-6,1.3950743825218113e-4,4.25041084352155e-4,2.6858118061926065e-4,10982,crdd,0,10,5,0,0,5,female_crdd,northeast
10,female,3.172901530280981e-6,2.8099974176055834e-4,0.0023468410205240257,2.3662272213964525e-4,10229,crdd,0,50,10,0,0,5,female_crdd,northeast
11,female,3.172901530280981e-6,2.8099974176055834e-4,0.0023468410205240257,2.3662272213964525e-4,10229,crdd,0,50,10,0,0,5,female_crdd,northeast
12,female,3.172901530280981e-6,2.8099974176055834e-4,0.0023468410205240257,2.3662272213964525e-4,10229,crdd,0,50,10,0,0,5,female_crdd,northeast
13,female,3.172901530280981e-6,2.8099974176055834e-4,0.0023468410205240257,2.3662272213964525e-4,10229,crdd,0,50,10,0,0,5,female_crdd,northeast
14,female,3.172901530280981e-6,2.8099974176055834e-4,0.0023468410205240257,2.3662272213964525e-4,10229,crdd,0,50,10,0,0,5,female_crdd,northeast
15,female,8.641050666441236e-6,8.018389267259622e-4,0.011054372093511584,3.183828828607466e-4,10697,crdd,0,50,15,1,0,5,female_crdd,northeast
16,female,8.641050666441236e-6,8.018389267259622e-4,0.011054372093511584,3.183828828607466e-4,10697,crdd,0,50,15,1,0,5,female_crdd,northeast
17,female,8.641050666441236e-6,8.018389267259622e-4,0.011054372093511584,3.183828828607466e-4,10697,crdd,0,50,15,1,0,5,female_crdd,northeast
18,female,8.641050666441236e-6,8.018389267259622e-4,0.011054372093511584,3.183828828607466e-4,10697,crdd,0,50,15,1,0,5,female_crdd,northeast
19,female,8.641050666441236e-6,8.018389267259622e-4,0.011054372093511584,3.183828828607466e-4,10697,crdd,0,50,15,1,0,5,female_crdd,northeast
20,female,1.2677198835037782e-5,9.404607030854614e-4,0.012764174338561007,5.9882785589707e-4,12578,crdd,0,50,20,1,0,5,female_crdd,northeast
21,female,1.2677198835037782e-5,9.404607030854614e-4,0.012764174338561007,5.9882785589707e-4,12578,crdd,0,50,20,1,0,5,female_crdd,northeast
22,female,1.2677198835037782e-5,9.404607030854614e-4,0.012764174338561007,5.9882785589707e-4,12578,crdd,0,50,20,1,0,5,female_crdd,northeast
23,female,1.2677198835037782e-5,9.404607030854614e-4,0.012764174338561007,5.9882785589707e-4,12578,crdd,0,50,20,1,0,5,female_crdd,northeast
24,female,1.2677198835037782e-5,9.404607030854614e-4,0.012764174338561007,5.9882785589707e-4,12578,crdd,0,50,20,1,0,5,female_crdd,northeast
25,female,2.8620567315976583e-5,0.001462654380154514,0.022064700144083495,0.0010930917950106097,13691,crdd,0,50,25,1,0,5,female_crdd,northeast
26,female,2.8620567315976583e-5,0.001462654380154514,0.022064700144083495,0.0010930917950106097,13691,crdd,0,50,25,1,0,5,female_crdd,northeast
27,female,2.8620567315976583e-5,0.001462654380154514,0.022064700144083495,0.0010930917950106097,13691,crdd,0,50,25,1,0,5,female_crdd,northeast
28,female,2.8620567315976583e-5,0.001462654380154514,0.022064700144083495,0.0010930917950106097,13691,crdd,0,50,25,1,0,5,female_crdd,northeast
29,female,2.8620567315976583e-5,0.001462654380154514,0.022064700144083495,0.0010930917950106097,13691,crdd,0,50,25,1,0,5,female_crdd,northeast
30,female,6.572313683443889e-5,0.0017475466703515624,0.026743807212620846,0.0019457556606254076,12871,crdd,0,50,30,1,1,5,female_crdd,northeast
31,female,6.572313683443889e-5,0.0017475466703515624,0.026743807212620846,0.0019457556606254076,12871,crdd,0,50,30,1,1,5,female_crdd,northeast
32,female,6.572313683443889e-5,0.0017475466703515624,0.026743807212620846,0.0019457556606254076,12871,crdd,0,50,30,1,1,5,female_crdd,northeast
33,female,6.572313683443889e-5,0.0017475466703515624,0.026743807212620846,0.0019457556606254076,12871,crdd,0,50,30,1,1,5,female_crdd,northeast
34,female,6.572313683443889e-5,0.0017475466703515624,0.026743807212620846,0.0019457556606254076,12871,crdd,0,50,30,1,1,5,female_crdd,northeast
35,female,9.562228193910984e-5,0.0017499834133688106,0.026635941781168532,0.003159118433546217,12119,crdd,0,50,35,1,1,5,female_crdd,northeast
36,female,9.562228193910984e-5,0.0017499834133688106,0.026635941781168532,0.003159118433546217,12119,crdd,0,50,35,1,1,5,female_crdd,northeast
37,female,9.562228193910984e-5,0.0017499834133688106,0.026635941781168532,0.003159118433546217,12119,crdd,0,50,35,1,1,5,female_crdd,northeast
38,female,9.562228193910984e-5,0.0017499834133688106,0.026635941781168532,0.003159118433546217,12119,crdd,0,50,35,1,1,5,female_crdd,northeast
39,female,9.562228193910984e-5,0.0017499834133688106,0.026635941781168532,0.003159118433546217,12119,crdd,0,50,35,1,1,5,female_crdd,northeast
40,female,1.5228657970524042e-4,0.002808619592017213,0.05615710216023859,0.006461082974775996,11629,crdd,0,50,40,3,2,5,female_crdd,northeast
41,female,1.5228657970524042e-4,0.002808619592017213,0.05615710216023859,0.006461082974775996,11629,crdd,0,50,40,3,2,5,female_crdd,northeast
42,female,1.5228657970524042e-4,0.002808619592017213,0.05615710216023859,0.006461082974775996,11629,crdd,0,50,40,3,2,5,female_crdd,northeast
43,female,1.5228657970524042e-4,0.002808619592017213,0.05615710216023859,0.006461082974775996,11629,crdd,0,50,40,3,2,5,female_crdd,northeast
44,female,1.5228657970524042e-4,0.002808619592017213,0.05615710216023859,0.006461082974775996,11629,crdd,0,50,40,3,2,5,female_crdd,northeast
45,female,3.1413475447992524e-4,0.0035990995782010818,0.07207275461512196,0.008026054238360092,13839,crdd,0,50,45,4,4,5,female_crdd,northeast
46,female,3.1413475447992524e-4,0.0035990995782010818,0.07207275461512196,0.008026054238360092,13839,crdd,0,50,45,4,4,5,female_crdd,northeast
47,female,3.1413475447992524e-4,0.0035990995782010818,0.07207275461512196,0.008026054238360092,13839,crdd,0,50,45,4,4,5,female_crdd,northeast
48,female,3.1413475447992524e-4,0.0035990995782010818,0.07207275461512196,0.008026054238360092,13839,crdd,0,50,45,4,4,5,female_crdd,northeast
49,female,3.1413475447992524e-4,0.0035990995782010818,0.07207275461512196,0.008026054238360092,13839,crdd,0,50,45,4,4,5,female_crdd,northeast
50,female,4.062063019273811e-4,0.004538763551916293,0.08834367546569084,0.010925122414793006,14775,crdd,0,50,50,4,6,5,female_crdd,northeast
51,female,4.062063019273811e-4,0.004538763551916293,0.08834367546569084,0.010925122414793006,14775,crdd,0,50,50,4,6,5,female_crdd,northeast
52,female,4.062063019273811e-4,0.004538763551916293,0.08834367546569084,0.010925122414793006,14775,crdd,0,50,50,4,6,5,female_crdd,northeast
53,female,4.062063019273811e-4,0.004538763551916293,0.08834367546569084,0.010925122414793006,14775,crdd,0,50,50,4,6,5,female_crdd,northeast
54,female,4.062063019273811e-4,0.004538763551916293,0.08834367546569084,0.010925122414793006,14775,crdd,0,50,50,4,6,5,female_crdd,northeast
55,female,7.367917199153449e-4,0.00626867178174354,0.1186662864633917,0.01615677596445294,13970,crdd,0,50,55,6,10,5,female_crdd,northeast
56,female,7.367917199153449e-4,0.00626867178174354,0.1186662864633917,0.01615677596445294,13970,crdd,0,50,55,6,10,5,female_crdd,northeast
57,female,7.367917199153449e-4,0.00626867178174354,0.1186662864633917,0.01615677596445294,13970,crdd,0,50,55,6,10,5,female_crdd,northeast
58,female,7.367917199153449e-4,0.00626867178174354,0.1186662864633917,0.01615677596445294,13970,crdd,0,50,55,6,10,5,female_crdd,northeast
59,female,7.367917199153449e-4,0.00626867178174354,0.1186662864633917,0.01615677596445294,13970,crdd,0,50,55,6,10,5,female_crdd,northeast
60,female,0.0013133673636864813,0.008943599503945677,0.16655663888732075,0.026025714134470447,12225,crdd,0,50,60,8,16,5,female_crdd,northeast
61,female,0.0013133673636864813,0.008943599503945677,0.16655663888732075,0.026025714134470447,12225,crdd,0,50,60,8,16,5,female_crdd,northeast
62,female,0.0013133673636864813,0.008943599503945677,0.16655663888732075,0.026025714134470447,12225,crdd,0,50,60,8,16,5,female_crdd,northeast
63,female,0.0013133673636864813,0.008943599503945677,0.16655663888732075,0.026025714134470447,12225,crdd,0,50,60,8,16,5,female_crdd,northeast
64,female,0.0013133673636864813,0.008943599503945677,0.16655663888732075,0.026025714134470447,12225,crdd,0,50,60,8,16,5,female_crdd,northeast
65,female,0.002110271867981637,0.012477104700655807,0.23530739275916399,0.043317599862902734,12222,crdd,0,50,65,12,26,5,female_crdd,northeast
66,female,0.002110271867981637,0.012477104700655807,0.23530739275916399,0.043317599862902734,12222,crdd,0,50,65,12,26,5,female_crdd,northeast
67,female,0.002110271867981637,0.012477104700655807,0.23530739275916399,0.043317599862902734,12222,crdd,0,50,65,12,26,5,female_crdd,northeast
68,female,0.002110271867981637,0.012477104700655807,0.23530739275916399,0.043317599862902734,12222,crdd,0,50,65,12,26,5,female_crdd,northeast
69,female,0.002110271867981637,0.012477104700655807,0.23530739275916399,0.043317599862902734,12222,crdd,0,50,65,12,26,5,female_crdd,northeast
70,female,0.0043220921843844275,0.01755472093237318,0.3163229091731271,0.06600208417202856,9956,crdd,0,50,70,16,43,5,female_crdd,northeast
71,female,0.0043220921843844275,0.01755472093237318,0.3163229091731271,0.06600208417202856,9956,crdd,0,50,70,16,43,5,female_crdd,northeast
72,female,0.0043220921843844275,0.01755472093237318,0.3163229091731271,0.06600208417202856,9956,crdd,0,50,70,16,43,5,female_crdd,northeast
73,female,0.0043220921843844275,0.01755472093237318,0.3163229091731271,0.06600208417202856,9956,crdd,0,50,70,16,43,5,female_crdd,northeast
74,female,0.0043220921843844275,0.01755472093237318,0.3163229091731271,0.06600208417202856,9956,crdd,0,50,70,16,43,5,female_crdd,northeast
75,female,0.008549995750602049,0.024644961711823486,0.4027384364055053,0.09305385743924108,7729,crdd,0,50,75,20,66,5,female_crdd,northeast
76,female,0.008549995750602049,0.024644961711823486,0.4027384364055053,0.09305385743924108,7729,crdd,0,50,75,20,66,5,female_crdd,northeast
77,female,0.008549995750602049,0.024644961711823486,0.4027384364055053,0.09305385743924108,7729,crdd,0,50,75,20,66,5,female_crdd,northeast
78,female,0.008549995750602049,0.024644961711823486,0.4027384364055053,0.09305385743924108,7729,crdd,0,50,75,20,66,5,female_crdd,northeast
79,female,0.008549995750602049,0.024644961711823486,0.4027384364055053,0.09305385743924108,7729,crdd,0,50,75,20,66,5,female_crdd,northeast
80,female,0.01749386815306607,0.03174470606665839,0.46190131704524984,0.12485213826059258,5937,crdd,0,20,80,9,103,5,female_crdd,northeast
81,female,0.01749386815306607,0.03174470606665839,0.46190131704524984,0.12485213826059258,5937,crdd,0,20,80,9,103,5,female_crdd,northeast
