age,sex,mort,ylds (years lived with disability)_rate_dmt2,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,10402,dmt2,0,10,0,0,0,5,female_dmt2,northeast
1,female,0,0,0,1e-8,10402,dmt2,0,10,0,0,0,5,female_dmt2,northeast
2,female,0,0,0,1e-8,10402,dmt2,0,10,0,0,0,5,female_dmt2,northeast
3,female,0,0,0,1e-8,10402,dmt2,0,10,0,0,0,5,female_dmt2,northeast
4,female,0,0,0,1e-8,10402,dmt2,0,10,0,0,0,5,female_dmt2,northeast
5,female,0,0,0,1e-8,10982,dmt2,0,10,5,0,0,5,female_dmt2,northeast
6,female,0,0,0,1e-8,10982,dmt2,0,10,5,0,0,5,female_dmt2,northeast
7,female,0,0,0,1e-8,10982,dmt2,0,10,5,0,0,5,female_dmt2,northeast
8,female,0,0,0,1e-8,10982,dmt2,0,10,5,0,0,5,female_dmt2,northeast
9,female,0,0,0,1e-8,10982,dmt2,0,10,5,0,0,5,female_dmt2,northeast
10,female,0,2.544172099754875e-4,0.005112767716820726,0.002358165108752543,10229,dmt2,0,50,10,0,0,5,female_dmt2,northeast
11,female,0,2.544172099754875e-4,0.005112767716820726,0.002358165108752543,10229,dmt2,0,50,10,0,0,5,female_dmt2,northeast
12,female,0,2.544172099754875e-4,0.005112767716820726,0.002358165108752543,10229,dmt2,0,50,10,0,0,5,female_dmt2,northeast
13,female,0,2.544172099754875e-4,0.005112767716820726,0.002358165108752543,10229,dmt2,0,50,10,0,0,5,female_dmt2,northeast
14,female,0,2.544172099754875e-4,0.005112767716820726,0.002358165108752543,10229,dmt2,0,50,10,0,0,5,female_dmt2,northeast
15,female,1.1835127753423424e-7,0.0012631154568283434,0.024195758979065476,0.004169036927702028,10697,dmt2,0,50,15,1,0,5,female_dmt2,northeast
16,female,1.1835127753423424e-7,0.0012631154568283434,0.024195758979065476,0.004169036927702028,10697,dmt2,0,50,15,1,0,5,female_dmt2,northeast
17,female,1.1835127753423424e-7,0.0012631154568283434,0.024195758979065476,0.004169036927702028,10697,dmt2,0,50,15,1,0,5,female_dmt2,northeast
18,female,1.1835127753423424e-7,0.0012631154568283434,0.024195758979065476,0.004169036927702028,10697,dmt2,0,50,15,1,0,5,female_dmt2,northeast
19,female,1.1835127753423424e-7,0.0012631154568283434,0.024195758979065476,0.004169036927702028,10697,dmt2,0,50,15,1,0,5,female_dmt2,northeast
20,female,1.150505401473824e-7,0.0022828211748769987,0.041255218613860486,0.002879702888384499,12578,dmt2,0,50,20,2,0,5,female_dmt2,northeast
21,female,1.150505401473824e-7,0.0022828211748769987,0.041255218613860486,0.002879702888384499,12578,dmt2,0,50,20,2,0,5,female_dmt2,northeast
22,female,1.150505401473824e-7,0.0022828211748769987,0.041255218613860486,0.002879702888384499,12578,dmt2,0,50,20,2,0,5,female_dmt2,northeast
23,female,1.150505401473824e-7,0.0022828211748769987,0.041255218613860486,0.002879702888384499,12578,dmt2,0,50,20,2,0,5,female_dmt2,northeast
24,female,1.150505401473824e-7,0.0022828211748769987,0.041255218613860486,0.002879702888384499,12578,dmt2,0,50,20,2,0,5,female_dmt2,northeast
25,female,3.0330626071691235e-7,0.0029152533081220383,0.05016176503677176,0.0013006393104046065,13691,dmt2,0,50,25,3,0,5,female_dmt2,northeast
26,female,3.0330626071691235e-7,0.0029152533081220383,0.05016176503677176,0.0013006393104046065,13691,dmt2,0,50,25,3,0,5,female_dmt2,northeast
27,female,3.0330626071691235e-7,0.0029152533081220383,0.05016176503677176,0.0013006393104046065,13691,dmt2,0,50,25,3,0,5,female_dmt2,northeast
28,female,3.0330626071691235e-7,0.0029152533081220383,0.05016176503677176,0.0013006393104046065,13691,dmt2,0,50,25,3,0,5,female_dmt2,northeast
29,female,3.0330626071691235e-7,0.0029152533081220383,0.05016176503677176,0.0013006393104046065,13691,dmt2,0,50,25,3,0,5,female_dmt2,northeast
30,female,1.1058108641407388e-6,0.0032833129096984355,0.053959325040640375,0.001158470217400866,12871,dmt2,0,50,30,3,0,5,female_dmt2,northeast
31,female,1.1058108641407388e-6,0.0032833129096984355,0.053959325040640375,0.001158470217400866,12871,dmt2,0,50,30,3,0,5,female_dmt2,northeast
32,female,1.1058108641407388e-6,0.0032833129096984355,0.053959325040640375,0.001158470217400866,12871,dmt2,0,50,30,3,0,5,female_dmt2,northeast
33,female,1.1058108641407388e-6,0.0032833129096984355,0.053959325040640375,0.001158470217400866,12871,dmt2,0,50,30,3,0,5,female_dmt2,northeast
34,female,1.1058108641407388e-6,0.0032833129096984355,0.053959325040640375,0.001158470217400866,12871,dmt2,0,50,30,3,0,5,female_dmt2,northeast
35,female,1.4597521995888356e-6,0.003693682439629152,0.05858248558749441,0.0015848209963072752,12119,dmt2,0,50,35,3,0,5,female_dmt2,northeast
36,female,1.4597521995888356e-6,0.003693682439629152,0.05858248558749441,0.0015848209963072752,12119,dmt2,0,50,35,3,0,5,female_dmt2,northeast
37,female,1.4597521995888356e-6,0.003693682439629152,0.05858248558749441,0.0015848209963072752,12119,dmt2,0,50,35,3,0,5,female_dmt2,northeast
38,female,1.4597521995888356e-6,0.003693682439629152,0.05858248558749441,0.0015848209963072752,12119,dmt2,0,50,35,3,0,5,female_dmt2,northeast
39,female,1.4597521995888356e-6,0.003693682439629152,0.05858248558749441,0.0015848209963072752,12119,dmt2,0,50,35,3,0,5,female_dmt2,northeast
40,female,1.999697109382177e-6,0.004365944678915673,0.06707930847274221,0.00314533500796264,11629,dmt2,0,50,40,3,0,5,female_dmt2,northeast
41,female,1.999697109382177e-6,0.004365944678915673,0.06707930847274221,0.00314533500796264,11629,dmt2,0,50,40,3,0,5,female_dmt2,northeast
42,female,1.999697109382177e-6,0.004365944678915673,0.06707930847274221,0.00314533500796264,11629,dmt2,0,50,40,3,0,5,female_dmt2,northeast
43,female,1.999697109382177e-6,0.004365944678915673,0.06707930847274221,0.00314533500796264,11629,dmt2,0,50,40,3,0,5,female_dmt2,northeast
44,female,1.999697109382177e-6,0.004365944678915673,0.06707930847274221,0.00314533500796264,11629,dmt2,0,50,40,3,0,5,female_dmt2,northeast
45,female,8.974121479602572e-6,0.005837879269245676,0.08684707671777325,0.005745606520127931,13839,dmt2,0,50,45,4,0,5,female_dmt2,northeast
46,female,8.974121479602572e-6,0.005837879269245676,0.08684707671777325,0.005745606520127931,13839,dmt2,0,50,45,4,0,5,female_dmt2,northeast
47,female,8.974121479602572e-6,0.005837879269245676,0.08684707671777325,0.005745606520127931,13839,dmt2,0,50,45,4,0,5,female_dmt2,northeast
48,female,8.974121479602572e-6,0.005837879269245676,0.08684707671777325,0.005745606520127931,13839,dmt2,0,50,45,4,0,5,female_dmt2,northeast
49,female,8.974121479602572e-6,0.005837879269245676,0.08684707671777325,0.005745606520127931,13839,dmt2,0,50,45,4,0,5,female_dmt2,northeast
50,female,1.085067634340873e-5,0.00788615533728813,0.11640987837218933,0.0067551915342048035,14775,dmt2,0,50,50,6,0,5,female_dmt2,northeast
51,female,1.085067634340873e-5,0.00788615533728813,0.11640987837218933,0.0067551915342048035,14775,dmt2,0,50,50,6,0,5,female_dmt2,northeast
52,female,1.085067634340873e-5,0.00788615533728813,0.11640987837218933,0.0067551915342048035,14775,dmt2,0,50,50,6,0,5,female_dmt2,northeast
53,female,1.085067634340873e-5,0.00788615533728813,0.11640987837218933,0.0067551915342048035,14775,dmt2,0,50,50,6,0,5,female_dmt2,northeast
54,female,1.085067634340873e-5,0.00788615533728813,0.11640987837218933,0.0067551915342048035,14775,dmt2,0,50,50,6,0,5,female_dmt2,northeast
55,female,1.9554161495517147e-5,0.009699124366103163,0.1456845958751356,0.0063553764689220854,13970,dmt2,0,50,55,7,0,5,female_dmt2,northeast
56,female,1.9554161495517147e-5,0.009699124366103163,0.1456845958751356,0.0063553764689220854,13970,dmt2,0,50,55,7,0,5,female_dmt2,northeast
57,female,1.9554161495517147e-5,0.009699124366103163,0.1456845958751356,0.0063553764689220854,13970,dmt2,0,50,55,7,0,5,female_dmt2,northeast
58,female,1.9554161495517147e-5,0.009699124366103163,0.1456845958751356,0.0063553764689220854,13970,dmt2,0,50,55,7,0,5,female_dmt2,northeast
59,female,1.9554161495517147e-5,0.009699124366103163,0.1456845958751356,0.0063553764689220854,13970,dmt2,0,50,55,7,0,5,female_dmt2,northeast
60,female,3.70743057019403e-5,0.011265604012318823,0.1726884980580228,0.006240109928543163,12225,dmt2,0,50,60,9,0,5,female_dmt2,northeast
61,female,3.70743057019403e-5,0.011265604012318823,0.1726884980580228,0.006240109928543163,12225,dmt2,0,50,60,9,0,5,female_dmt2,northeast
62,female,3.70743057019403e-5,0.011265604012318823,0.1726884980580228,0.006240109928543163,12225,dmt2,0,50,60,9,0,5,female_dmt2,northeast
