age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,6.323941816191494e-7,2.642924609814158e-5,1.852725165979965e-4,6.661954825713187e-5,10402,iscs,0,10,0,0,0,5,female_iscs,northeast
1,female,6.323941816191494e-7,2.642924609814158e-5,1.852725165979965e-4,6.661954825713187e-5,10402,iscs,0,10,0,0,0,5,female_iscs,northeast
2,female,6.323941816191494e-7,2.642924609814158e-5,1.852725165979965e-4,6.661954825713187e-5,10402,iscs,0,10,0,0,0,5,female_iscs,northeast
3,female,6.323941816191494e-7,2.642924609814158e-5,1.852725165979965e-4,6.661954825713187e-5,10402,iscs,0,10,0,0,0,5,female_iscs,northeast
4,female,6.323941816191494e-7,2.642924609814158e-5,1.852725165979965e-4,6.661954825713187e-5,10402,iscs,0,10,0,0,0,5,female_iscs,northeast
5,female,7.234231566982334e-8,6.87751132250859e-5,4.888890652009183e-4,3.69073008087407e-5,10982,iscs,0,10,5,0,0,5,female_iscs,northeast
6,female,7.234231566982334e-8,6.87751132250859e-5,4.888890652009183e-4,3.69073008087407e-5,10982,iscs,0,10,5,0,0,5,female_iscs,northeast
7,female,7.234231566982334e-8,6.87751132250859e-5,4.888890652009183e-4,3.69073008087407e-5,10982,iscs,0,10,5,0,0,5,female_iscs,northeast
8,female,7.234231566982334e-8,6.87751132250859e-5,4.888890652009183e-4,3.69073008087407e-5,10982,iscs,0,10,5,0,0,5,female_iscs,northeast
9,female,7.234231566982334e-8,6.87751132250859e-5,4.888890652009183e-4,3.69073008087407e-5,10982,iscs,0,10,5,0,0,5,female_iscs,northeast
10,female,1.027399795280779e-7,1.0486776761619933e-4,7.464542034540543e-4,3.361528815702098e-5,10229,iscs,0,50,10,0,0,5,female_iscs,northeast
11,female,1.027399795280779e-7,1.0486776761619933e-4,7.464542034540543e-4,3.361528815702098e-5,10229,iscs,0,50,10,0,0,5,female_iscs,northeast
12,female,1.027399795280779e-7,1.0486776761619933e-4,7.464542034540543e-4,3.361528815702098e-5,10229,iscs,0,50,10,0,0,5,female_iscs,northeast
13,female,1.027399795280779e-7,1.0486776761619933e-4,7.464542034540543e-4,3.361528815702098e-5,10229,iscs,0,50,10,0,0,5,female_iscs,northeast
14,female,1.027399795280779e-7,1.0486776761619933e-4,7.464542034540543e-4,3.361528815702098e-5,10229,iscs,0,50,10,0,0,5,female_iscs,northeast
15,female,3.08903907907222e-7,1.3679371935764386e-4,9.903308003681992e-4,3.042654123935701e-5,10697,iscs,0,50,15,0,0,5,female_iscs,northeast
16,female,3.08903907907222e-7,1.3679371935764386e-4,9.903308003681992e-4,3.042654123935701e-5,10697,iscs,0,50,15,0,0,5,female_iscs,northeast
17,female,3.08903907907222e-7,1.3679371935764386e-4,9.903308003681992e-4,3.042654123935701e-5,10697,iscs,0,50,15,0,0,5,female_iscs,northeast
18,female,3.08903907907222e-7,1.3679371935764386e-4,9.903308003681992e-4,3.042654123935701e-5,10697,iscs,0,50,15,0,0,5,female_iscs,northeast
19,female,3.08903907907222e-7,1.3679371935764386e-4,9.903308003681992e-4,3.042654123935701e-5,10697,iscs,0,50,15,0,0,5,female_iscs,northeast
20,female,4.5642082028386363e-7,1.7207797441199613e-4,0.0012380173743168862,3.570754660312763e-5,12578,iscs,0,50,20,0,0,5,female_iscs,northeast
21,female,4.5642082028386363e-7,1.7207797441199613e-4,0.0012380173743168862,3.570754660312763e-5,12578,iscs,0,50,20,0,0,5,female_iscs,northeast
22,female,4.5642082028386363e-7,1.7207797441199613e-4,0.0012380173743168862,3.570754660312763e-5,12578,iscs,0,50,20,0,0,5,female_iscs,northeast
23,female,4.5642082028386363e-7,1.7207797441199613e-4,0.0012380173743168862,3.570754660312763e-5,12578,iscs,0,50,20,0,0,5,female_iscs,northeast
24,female,4.5642082028386363e-7,1.7207797441199613e-4,0.0012380173743168862,3.570754660312763e-5,12578,iscs,0,50,20,0,0,5,female_iscs,northeast
25,female,1.3088829650917616e-6,2.0462518978226358e-4,0.0015381606522908897,4.956444448929467e-5,13691,iscs,0,50,25,0,0,5,female_iscs,northeast
26,female,1.3088829650917616e-6,2.0462518978226358e-4,0.0015381606522908897,4.956444448929467e-5,13691,iscs,0,50,25,0,0,5,female_iscs,northeast
27,female,1.3088829650917616e-6,2.0462518978226358e-4,0.0015381606522908897,4.956444448929467e-5,13691,iscs,0,50,25,0,0,5,female_iscs,northeast
28,female,1.3088829650917616e-6,2.0462518978226358e-4,0.0015381606522908897,4.956444448929467e-5,13691,iscs,0,50,25,0,0,5,female_iscs,northeast
29,female,1.3088829650917616e-6,2.0462518978226358e-4,0.0015381606522908897,4.956444448929467e-5,13691,iscs,0,50,25,0,0,5,female_iscs,northeast
30,female,2.2953242952013635e-6,2.560966060120853e-4,0.0019548724561603953,8.735699819202244e-5,12871,iscs,0,50,30,0,0,5,female_iscs,northeast
31,female,2.2953242952013635e-6,2.560966060120853e-4,0.0019548724561603953,8.735699819202244e-5,12871,iscs,0,50,30,0,0,5,female_iscs,northeast
32,female,2.2953242952013635e-6,2.560966060120853e-4,0.0019548724561603953,8.735699819202244e-5,12871,iscs,0,50,30,0,0,5,female_iscs,northeast
33,female,2.2953242952013635e-6,2.560966060120853e-4,0.0019548724561603953,8.735699819202244e-5,12871,iscs,0,50,30,0,0,5,female_iscs,northeast
34,female,2.2953242952013635e-6,2.560966060120853e-4,0.0019548724561603953,8.735699819202244e-5,12871,iscs,0,50,30,0,0,5,female_iscs,northeast
35,female,2.7782151521976702e-6,3.5007851519769416e-4,0.002688734443576052,1.4882464045731623e-4,12119,iscs,0,50,35,0,0,5,female_iscs,northeast
36,female,2.7782151521976702e-6,3.5007851519769416e-4,0.002688734443576052,1.4882464045731623e-4,12119,iscs,0,50,35,0,0,5,female_iscs,northeast
37,female,2.7782151521976702e-6,3.5007851519769416e-4,0.002688734443576052,1.4882464045731623e-4,12119,iscs,0,50,35,0,0,5,female_iscs,northeast
38,female,2.7782151521976702e-6,3.5007851519769416e-4,0.002688734443576052,1.4882464045731623e-4,12119,iscs,0,50,35,0,0,5,female_iscs,northeast
39,female,2.7782151521976702e-6,3.5007851519769416e-4,0.002688734443576052,1.4882464045731623e-4,12119,iscs,0,50,35,0,0,5,female_iscs,northeast
40,female,4.250490229058043e-6,4.912481954584164e-4,0.003854176246833335,2.3890203757467578e-4,11629,iscs,0,50,40,0,0,5,female_iscs,northeast
41,female,4.250490229058043e-6,4.912481954584164e-4,0.003854176246833335,2.3890203757467578e-4,11629,iscs,0,50,40,0,0,5,female_iscs,northeast
42,female,4.250490229058043e-6,4.912481954584164e-4,0.003854176246833335,2.3890203757467578e-4,11629,iscs,0,50,40,0,0,5,female_iscs,northeast
