age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,10402,lvrc,0,10,0,0,0,5,female_lvrc,northeast
1,female,0,0,0,1e-8,10402,lvrc,0,10,0,0,0,5,female_lvrc,northeast
2,female,0,0,0,1e-8,10402,lvrc,0,10,0,0,0,5,female_lvrc,northeast
3,female,0,0,0,1e-8,10402,lvrc,0,10,0,0,0,5,female_lvrc,northeast
4,female,0,0,0,1e-8,10402,lvrc,0,10,0,0,0,5,female_lvrc,northeast
5,female,1.755546893687104e-7,8.55770067157027e-8,0,3.8247207198390045e-7,10982,lvrc,0,10,5,0,0,5,female_lvrc,northeast
6,female,1.755546893687104e-7,8.55770067157027e-8,0,3.8247207198390045e-7,10982,lvrc,0,10,5,0,0,5,female_lvrc,northeast
7,female,1.755546893687104e-7,8.55770067157027e-8,0,3.8247207198390045e-7,10982,lvrc,0,10,5,0,0,5,female_lvrc,northeast
8,female,1.755546893687104e-7,8.55770067157027e-8,0,3.8247207198390045e-7,10982,lvrc,0,10,5,0,0,5,female_lvrc,northeast
9,female,1.755546893687104e-7,8.55770067157027e-8,0,3.8247207198390045e-7,10982,lvrc,0,10,5,0,0,5,female_lvrc,northeast
10,female,3.2966173932498395e-7,1.4789759966074618e-7,0,6.485515446343643e-7,10229,lvrc,0,50,10,0,0,5,female_lvrc,northeast
11,female,3.2966173932498395e-7,1.4789759966074618e-7,0,6.485515446343643e-7,10229,lvrc,0,50,10,0,0,5,female_lvrc,northeast
12,female,3.2966173932498395e-7,1.4789759966074618e-7,0,6.485515446343643e-7,10229,lvrc,0,50,10,0,0,5,female_lvrc,northeast
13,female,3.2966173932498395e-7,1.4789759966074618e-7,0,6.485515446343643e-7,10229,lvrc,0,50,10,0,0,5,female_lvrc,northeast
14,female,3.2966173932498395e-7,1.4789759966074618e-7,0,6.485515446343643e-7,10229,lvrc,0,50,10,0,0,5,female_lvrc,northeast
