age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,10402,stmc,0,10,0,0,0,5,female_stmc,northeast
1,female,0,0,0,1e-8,10402,stmc,0,10,0,0,0,5,female_stmc,northeast
2,female,0,0,0,1e-8,10402,stmc,0,10,0,0,0,5,female_stmc,northeast
3,female,0,0,0,1e-8,10402,stmc,0,10,0,0,0,5,female_stmc,northeast
4,female,0,0,0,1e-8,10402,stmc,0,10,0,0,0,5,female_stmc,northeast
5,female,0,0,0,1e-8,10982,stmc,0,10,5,0,0,5,female_stmc,northeast
6,female,0,0,0,1e-8,10982,stmc,0,10,5,0,0,5,female_stmc,northeast
7,female,0,0,0,1e-8,10982,stmc,0,10,5,0,0,5,female_stmc,northeast
8,female,0,0,0,1e-8,10982,stmc,0,10,5,0,0,5,female_stmc,northeast
9,female,0,0,0,1e-8,10982,stmc,0,10,5,0,0,5,female_stmc,northeast
10,female,0,0,0,1e-8,10229,stmc,0,50,10,0,0,5,female_stmc,northeast
11,female,0,0,0,1e-8,10229,stmc,0,50,10,0,0,5,female_stmc,northeast
12,female,0,0,0,1e-8,10229,stmc,0,50,10,0,0,5,female_stmc,northeast
13,female,0,0,0,1e-8,10229,stmc,0,50,10,0,0,5,female_stmc,northeast
14,female,0,0,0,1e-8,10229,stmc,0,50,10,0,0,5,female_stmc,northeast
15,female,1.6891246752057274e-7,1.3041783044882785e-7,1.135494494514872e-6,3.897131011135273e-7,10697,stmc,0,50,15,0,0,5,female_stmc,northeast
16,female,1.6891246752057274e-7,1.3041783044882785e-7,1.135494494514872e-6,3.897131011135273e-7,10697,stmc,0,50,15,0,0,5,female_stmc,northeast
17,female,1.6891246752057274e-7,1.3041783044882785e-7,1.135494494514872e-6,3.897131011135273e-7,10697,stmc,0,50,15,0,0,5,female_stmc,northeast
18,female,1.6891246752057274e-7,1.3041783044882785e-7,1.135494494514872e-6,3.897131011135273e-7,10697,stmc,0,50,15,0,0,5,female_stmc,northeast
19,female,1.6891246752057274e-7,1.3041783044882785e-7,1.135494494514872e-6,3.897131011135273e-7,10697,stmc,0,50,15,0,0,5,female_stmc,northeast
20,female,4.035917422126012e-7,3.7436954030128613e-7,3.425544864073926e-6,1.077626458794138e-6,12578,stmc,0,50,20,0,0,5,female_stmc,northeast
21,female,4.035917422126012e-7,3.7436954030128613e-7,3.425544864073926e-6,1.077626458794138e-6,12578,stmc,0,50,20,0,0,5,female_stmc,northeast
22,female,4.035917422126012e-7,3.7436954030128613e-7,3.425544864073926e-6,1.077626458794138e-6,12578,stmc,0,50,20,0,0,5,female_stmc,northeast
23,female,4.035917422126012e-7,3.7436954030128613e-7,3.425544864073926e-6,1.077626458794138e-6,12578,stmc,0,50,20,0,0,5,female_stmc,northeast
24,female,4.035917422126012e-7,3.7436954030128613e-7,3.425544864073926e-6,1.077626458794138e-6,12578,stmc,0,50,20,0,0,5,female_stmc,northeast
25,female,2.2670175511578297e-6,2.3368747888351343e-6,2.172563519276275e-5,6.635928576979171e-6,13691,stmc,0,50,25,0,0,5,female_stmc,northeast
26,female,2.2670175511578297e-6,2.3368747888351343e-6,2.172563519276275e-5,6.635928576979171e-6,13691,stmc,0,50,25,0,0,5,female_stmc,northeast
27,female,2.2670175511578297e-6,2.3368747888351343e-6,2.172563519276275e-5,6.635928576979171e-6,13691,stmc,0,50,25,0,0,5,female_stmc,northeast
28,female,2.2670175511578297e-6,2.3368747888351343e-6,2.172563519276275e-5,6.635928576979171e-6,13691,stmc,0,50,25,0,0,5,female_stmc,northeast
29,female,2.2670175511578297e-6,2.3368747888351343e-6,2.172563519276275e-5,6.635928576979171e-6,13691,stmc,0,50,25,0,0,5,female_stmc,northeast
30,female,7.067234851151964e-6,7.1395121147239765e-6,6.696246188218843e-5,2.0125294079624623e-5,12871,stmc,0,50,30,0,0,5,female_stmc,northeast
31,female,7.067234851151964e-6,7.1395121147239765e-6,6.696246188218843e-5,2.0125294079624623e-5,12871,stmc,0,50,30,0,0,5,female_stmc,northeast
32,female,7.067234851151964e-6,7.1395121147239765e-6,6.696246188218843e-5,2.0125294079624623e-5,12871,stmc,0,50,30,0,0,5,female_stmc,northeast
33,female,7.067234851151964e-6,7.1395121147239765e-6,6.696246188218843e-5,2.0125294079624623e-5,12871,stmc,0,50,30,0,0,5,female_stmc,northeast
34,female,7.067234851151964e-6,7.1395121147239765e-6,6.696246188218843e-5,2.0125294079624623e-5,12871,stmc,0,50,30,0,0,5,female_stmc,northeast
35,female,1.0105525989804679e-5,7.794759582382837e-6,6.849886698339615e-5,2.3032670630951964e-5,12119,stmc,0,50,35,0,0,5,female_stmc,northeast
36,female,1.0105525989804679e-5,7.794759582382837e-6,6.849886698339615e-5,2.3032670630951964e-5,12119,stmc,0,50,35,0,0,5,female_stmc,northeast
37,female,1.0105525989804679e-5,7.794759582382837e-6,6.849886698339615e-5,2.3032670630951964e-5,12119,stmc,0,50,35,0,0,5,female_stmc,northeast
38,female,1.0105525989804679e-5,7.794759582382837e-6,6.849886698339615e-5,2.3032670630951964e-5,12119,stmc,0,50,35,0,0,5,female_stmc,northeast
39,female,1.0105525989804679e-5,7.794759582382837e-6,6.849886698339615e-5,2.3032670630951964e-5,12119,stmc,0,50,35,0,0,5,female_stmc,northeast
40,female,1.7203049991690134e-5,1.1193324939189311e-5,9.690850863595986e-5,3.384804893150634e-5,11629,stmc,0,50,40,0,0,5,female_stmc,northeast
41,female,1.7203049991690134e-5,1.1193324939189311e-5,9.690850863595986e-5,3.384804893150634e-5,11629,stmc,0,50,40,0,0,5,female_stmc,northeast
42,female,1.7203049991690134e-5,1.1193324939189311e-5,9.690850863595986e-5,3.384804893150634e-5,11629,stmc,0,50,40,0,0,5,female_stmc,northeast
43,female,1.7203049991690134e-5,1.1193324939189311e-5,9.690850863595986e-5,3.384804893150634e-5,11629,stmc,0,50,40,0,0,5,female_stmc,northeast
44,female,1.7203049991690134e-5,1.1193324939189311e-5,9.690850863595986e-5,3.384804893150634e-5,11629,stmc,0,50,40,0,0,5,female_stmc,northeast
45,female,2.9453687755650015e-5,1.8631739943975126e-5,1.65876311857175e-4,5.6960649801161924e-5,13839,stmc,0,50,45,0,0,5,female_stmc,northeast
46,female,2.9453687755650015e-5,1.8631739943975126e-5,1.65876311857175e-4,5.6960649801161924e-5,13839,stmc,0,50,45,0,0,5,female_stmc,northeast
47,female,2.9453687755650015e-5,1.8631739943975126e-5,1.65876311857175e-4,5.6960649801161924e-5,13839,stmc,0,50,45,0,0,5,female_stmc,northeast
48,female,2.9453687755650015e-5,1.8631739943975126e-5,1.65876311857175e-4,5.6960649801161924e-5,13839,stmc,0,50,45,0,0,5,female_stmc,northeast
49,female,2.9453687755650015e-5,1.8631739943975126e-5,1.65876311857175e-4,5.6960649801161924e-5,13839,stmc,0,50,45,0,0,5,female_stmc,northeast
50,female,3.89112275040867e-5,2.3304861696414915e-5,2.0218704743734026e-4,7.16215475032434e-5,14775,stmc,0,50,50,0,1,5,female_stmc,northeast
