age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,11031,carc,0,10,0,0,0,5,male_carc,northeast
1,male,0,0,0,1e-8,11031,carc,0,10,0,0,0,5,male_carc,northeast
2,male,0,0,0,1e-8,11031,carc,0,10,0,0,0,5,male_carc,northeast
3,male,0,0,0,1e-8,11031,carc,0,10,0,0,0,5,male_carc,northeast
4,male,0,0,0,1e-8,11031,carc,0,10,0,0,0,5,male_carc,northeast
5,male,0,0,0,1e-8,11606,carc,0,10,5,0,0,5,male_carc,northeast
6,male,0,0,0,1e-8,11606,carc,0,10,5,0,0,5,male_carc,northeast
7,male,0,0,0,1e-8,11606,carc,0,10,5,0,0,5,male_carc,northeast
8,male,0,0,0,1e-8,11606,carc,0,10,5,0,0,5,male_carc,northeast
9,male,0,0,0,1e-8,11606,carc,0,10,5,0,0,5,male_carc,northeast
10,male,0,0,0,1e-8,10759,carc,0,50,10,0,0,5,male_carc,northeast
11,male,0,0,0,1e-8,10759,carc,0,50,10,0,0,5,male_carc,northeast
12,male,0,0,0,1e-8,10759,carc,0,50,10,0,0,5,male_carc,northeast
13,male,0,0,0,1e-8,10759,carc,0,50,10,0,0,5,male_carc,northeast
14,male,0,0,0,1e-8,10759,carc,0,50,10,0,0,5,male_carc,northeast
15,male,4.930018548654979e-7,1.7488903806708045e-6,1.5642251516281825e-5,2.2654032840191052e-6,11180,carc,0,50,15,0,0,5,male_carc,northeast
16,male,4.930018548654979e-7,1.7488903806708045e-6,1.5642251516281825e-5,2.2654032840191052e-6,11180,carc,0,50,15,0,0,5,male_carc,northeast
17,male,4.930018548654979e-7,1.7488903806708045e-6,1.5642251516281825e-5,2.2654032840191052e-6,11180,carc,0,50,15,0,0,5,male_carc,northeast
18,male,4.930018548654979e-7,1.7488903806708045e-6,1.5642251516281825e-5,2.2654032840191052e-6,11180,carc,0,50,15,0,0,5,male_carc,northeast
19,male,4.930018548654979e-7,1.7488903806708045e-6,1.5642251516281825e-5,2.2654032840191052e-6,11180,carc,0,50,15,0,0,5,male_carc,northeast
20,male,1.911259453977639e-6,7.750760303986324e-6,7.20879394936158e-5,1.023852162501056e-5,13061,carc,0,50,20,0,0,5,male_carc,northeast
21,male,1.911259453977639e-6,7.750760303986324e-6,7.20879394936158e-5,1.023852162501056e-5,13061,carc,0,50,20,0,0,5,male_carc,northeast
22,male,1.911259453977639e-6,7.750760303986324e-6,7.20879394936158e-5,1.023852162501056e-5,13061,carc,0,50,20,0,0,5,male_carc,northeast
23,male,1.911259453977639e-6,7.750760303986324e-6,7.20879394936158e-5,1.023852162501056e-5,13061,carc,0,50,20,0,0,5,male_carc,northeast
24,male,1.911259453977639e-6,7.750760303986324e-6,7.20879394936158e-5,1.023852162501056e-5,13061,carc,0,50,20,0,0,5,male_carc,northeast
25,male,5.560625765117284e-6,2.259235388256464e-5,2.240850197755627e-4,3.185194811629612e-5,14017,carc,0,50,25,0,0,5,male_carc,northeast
26,male,5.560625765117284e-6,2.259235388256464e-5,2.240850197755627e-4,3.185194811629612e-5,14017,carc,0,50,25,0,0,5,male_carc,northeast
27,male,5.560625765117284e-6,2.259235388256464e-5,2.240850197755627e-4,3.185194811629612e-5,14017,carc,0,50,25,0,0,5,male_carc,northeast
28,male,5.560625765117284e-6,2.259235388256464e-5,2.240850197755627e-4,3.185194811629612e-5,14017,carc,0,50,25,0,0,5,male_carc,northeast
29,male,5.560625765117284e-6,2.259235388256464e-5,2.240850197755627e-4,3.185194811629612e-5,14017,carc,0,50,25,0,0,5,male_carc,northeast
30,male,1.7914844385767305e-5,6.484823665398661e-5,6.877494778967249e-4,9.906723232268292e-5,12938,carc,0,50,30,0,0,5,male_carc,northeast
31,male,1.7914844385767305e-5,6.484823665398661e-5,6.877494778967249e-4,9.906723232268292e-5,12938,carc,0,50,30,0,0,5,male_carc,northeast
32,male,1.7914844385767305e-5,6.484823665398661e-5,6.877494778967249e-4,9.906723232268292e-5,12938,carc,0,50,30,0,0,5,male_carc,northeast
33,male,1.7914844385767305e-5,6.484823665398661e-5,6.877494778967249e-4,9.906723232268292e-5,12938,carc,0,50,30,0,0,5,male_carc,northeast
34,male,1.7914844385767305e-5,6.484823665398661e-5,6.877494778967249e-4,9.906723232268292e-5,12938,carc,0,50,30,0,0,5,male_carc,northeast
35,male,3.0319875973912187e-5,9.78679421063316e-5,0.0010730935538592191,1.5375654477974512e-4,12403,carc,0,50,35,0,0,5,male_carc,northeast
36,male,3.0319875973912187e-5,9.78679421063316e-5,0.0010730935538592191,1.5375654477974512e-4,12403,carc,0,50,35,0,0,5,male_carc,northeast
37,male,3.0319875973912187e-5,9.78679421063316e-5,0.0010730935538592191,1.5375654477974512e-4,12403,carc,0,50,35,0,0,5,male_carc,northeast
38,male,3.0319875973912187e-5,9.78679421063316e-5,0.0010730935538592191,1.5375654477974512e-4,12403,carc,0,50,35,0,0,5,male_carc,northeast
39,male,3.0319875973912187e-5,9.78679421063316e-5,0.0010730935538592191,1.5375654477974512e-4,12403,carc,0,50,35,0,0,5,male_carc,northeast
40,male,4.8037110097003035e-5,1.3832094863502464e-4,0.0015546159333138356,2.2217753603917916e-4,11467,carc,0,50,40,0,1,5,male_carc,northeast
41,male,4.8037110097003035e-5,1.3832094863502464e-4,0.0015546159333138356,2.2217753603917916e-4,11467,carc,0,50,40,0,1,5,male_carc,northeast
42,male,4.8037110097003035e-5,1.3832094863502464e-4,0.0015546159333138356,2.2217753603917916e-4,11467,carc,0,50,40,0,1,5,male_carc,northeast
43,male,4.8037110097003035e-5,1.3832094863502464e-4,0.0015546159333138356,2.2217753603917916e-4,11467,carc,0,50,40,0,1,5,male_carc,northeast
44,male,4.8037110097003035e-5,1.3832094863502464e-4,0.0015546159333138356,2.2217753603917916e-4,11467,carc,0,50,40,0,1,5,male_carc,northeast
45,male,8.333552911348302e-5,1.8416901943853106e-4,0.0020810586648904654,3.0743558178342466e-4,13367,carc,0,50,45,0,1,5,male_carc,northeast
46,male,8.333552911348302e-5,1.8416901943853106e-4,0.0020810586648904654,3.0743558178342466e-4,13367,carc,0,50,45,0,1,5,male_carc,northeast
