age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,11031,ishd,0,10,0,0,0,5,male_ishd,northeast
1,male,0,0,0,1e-8,11031,ishd,0,10,0,0,0,5,male_ishd,northeast
2,male,0,0,0,1e-8,11031,ishd,0,10,0,0,0,5,male_ishd,northeast
3,male,0,0,0,1e-8,11031,ishd,0,10,0,0,0,5,male_ishd,northeast
4,male,0,0,0,1e-8,11031,ishd,0,10,0,0,0,5,male_ishd,northeast
5,male,0,0,0,1e-8,11606,ishd,0,10,5,0,0,5,male_ishd,northeast
6,male,0,0,0,1e-8,11606,ishd,0,10,5,0,0,5,male_ishd,northeast
7,male,0,0,0,1e-8,11606,ishd,0,10,5,0,0,5,male_ishd,northeast
8,male,0,0,0,1e-8,11606,ishd,0,10,5,0,0,5,male_ishd,northeast
9,male,0,0,0,1e-8,11606,ishd,0,10,5,0,0,5,male_ishd,northeast
10,male,0,0,0,1e-8,10759,ishd,0,50,10,0,0,5,male_ishd,northeast
11,male,0,0,0,1e-8,10759,ishd,0,50,10,0,0,5,male_ishd,northeast
12,male,0,0,0,1e-8,10759,ishd,0,50,10,0,0,5,male_ishd,northeast
13,male,0,0,0,1e-8,10759,ishd,0,50,10,0,0,5,male_ishd,northeast
14,male,0,0,0,1e-8,10759,ishd,0,50,10,0,0,5,male_ishd,northeast
15,male,1.2810888064058136e-6,5.327120494352071e-6,1.3366443875602687e-4,2.249096368501945e-5,11180,ishd,0,50,15,0,0,5,male_ishd,northeast
16,male,1.2810888064058136e-6,5.327120494352071e-6,1.3366443875602687e-4,2.249096368501945e-5,11180,ishd,0,50,15,0,0,5,male_ishd,northeast
17,male,1.2810888064058136e-6,5.327120494352071e-6,1.3366443875602687e-4,2.249096368501945e-5,11180,ishd,0,50,15,0,0,5,male_ishd,northeast
18,male,1.2810888064058136e-6,5.327120494352071e-6,1.3366443875602687e-4,2.249096368501945e-5,11180,ishd,0,50,15,0,0,5,male_ishd,northeast
19,male,1.2810888064058136e-6,5.327120494352071e-6,1.3366443875602687e-4,2.249096368501945e-5,11180,ishd,0,50,15,0,0,5,male_ishd,northeast
20,male,4.8943871191433e-6,2.193749399499966e-5,4.4942153820243106e-4,6.766325863421596e-5,13061,ishd,0,50,20,0,0,5,male_ishd,northeast
21,male,4.8943871191433e-6,2.193749399499966e-5,4.4942153820243106e-4,6.766325863421596e-5,13061,ishd,0,50,20,0,0,5,male_ishd,northeast
22,male,4.8943871191433e-6,2.193749399499966e-5,4.4942153820243106e-4,6.766325863421596e-5,13061,ishd,0,50,20,0,0,5,male_ishd,northeast
23,male,4.8943871191433e-6,2.193749399499966e-5,4.4942153820243106e-4,6.766325863421596e-5,13061,ishd,0,50,20,0,0,5,male_ishd,northeast
24,male,4.8943871191433e-6,2.193749399499966e-5,4.4942153820243106e-4,6.766325863421596e-5,13061,ishd,0,50,20,0,0,5,male_ishd,northeast
25,male,1.648724432977899e-5,4.730360546542729e-5,0.0010472895812272246,1.1327358497953286e-4,14017,ishd,0,50,25,0,0,5,male_ishd,northeast
26,male,1.648724432977899e-5,4.730360546542729e-5,0.0010472895812272246,1.1327358497953286e-4,14017,ishd,0,50,25,0,0,5,male_ishd,northeast
27,male,1.648724432977899e-5,4.730360546542729e-5,0.0010472895812272246,1.1327358497953286e-4,14017,ishd,0,50,25,0,0,5,male_ishd,northeast
28,male,1.648724432977899e-5,4.730360546542729e-5,0.0010472895812272246,1.1327358497953286e-4,14017,ishd,0,50,25,0,0,5,male_ishd,northeast
