age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,11031,stmc,0,10,0,0,0,5,male_stmc,northeast
1,male,0,0,0,1e-8,11031,stmc,0,10,0,0,0,5,male_stmc,northeast
2,male,0,0,0,1e-8,11031,stmc,0,10,0,0,0,5,male_stmc,northeast
3,male,0,0,0,1e-8,11031,stmc,0,10,0,0,0,5,male_stmc,northeast
4,male,0,0,0,1e-8,11031,stmc,0,10,0,0,0,5,male_stmc,northeast
5,male,0,0,0,1e-8,11606,stmc,0,10,5,0,0,5,male_stmc,northeast
6,male,0,0,0,1e-8,11606,stmc,0,10,5,0,0,5,male_stmc,northeast
7,male,0,0,0,1e-8,11606,stmc,0,10,5,0,0,5,male_stmc,northeast
8,male,0,0,0,1e-8,11606,stmc,0,10,5,0,0,5,male_stmc,northeast
9,male,0,0,0,1e-8,11606,stmc,0,10,5,0,0,5,male_stmc,northeast
10,male,0,0,0,1e-8,10759,stmc,0,50,10,0,0,5,male_stmc,northeast
11,male,0,0,0,1e-8,10759,stmc,0,50,10,0,0,5,male_stmc,northeast
12,male,0,0,0,1e-8,10759,stmc,0,50,10,0,0,5,male_stmc,northeast
13,male,0,0,0,1e-8,10759,stmc,0,50,10,0,0,5,male_stmc,northeast
14,male,0,0,0,1e-8,10759,stmc,0,50,10,0,0,5,male_stmc,northeast
15,male,2.289584137658419e-7,3.5103256143897817e-7,3.4748693432488547e-6,8.826156069248416e-7,11180,stmc,0,50,15,0,0,5,male_stmc,northeast
16,male,2.289584137658419e-7,3.5103256143897817e-7,3.4748693432488547e-6,8.826156069248416e-7,11180,stmc,0,50,15,0,0,5,male_stmc,northeast
17,male,2.289584137658419e-7,3.5103256143897817e-7,3.4748693432488547e-6,8.826156069248416e-7,11180,stmc,0,50,15,0,0,5,male_stmc,northeast
18,male,2.289584137658419e-7,3.5103256143897817e-7,3.4748693432488547e-6,8.826156069248416e-7,11180,stmc,0,50,15,0,0,5,male_stmc,northeast
19,male,2.289584137658419e-7,3.5103256143897817e-7,3.4748693432488547e-6,8.826156069248416e-7,11180,stmc,0,50,15,0,0,5,male_stmc,northeast
20,male,6.719252265182605e-7,1.0674309568952691e-6,1.0753161350405334e-5,2.636268501202832e-6,13061,stmc,0,50,20,0,0,5,male_stmc,northeast
