age,sex,mort,ylds (years lived with disability)_rate_strk,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,1.8505592124053745e-6,2.5599099727874647e-5,0,7.932756306280169e-5,11031,strk,0,10,0,0,0,5,male_strk,northeast
1,male,1.8505592124053745e-6,2.5599099727874647e-5,0,7.932756306280169e-5,11031,strk,0,10,0,0,0,5,male_strk,northeast
2,male,1.8505592124053745e-6,2.5599099727874647e-5,0,7.932756306280169e-5,11031,strk,0,10,0,0,0,5,male_strk,northeast
3,male,1.8505592124053745e-6,2.5599099727874647e-5,0,7.932756306280169e-5,11031,strk,0,10,0,0,0,5,male_strk,northeast
4,male,1.8505592124053745e-6,2.5599099727874647e-5,0,7.932756306280169e-5,11031,strk,0,10,0,0,0,5,male_strk,northeast
5,male,3.647330523959386e-7,6.730208158480064e-5,2.782595579941686e-4,5.369991578222628e-5,11606,strk,0,10,5,0,0,5,male_strk,northeast
6,male,3.647330523959386e-7,6.730208158480064e-5,2.782595579941686e-4,5.369991578222628e-5,11606,strk,0,10,5,0,0,5,male_strk,northeast
7,male,3.647330523959386e-7,6.730208158480064e-5,2.782595579941686e-4,5.369991578222628e-5,11606,strk,0,10,5,0,0,5,male_strk,northeast
8,male,3.647330523959386e-7,6.730208158480064e-5,2.782595579941686e-4,5.369991578222628e-5,11606,strk,0,10,5,0,0,5,male_strk,northeast
9,male,3.647330523959386e-7,6.730208158480064e-5,2.782595579941686e-4,5.369991578222628e-5,11606,strk,0,10,5,0,0,5,male_strk,northeast
10,male,1.4142751349807568e-6,1.0647137865665387e-4,4.141051559414007e-4,4.990992962762082e-5,10759,strk,0,50,10,0,0,5,male_strk,northeast
11,male,1.4142751349807568e-6,1.0647137865665387e-4,4.141051559414007e-4,4.990992962762082e-5,10759,strk,0,50,10,0,0,5,male_strk,northeast
12,male,1.4142751349807568e-6,1.0647137865665387e-4,4.141051559414007e-4,4.990992962762082e-5,10759,strk,0,50,10,0,0,5,male_strk,northeast
13,male,1.4142751349807568e-6,1.0647137865665387e-4,4.141051559414007e-4,4.990992962762082e-5,10759,strk,0,50,10,0,0,5,male_strk,northeast
14,male,1.4142751349807568e-6,1.0647137865665387e-4,4.141051559414007e-4,4.990992962762082e-5,10759,strk,0,50,10,0,0,5,male_strk,northeast
15,male,3.938072402545988e-6,1.424782434289044e-4,6.514783076221353e-4,4.7790567532866603e-5,11180,strk,0,50,15,0,0,5,male_strk,northeast
16,male,3.938072402545988e-6,1.424782434289044e-4,6.514783076221353e-4,4.7790567532866603e-5,11180,strk,0,50,15,0,0,5,male_strk,northeast
17,male,3.938072402545988e-6,1.424782434289044e-4,6.514783076221353e-4,4.7790567532866603e-5,11180,strk,0,50,15,0,0,5,male_strk,northeast
18,male,3.938072402545988e-6,1.424782434289044e-4,6.514783076221353e-4,4.7790567532866603e-5,11180,strk,0,50,15,0,0,5,male_strk,northeast
19,male,3.938072402545988e-6,1.424782434289044e-4,6.514783076221353e-4,4.7790567532866603e-5,11180,strk,0,50,15,0,0,5,male_strk,northeast
20,male,7.82605384212664e-6,1.8378900607430608e-4,9.112441132728857e-4,6.043567269753283e-5,13061,strk,0,50,20,0,0,5,male_strk,northeast
21,male,7.82605384212664e-6,1.8378900607430608e-4,9.112441132728857e-4,6.043567269753283e-5,13061,strk,0,50,20,0,0,5,male_strk,northeast
22,male,7.82605384212664e-6,1.8378900607430608e-4,9.112441132728857e-4,6.043567269753283e-5,13061,strk,0,50,20,0,0,5,male_strk,northeast
23,male,7.82605384212664e-6,1.8378900607430608e-4,9.112441132728857e-4,6.043567269753283e-5,13061,strk,0,50,20,0,0,5,male_strk,northeast
24,male,7.82605384212664e-6,1.8378900607430608e-4,9.112441132728857e-4,6.043567269753283e-5,13061,strk,0,50,20,0,0,5,male_strk,northeast
25,male,1.3770361411598111e-5,2.358794230297185e-4,0.0013830455736168058,8.792242439355458e-5,14017,strk,0,50,25,0,0,5,male_strk,northeast
26,male,1.3770361411598111e-5,2.358794230297185e-4,0.0013830455736168058,8.792242439355458e-5,14017,strk,0,50,25,0,0,5,male_strk,northeast
