age,sex,mort,ylds (years lived with disability)_rate_crdd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,1.0049395466035702e-5,7.628952622389692e-5,4.147855608823023e-4,3.336965602115432e-4,6432,crdd,0,10,0,0,0,5,female_crdd,nottingham
1,female,1.0049395466035702e-5,7.628952622389692e-5,4.147855608823023e-4,3.336965602115432e-4,6432,crdd,0,10,0,0,0,5,female_crdd,nottingham
2,female,1.0049395466035702e-5,7.628952622389692e-5,4.147855608823023e-4,3.336965602115432e-4,6432,crdd,0,10,0,0,0,5,female_crdd,nottingham
3,female,1.0049395466035702e-5,7.628952622389692e-5,4.147855608823023e-4,3.336965602115432e-4,6432,crdd,0,10,0,0,0,5,female_crdd,nottingham
4,female,1.0049395466035702e-5,7.628952622389692e-5,4.147855608823023e-4,3.336965602115432e-4,6432,crdd,0,10,0,0,0,5,female_crdd,nottingham
5,female,8.404915863978609e-7,1.3463450650740726e-4,3.8830264435055234e-4,2.6473582867648826e-4,6800,crdd,0,10,5,0,0,5,female_crdd,nottingham
6,female,8.404915863978609e-7,1.3463450650740726e-4,3.8830264435055234e-4,2.6473582867648826e-4,6800,crdd,0,10,5,0,0,5,female_crdd,nottingham
7,female,8.404915863978609e-7,1.3463450650740726e-4,3.8830264435055234e-4,2.6473582867648826e-4,6800,crdd,0,10,5,0,0,5,female_crdd,nottingham
8,female,8.404915863978609e-7,1.3463450650740726e-4,3.8830264435055234e-4,2.6473582867648826e-4,6800,crdd,0,10,5,0,0,5,female_crdd,nottingham
9,female,8.404915863978609e-7,1.3463450650740726e-4,3.8830264435055234e-4,2.6473582867648826e-4,6800,crdd,0,10,5,0,0,5,female_crdd,nottingham
10,female,3.385513205540604e-6,2.627342916249889e-4,0.002013619654366675,2.33799908252124e-4,6254,crdd,0,50,10,0,0,5,female_crdd,nottingham
11,female,3.385513205540604e-6,2.627342916249889e-4,0.002013619654366675,2.33799908252124e-4,6254,crdd,0,50,10,0,0,5,female_crdd,nottingham
12,female,3.385513205540604e-6,2.627342916249889e-4,0.002013619654366675,2.33799908252124e-4,6254,crdd,0,50,10,0,0,5,female_crdd,nottingham
13,female,3.385513205540604e-6,2.627342916249889e-4,0.002013619654366675,2.33799908252124e-4,6254,crdd,0,50,10,0,0,5,female_crdd,nottingham
14,female,3.385513205540604e-6,2.627342916249889e-4,0.002013619654366675,2.33799908252124e-4,6254,crdd,0,50,10,0,0,5,female_crdd,nottingham
15,female,9.389888538934359e-6,7.286474739503344e-4,0.009789627141432937,3.096142553564579e-4,6499,crdd,0,50,15,0,0,5,female_crdd,nottingham
