age,sex,mort,ylds (years lived with disability)_rate_dmt2,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,6432,dmt2,0,10,0,0,0,5,female_dmt2,nottingham
1,female,0,0,0,1e-8,6432,dmt2,0,10,0,0,0,5,female_dmt2,nottingham
2,female,0,0,0,1e-8,6432,dmt2,0,10,0,0,0,5,female_dmt2,nottingham
3,female,0,0,0,1e-8,6432,dmt2,0,10,0,0,0,5,female_dmt2,nottingham
4,female,0,0,0,1e-8,6432,dmt2,0,10,0,0,0,5,female_dmt2,nottingham
5,female,0,0,0,1e-8,6800,dmt2,0,10,5,0,0,5,female_dmt2,nottingham
6,female,0,0,0,1e-8,6800,dmt2,0,10,5,0,0,5,female_dmt2,nottingham
7,female,0,0,0,1e-8,6800,dmt2,0,10,5,0,0,5,female_dmt2,nottingham
8,female,0,0,0,1e-8,6800,dmt2,0,10,5,0,0,5,female_dmt2,nottingham
9,female,0,0,0,1e-8,6800,dmt2,0,10,5,0,0,5,female_dmt2,nottingham
10,female,0,1.7179040139672885e-4,0.0034565191149425645,0.0018360160738077108,6254,dmt2,0,50,10,0,0,5,female_dmt2,nottingham
11,female,0,1.7179040139672885e-4,0.0034565191149425645,0.0018360160738077108,6254,dmt2,0,50,10,0,0,5,female_dmt2,nottingham
12,female,0,1.7179040139672885e-4,0.0034565191149425645,0.0018360160738077108,6254,dmt2,0,50,10,0,0,5,female_dmt2,nottingham
13,female,0,1.7179040139672885e-4,0.0034565191149425645,0.0018360160738077108,6254,dmt2,0,50,10,0,0,5,female_dmt2,nottingham
14,female,0,1.7179040139672885e-4,0.0034565191149425645,0.0018360160738077108,6254,dmt2,0,50,10,0,0,5,female_dmt2,nottingham
15,female,1.4467437342764813e-7,9.609890591251947e-4,0.01846548543403979,0.0033002154337735705,6499,dmt2,0,50,15,1,0,5,female_dmt2,nottingham
16,female,1.4467437342764813e-7,9.609890591251947e-4,0.01846548543403979,0.0033002154337735705,6499,dmt2,0,50,15,1,0,5,female_dmt2,nottingham
17,female,1.4467437342764813e-7,9.609890591251947e-4,0.01846548543403979,0.0033002154337735705,6499,dmt2,0,50,15,1,0,5,female_dmt2,nottingham
18,female,1.4467437342764813e-7,9.609890591251947e-4,0.01846548543403979,0.0033002154337735705,6499,dmt2,0,50,15,1,0,5,female_dmt2,nottingham
19,female,1.4467437342764813e-7,9.609890591251947e-4,0.01846548543403979,0.0033002154337735705,6499,dmt2,0,50,15,1,0,5,female_dmt2,nottingham
20,female,1.554027168452881e-7,0.0017564665001413016,0.03175048563734365,0.002100439386345681,8039,dmt2,0,50,20,2,0,5,female_dmt2,nottingham
21,female,1.554027168452881e-7,0.0017564665001413016,0.03175048563734365,0.002100439386345681,8039,dmt2,0,50,20,2,0,5,female_dmt2,nottingham
22,female,1.554027168452881e-7,0.0017564665001413016,0.03175048563734365,0.002100439386345681,8039,dmt2,0,50,20,2,0,5,female_dmt2,nottingham
23,female,1.554027168452881e-7,0.0017564665001413016,0.03175048563734365,0.002100439386345681,8039,dmt2,0,50,20,2,0,5,female_dmt2,nottingham
24,female,1.554027168452881e-7,0.0017564665001413016,0.03175048563734365,0.002100439386345681,8039,dmt2,0,50,20,2,0,5,female_dmt2,nottingham
25,female,2.5877234284186933e-7,0.002177683977617781,0.037391954230709394,7.0930115213674e-4,8443,dmt2,0,50,25,2,0,5,female_dmt2,nottingham
26,female,2.5877234284186933e-7,0.002177683977617781,0.037391954230709394,7.0930115213674e-4,8443,dmt2,0,50,25,2,0,5,female_dmt2,nottingham
27,female,2.5877234284186933e-7,0.002177683977617781,0.037391954230709394,7.0930115213674e-4,8443,dmt2,0,50,25,2,0,5,female_dmt2,nottingham
28,female,2.5877234284186933e-7,0.002177683977617781,0.037391954230709394,7.0930115213674e-4,8443,dmt2,0,50,25,2,0,5,female_dmt2,nottingham
29,female,2.5877234284186933e-7,0.002177683977617781,0.037391954230709394,7.0930115213674e-4,8443,dmt2,0,50,25,2,0,5,female_dmt2,nottingham
30,female,1.1674765682021492e-6,0.002378736305895207,0.03901583892516881,6.041595677528724e-4,7254,dmt2,0,50,30,2,0,5,female_dmt2,nottingham
31,female,1.1674765682021492e-6,0.002378736305895207,0.03901583892516881,6.041595677528724e-4,7254,dmt2,0,50,30,2,0,5,female_dmt2,nottingham
32,female,1.1674765682021492e-6,0.002378736305895207,0.03901583892516881,6.041595677528724e-4,7254,dmt2,0,50,30,2,0,5,female_dmt2,nottingham
33,female,1.1674765682021492e-6,0.002378736305895207,0.03901583892516881,6.041595677528724e-4,7254,dmt2,0,50,30,2,0,5,female_dmt2,nottingham
34,female,1.1674765682021492e-6,0.002378736305895207,0.03901583892516881,6.041595677528724e-4,7254,dmt2,0,50,30,2,0,5,female_dmt2,nottingham
35,female,1.724386650312613e-6,0.0025935127953239283,0.04108570043113843,8.511866520949052e-4,7000,dmt2,0,50,35,2,0,5,female_dmt2,nottingham
36,female,1.724386650312613e-6,0.0025935127953239283,0.04108570043113843,8.511866520949052e-4,7000,dmt2,0,50,35,2,0,5,female_dmt2,nottingham
37,female,1.724386650312613e-6,0.0025935127953239283,0.04108570043113843,8.511866520949052e-4,7000,dmt2,0,50,35,2,0,5,female_dmt2,nottingham
38,female,1.724386650312613e-6,0.0025935127953239283,0.04108570043113843,8.511866520949052e-4,7000,dmt2,0,50,35,2,0,5,female_dmt2,nottingham
39,female,1.724386650312613e-6,0.0025935127953239283,0.04108570043113843,8.511866520949052e-4,7000,dmt2,0,50,35,2,0,5,female_dmt2,nottingham
40,female,2.4788996823096295e-6,0.002995751285716872,0.045826611228906786,0.0019856645546725846,6877,dmt2,0,50,40,2,0,5,female_dmt2,nottingham
41,female,2.4788996823096295e-6,0.002995751285716872,0.045826611228906786,0.0019856645546725846,6877,dmt2,0,50,40,2,0,5,female_dmt2,nottingham
42,female,2.4788996823096295e-6,0.002995751285716872,0.045826611228906786,0.0019856645546725846,6877,dmt2,0,50,40,2,0,5,female_dmt2,nottingham
