age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,5.389268833791818e-7,2.665208467484884e-5,1.8631219996795574e-4,7.17019833612226e-5,6432,iscs,0,10,0,0,0,5,female_iscs,nottingham
1,female,5.389268833791818e-7,2.665208467484884e-5,1.8631219996795574e-4,7.17019833612226e-5,6432,iscs,0,10,0,0,0,5,female_iscs,nottingham
2,female,5.389268833791818e-7,2.665208467484884e-5,1.8631219996795574e-4,7.17019833612226e-5,6432,iscs,0,10,0,0,0,5,female_iscs,nottingham
3,female,5.389268833791818e-7,2.665208467484884e-5,1.8631219996795574e-4,7.17019833612226e-5,6432,iscs,0,10,0,0,0,5,female_iscs,nottingham
4,female,5.389268833791818e-7,2.665208467484884e-5,1.8631219996795574e-4,7.17019833612226e-5,6432,iscs,0,10,0,0,0,5,female_iscs,nottingham
5,female,3.109588556478227e-8,6.722984324030994e-5,4.7779487385757086e-4,3.4937112739140276e-5,6800,iscs,0,10,5,0,0,5,female_iscs,nottingham
6,female,3.109588556478227e-8,6.722984324030994e-5,4.7779487385757086e-4,3.4937112739140276e-5,6800,iscs,0,10,5,0,0,5,female_iscs,nottingham
7,female,3.109588556478227e-8,6.722984324030994e-5,4.7779487385757086e-4,3.4937112739140276e-5,6800,iscs,0,10,5,0,0,5,female_iscs,nottingham
8,female,3.109588556478227e-8,6.722984324030994e-5,4.7779487385757086e-4,3.4937112739140276e-5,6800,iscs,0,10,5,0,0,5,female_iscs,nottingham
9,female,3.109588556478227e-8,6.722984324030994e-5,4.7779487385757086e-4,3.4937112739140276e-5,6800,iscs,0,10,5,0,0,5,female_iscs,nottingham
10,female,8.755961642955115e-8,1.0152423809635117e-4,7.202942371572012e-4,3.2068778360176895e-5,6254,iscs,0,50,10,0,0,5,female_iscs,nottingham
11,female,8.755961642955115e-8,1.0152423809635117e-4,7.202942371572012e-4,3.2068778360176895e-5,6254,iscs,0,50,10,0,0,5,female_iscs,nottingham
