age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,6432,lvrc,0,10,0,0,0,5,female_lvrc,nottingham
1,female,0,0,0,1e-8,6432,lvrc,0,10,0,0,0,5,female_lvrc,nottingham
2,female,0,0,0,1e-8,6432,lvrc,0,10,0,0,0,5,female_lvrc,nottingham
3,female,0,0,0,1e-8,6432,lvrc,0,10,0,0,0,5,female_lvrc,nottingham
4,female,0,0,0,1e-8,6432,lvrc,0,10,0,0,0,5,female_lvrc,nottingham
5,female,9.810665748808523e-8,5.432159486881672e-8,0,2.4831632694318204e-7,6800,lvrc,0,10,5,0,0,5,female_lvrc,nottingham
6,female,9.810665748808523e-8,5.432159486881672e-8,0,2.4831632694318204e-7,6800,lvrc,0,10,5,0,0,5,female_lvrc,nottingham
7,female,9.810665748808523e-8,5.432159486881672e-8,0,2.4831632694318204e-7,6800,lvrc,0,10,5,0,0,5,female_lvrc,nottingham
8,female,9.810665748808523e-8,5.432159486881672e-8,0,2.4831632694318204e-7,6800,lvrc,0,10,5,0,0,5,female_lvrc,nottingham
9,female,9.810665748808523e-8,5.432159486881672e-8,0,2.4831632694318204e-7,6800,lvrc,0,10,5,0,0,5,female_lvrc,nottingham
10,female,4.023005082086804e-7,2.059856560732673e-7,0,9.235137170193356e-7,6254,lvrc,0,50,10,0,0,5,female_lvrc,nottingham
11,female,4.023005082086804e-7,2.059856560732673e-7,0,9.235137170193356e-7,6254,lvrc,0,50,10,0,0,5,female_lvrc,nottingham
12,female,4.023005082086804e-7,2.059856560732673e-7,0,9.235137170193356e-7,6254,lvrc,0,50,10,0,0,5,female_lvrc,nottingham
13,female,4.023005082086804e-7,2.059856560732673e-7,0,9.235137170193356e-7,6254,lvrc,0,50,10,0,0,5,female_lvrc,nottingham
14,female,4.023005082086804e-7,2.059856560732673e-7,0,9.235137170193356e-7,6254,lvrc,0,50,10,0,0,5,female_lvrc,nottingham
15,female,1.0595630352143182e-6,6.624357311659714e-7,0,2.9542519065673707e-6,6499,lvrc,0,50,15,0,0,5,female_lvrc,nottingham
16,female,1.0595630352143182e-6,6.624357311659714e-7,0,2.9542519065673707e-6,6499,lvrc,0,50,15,0,0,5,female_lvrc,nottingham
17,female,1.0595630352143182e-6,6.624357311659714e-7,0,2.9542519065673707e-6,6499,lvrc,0,50,15,0,0,5,female_lvrc,nottingham
18,female,1.0595630352143182e-6,6.624357311659714e-7,0,2.9542519065673707e-6,6499,lvrc,0,50,15,0,0,5,female_lvrc,nottingham
19,female,1.0595630352143182e-6,6.624357311659714e-7,0,2.9542519065673707e-6,6499,lvrc,0,50,15,0,0,5,female_lvrc,nottingham
20,female,8.878694889140634e-7,6.121507805948499e-7,0,2.755313700627802e-6,8039,lvrc,0,50,20,0,0,5,female_lvrc,nottingham
21,female,8.878694889140634e-7,6.121507805948499e-7,0,2.755313700627802e-6,8039,lvrc,0,50,20,0,0,5,female_lvrc,nottingham
22,female,8.878694889140634e-7,6.121507805948499e-7,0,2.755313700627802e-6,8039,lvrc,0,50,20,0,0,5,female_lvrc,nottingham
23,female,8.878694889140634e-7,6.121507805948499e-7,0,2.755313700627802e-6,8039,lvrc,0,50,20,0,0,5,female_lvrc,nottingham
24,female,8.878694889140634e-7,6.121507805948499e-7,0,2.755313700627802e-6,8039,lvrc,0,50,20,0,0,5,female_lvrc,nottingham
