age,sex,mort,ylds (years lived with disability)_rate_strk,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,1.5694676984940674e-6,3.513824534673157e-5,0,9.597690690994682e-5,6432,strk,0,10,0,0,0,5,female_strk,nottingham
1,female,1.5694676984940674e-6,3.513824534673157e-5,0,9.597690690994682e-5,6432,strk,0,10,0,0,0,5,female_strk,nottingham
2,female,1.5694676984940674e-6,3.513824534673157e-5,0,9.597690690994682e-5,6432,strk,0,10,0,0,0,5,female_strk,nottingham
3,female,1.5694676984940674e-6,3.513824534673157e-5,0,9.597690690994682e-5,6432,strk,0,10,0,0,0,5,female_strk,nottingham
4,female,1.5694676984940674e-6,3.513824534673157e-5,0,9.597690690994682e-5,6432,strk,0,10,0,0,0,5,female_strk,nottingham
5,female,2.4006880191113444e-7,9.319846723759144e-5,2.839247954399054e-4,6.083355670161611e-5,6800,strk,0,10,5,0,0,5,female_strk,nottingham
6,female,2.4006880191113444e-7,9.319846723759144e-5,2.839247954399054e-4,6.083355670161611e-5,6800,strk,0,10,5,0,0,5,female_strk,nottingham
7,female,2.4006880191113444e-7,9.319846723759144e-5,2.839247954399054e-4,6.083355670161611e-5,6800,strk,0,10,5,0,0,5,female_strk,nottingham
8,female,2.4006880191113444e-7,9.319846723759144e-5,2.839247954399054e-4,6.083355670161611e-5,6800,strk,0,10,5,0,0,5,female_strk,nottingham
9,female,2.4006880191113444e-7,9.319846723759144e-5,2.839247954399054e-4,6.083355670161611e-5,6800,strk,0,10,5,0,0,5,female_strk,nottingham
10,female,1.288914527621796e-6,1.4488633336941516e-4,4.7658716615554266e-4,5.6182065811747855e-5,6254,strk,0,50,10,0,0,5,female_strk,nottingham
11,female,1.288914527621796e-6,1.4488633336941516e-4,4.7658716615554266e-4,5.6182065811747855e-5,6254,strk,0,50,10,0,0,5,female_strk,nottingham
12,female,1.288914527621796e-6,1.4488633336941516e-4,4.7658716615554266e-4,5.6182065811747855e-5,6254,strk,0,50,10,0,0,5,female_strk,nottingham
13,female,1.288914527621796e-6,1.4488633336941516e-4,4.7658716615554266e-4,5.6182065811747855e-5,6254,strk,0,50,10,0,0,5,female_strk,nottingham
14,female,1.288914527621796e-6,1.4488633336941516e-4,4.7658716615554266e-4,5.6182065811747855e-5,6254,strk,0,50,10,0,0,5,female_strk,nottingham
15,female,2.7224693795544993e-6,1.9342703908896267e-4,8.149106045753084e-4,5.2842957578351424e-5,6499,strk,0,50,15,0,0,5,female_strk,nottingham
16,female,2.7224693795544993e-6,1.9342703908896267e-4,8.149106045753084e-4,5.2842957578351424e-5,6499,strk,0,50,15,0,0,5,female_strk,nottingham
17,female,2.7224693795544993e-6,1.9342703908896267e-4,8.149106045753084e-4,5.2842957578351424e-5,6499,strk,0,50,15,0,0,5,female_strk,nottingham
