age,sex,mort,ylds (years lived with disability)_rate_utrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,6432,utrc,0,10,0,0,0,5,female_utrc,nottingham
1,female,0,0,0,1e-8,6432,utrc,0,10,0,0,0,5,female_utrc,nottingham
2,female,0,0,0,1e-8,6432,utrc,0,10,0,0,0,5,female_utrc,nottingham
3,female,0,0,0,1e-8,6432,utrc,0,10,0,0,0,5,female_utrc,nottingham
4,female,0,0,0,1e-8,6432,utrc,0,10,0,0,0,5,female_utrc,nottingham
5,female,0,0,0,1e-8,6800,utrc,0,10,5,0,0,5,female_utrc,nottingham
6,female,0,0,0,1e-8,6800,utrc,0,10,5,0,0,5,female_utrc,nottingham
7,female,0,0,0,1e-8,6800,utrc,0,10,5,0,0,5,female_utrc,nottingham
8,female,0,0,0,1e-8,6800,utrc,0,10,5,0,0,5,female_utrc,nottingham
9,female,0,0,0,1e-8,6800,utrc,0,10,5,0,0,5,female_utrc,nottingham
10,female,0,0,0,1e-8,6254,utrc,0,50,10,0,0,5,female_utrc,nottingham
11,female,0,0,0,1e-8,6254,utrc,0,50,10,0,0,5,female_utrc,nottingham
12,female,0,0,0,1e-8,6254,utrc,0,50,10,0,0,5,female_utrc,nottingham
13,female,0,0,0,1e-8,6254,utrc,0,50,10,0,0,5,female_utrc,nottingham
14,female,0,0,0,1e-8,6254,utrc,0,50,10,0,0,5,female_utrc,nottingham
15,female,1.1160754050495312e-7,1.0877559629288704e-6,1.6265631653908927e-5,1.8991990867519739e-6,6499,utrc,0,50,15,0,0,5,female_utrc,nottingham
16,female,1.1160754050495312e-7,1.0877559629288704e-6,1.6265631653908927e-5,1.8991990867519739e-6,6499,utrc,0,50,15,0,0,5,female_utrc,nottingham
17,female,1.1160754050495312e-7,1.0877559629288704e-6,1.6265631653908927e-5,1.8991990867519739e-6,6499,utrc,0,50,15,0,0,5,female_utrc,nottingham
18,female,1.1160754050495312e-7,1.0877559629288704e-6,1.6265631653908927e-5,1.8991990867519739e-6,6499,utrc,0,50,15,0,0,5,female_utrc,nottingham
19,female,1.1160754050495312e-7,1.0877559629288704e-6,1.6265631653908927e-5,1.8991990867519739e-6,6499,utrc,0,50,15,0,0,5,female_utrc,nottingham
20,female,1.3558993564373134e-7,1.5271730256825915e-6,2.2847154372392148e-5,2.660955304267252e-6,8039,utrc,0,50,20,0,0,5,female_utrc,nottingham
21,female,1.3558993564373134e-7,1.5271730256825915e-6,2.2847154372392148e-5,2.660955304267252e-6,8039,utrc,0,50,20,0,0,5,female_utrc,nottingham
