age,sex,mort,ylds (years lived with disability)_rate_brsc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,6747,brsc,0,10,0,0,0,5,male_brsc,nottingham
1,male,0,0,0,1e-8,6747,brsc,0,10,0,0,0,5,male_brsc,nottingham
2,male,0,0,0,1e-8,6747,brsc,0,10,0,0,0,5,male_brsc,nottingham
3,male,0,0,0,1e-8,6747,brsc,0,10,0,0,0,5,male_brsc,nottingham
4,male,0,0,0,1e-8,6747,brsc,0,10,0,0,0,5,male_brsc,nottingham
5,male,0,0,0,1e-8,7132,brsc,0,10,5,0,0,5,male_brsc,nottingham
6,male,0,0,0,1e-8,7132,brsc,0,10,5,0,0,5,male_brsc,nottingham
7,male,0,0,0,1e-8,7132,brsc,0,10,5,0,0,5,male_brsc,nottingham
8,male,0,0,0,1e-8,7132,brsc,0,10,5,0,0,5,male_brsc,nottingham
9,male,0,0,0,1e-8,7132,brsc,0,10,5,0,0,5,male_brsc,nottingham
10,male,0,0,0,1e-8,6589,brsc,0,50,10,0,0,5,male_brsc,nottingham
11,male,0,0,0,1e-8,6589,brsc,0,50,10,0,0,5,male_brsc,nottingham
12,male,0,0,0,1e-8,6589,brsc,0,50,10,0,0,5,male_brsc,nottingham
13,male,0,0,0,1e-8,6589,brsc,0,50,10,0,0,5,male_brsc,nottingham
14,male,0,0,0,1e-8,6589,brsc,0,50,10,0,0,5,male_brsc,nottingham
15,male,7.307158294250801e-8,4.2588884860072113e-7,4.593740783446703e-6,5.09768525346769e-7,6783,brsc,0,50,15,0,0,5,male_brsc,nottingham
16,male,7.307158294250801e-8,4.2588884860072113e-7,4.593740783446703e-6,5.09768525346769e-7,6783,brsc,0,50,15,0,0,5,male_brsc,nottingham
17,male,7.307158294250801e-8,4.2588884860072113e-7,4.593740783446703e-6,5.09768525346769e-7,6783,brsc,0,50,15,0,0,5,male_brsc,nottingham
18,male,7.307158294250801e-8,4.2588884860072113e-7,4.593740783446703e-6,5.09768525346769e-7,6783,brsc,0,50,15,0,0,5,male_brsc,nottingham
19,male,7.307158294250801e-8,4.2588884860072113e-7,4.593740783446703e-6,5.09768525346769e-7,6783,brsc,0,50,15,0,0,5,male_brsc,nottingham
20,male,9.83120164515748e-8,6.999221489553569e-7,8.022702702387871e-6,7.895784744300334e-7,8218,brsc,0,50,20,0,0,5,male_brsc,nottingham
21,male,9.83120164515748e-8,6.999221489553569e-7,8.022702702387871e-6,7.895784744300334e-7,8218,brsc,0,50,20,0,0,5,male_brsc,nottingham
22,male,9.83120164515748e-8,6.999221489553569e-7,8.022702702387871e-6,7.895784744300334e-7,8218,brsc,0,50,20,0,0,5,male_brsc,nottingham
23,male,9.83120164515748e-8,6.999221489553569e-7,8.022702702387871e-6,7.895784744300334e-7,8218,brsc,0,50,20,0,0,5,male_brsc,nottingham
24,male,9.83120164515748e-8,6.999221489553569e-7,8.022702702387871e-6,7.895784744300334e-7,8218,brsc,0,50,20,0,0,5,male_brsc,nottingham
25,male,1.1361538250248267e-7,9.372552958220015e-7,1.0861495213222066e-5,1.0536469552230123e-6,8654,brsc,0,50,25,0,0,5,male_brsc,nottingham
26,male,1.1361538250248267e-7,9.372552958220015e-7,1.0861495213222066e-5,1.0536469552230123e-6,8654,brsc,0,50,25,0,0,5,male_brsc,nottingham
27,male,1.1361538250248267e-7,9.372552958220015e-7,1.0861495213222066e-5,1.0536469552230123e-6,8654,brsc,0,50,25,0,0,5,male_brsc,nottingham
28,male,1.1361538250248267e-7,9.372552958220015e-7,1.0861495213222066e-5,1.0536469552230123e-6,8654,brsc,0,50,25,0,0,5,male_brsc,nottingham
29,male,1.1361538250248267e-7,9.372552958220015e-7,1.0861495213222066e-5,1.0536469552230123e-6,8654,brsc,0,50,25,0,0,5,male_brsc,nottingham
30,male,2.001046307778183e-7,1.0912659801640217e-6,1.2525490430397068e-5,1.2498465126936908e-6,7635,brsc,0,50,30,0,0,5,male_brsc,nottingham
31,male,2.001046307778183e-7,1.0912659801640217e-6,1.2525490430397068e-5,1.2498465126936908e-6,7635,brsc,0,50,30,0,0,5,male_brsc,nottingham
