age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,6747,carc,0,10,0,0,0,5,male_carc,nottingham
1,male,0,0,0,1e-8,6747,carc,0,10,0,0,0,5,male_carc,nottingham
2,male,0,0,0,1e-8,6747,carc,0,10,0,0,0,5,male_carc,nottingham
3,male,0,0,0,1e-8,6747,carc,0,10,0,0,0,5,male_carc,nottingham
4,male,0,0,0,1e-8,6747,carc,0,10,0,0,0,5,male_carc,nottingham
5,male,0,0,0,1e-8,7132,carc,0,10,5,0,0,5,male_carc,nottingham
6,male,0,0,0,1e-8,7132,carc,0,10,5,0,0,5,male_carc,nottingham
7,male,0,0,0,1e-8,7132,carc,0,10,5,0,0,5,male_carc,nottingham
8,male,0,0,0,1e-8,7132,carc,0,10,5,0,0,5,male_carc,nottingham
9,male,0,0,0,1e-8,7132,carc,0,10,5,0,0,5,male_carc,nottingham
10,male,0,0,0,1e-8,6589,carc,0,50,10,0,0,5,male_carc,nottingham
11,male,0,0,0,1e-8,6589,carc,0,50,10,0,0,5,male_carc,nottingham
12,male,0,0,0,1e-8,6589,carc,0,50,10,0,0,5,male_carc,nottingham
13,male,0,0,0,1e-8,6589,carc,0,50,10,0,0,5,male_carc,nottingham
14,male,0,0,0,1e-8,6589,carc,0,50,10,0,0,5,male_carc,nottingham
15,male,3.626506122264408e-7,1.357991976299126e-6,1.2173303184685879e-5,1.7476724425776508e-6,6783,carc,0,50,15,0,0,5,male_carc,nottingham
16,male,3.626506122264408e-7,1.357991976299126e-6,1.2173303184685879e-5,1.7476724425776508e-6,6783,carc,0,50,15,0,0,5,male_carc,nottingham
17,male,3.626506122264408e-7,1.357991976299126e-6,1.2173303184685879e-5,1.7476724425776508e-6,6783,carc,0,50,15,0,0,5,male_carc,nottingham
18,male,3.626506122264408e-7,1.357991976299126e-6,1.2173303184685879e-5,1.7476724425776508e-6,6783,carc,0,50,15,0,0,5,male_carc,nottingham
19,male,3.626506122264408e-7,1.357991976299126e-6,1.2173303184685879e-5,1.7476724425776508e-6,6783,carc,0,50,15,0,0,5,male_carc,nottingham
20,male,1.5614898151359151e-6,6.6322817454590836e-6,6.18183162735791e-5,8.710367843564034e-6,8218,carc,0,50,20,0,0,5,male_carc,nottingham
21,male,1.5614898151359151e-6,6.6322817454590836e-6,6.18183162735791e-5,8.710367843564034e-6,8218,carc,0,50,20,0,0,5,male_carc,nottingham
22,male,1.5614898151359151e-6,6.6322817454590836e-6,6.18183162735791e-5,8.710367843564034e-6,8218,carc,0,50,20,0,0,5,male_carc,nottingham
