age,sex,mort,ylds (years lived with disability)_rate_crdd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,1.1810178763440949e-5,9.530237862005626e-5,9.650272220850705e-4,3.3072721882292875e-4,6747,crdd,0,10,0,0,0,5,male_crdd,nottingham
1,male,1.1810178763440949e-5,9.530237862005626e-5,9.650272220850705e-4,3.3072721882292875e-4,6747,crdd,0,10,0,0,0,5,male_crdd,nottingham
2,male,1.1810178763440949e-5,9.530237862005626e-5,9.650272220850705e-4,3.3072721882292875e-4,6747,crdd,0,10,0,0,0,5,male_crdd,nottingham
3,male,1.1810178763440949e-5,9.530237862005626e-5,9.650272220850705e-4,3.3072721882292875e-4,6747,crdd,0,10,0,0,0,5,male_crdd,nottingham
4,male,1.1810178763440949e-5,9.530237862005626e-5,9.650272220850705e-4,3.3072721882292875e-4,6747,crdd,0,10,0,0,0,5,male_crdd,nottingham
5,male,1.4029016518470314e-6,2.1847868610246684e-4,0.002449734712735716,2.309013244177597e-4,7132,crdd,0,10,5,0,0,5,male_crdd,nottingham
6,male,1.4029016518470314e-6,2.1847868610246684e-4,0.002449734712735716,2.309013244177597e-4,7132,crdd,0,10,5,0,0,5,male_crdd,nottingham
7,male,1.4029016518470314e-6,2.1847868610246684e-4,0.002449734712735716,2.309013244177597e-4,7132,crdd,0,10,5,0,0,5,male_crdd,nottingham
8,male,1.4029016518470314e-6,2.1847868610246684e-4,0.002449734712735716,2.309013244177597e-4,7132,crdd,0,10,5,0,0,5,male_crdd,nottingham
9,male,1.4029016518470314e-6,2.1847868610246684e-4,0.002449734712735716,2.309013244177597e-4,7132,crdd,0,10,5,0,0,5,male_crdd,nottingham
10,male,3.2282585681732412e-6,2.0749282045208413e-4,0.0017539111562035817,2.283402990125084e-4,6589,crdd,0,50,10,0,0,5,male_crdd,nottingham
11,male,3.2282585681732412e-6,2.0749282045208413e-4,0.0017539111562035817,2.283402990125084e-4,6589,crdd,0,50,10,0,0,5,male_crdd,nottingham
12,male,3.2282585681732412e-6,2.0749282045208413e-4,0.0017539111562035817,2.283402990125084e-4,6589,crdd,0,50,10,0,0,5,male_crdd,nottingham
13,male,3.2282585681732412e-6,2.0749282045208413e-4,0.0017539111562035817,2.283402990125084e-4,6589,crdd,0,50,10,0,0,5,male_crdd,nottingham
14,male,3.2282585681732412e-6,2.0749282045208413e-4,0.0017539111562035817,2.283402990125084e-4,6589,crdd,0,50,10,0,0,5,male_crdd,nottingham
15,male,1.0348493451580139e-5,3.2129537481963326e-4,0.0031862122860439757,3.686154417923264e-4,6783,crdd,0,50,15,0,0,5,male_crdd,nottingham
16,male,1.0348493451580139e-5,3.2129537481963326e-4,0.0031862122860439757,3.686154417923264e-4,6783,crdd,0,50,15,0,0,5,male_crdd,nottingham
17,male,1.0348493451580139e-5,3.2129537481963326e-4,0.0031862122860439757,3.686154417923264e-4,6783,crdd,0,50,15,0,0,5,male_crdd,nottingham
18,male,1.0348493451580139e-5,3.2129537481963326e-4,0.0031862122860439757,3.686154417923264e-4,6783,crdd,0,50,15,0,0,5,male_crdd,nottingham
19,male,1.0348493451580139e-5,3.2129537481963326e-4,0.0031862122860439757,3.686154417923264e-4,6783,crdd,0,50,15,0,0,5,male_crdd,nottingham
20,male,2.228273577093838e-5,4.0471801995870324e-4,0.004137439868897648,6.716391632277573e-4,8218,crdd,0,50,20,0,0,5,male_crdd,nottingham
21,male,2.228273577093838e-5,4.0471801995870324e-4,0.004137439868897648,6.716391632277573e-4,8218,crdd,0,50,20,0,0,5,male_crdd,nottingham
22,male,2.228273577093838e-5,4.0471801995870324e-4,0.004137439868897648,6.716391632277573e-4,8218,crdd,0,50,20,0,0,5,male_crdd,nottingham
23,male,2.228273577093838e-5,4.0471801995870324e-4,0.004137439868897648,6.716391632277573e-4,8218,crdd,0,50,20,0,0,5,male_crdd,nottingham
24,male,2.228273577093838e-5,4.0471801995870324e-4,0.004137439868897648,6.716391632277573e-4,8218,crdd,0,50,20,0,0,5,male_crdd,nottingham
25,male,4.127437621691039e-5,6.718172104960741e-4,0.009021321506366071,0.001144068979128345,8654,crdd,0,50,25,0,0,5,male_crdd,nottingham
26,male,4.127437621691039e-5,6.718172104960741e-4,0.009021321506366071,0.001144068979128345,8654,crdd,0,50,25,0,0,5,male_crdd,nottingham
27,male,4.127437621691039e-5,6.718172104960741e-4,0.009021321506366071,0.001144068979128345,8654,crdd,0,50,25,0,0,5,male_crdd,nottingham
28,male,4.127437621691039e-5,6.718172104960741e-4,0.009021321506366071,0.001144068979128345,8654,crdd,0,50,25,0,0,5,male_crdd,nottingham
29,male,4.127437621691039e-5,6.718172104960741e-4,0.009021321506366071,0.001144068979128345,8654,crdd,0,50,25,0,0,5,male_crdd,nottingham
30,male,8.778570180407707e-5,8.893367928386119e-4,0.012252614080212288,0.0020723451535250063,7635,crdd,0,50,30,1,1,5,male_crdd,nottingham
31,male,8.778570180407707e-5,8.893367928386119e-4,0.012252614080212288,0.0020723451535250063,7635,crdd,0,50,30,1,1,5,male_crdd,nottingham
32,male,8.778570180407707e-5,8.893367928386119e-4,0.012252614080212288,0.0020723451535250063,7635,crdd,0,50,30,1,1,5,male_crdd,nottingham
33,male,8.778570180407707e-5,8.893367928386119e-4,0.012252614080212288,0.0020723451535250063,7635,crdd,0,50,30,1,1,5,male_crdd,nottingham
34,male,8.778570180407707e-5,8.893367928386119e-4,0.012252614080212288,0.0020723451535250063,7635,crdd,0,50,30,1,1,5,male_crdd,nottingham
35,male,1.6210684589226985e-4,0.0012591468897744994,0.019600011257045302,0.0033571201513762335,7539,crdd,0,50,35,1,1,5,male_crdd,nottingham
36,male,1.6210684589226985e-4,0.0012591468897744994,0.019600011257045302,0.0033571201513762335,7539,crdd,0,50,35,1,1,5,male_crdd,nottingham
37,male,1.6210684589226985e-4,0.0012591468897744994,0.019600011257045302,0.0033571201513762335,7539,crdd,0,50,35,1,1,5,male_crdd,nottingham
38,male,1.6210684589226985e-4,0.0012591468897744994,0.019600011257045302,0.0033571201513762335,7539,crdd,0,50,35,1,1,5,male_crdd,nottingham
39,male,1.6210684589226985e-4,0.0012591468897744994,0.019600011257045302,0.0033571201513762335,7539,crdd,0,50,35,1,1,5,male_crdd,nottingham
40,male,3.6530161823298076e-4,0.0021446392296709618,0.04411317820472852,0.006888035152507235,6988,crdd,0,50,40,2,3,5,male_crdd,nottingham
41,male,3.6530161823298076e-4,0.0021446392296709618,0.04411317820472852,0.006888035152507235,6988,crdd,0,50,40,2,3,5,male_crdd,nottingham
42,male,3.6530161823298076e-4,0.0021446392296709618,0.04411317820472852,0.006888035152507235,6988,crdd,0,50,40,2,3,5,male_crdd,nottingham
43,male,3.6530161823298076e-4,0.0021446392296709618,0.04411317820472852,0.006888035152507235,6988,crdd,0,50,40,2,3,5,male_crdd,nottingham
44,male,3.6530161823298076e-4,0.0021446392296709618,0.04411317820472852,0.006888035152507235,6988,crdd,0,50,40,2,3,5,male_crdd,nottingham
