age,sex,mort,ylds (years lived with disability)_rate_dmt2,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,6747,dmt2,0,10,0,0,0,5,male_dmt2,nottingham
1,male,0,0,0,1e-8,6747,dmt2,0,10,0,0,0,5,male_dmt2,nottingham
2,male,0,0,0,1e-8,6747,dmt2,0,10,0,0,0,5,male_dmt2,nottingham
3,male,0,0,0,1e-8,6747,dmt2,0,10,0,0,0,5,male_dmt2,nottingham
4,male,0,0,0,1e-8,6747,dmt2,0,10,0,0,0,5,male_dmt2,nottingham
5,male,0,0,0,1e-8,7132,dmt2,0,10,5,0,0,5,male_dmt2,nottingham
6,male,0,0,0,1e-8,7132,dmt2,0,10,5,0,0,5,male_dmt2,nottingham
7,male,0,0,0,1e-8,7132,dmt2,0,10,5,0,0,5,male_dmt2,nottingham
8,male,0,0,0,1e-8,7132,dmt2,0,10,5,0,0,5,male_dmt2,nottingham
9,male,0,0,0,1e-8,7132,dmt2,0,10,5,0,0,5,male_dmt2,nottingham
10,male,0,2.9327711753470756e-5,5.824131249972057e-4,6.688550820904092e-4,6589,dmt2,0,50,10,0,0,5,male_dmt2,nottingham
11,male,0,2.9327711753470756e-5,5.824131249972057e-4,6.688550820904092e-4,6589,dmt2,0,50,10,0,0,5,male_dmt2,nottingham
12,male,0,2.9327711753470756e-5,5.824131249972057e-4,6.688550820904092e-4,6589,dmt2,0,50,10,0,0,5,male_dmt2,nottingham
13,male,0,2.9327711753470756e-5,5.824131249972057e-4,6.688550820904092e-4,6589,dmt2,0,50,10,0,0,5,male_dmt2,nottingham
14,male,0,2.9327711753470756e-5,5.824131249972057e-4,6.688550820904092e-4,6589,dmt2,0,50,10,0,0,5,male_dmt2,nottingham
15,male,7.75724436181575e-8,4.996708072462642e-4,0.009484102401006837,0.0031729088609454203,6783,dmt2,0,50,15,0,0,5,male_dmt2,nottingham
16,male,7.75724436181575e-8,4.996708072462642e-4,0.009484102401006837,0.0031729088609454203,6783,dmt2,0,50,15,0,0,5,male_dmt2,nottingham
17,male,7.75724436181575e-8,4.996708072462642e-4,0.009484102401006837,0.0031729088609454203,6783,dmt2,0,50,15,0,0,5,male_dmt2,nottingham
18,male,7.75724436181575e-8,4.996708072462642e-4,0.009484102401006837,0.0031729088609454203,6783,dmt2,0,50,15,0,0,5,male_dmt2,nottingham
19,male,7.75724436181575e-8,4.996708072462642e-4,0.009484102401006837,0.0031729088609454203,6783,dmt2,0,50,15,0,0,5,male_dmt2,nottingham
20,male,2.017554630024284e-7,0.0015701157033827305,0.02802441668943177,0.0033415540436241803,8218,dmt2,0,50,20,1,0,5,male_dmt2,nottingham
21,male,2.017554630024284e-7,0.0015701157033827305,0.02802441668943177,0.0033415540436241803,8218,dmt2,0,50,20,1,0,5,male_dmt2,nottingham
22,male,2.017554630024284e-7,0.0015701157033827305,0.02802441668943177,0.0033415540436241803,8218,dmt2,0,50,20,1,0,5,male_dmt2,nottingham
23,male,2.017554630024284e-7,0.0015701157033827305,0.02802441668943177,0.0033415540436241803,8218,dmt2,0,50,20,1,0,5,male_dmt2,nottingham
24,male,2.017554630024284e-7,0.0015701157033827305,0.02802441668943177,0.0033415540436241803,8218,dmt2,0,50,20,1,0,5,male_dmt2,nottingham
25,male,3.277109745070857e-7,0.0022348184520220417,0.03783129176044821,0.0011736650730328692,8654,dmt2,0,50,25,2,0,5,male_dmt2,nottingham
26,male,3.277109745070857e-7,0.0022348184520220417,0.03783129176044821,0.0011736650730328692,8654,dmt2,0,50,25,2,0,5,male_dmt2,nottingham
27,male,3.277109745070857e-7,0.0022348184520220417,0.03783129176044821,0.0011736650730328692,8654,dmt2,0,50,25,2,0,5,male_dmt2,nottingham
28,male,3.277109745070857e-7,0.0022348184520220417,0.03783129176044821,0.0011736650730328692,8654,dmt2,0,50,25,2,0,5,male_dmt2,nottingham
29,male,3.277109745070857e-7,0.0022348184520220417,0.03783129176044821,0.0011736650730328692,8654,dmt2,0,50,25,2,0,5,male_dmt2,nottingham
30,male,1.6070219868602727e-6,0.0025443707050749617,0.04118869375375608,8.063546382651823e-4,7635,dmt2,0,50,30,2,0,5,male_dmt2,nottingham
31,male,1.6070219868602727e-6,0.0025443707050749617,0.04118869375375608,8.063546382651823e-4,7635,dmt2,0,50,30,2,0,5,male_dmt2,nottingham
32,male,1.6070219868602727e-6,0.0025443707050749617,0.04118869375375608,8.063546382651823e-4,7635,dmt2,0,50,30,2,0,5,male_dmt2,nottingham
33,male,1.6070219868602727e-6,0.0025443707050749617,0.04118869375375608,8.063546382651823e-4,7635,dmt2,0,50,30,2,0,5,male_dmt2,nottingham
34,male,1.6070219868602727e-6,0.0025443707050749617,0.04118869375375608,8.063546382651823e-4,7635,dmt2,0,50,30,2,0,5,male_dmt2,nottingham
35,male,2.377965714853651e-6,0.002836652343580098,0.04423477028676011,0.0010203624422968035,7539,dmt2,0,50,35,2,0,5,male_dmt2,nottingham
36,male,2.377965714853651e-6,0.002836652343580098,0.04423477028676011,0.0010203624422968035,7539,dmt2,0,50,35,2,0,5,male_dmt2,nottingham
37,male,2.377965714853651e-6,0.002836652343580098,0.04423477028676011,0.0010203624422968035,7539,dmt2,0,50,35,2,0,5,male_dmt2,nottingham
38,male,2.377965714853651e-6,0.002836652343580098,0.04423477028676011,0.0010203624422968035,7539,dmt2,0,50,35,2,0,5,male_dmt2,nottingham
39,male,2.377965714853651e-6,0.002836652343580098,0.04423477028676011,0.0010203624422968035,7539,dmt2,0,50,35,2,0,5,male_dmt2,nottingham
40,male,4.483212648564034e-6,0.003375926495490347,0.0509320058424099,0.0028441290702237404,6988,dmt2,0,50,40,3,0,5,male_dmt2,nottingham
41,male,4.483212648564034e-6,0.003375926495490347,0.0509320058424099,0.0028441290702237404,6988,dmt2,0,50,40,3,0,5,male_dmt2,nottingham
42,male,4.483212648564034e-6,0.003375926495490347,0.0509320058424099,0.0028441290702237404,6988,dmt2,0,50,40,3,0,5,male_dmt2,nottingham
43,male,4.483212648564034e-6,0.003375926495490347,0.0509320058424099,0.0028441290702237404,6988,dmt2,0,50,40,3,0,5,male_dmt2,nottingham
44,male,4.483212648564034e-6,0.003375926495490347,0.0509320058424099,0.0028441290702237404,6988,dmt2,0,50,40,3,0,5,male_dmt2,nottingham
45,male,1.471460838830932e-5,0.004899530665677107,0.07168200138643732,0.006144127695234016,8007,dmt2,0,50,45,4,0,5,male_dmt2,nottingham
46,male,1.471460838830932e-5,0.004899530665677107,0.07168200138643732,0.006144127695234016,8007,dmt2,0,50,45,4,0,5,male_dmt2,nottingham
47,male,1.471460838830932e-5,0.004899530665677107,0.07168200138643732,0.006144127695234016,8007,dmt2,0,50,45,4,0,5,male_dmt2,nottingham
48,male,1.471460838830932e-5,0.004899530665677107,0.07168200138643732,0.006144127695234016,8007,dmt2,0,50,45,4,0,5,male_dmt2,nottingham
49,male,1.471460838830932e-5,0.004899530665677107,0.07168200138643732,0.006144127695234016,8007,dmt2,0,50,45,4,0,5,male_dmt2,nottingham
50,male,2.0200796879755867e-5,0.007199316401907184,0.10478814192731391,0.007344155126091324,8299,dmt2,0,50,50,5,0,5,male_dmt2,nottingham
51,male,2.0200796879755867e-5,0.007199316401907184,0.10478814192731391,0.007344155126091324,8299,dmt2,0,50,50,5,0,5,male_dmt2,nottingham
52,male,2.0200796879755867e-5,0.007199316401907184,0.10478814192731391,0.007344155126091324,8299,dmt2,0,50,50,5,0,5,male_dmt2,nottingham
53,male,2.0200796879755867e-5,0.007199316401907184,0.10478814192731391,0.007344155126091324,8299,dmt2,0,50,50,5,0,5,male_dmt2,nottingham
54,male,2.0200796879755867e-5,0.007199316401907184,0.10478814192731391,0.007344155126091324,8299,dmt2,0,50,50,5,0,5,male_dmt2,nottingham
55,male,3.3694775733041916e-5,0.009224952287782076,0.13709423836902274,0.0066992037096671436,7307,dmt2,0,50,55,7,0,5,male_dmt2,nottingham
