age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,6.534580638186096e-7,2.0474370893735667e-5,1.702027816544431e-4,6.656447813433115e-5,6747,iscs,0,10,0,0,0,5,male_iscs,nottingham
1,male,6.534580638186096e-7,2.0474370893735667e-5,1.702027816544431e-4,6.656447813433115e-5,6747,iscs,0,10,0,0,0,5,male_iscs,nottingham
2,male,6.534580638186096e-7,2.0474370893735667e-5,1.702027816544431e-4,6.656447813433115e-5,6747,iscs,0,10,0,0,0,5,male_iscs,nottingham
3,male,6.534580638186096e-7,2.0474370893735667e-5,1.702027816544431e-4,6.656447813433115e-5,6747,iscs,0,10,0,0,0,5,male_iscs,nottingham
4,male,6.534580638186096e-7,2.0474370893735667e-5,1.702027816544431e-4,6.656447813433115e-5,6747,iscs,0,10,0,0,0,5,male_iscs,nottingham
5,male,5.668146109998473e-8,4.955243982728367e-5,4.217189259896432e-4,2.9884487106894233e-5,7132,iscs,0,10,5,0,0,5,male_iscs,nottingham
6,male,5.668146109998473e-8,4.955243982728367e-5,4.217189259896432e-4,2.9884487106894233e-5,7132,iscs,0,10,5,0,0,5,male_iscs,nottingham
7,male,5.668146109998473e-8,4.955243982728367e-5,4.217189259896432e-4,2.9884487106894233e-5,7132,iscs,0,10,5,0,0,5,male_iscs,nottingham
8,male,5.668146109998473e-8,4.955243982728367e-5,4.217189259896432e-4,2.9884487106894233e-5,7132,iscs,0,10,5,0,0,5,male_iscs,nottingham
9,male,5.668146109998473e-8,4.955243982728367e-5,4.217189259896432e-4,2.9884487106894233e-5,7132,iscs,0,10,5,0,0,5,male_iscs,nottingham
10,male,6.671148424824895e-8,7.551811620688426e-5,6.307355115399764e-4,2.7432477374198898e-5,6589,iscs,0,50,10,0,0,5,male_iscs,nottingham
11,male,6.671148424824895e-8,7.551811620688426e-5,6.307355115399764e-4,2.7432477374198898e-5,6589,iscs,0,50,10,0,0,5,male_iscs,nottingham
12,male,6.671148424824895e-8,7.551811620688426e-5,6.307355115399764e-4,2.7432477374198898e-5,6589,iscs,0,50,10,0,0,5,male_iscs,nottingham
13,male,6.671148424824895e-8,7.551811620688426e-5,6.307355115399764e-4,2.7432477374198898e-5,6589,iscs,0,50,10,0,0,5,male_iscs,nottingham
14,male,6.671148424824895e-8,7.551811620688426e-5,6.307355115399764e-4,2.7432477374198898e-5,6589,iscs,0,50,10,0,0,5,male_iscs,nottingham
