age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,6747,ishd,0,10,0,0,0,5,male_ishd,nottingham
1,male,0,0,0,1e-8,6747,ishd,0,10,0,0,0,5,male_ishd,nottingham
2,male,0,0,0,1e-8,6747,ishd,0,10,0,0,0,5,male_ishd,nottingham
3,male,0,0,0,1e-8,6747,ishd,0,10,0,0,0,5,male_ishd,nottingham
4,male,0,0,0,1e-8,6747,ishd,0,10,0,0,0,5,male_ishd,nottingham
5,male,0,0,0,1e-8,7132,ishd,0,10,5,0,0,5,male_ishd,nottingham
6,male,0,0,0,1e-8,7132,ishd,0,10,5,0,0,5,male_ishd,nottingham
7,male,0,0,0,1e-8,7132,ishd,0,10,5,0,0,5,male_ishd,nottingham
8,male,0,0,0,1e-8,7132,ishd,0,10,5,0,0,5,male_ishd,nottingham
9,male,0,0,0,1e-8,7132,ishd,0,10,5,0,0,5,male_ishd,nottingham
10,male,0,0,0,1e-8,6589,ishd,0,50,10,0,0,5,male_ishd,nottingham
11,male,0,0,0,1e-8,6589,ishd,0,50,10,0,0,5,male_ishd,nottingham
12,male,0,0,0,1e-8,6589,ishd,0,50,10,0,0,5,male_ishd,nottingham
13,male,0,0,0,1e-8,6589,ishd,0,50,10,0,0,5,male_ishd,nottingham
14,male,0,0,0,1e-8,6589,ishd,0,50,10,0,0,5,male_ishd,nottingham
15,male,8.727365440775491e-7,5.111055588577167e-6,1.254588003655995e-4,2.0445099331824153e-5,6783,ishd,0,50,15,0,0,5,male_ishd,nottingham
16,male,8.727365440775491e-7,5.111055588577167e-6,1.254588003655995e-4,2.0445099331824153e-5,6783,ishd,0,50,15,0,0,5,male_ishd,nottingham
17,male,8.727365440775491e-7,5.111055588577167e-6,1.254588003655995e-4,2.0445099331824153e-5,6783,ishd,0,50,15,0,0,5,male_ishd,nottingham
18,male,8.727365440775491e-7,5.111055588577167e-6,1.254588003655995e-4,2.0445099331824153e-5,6783,ishd,0,50,15,0,0,5,male_ishd,nottingham
19,male,8.727365440775491e-7,5.111055588577167e-6,1.254588003655995e-4,2.0445099331824153e-5,6783,ishd,0,50,15,0,0,5,male_ishd,nottingham
20,male,3.5245457408489762e-6,2.115982163720614e-5,4.286349875078922e-4,6.309418834412287e-5,8218,ishd,0,50,20,0,0,5,male_ishd,nottingham
21,male,3.5245457408489762e-6,2.115982163720614e-5,4.286349875078922e-4,6.309418834412287e-5,8218,ishd,0,50,20,0,0,5,male_ishd,nottingham
22,male,3.5245457408489762e-6,2.115982163720614e-5,4.286349875078922e-4,6.309418834412287e-5,8218,ishd,0,50,20,0,0,5,male_ishd,nottingham
23,male,3.5245457408489762e-6,2.115982163720614e-5,4.286349875078922e-4,6.309418834412287e-5,8218,ishd,0,50,20,0,0,5,male_ishd,nottingham
24,male,3.5245457408489762e-6,2.115982163720614e-5,4.286349875078922e-4,6.309418834412287e-5,8218,ishd,0,50,20,0,0,5,male_ishd,nottingham
25,male,1.19301122146172e-5,4.408935508139495e-5,9.88476999843619e-4,1.0747097301198248e-4,8654,ishd,0,50,25,0,0,5,male_ishd,nottingham
26,male,1.19301122146172e-5,4.408935508139495e-5,9.88476999843619e-4,1.0747097301198248e-4,8654,ishd,0,50,25,0,0,5,male_ishd,nottingham
27,male,1.19301122146172e-5,4.408935508139495e-5,9.88476999843619e-4,1.0747097301198248e-4,8654,ishd,0,50,25,0,0,5,male_ishd,nottingham
28,male,1.19301122146172e-5,4.408935508139495e-5,9.88476999843619e-4,1.0747097301198248e-4,8654,ishd,0,50,25,0,0,5,male_ishd,nottingham
29,male,1.19301122146172e-5,4.408935508139495e-5,9.88476999843619e-4,1.0747097301198248e-4,8654,ishd,0,50,25,0,0,5,male_ishd,nottingham
30,male,3.566354268006524e-5,8.688404207680451e-5,0.0021563009882661203,2.9817331817934e-4,7635,ishd,0,50,30,0,0,5,male_ishd,nottingham
31,male,3.566354268006524e-5,8.688404207680451e-5,0.0021563009882661203,2.9817331817934e-4,7635,ishd,0,50,30,0,0,5,male_ishd,nottingham
32,male,3.566354268006524e-5,8.688404207680451e-5,0.0021563009882661203,2.9817331817934e-4,7635,ishd,0,50,30,0,0,5,male_ishd,nottingham
33,male,3.566354268006524e-5,8.688404207680451e-5,0.0021563009882661203,2.9817331817934e-4,7635,ishd,0,50,30,0,0,5,male_ishd,nottingham
34,male,3.566354268006524e-5,8.688404207680451e-5,0.0021563009882661203,2.9817331817934e-4,7635,ishd,0,50,30,0,0,5,male_ishd,nottingham
35,male,8.284664425836382e-5,1.6432561423938437e-4,0.004804433461720473,6.353416311986749e-4,7539,ishd,0,50,35,0,1,5,male_ishd,nottingham
36,male,8.284664425836382e-5,1.6432561423938437e-4,0.004804433461720473,6.353416311986749e-4,7539,ishd,0,50,35,0,1,5,male_ishd,nottingham
37,male,8.284664425836382e-5,1.6432561423938437e-4,0.004804433461720473,6.353416311986749e-4,7539,ishd,0,50,35,0,1,5,male_ishd,nottingham
38,male,8.284664425836382e-5,1.6432561423938437e-4,0.004804433461720473,6.353416311986749e-4,7539,ishd,0,50,35,0,1,5,male_ishd,nottingham
39,male,8.284664425836382e-5,1.6432561423938437e-4,0.004804433461720473,6.353416311986749e-4,7539,ishd,0,50,35,0,1,5,male_ishd,nottingham
40,male,2.10451649915803e-4,3.221438285327354e-4,0.009995392961266884,0.0013143800279416002,6988,ishd,0,50,40,0,1,5,male_ishd,nottingham
41,male,2.10451649915803e-4,3.221438285327354e-4,0.009995392961266884,0.0013143800279416002,6988,ishd,0,50,40,0,1,5,male_ishd,nottingham
42,male,2.10451649915803e-4,3.221438285327354e-4,0.009995392961266884,0.0013143800279416002,6988,ishd,0,50,40,0,1,5,male_ishd,nottingham
43,male,2.10451649915803e-4,3.221438285327354e-4,0.009995392961266884,0.0013143800279416002,6988,ishd,0,50,40,0,1,5,male_ishd,nottingham
44,male,2.10451649915803e-4,3.221438285327354e-4,0.009995392961266884,0.0013143800279416002,6988,ishd,0,50,40,0,1,5,male_ishd,nottingham
45,male,3.5947134760422247e-4,5.690853297236247e-4,0.01859727476932587,0.002334847788535952,8007,ishd,0,50,45,1,3,5,male_ishd,nottingham
46,male,3.5947134760422247e-4,5.690853297236247e-4,0.01859727476932587,0.002334847788535952,8007,ishd,0,50,45,1,3,5,male_ishd,nottingham
47,male,3.5947134760422247e-4,5.690853297236247e-4,0.01859727476932587,0.002334847788535952,8007,ishd,0,50,45,1,3,5,male_ishd,nottingham
48,male,3.5947134760422247e-4,5.690853297236247e-4,0.01859727476932587,0.002334847788535952,8007,ishd,0,50,45,1,3,5,male_ishd,nottingham
49,male,3.5947134760422247e-4,5.690853297236247e-4,0.01859727476932587,0.002334847788535952,8007,ishd,0,50,45,1,3,5,male_ishd,nottingham
50,male,6.362911896748917e-4,9.010049276049961e-4,0.032077252657419675,0.004136768506671751,8299,ishd,0,50,50,2,5,5,male_ishd,nottingham
51,male,6.362911896748917e-4,9.010049276049961e-4,0.032077252657419675,0.004136768506671751,8299,ishd,0,50,50,2,5,5,male_ishd,nottingham
52,male,6.362911896748917e-4,9.010049276049961e-4,0.032077252657419675,0.004136768506671751,8299,ishd,0,50,50,2,5,5,male_ishd,nottingham
53,male,6.362911896748917e-4,9.010049276049961e-4,0.032077252657419675,0.004136768506671751,8299,ishd,0,50,50,2,5,5,male_ishd,nottingham
54,male,6.362911896748917e-4,9.010049276049961e-4,0.032077252657419675,0.004136768506671751,8299,ishd,0,50,50,2,5,5,male_ishd,nottingham
55,male,0.001092232362213908,0.001361543896725094,0.05237269083692195,0.0067188212197112265,7307,ishd,0,50,55,3,8,5,male_ishd,nottingham
56,male,0.001092232362213908,0.001361543896725094,0.05237269083692195,0.0067188212197112265,7307,ishd,0,50,55,3,8,5,male_ishd,nottingham
57,male,0.001092232362213908,0.001361543896725094,0.05237269083692195,0.0067188212197112265,7307,ishd,0,50,55,3,8,5,male_ishd,nottingham
58,male,0.001092232362213908,0.001361543896725094,0.05237269083692195,0.0067188212197112265,7307,ishd,0,50,55,3,8,5,male_ishd,nottingham
59,male,0.001092232362213908,0.001361543896725094,0.05237269083692195,0.0067188212197112265,7307,ishd,0,50,55,3,8,5,male_ishd,nottingham
60,male,0.0017199591067590466,0.0020619863872443707,0.08007702213081583,0.01022377754682926,6153,ishd,0,50,60,4,11,5,male_ishd,nottingham
61,male,0.0017199591067590466,0.0020619863872443707,0.08007702213081583,0.01022377754682926,6153,ishd,0,50,60,4,11,5,male_ishd,nottingham
62,male,0.0017199591067590466,0.0020619863872443707,0.08007702213081583,0.01022377754682926,6153,ishd,0,50,60,4,11,5,male_ishd,nottingham
63,male,0.0017199591067590466,0.0020619863872443707,0.08007702213081583,0.01022377754682926,6153,ishd,0,50,60,4,11,5,male_ishd,nottingham
64,male,0.0017199591067590466,0.0020619863872443707,0.08007702213081583,0.01022377754682926,6153,ishd,0,50,60,4,11,5,male_ishd,nottingham
65,male,0.002732670858528065,0.003082074092426403,0.12388189577476706,0.014642582831676947,6033,ishd,0,50,65,6,16,5,male_ishd,nottingham
66,male,0.002732670858528065,0.003082074092426403,0.12388189577476706,0.014642582831676947,6033,ishd,0,50,65,6,16,5,male_ishd,nottingham
67,male,0.002732670858528065,0.003082074092426403,0.12388189577476706,0.014642582831676947,6033,ishd,0,50,65,6,16,5,male_ishd,nottingham
68,male,0.002732670858528065,0.003082074092426403,0.12388189577476706,0.014642582831676947,6033,ishd,0,50,65,6,16,5,male_ishd,nottingham
69,male,0.002732670858528065,0.003082074092426403,0.12388189577476706,0.014642582831676947,6033,ishd,0,50,65,6,16,5,male_ishd,nottingham
70,male,0.004144116621526924,0.004195944835268374,0.16736872662539026,0.020703270785222293,5069,ishd,0,50,70,8,21,5,male_ishd,nottingham
71,male,0.004144116621526924,0.004195944835268374,0.16736872662539026,0.020703270785222293,5069,ishd,0,50,70,8,21,5,male_ishd,nottingham
72,male,0.004144116621526924,0.004195944835268374,0.16736872662539026,0.020703270785222293,5069,ishd,0,50,70,8,21,5,male_ishd,nottingham
73,male,0.004144116621526924,0.004195944835268374,0.16736872662539026,0.020703270785222293,5069,ishd,0,50,70,8,21,5,male_ishd,nottingham
74,male,0.004144116621526924,0.004195944835268374,0.16736872662539026,0.020703270785222293,5069,ishd,0,50,70,8,21,5,male_ishd,nottingham
75,male,0.00731917240774196,0.005236621460714654,0.21369123504969348,0.02843428696980854,3444,ishd,0,50,75,11,25,5,male_ishd,nottingham
76,male,0.00731917240774196,0.005236621460714654,0.21369123504969348,0.02843428696980854,3444,ishd,0,50,75,11,25,5,male_ishd,nottingham
77,male,0.00731917240774196,0.005236621460714654,0.21369123504969348,0.02843428696980854,3444,ishd,0,50,75,11,25,5,male_ishd,nottingham
78,male,0.00731917240774196,0.005236621460714654,0.21369123504969348,0.02843428696980854,3444,ishd,0,50,75,11,25,5,male_ishd,nottingham
79,male,0.00731917240774196,0.005236621460714654,0.21369123504969348,0.02843428696980854,3444,ishd,0,50,75,11,25,5,male_ishd,nottingham
80,male,0.012265371320089367,0.006244773620882034,0.24624075788222308,0.035700306676262325,2361,ishd,0,20,80,5,29,5,male_ishd,nottingham
81,male,0.012265371320089367,0.006244773620882034,0.24624075788222308,0.035700306676262325,2361,ishd,0,20,80,5,29,5,male_ishd,nottingham
82,male,0.012265371320089367,0.006244773620882034,0.24624075788222308,0.035700306676262325,2361,ishd,0,20,80,5,29,5,male_ishd,nottingham
83,male,0.012265371320089367,0.006244773620882034,0.24624075788222308,0.035700306676262325,2361,ishd,0,20,80,5,29,5,male_ishd,nottingham
84,male,0.012265371320089367,0.006244773620882034,0.24624075788222308,0.035700306676262325,2361,ishd,0,20,80,5,29,5,male_ishd,nottingham
85,male,0.022345733814492827,0.006699794825666109,0.24754183570568525,0.04247157616260197,1242,ishd,0,20,85,5,27,5,male_ishd,nottingham
86,male,0.022345733814492827,0.006699794825666109,0.24754183570568525,0.04247157616260197,1242,ishd,0,20,85,5,27,5,male_ishd,nottingham
87,male,0.022345733814492827,0.006699794825666109,0.24754183570568525,0.04247157616260197,1242,ishd,0,20,85,5,27,5,male_ishd,nottingham
88,male,0.022345733814492827,0.006699794825666109,0.24754183570568525,0.04247157616260197,1242,ishd,0,20,85,5,27,5,male_ishd,nottingham
89,male,0.022345733814492827,0.006699794825666109,0.24754183570568525,0.04247157616260197,1242,ishd,0,20,85,5,27,5,male_ishd,nottingham
90,male,0.036207177406436974,0.006241037328819186,0.20423010259301003,0.04828521914396015,478,ishd,0,10,90,2,17,5,male_ishd,nottingham
91,male,0.036207177406436974,0.006241037328819186,0.20423010259301003,0.04828521914396015,478,ishd,0,10,90,2,17,5,male_ishd,nottingham
92,male,0.036207177406436974,0.006241037328819186,0.20423010259301003,0.04828521914396015,478,ishd,0,10,90,2,17,5,male_ishd,nottingham
93,male,0.036207177406436974,0.006241037328819186,0.20423010259301003,0.04828521914396015,478,ishd,0,10,90,2,17,5,male_ishd,nottingham
94,male,0.036207177406436974,0.006241037328819186,0.20423010259301003,0.04828521914396015,478,ishd,0,10,90,2,17,5,male_ishd,nottingham
95,male,0.06075312147377486,0.005036932675294563,0.11361474106397673,0.05316321959702255,76,ishd,0,10,95,1,4,6,male_ishd,nottingham
96,male,0.06075312147377486,0.005036932675294563,0.11361474106397673,0.05316321959702255,76,ishd,0,10,95,1,4,6,male_ishd,nottingham
97,male,0.06075312147377486,0.005036932675294563,0.11361474106397673,0.05316321959702255,76,ishd,0,10,95,1,4,6,male_ishd,nottingham
98,male,0.06075312147377486,0.005036932675294563,0.11361474106397673,0.05316321959702255,76,ishd,0,10,95,1,4,6,male_ishd,nottingham
99,male,0.06075312147377486,0.005036932675294563,0.11361474106397673,0.05316321959702255,76,ishd,0,10,95,1,4,6,male_ishd,nottingham
100,male,0.06075312147377486,0.005036932675294563,0.11361474106397673,0.05316321959702255,76,ishd,0,10,95,1,4,6,male_ishd,nottingham
