age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,6747,stmc,0,10,0,0,0,5,male_stmc,nottingham
1,male,0,0,0,1e-8,6747,stmc,0,10,0,0,0,5,male_stmc,nottingham
2,male,0,0,0,1e-8,6747,stmc,0,10,0,0,0,5,male_stmc,nottingham
3,male,0,0,0,1e-8,6747,stmc,0,10,0,0,0,5,male_stmc,nottingham
4,male,0,0,0,1e-8,6747,stmc,0,10,0,0,0,5,male_stmc,nottingham
5,male,0,0,0,1e-8,7132,stmc,0,10,5,0,0,5,male_stmc,nottingham
6,male,0,0,0,1e-8,7132,stmc,0,10,5,0,0,5,male_stmc,nottingham
7,male,0,0,0,1e-8,7132,stmc,0,10,5,0,0,5,male_stmc,nottingham
8,male,0,0,0,1e-8,7132,stmc,0,10,5,0,0,5,male_stmc,nottingham
9,male,0,0,0,1e-8,7132,stmc,0,10,5,0,0,5,male_stmc,nottingham
10,male,0,0,0,1e-8,6589,stmc,0,50,10,0,0,5,male_stmc,nottingham
11,male,0,0,0,1e-8,6589,stmc,0,50,10,0,0,5,male_stmc,nottingham
12,male,0,0,0,1e-8,6589,stmc,0,50,10,0,0,5,male_stmc,nottingham
13,male,0,0,0,1e-8,6589,stmc,0,50,10,0,0,5,male_stmc,nottingham
14,male,0,0,0,1e-8,6589,stmc,0,50,10,0,0,5,male_stmc,nottingham
15,male,1.618073619724622e-7,2.767948407683352e-7,2.782556150700725e-6,6.878167924223269e-7,6783,stmc,0,50,15,0,0,5,male_stmc,nottingham
16,male,1.618073619724622e-7,2.767948407683352e-7,2.782556150700725e-6,6.878167924223269e-7,6783,stmc,0,50,15,0,0,5,male_stmc,nottingham
17,male,1.618073619724622e-7,2.767948407683352e-7,2.782556150700725e-6,6.878167924223269e-7,6783,stmc,0,50,15,0,0,5,male_stmc,nottingham
