age,sex,mort,ylds (years lived with disability)_rate_strk,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,1.7685152500760065e-6,2.638638948776256e-5,0,8.754083207634193e-5,6747,strk,0,10,0,0,0,5,male_strk,nottingham
1,male,1.7685152500760065e-6,2.638638948776256e-5,0,8.754083207634193e-5,6747,strk,0,10,0,0,0,5,male_strk,nottingham
2,male,1.7685152500760065e-6,2.638638948776256e-5,0,8.754083207634193e-5,6747,strk,0,10,0,0,0,5,male_strk,nottingham
3,male,1.7685152500760065e-6,2.638638948776256e-5,0,8.754083207634193e-5,6747,strk,0,10,0,0,0,5,male_strk,nottingham
4,male,1.7685152500760065e-6,2.638638948776256e-5,0,8.754083207634193e-5,6747,strk,0,10,0,0,0,5,male_strk,nottingham
5,male,3.97126052170243e-7,6.70155121506482e-5,2.7882007280703134e-4,5.1787441006267384e-5,7132,strk,0,10,5,0,0,5,male_strk,nottingham
6,male,3.97126052170243e-7,6.70155121506482e-5,2.7882007280703134e-4,5.1787441006267384e-5,7132,strk,0,10,5,0,0,5,male_strk,nottingham
7,male,3.97126052170243e-7,6.70155121506482e-5,2.7882007280703134e-4,5.1787441006267384e-5,7132,strk,0,10,5,0,0,5,male_strk,nottingham
8,male,3.97126052170243e-7,6.70155121506482e-5,2.7882007280703134e-4,5.1787441006267384e-5,7132,strk,0,10,5,0,0,5,male_strk,nottingham
9,male,3.97126052170243e-7,6.70155121506482e-5,2.7882007280703134e-4,5.1787441006267384e-5,7132,strk,0,10,5,0,0,5,male_strk,nottingham
10,male,9.04572889699851e-7,1.048201107438545e-4,4.1041717586273464e-4,4.838729166411746e-5,6589,strk,0,50,10,0,0,5,male_strk,nottingham
11,male,9.04572889699851e-7,1.048201107438545e-4,4.1041717586273464e-4,4.838729166411746e-5,6589,strk,0,50,10,0,0,5,male_strk,nottingham
12,male,9.04572889699851e-7,1.048201107438545e-4,4.1041717586273464e-4,4.838729166411746e-5,6589,strk,0,50,10,0,0,5,male_strk,nottingham
13,male,9.04572889699851e-7,1.048201107438545e-4,4.1041717586273464e-4,4.838729166411746e-5,6589,strk,0,50,10,0,0,5,male_strk,nottingham
14,male,9.04572889699851e-7,1.048201107438545e-4,4.1041717586273464e-4,4.838729166411746e-5,6589,strk,0,50,10,0,0,5,male_strk,nottingham
15,male,2.646287035396843e-6,1.4026147177113898e-4,6.052759901009869e-4,4.6304507673794614e-5,6783,strk,0,50,15,0,0,5,male_strk,nottingham
16,male,2.646287035396843e-6,1.4026147177113898e-4,6.052759901009869e-4,4.6304507673794614e-5,6783,strk,0,50,15,0,0,5,male_strk,nottingham
17,male,2.646287035396843e-6,1.4026147177113898e-4,6.052759901009869e-4,4.6304507673794614e-5,6783,strk,0,50,15,0,0,5,male_strk,nottingham
18,male,2.646287035396843e-6,1.4026147177113898e-4,6.052759901009869e-4,4.6304507673794614e-5,6783,strk,0,50,15,0,0,5,male_strk,nottingham
19,male,2.646287035396843e-6,1.4026147177113898e-4,6.052759901009869e-4,4.6304507673794614e-5,6783,strk,0,50,15,0,0,5,male_strk,nottingham
20,male,5.707004022136352e-6,1.8239633790772188e-4,9.007968661693452e-4,5.832154029337899e-5,8218,strk,0,50,20,0,0,5,male_strk,nottingham
21,male,5.707004022136352e-6,1.8239633790772188e-4,9.007968661693452e-4,5.832154029337899e-5,8218,strk,0,50,20,0,0,5,male_strk,nottingham
22,male,5.707004022136352e-6,1.8239633790772188e-4,9.007968661693452e-4,5.832154029337899e-5,8218,strk,0,50,20,0,0,5,male_strk,nottingham
23,male,5.707004022136352e-6,1.8239633790772188e-4,9.007968661693452e-4,5.832154029337899e-5,8218,strk,0,50,20,0,0,5,male_strk,nottingham
24,male,5.707004022136352e-6,1.8239633790772188e-4,9.007968661693452e-4,5.832154029337899e-5,8218,strk,0,50,20,0,0,5,male_strk,nottingham
25,male,9.823823986129612e-6,2.329162610907861e-4,0.001362680623715711,8.423447910941006e-5,8654,strk,0,50,25,0,0,5,male_strk,nottingham
26,male,9.823823986129612e-6,2.329162610907861e-4,0.001362680623715711,8.423447910941006e-5,8654,strk,0,50,25,0,0,5,male_strk,nottingham
27,male,9.823823986129612e-6,2.329162610907861e-4,0.001362680623715711,8.423447910941006e-5,8654,strk,0,50,25,0,0,5,male_strk,nottingham
28,male,9.823823986129612e-6,2.329162610907861e-4,0.001362680623715711,8.423447910941006e-5,8654,strk,0,50,25,0,0,5,male_strk,nottingham
29,male,9.823823986129612e-6,2.329162610907861e-4,0.001362680623715711,8.423447910941006e-5,8654,strk,0,50,25,0,0,5,male_strk,nottingham
30,male,1.883796526148193e-5,3.049377061940309e-4,0.0019945662116809325,1.5958043325593386e-4,7635,strk,0,50,30,0,0,5,male_strk,nottingham
31,male,1.883796526148193e-5,3.049377061940309e-4,0.0019945662116809325,1.5958043325593386e-4,7635,strk,0,50,30,0,0,5,male_strk,nottingham
32,male,1.883796526148193e-5,3.049377061940309e-4,0.0019945662116809325,1.5958043325593386e-4,7635,strk,0,50,30,0,0,5,male_strk,nottingham
33,male,1.883796526148193e-5,3.049377061940309e-4,0.0019945662116809325,1.5958043325593386e-4,7635,strk,0,50,30,0,0,5,male_strk,nottingham
34,male,1.883796526148193e-5,3.049377061940309e-4,0.0019945662116809325,1.5958043325593386e-4,7635,strk,0,50,30,0,0,5,male_strk,nottingham
35,male,3.085669372478487e-5,4.2804874274010823e-4,0.0033070946413555954,2.8414820625848665e-4,7539,strk,0,50,35,0,0,5,male_strk,nottingham
36,male,3.085669372478487e-5,4.2804874274010823e-4,0.0033070946413555954,2.8414820625848665e-4,7539,strk,0,50,35,0,0,5,male_strk,nottingham
37,male,3.085669372478487e-5,4.2804874274010823e-4,0.0033070946413555954,2.8414820625848665e-4,7539,strk,0,50,35,0,0,5,male_strk,nottingham
38,male,3.085669372478487e-5,4.2804874274010823e-4,0.0033070946413555954,2.8414820625848665e-4,7539,strk,0,50,35,0,0,5,male_strk,nottingham
39,male,3.085669372478487e-5,4.2804874274010823e-4,0.0033070946413555954,2.8414820625848665e-4,7539,strk,0,50,35,0,0,5,male_strk,nottingham
40,male,6.072945562556011e-5,6.447534756068706e-4,0.005244038096771933,5.357691558654258e-4,6988,strk,0,50,40,0,0,5,male_strk,nottingham
41,male,6.072945562556011e-5,6.447534756068706e-4,0.005244038096771933,5.357691558654258e-4,6988,strk,0,50,40,0,0,5,male_strk,nottingham
42,male,6.072945562556011e-5,6.447534756068706e-4,0.005244038096771933,5.357691558654258e-4,6988,strk,0,50,40,0,0,5,male_strk,nottingham
43,male,6.072945562556011e-5,6.447534756068706e-4,0.005244038096771933,5.357691558654258e-4,6988,strk,0,50,40,0,0,5,male_strk,nottingham
44,male,6.072945562556011e-5,6.447534756068706e-4,0.005244038096771933,5.357691558654258e-4,6988,strk,0,50,40,0,0,5,male_strk,nottingham
45,male,8.423122281441303e-5,0.0010323662645724194,0.008518226136020155,9.122815928252826e-4,8007,strk,0,50,45,0,1,5,male_strk,nottingham
46,male,8.423122281441303e-5,0.0010323662645724194,0.008518226136020155,9.122815928252826e-4,8007,strk,0,50,45,0,1,5,male_strk,nottingham
47,male,8.423122281441303e-5,0.0010323662645724194,0.008518226136020155,9.122815928252826e-4,8007,strk,0,50,45,0,1,5,male_strk,nottingham
48,male,8.423122281441303e-5,0.0010323662645724194,0.008518226136020155,9.122815928252826e-4,8007,strk,0,50,45,0,1,5,male_strk,nottingham
49,male,8.423122281441303e-5,0.0010323662645724194,0.008518226136020155,9.122815928252826e-4,8007,strk,0,50,45,0,1,5,male_strk,nottingham
50,male,1.3490166128800934e-4,0.0015858314673127237,0.013291541241869296,0.0014843416917208056,8299,strk,0,50,50,1,1,5,male_strk,nottingham
51,male,1.3490166128800934e-4,0.0015858314673127237,0.013291541241869296,0.0014843416917208056,8299,strk,0,50,50,1,1,5,male_strk,nottingham
52,male,1.3490166128800934e-4,0.0015858314673127237,0.013291541241869296,0.0014843416917208056,8299,strk,0,50,50,1,1,5,male_strk,nottingham
53,male,1.3490166128800934e-4,0.0015858314673127237,0.013291541241869296,0.0014843416917208056,8299,strk,0,50,50,1,1,5,male_strk,nottingham
54,male,1.3490166128800934e-4,0.0015858314673127237,0.013291541241869296,0.0014843416917208056,8299,strk,0,50,50,1,1,5,male_strk,nottingham
55,male,2.1864190740389868e-4,0.0024395312856412754,0.019757173469660834,0.002252872544509976,7307,strk,0,50,55,1,2,5,male_strk,nottingham
56,male,2.1864190740389868e-4,0.0024395312856412754,0.019757173469660834,0.002252872544509976,7307,strk,0,50,55,1,2,5,male_strk,nottingham
57,male,2.1864190740389868e-4,0.0024395312856412754,0.019757173469660834,0.002252872544509976,7307,strk,0,50,55,1,2,5,male_strk,nottingham
58,male,2.1864190740389868e-4,0.0024395312856412754,0.019757173469660834,0.002252872544509976,7307,strk,0,50,55,1,2,5,male_strk,nottingham
59,male,2.1864190740389868e-4,0.0024395312856412754,0.019757173469660834,0.002252872544509976,7307,strk,0,50,55,1,2,5,male_strk,nottingham
60,male,3.511979870380541e-4,0.003450187133432861,0.027861690652430895,0.0028824263844365217,6153,strk,0,50,60,1,2,5,male_strk,nottingham
61,male,3.511979870380541e-4,0.003450187133432861,0.027861690652430895,0.0028824263844365217,6153,strk,0,50,60,1,2,5,male_strk,nottingham
62,male,3.511979870380541e-4,0.003450187133432861,0.027861690652430895,0.0028824263844365217,6153,strk,0,50,60,1,2,5,male_strk,nottingham
63,male,3.511979870380541e-4,0.003450187133432861,0.027861690652430895,0.0028824263844365217,6153,strk,0,50,60,1,2,5,male_strk,nottingham
64,male,3.511979870380541e-4,0.003450187133432861,0.027861690652430895,0.0028824263844365217,6153,strk,0,50,60,1,2,5,male_strk,nottingham
65,male,6.199344749227139e-4,0.0046712332710107446,0.03716713667090541,0.003368318727492464,6033,strk,0,50,65,2,4,5,male_strk,nottingham
66,male,6.199344749227139e-4,0.0046712332710107446,0.03716713667090541,0.003368318727492464,6033,strk,0,50,65,2,4,5,male_strk,nottingham
67,male,6.199344749227139e-4,0.0046712332710107446,0.03716713667090541,0.003368318727492464,6033,strk,0,50,65,2,4,5,male_strk,nottingham
68,male,6.199344749227139e-4,0.0046712332710107446,0.03716713667090541,0.003368318727492464,6033,strk,0,50,65,2,4,5,male_strk,nottingham
