age,sex,mort,ylds (years lived with disability)_rate_brsc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,8045,brsc,0,10,0,0,0,5,female_brsc,sheffield
1,female,0,0,0,1e-8,8045,brsc,0,10,0,0,0,5,female_brsc,sheffield
2,female,0,0,0,1e-8,8045,brsc,0,10,0,0,0,5,female_brsc,sheffield
3,female,0,0,0,1e-8,8045,brsc,0,10,0,0,0,5,female_brsc,sheffield
4,female,0,0,0,1e-8,8045,brsc,0,10,0,0,0,5,female_brsc,sheffield
5,female,0,0,0,1e-8,8585,brsc,0,10,5,0,0,5,female_brsc,sheffield
6,female,0,0,0,1e-8,8585,brsc,0,10,5,0,0,5,female_brsc,sheffield
7,female,0,0,0,1e-8,8585,brsc,0,10,5,0,0,5,female_brsc,sheffield
8,female,0,0,0,1e-8,8585,brsc,0,10,5,0,0,5,female_brsc,sheffield
9,female,0,0,0,1e-8,8585,brsc,0,10,5,0,0,5,female_brsc,sheffield
10,female,0,0,0,1e-8,7873,brsc,0,50,10,0,0,5,female_brsc,sheffield
11,female,0,0,0,1e-8,7873,brsc,0,50,10,0,0,5,female_brsc,sheffield
12,female,0,0,0,1e-8,7873,brsc,0,50,10,0,0,5,female_brsc,sheffield
13,female,0,0,0,1e-8,7873,brsc,0,50,10,0,0,5,female_brsc,sheffield
14,female,0,0,0,1e-8,7873,brsc,0,50,10,0,0,5,female_brsc,sheffield
15,female,1.5972614015453562e-7,1.5533143376944336e-6,1.9482392905460856e-5,1.8966592942438749e-6,8150,brsc,0,50,15,0,0,5,female_brsc,sheffield
16,female,1.5972614015453562e-7,1.5533143376944336e-6,1.9482392905460856e-5,1.8966592942438749e-6,8150,brsc,0,50,15,0,0,5,female_brsc,sheffield
17,female,1.5972614015453562e-7,1.5533143376944336e-6,1.9482392905460856e-5,1.8966592942438749e-6,8150,brsc,0,50,15,0,0,5,female_brsc,sheffield
18,female,1.5972614015453562e-7,1.5533143376944336e-6,1.9482392905460856e-5,1.8966592942438749e-6,8150,brsc,0,50,15,0,0,5,female_brsc,sheffield
19,female,1.5972614015453562e-7,1.5533143376944336e-6,1.9482392905460856e-5,1.8966592942438749e-6,8150,brsc,0,50,15,0,0,5,female_brsc,sheffield
20,female,1.1727596160704745e-6,1.3034494146794593e-5,1.5628433948165708e-4,1.6355659762172045e-5,9912,brsc,0,50,20,0,0,5,female_brsc,sheffield
21,female,1.1727596160704745e-6,1.3034494146794593e-5,1.5628433948165708e-4,1.6355659762172045e-5,9912,brsc,0,50,20,0,0,5,female_brsc,sheffield
22,female,1.1727596160704745e-6,1.3034494146794593e-5,1.5628433948165708e-4,1.6355659762172045e-5,9912,brsc,0,50,20,0,0,5,female_brsc,sheffield
23,female,1.1727596160704745e-6,1.3034494146794593e-5,1.5628433948165708e-4,1.6355659762172045e-5,9912,brsc,0,50,20,0,0,5,female_brsc,sheffield
24,female,1.1727596160704745e-6,1.3034494146794593e-5,1.5628433948165708e-4,1.6355659762172045e-5,9912,brsc,0,50,20,0,0,5,female_brsc,sheffield
25,female,8.669851778708604e-6,1.0510603423070182e-4,0.0012344808699706518,1.4016570359979945e-4,10687,brsc,0,50,25,0,0,5,female_brsc,sheffield
26,female,8.669851778708604e-6,1.0510603423070182e-4,0.0012344808699706518,1.4016570359979945e-4,10687,brsc,0,50,25,0,0,5,female_brsc,sheffield
27,female,8.669851778708604e-6,1.0510603423070182e-4,0.0012344808699706518,1.4016570359979945e-4,10687,brsc,0,50,25,0,0,5,female_brsc,sheffield
28,female,8.669851778708604e-6,1.0510603423070182e-4,0.0012344808699706518,1.4016570359979945e-4,10687,brsc,0,50,25,0,0,5,female_brsc,sheffield
29,female,8.669851778708604e-6,1.0510603423070182e-4,0.0012344808699706518,1.4016570359979945e-4,10687,brsc,0,50,25,0,0,5,female_brsc,sheffield
30,female,3.3982782310911656e-5,2.6073783740595137e-4,0.0030973478604293895,3.5689889437854537e-4,9523,brsc,0,50,30,0,0,5,female_brsc,sheffield
31,female,3.3982782310911656e-5,2.6073783740595137e-4,0.0030973478604293895,3.5689889437854537e-4,9523,brsc,0,50,30,0,0,5,female_brsc,sheffield
32,female,3.3982782310911656e-5,2.6073783740595137e-4,0.0030973478604293895,3.5689889437854537e-4,9523,brsc,0,50,30,0,0,5,female_brsc,sheffield
33,female,3.3982782310911656e-5,2.6073783740595137e-4,0.0030973478604293895,3.5689889437854537e-4,9523,brsc,0,50,30,0,0,5,female_brsc,sheffield
34,female,3.3982782310911656e-5,2.6073783740595137e-4,0.0030973478604293895,3.5689889437854537e-4,9523,brsc,0,50,30,0,0,5,female_brsc,sheffield
35,female,1.07080538654948e-4,6.589782876502049e-4,0.00806143318563968,9.283373964998513e-4,8742,brsc,0,50,35,0,1,5,female_brsc,sheffield
36,female,1.07080538654948e-4,6.589782876502049e-4,0.00806143318563968,9.283373964998513e-4,8742,brsc,0,50,35,0,1,5,female_brsc,sheffield
37,female,1.07080538654948e-4,6.589782876502049e-4,0.00806143318563968,9.283373964998513e-4,8742,brsc,0,50,35,0,1,5,female_brsc,sheffield
38,female,1.07080538654948e-4,6.589782876502049e-4,0.00806143318563968,9.283373964998513e-4,8742,brsc,0,50,35,0,1,5,female_brsc,sheffield
39,female,1.07080538654948e-4,6.589782876502049e-4,0.00806143318563968,9.283373964998513e-4,8742,brsc,0,50,35,0,1,5,female_brsc,sheffield
40,female,1.6971234606197696e-4,9.89208835898863e-4,0.012306709927255147,0.0013970162039896184,8291,brsc,0,50,40,1,1,5,female_brsc,sheffield
41,female,1.6971234606197696e-4,9.89208835898863e-4,0.012306709927255147,0.0013970162039896184,8291,brsc,0,50,40,1,1,5,female_brsc,sheffield
42,female,1.6971234606197696e-4,9.89208835898863e-4,0.012306709927255147,0.0013970162039896184,8291,brsc,0,50,40,1,1,5,female_brsc,sheffield
43,female,1.6971234606197696e-4,9.89208835898863e-4,0.012306709927255147,0.0013970162039896184,8291,brsc,0,50,40,1,1,5,female_brsc,sheffield
44,female,1.6971234606197696e-4,9.89208835898863e-4,0.012306709927255147,0.0013970162039896184,8291,brsc,0,50,40,1,1,5,female_brsc,sheffield
45,female,2.8271650014346616e-4,0.0015211155196737784,0.019063794189076038,0.0021290054025906676,9789,brsc,0,50,45,1,3,5,female_brsc,sheffield
46,female,2.8271650014346616e-4,0.0015211155196737784,0.019063794189076038,0.0021290054025906676,9789,brsc,0,50,45,1,3,5,female_brsc,sheffield
47,female,2.8271650014346616e-4,0.0015211155196737784,0.019063794189076038,0.0021290054025906676,9789,brsc,0,50,45,1,3,5,female_brsc,sheffield
48,female,2.8271650014346616e-4,0.0015211155196737784,0.019063794189076038,0.0021290054025906676,9789,brsc,0,50,45,1,3,5,female_brsc,sheffield
49,female,2.8271650014346616e-4,0.0015211155196737784,0.019063794189076038,0.0021290054025906676,9789,brsc,0,50,45,1,3,5,female_brsc,sheffield
50,female,4.146943821034645e-4,0.0018314762168036903,0.023363914541841526,0.0025546861387689386,9718,brsc,0,50,50,1,4,5,female_brsc,sheffield
51,female,4.146943821034645e-4,0.0018314762168036903,0.023363914541841526,0.0025546861387689386,9718,brsc,0,50,50,1,4,5,female_brsc,sheffield
