age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,8.677896157626417e-7,2.9145936645386607e-5,3.9505237200762e-4,1.3336845833839908e-4,8045,copd,0,10,0,0,0,5,female_copd,sheffield
1,female,8.677896157626417e-7,2.9145936645386607e-5,3.9505237200762e-4,1.3336845833839908e-4,8045,copd,0,10,0,0,0,5,female_copd,sheffield
2,female,8.677896157626417e-7,2.9145936645386607e-5,3.9505237200762e-4,1.3336845833839908e-4,8045,copd,0,10,0,0,0,5,female_copd,sheffield
3,female,8.677896157626417e-7,2.9145936645386607e-5,3.9505237200762e-4,1.3336845833839908e-4,8045,copd,0,10,0,0,0,5,female_copd,sheffield
4,female,8.677896157626417e-7,2.9145936645386607e-5,3.9505237200762e-4,1.3336845833839908e-4,8045,copd,0,10,0,0,0,5,female_copd,sheffield
5,female,6.518055737755469e-7,8.936698417291474e-5,0.0012422352965834674,1.6715004501148198e-4,8585,copd,0,10,5,0,0,5,female_copd,sheffield
6,female,6.518055737755469e-7,8.936698417291474e-5,0.0012422352965834674,1.6715004501148198e-4,8585,copd,0,10,5,0,0,5,female_copd,sheffield
7,female,6.518055737755469e-7,8.936698417291474e-5,0.0012422352965834674,1.6715004501148198e-4,8585,copd,0,10,5,0,0,5,female_copd,sheffield
8,female,6.518055737755469e-7,8.936698417291474e-5,0.0012422352965834674,1.6715004501148198e-4,8585,copd,0,10,5,0,0,5,female_copd,sheffield
9,female,6.518055737755469e-7,8.936698417291474e-5,0.0012422352965834674,1.6715004501148198e-4,8585,copd,0,10,5,0,0,5,female_copd,sheffield
10,female,8.78846609177203e-7,1.7096940205924894e-4,0.002407009883517297,3.6061404130603887e-4,7873,copd,0,50,10,0,0,5,female_copd,sheffield
11,female,8.78846609177203e-7,1.7096940205924894e-4,0.002407009883517297,3.6061404130603887e-4,7873,copd,0,50,10,0,0,5,female_copd,sheffield
12,female,8.78846609177203e-7,1.7096940205924894e-4,0.002407009883517297,3.6061404130603887e-4,7873,copd,0,50,10,0,0,5,female_copd,sheffield
13,female,8.78846609177203e-7,1.7096940205924894e-4,0.002407009883517297,3.6061404130603887e-4,7873,copd,0,50,10,0,0,5,female_copd,sheffield
14,female,8.78846609177203e-7,1.7096940205924894e-4,0.002407009883517297,3.6061404130603887e-4,7873,copd,0,50,10,0,0,5,female_copd,sheffield
15,female,6.573659987451458e-7,3.560576380959901e-4,0.005164319244430474,7.434956389279593e-4,8150,copd,0,50,15,0,0,5,female_copd,sheffield
16,female,6.573659987451458e-7,3.560576380959901e-4,0.005164319244430474,7.434956389279593e-4,8150,copd,0,50,15,0,0,5,female_copd,sheffield
17,female,6.573659987451458e-7,3.560576380959901e-4,0.005164319244430474,7.434956389279593e-4,8150,copd,0,50,15,0,0,5,female_copd,sheffield
18,female,6.573659987451458e-7,3.560576380959901e-4,0.005164319244430474,7.434956389279593e-4,8150,copd,0,50,15,0,0,5,female_copd,sheffield
19,female,6.573659987451458e-7,3.560576380959901e-4,0.005164319244430474,7.434956389279593e-4,8150,copd,0,50,15,0,0,5,female_copd,sheffield
20,female,1.1901456617169494e-6,6.639230447767597e-4,0.009766049715912717,0.0010957663135948237,9912,copd,0,50,20,0,0,5,female_copd,sheffield
21,female,1.1901456617169494e-6,6.639230447767597e-4,0.009766049715912717,0.0010957663135948237,9912,copd,0,50,20,0,0,5,female_copd,sheffield
22,female,1.1901456617169494e-6,6.639230447767597e-4,0.009766049715912717,0.0010957663135948237,9912,copd,0,50,20,0,0,5,female_copd,sheffield
23,female,1.1901456617169494e-6,6.639230447767597e-4,0.009766049715912717,0.0010957663135948237,9912,copd,0,50,20,0,0,5,female_copd,sheffield
24,female,1.1901456617169494e-6,6.639230447767597e-4,0.009766049715912717,0.0010957663135948237,9912,copd,0,50,20,0,0,5,female_copd,sheffield
25,female,1.3015385131093943e-6,0.0010744167849066014,0.016061720306610933,0.0014214455907980445,10687,copd,0,50,25,1,0,5,female_copd,sheffield
26,female,1.3015385131093943e-6,0.0010744167849066014,0.016061720306610933,0.0014214455907980445,10687,copd,0,50,25,1,0,5,female_copd,sheffield
27,female,1.3015385131093943e-6,0.0010744167849066014,0.016061720306610933,0.0014214455907980445,10687,copd,0,50,25,1,0,5,female_copd,sheffield
28,female,1.3015385131093943e-6,0.0010744167849066014,0.016061720306610933,0.0014214455907980445,10687,copd,0,50,25,1,0,5,female_copd,sheffield
29,female,1.3015385131093943e-6,0.0010744167849066014,0.016061720306610933,0.0014214455907980445,10687,copd,0,50,25,1,0,5,female_copd,sheffield
30,female,1.9831880705628174e-6,0.0016194046813172453,0.02436191761003062,0.0019522631086586041,9523,copd,0,50,30,1,0,5,female_copd,sheffield
31,female,1.9831880705628174e-6,0.0016194046813172453,0.02436191761003062,0.0019522631086586041,9523,copd,0,50,30,1,0,5,female_copd,sheffield
32,female,1.9831880705628174e-6,0.0016194046813172453,0.02436191761003062,0.0019522631086586041,9523,copd,0,50,30,1,0,5,female_copd,sheffield
33,female,1.9831880705628174e-6,0.0016194046813172453,0.02436191761003062,0.0019522631086586041,9523,copd,0,50,30,1,0,5,female_copd,sheffield
34,female,1.9831880705628174e-6,0.0016194046813172453,0.02436191761003062,0.0019522631086586041,9523,copd,0,50,30,1,0,5,female_copd,sheffield
35,female,5.221478263663524e-6,0.002398226315287612,0.036397871199650295,0.002972808085167117,8742,copd,0,50,35,2,0,5,female_copd,sheffield
36,female,5.221478263663524e-6,0.002398226315287612,0.036397871199650295,0.002972808085167117,8742,copd,0,50,35,2,0,5,female_copd,sheffield
37,female,5.221478263663524e-6,0.002398226315287612,0.036397871199650295,0.002972808085167117,8742,copd,0,50,35,2,0,5,female_copd,sheffield
38,female,5.221478263663524e-6,0.002398226315287612,0.036397871199650295,0.002972808085167117,8742,copd,0,50,35,2,0,5,female_copd,sheffield
39,female,5.221478263663524e-6,0.002398226315287612,0.036397871199650295,0.002972808085167117,8742,copd,0,50,35,2,0,5,female_copd,sheffield
40,female,1.3648474035186706e-5,0.003492885883915375,0.0539355935378105,0.0039634919750702,8291,copd,0,50,40,3,0,5,female_copd,sheffield
41,female,1.3648474035186706e-5,0.003492885883915375,0.0539355935378105,0.0039634919750702,8291,copd,0,50,40,3,0,5,female_copd,sheffield
42,female,1.3648474035186706e-5,0.003492885883915375,0.0539355935378105,0.0039634919750702,8291,copd,0,50,40,3,0,5,female_copd,sheffield
43,female,1.3648474035186706e-5,0.003492885883915375,0.0539355935378105,0.0039634919750702,8291,copd,0,50,40,3,0,5,female_copd,sheffield
