age,sex,mort,ylds (years lived with disability)_rate_crdd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,1.2785966040847798e-5,7.945428310213604e-5,4.2566357188830983e-4,3.35122141428821e-4,8045,crdd,0,10,0,0,0,5,female_crdd,sheffield
1,female,1.2785966040847798e-5,7.945428310213604e-5,4.2566357188830983e-4,3.35122141428821e-4,8045,crdd,0,10,0,0,0,5,female_crdd,sheffield
2,female,1.2785966040847798e-5,7.945428310213604e-5,4.2566357188830983e-4,3.35122141428821e-4,8045,crdd,0,10,0,0,0,5,female_crdd,sheffield
3,female,1.2785966040847798e-5,7.945428310213604e-5,4.2566357188830983e-4,3.35122141428821e-4,8045,crdd,0,10,0,0,0,5,female_crdd,sheffield
4,female,1.2785966040847798e-5,7.945428310213604e-5,4.2566357188830983e-4,3.35122141428821e-4,8045,crdd,0,10,0,0,0,5,female_crdd,sheffield
5,female,2.941056125299368e-6,1.381474803784263e-4,3.90052098569896e-4,2.6670602088387716e-4,8585,crdd,0,10,5,0,0,5,female_crdd,sheffield
6,female,2.941056125299368e-6,1.381474803784263e-4,3.90052098569896e-4,2.6670602088387716e-4,8585,crdd,0,10,5,0,0,5,female_crdd,sheffield
7,female,2.941056125299368e-6,1.381474803784263e-4,3.90052098569896e-4,2.6670602088387716e-4,8585,crdd,0,10,5,0,0,5,female_crdd,sheffield
8,female,2.941056125299368e-6,1.381474803784263e-4,3.90052098569896e-4,2.6670602088387716e-4,8585,crdd,0,10,5,0,0,5,female_crdd,sheffield
9,female,2.941056125299368e-6,1.381474803784263e-4,3.90052098569896e-4,2.6670602088387716e-4,8585,crdd,0,10,5,0,0,5,female_crdd,sheffield
10,female,5.588659479544492e-6,2.70234942455026e-4,0.002190227773443124,2.3440074220294822e-4,7873,crdd,0,50,10,0,0,5,female_crdd,sheffield
11,female,5.588659479544492e-6,2.70234942455026e-4,0.002190227773443124,2.3440074220294822e-4,7873,crdd,0,50,10,0,0,5,female_crdd,sheffield
12,female,5.588659479544492e-6,2.70234942455026e-4,0.002190227773443124,2.3440074220294822e-4,7873,crdd,0,50,10,0,0,5,female_crdd,sheffield
13,female,5.588659479544492e-6,2.70234942455026e-4,0.002190227773443124,2.3440074220294822e-4,7873,crdd,0,50,10,0,0,5,female_crdd,sheffield
14,female,5.588659479544492e-6,2.70234942455026e-4,0.002190227773443124,2.3440074220294822e-4,7873,crdd,0,50,10,0,0,5,female_crdd,sheffield
15,female,7.1179310143725455e-6,7.420300228064329e-4,0.009910657937007962,3.1103400229553493e-4,8150,crdd,0,50,15,0,0,5,female_crdd,sheffield
16,female,7.1179310143725455e-6,7.420300228064329e-4,0.009910657937007962,3.1103400229553493e-4,8150,crdd,0,50,15,0,0,5,female_crdd,sheffield
17,female,7.1179310143725455e-6,7.420300228064329e-4,0.009910657937007962,3.1103400229553493e-4,8150,crdd,0,50,15,0,0,5,female_crdd,sheffield
18,female,7.1179310143725455e-6,7.420300228064329e-4,0.009910657937007962,3.1103400229553493e-4,8150,crdd,0,50,15,0,0,5,female_crdd,sheffield
19,female,7.1179310143725455e-6,7.420300228064329e-4,0.009910657937007962,3.1103400229553493e-4,8150,crdd,0,50,15,0,0,5,female_crdd,sheffield
20,female,1.9133438920134963e-5,8.701778752953787e-4,0.01132793163556153,5.618585221990384e-4,9912,crdd,0,50,20,1,0,5,female_crdd,sheffield
21,female,1.9133438920134963e-5,8.701778752953787e-4,0.01132793163556153,5.618585221990384e-4,9912,crdd,0,50,20,1,0,5,female_crdd,sheffield
22,female,1.9133438920134963e-5,8.701778752953787e-4,0.01132793163556153,5.618585221990384e-4,9912,crdd,0,50,20,1,0,5,female_crdd,sheffield
23,female,1.9133438920134963e-5,8.701778752953787e-4,0.01132793163556153,5.618585221990384e-4,9912,crdd,0,50,20,1,0,5,female_crdd,sheffield
24,female,1.9133438920134963e-5,8.701778752953787e-4,0.01132793163556153,5.618585221990384e-4,9912,crdd,0,50,20,1,0,5,female_crdd,sheffield
25,female,2.5777013667382822e-5,0.0013692801432520028,0.020239743058458146,9.978441867330942e-4,10687,crdd,0,50,25,1,0,5,female_crdd,sheffield
26,female,2.5777013667382822e-5,0.0013692801432520028,0.020239743058458146,9.978441867330942e-4,10687,crdd,0,50,25,1,0,5,female_crdd,sheffield
27,female,2.5777013667382822e-5,0.0013692801432520028,0.020239743058458146,9.978441867330942e-4,10687,crdd,0,50,25,1,0,5,female_crdd,sheffield
28,female,2.5777013667382822e-5,0.0013692801432520028,0.020239743058458146,9.978441867330942e-4,10687,crdd,0,50,25,1,0,5,female_crdd,sheffield
29,female,2.5777013667382822e-5,0.0013692801432520028,0.020239743058458146,9.978441867330942e-4,10687,crdd,0,50,25,1,0,5,female_crdd,sheffield
30,female,4.581329340271666e-5,0.0016250647941477537,0.024236923208427394,0.0017647092765926897,9523,crdd,0,50,30,1,0,5,female_crdd,sheffield
31,female,4.581329340271666e-5,0.0016250647941477537,0.024236923208427394,0.0017647092765926897,9523,crdd,0,50,30,1,0,5,female_crdd,sheffield
32,female,4.581329340271666e-5,0.0016250647941477537,0.024236923208427394,0.0017647092765926897,9523,crdd,0,50,30,1,0,5,female_crdd,sheffield
33,female,4.581329340271666e-5,0.0016250647941477537,0.024236923208427394,0.0017647092765926897,9523,crdd,0,50,30,1,0,5,female_crdd,sheffield
34,female,4.581329340271666e-5,0.0016250647941477537,0.024236923208427394,0.0017647092765926897,9523,crdd,0,50,30,1,0,5,female_crdd,sheffield
35,female,1.0249626631918248e-4,0.0016341972670838591,0.024295320933631712,0.0028606535883372013,8742,crdd,0,50,35,1,1,5,female_crdd,sheffield
36,female,1.0249626631918248e-4,0.0016341972670838591,0.024295320933631712,0.0028606535883372013,8742,crdd,0,50,35,1,1,5,female_crdd,sheffield
37,female,1.0249626631918248e-4,0.0016341972670838591,0.024295320933631712,0.0028606535883372013,8742,crdd,0,50,35,1,1,5,female_crdd,sheffield
38,female,1.0249626631918248e-4,0.0016341972670838591,0.024295320933631712,0.0028606535883372013,8742,crdd,0,50,35,1,1,5,female_crdd,sheffield
