age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,8045,lvrc,0,10,0,0,0,5,female_lvrc,sheffield
1,female,0,0,0,1e-8,8045,lvrc,0,10,0,0,0,5,female_lvrc,sheffield
2,female,0,0,0,1e-8,8045,lvrc,0,10,0,0,0,5,female_lvrc,sheffield
3,female,0,0,0,1e-8,8045,lvrc,0,10,0,0,0,5,female_lvrc,sheffield
4,female,0,0,0,1e-8,8045,lvrc,0,10,0,0,0,5,female_lvrc,sheffield
5,female,3.0032460371126437e-7,1.4111991985136704e-7,0,6.358281392279577e-7,8585,lvrc,0,10,5,0,0,5,female_lvrc,sheffield
6,female,3.0032460371126437e-7,1.4111991985136704e-7,0,6.358281392279577e-7,8585,lvrc,0,10,5,0,0,5,female_lvrc,sheffield
7,female,3.0032460371126437e-7,1.4111991985136704e-7,0,6.358281392279577e-7,8585,lvrc,0,10,5,0,0,5,female_lvrc,sheffield
8,female,3.0032460371126437e-7,1.4111991985136704e-7,0,6.358281392279577e-7,8585,lvrc,0,10,5,0,0,5,female_lvrc,sheffield
9,female,3.0032460371126437e-7,1.4111991985136704e-7,0,6.358281392279577e-7,8585,lvrc,0,10,5,0,0,5,female_lvrc,sheffield
10,female,5.377851394042677e-7,2.613883017929209e-7,0,1.170864546273145e-6,7873,lvrc,0,50,10,0,0,5,female_lvrc,sheffield
11,female,5.377851394042677e-7,2.613883017929209e-7,0,1.170864546273145e-6,7873,lvrc,0,50,10,0,0,5,female_lvrc,sheffield
12,female,5.377851394042677e-7,2.613883017929209e-7,0,1.170864546273145e-6,7873,lvrc,0,50,10,0,0,5,female_lvrc,sheffield
13,female,5.377851394042677e-7,2.613883017929209e-7,0,1.170864546273145e-6,7873,lvrc,0,50,10,0,0,5,female_lvrc,sheffield
14,female,5.377851394042677e-7,2.613883017929209e-7,0,1.170864546273145e-6,7873,lvrc,0,50,10,0,0,5,female_lvrc,sheffield
15,female,6.82091484766851e-7,3.885214629135913e-7,0,1.713371817605868e-6,8150,lvrc,0,50,15,0,0,5,female_lvrc,sheffield
16,female,6.82091484766851e-7,3.885214629135913e-7,0,1.713371817605868e-6,8150,lvrc,0,50,15,0,0,5,female_lvrc,sheffield
17,female,6.82091484766851e-7,3.885214629135913e-7,0,1.713371817605868e-6,8150,lvrc,0,50,15,0,0,5,female_lvrc,sheffield
18,female,6.82091484766851e-7,3.885214629135913e-7,0,1.713371817605868e-6,8150,lvrc,0,50,15,0,0,5,female_lvrc,sheffield
19,female,6.82091484766851e-7,3.885214629135913e-7,0,1.713371817605868e-6,8150,lvrc,0,50,15,0,0,5,female_lvrc,sheffield
20,female,1.1751628901131135e-6,7.514718096987022e-7,0,3.343124062660325e-6,9912,lvrc,0,50,20,0,0,5,female_lvrc,sheffield
21,female,1.1751628901131135e-6,7.514718096987022e-7,0,3.343124062660325e-6,9912,lvrc,0,50,20,0,0,5,female_lvrc,sheffield
22,female,1.1751628901131135e-6,7.514718096987022e-7,0,3.343124062660325e-6,9912,lvrc,0,50,20,0,0,5,female_lvrc,sheffield
23,female,1.1751628901131135e-6,7.514718096987022e-7,0,3.343124062660325e-6,9912,lvrc,0,50,20,0,0,5,female_lvrc,sheffield
24,female,1.1751628901131135e-6,7.514718096987022e-7,0,3.343124062660325e-6,9912,lvrc,0,50,20,0,0,5,female_lvrc,sheffield
25,female,1.6580539923721526e-6,1.0643184753011443e-6,0,4.039468675476303e-6,10687,lvrc,0,50,25,0,0,5,female_lvrc,sheffield
26,female,1.6580539923721526e-6,1.0643184753011443e-6,0,4.039468675476303e-6,10687,lvrc,0,50,25,0,0,5,female_lvrc,sheffield
27,female,1.6580539923721526e-6,1.0643184753011443e-6,0,4.039468675476303e-6,10687,lvrc,0,50,25,0,0,5,female_lvrc,sheffield
28,female,1.6580539923721526e-6,1.0643184753011443e-6,0,4.039468675476303e-6,10687,lvrc,0,50,25,0,0,5,female_lvrc,sheffield
29,female,1.6580539923721526e-6,1.0643184753011443e-6,0,4.039468675476303e-6,10687,lvrc,0,50,25,0,0,5,female_lvrc,sheffield
30,female,2.250482644504576e-6,1.4169414850315786e-6,0,5.394860132918197e-6,9523,lvrc,0,50,30,0,0,5,female_lvrc,sheffield
31,female,2.250482644504576e-6,1.4169414850315786e-6,0,5.394860132918197e-6,9523,lvrc,0,50,30,0,0,5,female_lvrc,sheffield
32,female,2.250482644504576e-6,1.4169414850315786e-6,0,5.394860132918197e-6,9523,lvrc,0,50,30,0,0,5,female_lvrc,sheffield
33,female,2.250482644504576e-6,1.4169414850315786e-6,0,5.394860132918197e-6,9523,lvrc,0,50,30,0,0,5,female_lvrc,sheffield
34,female,2.250482644504576e-6,1.4169414850315786e-6,0,5.394860132918197e-6,9523,lvrc,0,50,30,0,0,5,female_lvrc,sheffield
35,female,4.682401596841848e-6,2.4634465438893583e-6,0,9.000762772080907e-6,8742,lvrc,0,50,35,0,0,5,female_lvrc,sheffield
36,female,4.682401596841848e-6,2.4634465438893583e-6,0,9.000762772080907e-6,8742,lvrc,0,50,35,0,0,5,female_lvrc,sheffield
