age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,8045,stmc,0,10,0,0,0,5,female_stmc,sheffield
1,female,0,0,0,1e-8,8045,stmc,0,10,0,0,0,5,female_stmc,sheffield
2,female,0,0,0,1e-8,8045,stmc,0,10,0,0,0,5,female_stmc,sheffield
3,female,0,0,0,1e-8,8045,stmc,0,10,0,0,0,5,female_stmc,sheffield
4,female,0,0,0,1e-8,8045,stmc,0,10,0,0,0,5,female_stmc,sheffield
5,female,0,0,0,1e-8,8585,stmc,0,10,5,0,0,5,female_stmc,sheffield
6,female,0,0,0,1e-8,8585,stmc,0,10,5,0,0,5,female_stmc,sheffield
7,female,0,0,0,1e-8,8585,stmc,0,10,5,0,0,5,female_stmc,sheffield
8,female,0,0,0,1e-8,8585,stmc,0,10,5,0,0,5,female_stmc,sheffield
9,female,0,0,0,1e-8,8585,stmc,0,10,5,0,0,5,female_stmc,sheffield
10,female,0,0,0,1e-8,7873,stmc,0,50,10,0,0,5,female_stmc,sheffield
11,female,0,0,0,1e-8,7873,stmc,0,50,10,0,0,5,female_stmc,sheffield
12,female,0,0,0,1e-8,7873,stmc,0,50,10,0,0,5,female_stmc,sheffield
13,female,0,0,0,1e-8,7873,stmc,0,50,10,0,0,5,female_stmc,sheffield
14,female,0,0,0,1e-8,7873,stmc,0,50,10,0,0,5,female_stmc,sheffield
15,female,1.4134877064059566e-7,1.0825789040971533e-7,9.34034088486579e-7,3.2464409553751155e-7,8150,stmc,0,50,15,0,0,5,female_stmc,sheffield
16,female,1.4134877064059566e-7,1.0825789040971533e-7,9.34034088486579e-7,3.2464409553751155e-7,8150,stmc,0,50,15,0,0,5,female_stmc,sheffield
17,female,1.4134877064059566e-7,1.0825789040971533e-7,9.34034088486579e-7,3.2464409553751155e-7,8150,stmc,0,50,15,0,0,5,female_stmc,sheffield
18,female,1.4134877064059566e-7,1.0825789040971533e-7,9.34034088486579e-7,3.2464409553751155e-7,8150,stmc,0,50,15,0,0,5,female_stmc,sheffield
19,female,1.4134877064059566e-7,1.0825789040971533e-7,9.34034088486579e-7,3.2464409553751155e-7,8150,stmc,0,50,15,0,0,5,female_stmc,sheffield
20,female,6.181121551280081e-7,5.65627911391733e-7,5.114972972736106e-6,1.6354358959309408e-6,9912,stmc,0,50,20,0,0,5,female_stmc,sheffield
21,female,6.181121551280081e-7,5.65627911391733e-7,5.114972972736106e-6,1.6354358959309408e-6,9912,stmc,0,50,20,0,0,5,female_stmc,sheffield
22,female,6.181121551280081e-7,5.65627911391733e-7,5.114972972736106e-6,1.6354358959309408e-6,9912,stmc,0,50,20,0,0,5,female_stmc,sheffield
23,female,6.181121551280081e-7,5.65627911391733e-7,5.114972972736106e-6,1.6354358959309408e-6,9912,stmc,0,50,20,0,0,5,female_stmc,sheffield
24,female,6.181121551280081e-7,5.65627911391733e-7,5.114972972736106e-6,1.6354358959309408e-6,9912,stmc,0,50,20,0,0,5,female_stmc,sheffield
25,female,2.1327668931770216e-6,2.1652052726234045e-6,1.999774663211965e-5,6.166313776913057e-6,10687,stmc,0,50,25,0,0,5,female_stmc,sheffield
26,female,2.1327668931770216e-6,2.1652052726234045e-6,1.999774663211965e-5,6.166313776913057e-6,10687,stmc,0,50,25,0,0,5,female_stmc,sheffield
27,female,2.1327668931770216e-6,2.1652052726234045e-6,1.999774663211965e-5,6.166313776913057e-6,10687,stmc,0,50,25,0,0,5,female_stmc,sheffield
28,female,2.1327668931770216e-6,2.1652052726234045e-6,1.999774663211965e-5,6.166313776913057e-6,10687,stmc,0,50,25,0,0,5,female_stmc,sheffield
29,female,2.1327668931770216e-6,2.1652052726234045e-6,1.999774663211965e-5,6.166313776913057e-6,10687,stmc,0,50,25,0,0,5,female_stmc,sheffield
