age,sex,mort,ylds (years lived with disability)_rate_tbalc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,8045,tbalc,0,10,0,0,0,5,female_tbalc,sheffield
1,female,0,0,0,1e-8,8045,tbalc,0,10,0,0,0,5,female_tbalc,sheffield
2,female,0,0,0,1e-8,8045,tbalc,0,10,0,0,0,5,female_tbalc,sheffield
3,female,0,0,0,1e-8,8045,tbalc,0,10,0,0,0,5,female_tbalc,sheffield
4,female,0,0,0,1e-8,8045,tbalc,0,10,0,0,0,5,female_tbalc,sheffield
5,female,0,0,0,1e-8,8585,tbalc,0,10,5,0,0,5,female_tbalc,sheffield
6,female,0,0,0,1e-8,8585,tbalc,0,10,5,0,0,5,female_tbalc,sheffield
7,female,0,0,0,1e-8,8585,tbalc,0,10,5,0,0,5,female_tbalc,sheffield
8,female,0,0,0,1e-8,8585,tbalc,0,10,5,0,0,5,female_tbalc,sheffield
9,female,0,0,0,1e-8,8585,tbalc,0,10,5,0,0,5,female_tbalc,sheffield
10,female,0,0,0,1e-8,7873,tbalc,0,50,10,0,0,5,female_tbalc,sheffield
11,female,0,0,0,1e-8,7873,tbalc,0,50,10,0,0,5,female_tbalc,sheffield
12,female,0,0,0,1e-8,7873,tbalc,0,50,10,0,0,5,female_tbalc,sheffield
13,female,0,0,0,1e-8,7873,tbalc,0,50,10,0,0,5,female_tbalc,sheffield
14,female,0,0,0,1e-8,7873,tbalc,0,50,10,0,0,5,female_tbalc,sheffield
15,female,2.8600672588067756e-7,1.0234236107030436e-7,5.084774110199137e-7,3.8306264526669457e-7,8150,tbalc,0,50,15,0,0,5,female_tbalc,sheffield
16,female,2.8600672588067756e-7,1.0234236107030436e-7,5.084774110199137e-7,3.8306264526669457e-7,8150,tbalc,0,50,15,0,0,5,female_tbalc,sheffield
17,female,2.8600672588067756e-7,1.0234236107030436e-7,5.084774110199137e-7,3.8306264526669457e-7,8150,tbalc,0,50,15,0,0,5,female_tbalc,sheffield
18,female,2.8600672588067756e-7,1.0234236107030436e-7,5.084774110199137e-7,3.8306264526669457e-7,8150,tbalc,0,50,15,0,0,5,female_tbalc,sheffield
19,female,2.8600672588067756e-7,1.0234236107030436e-7,5.084774110199137e-7,3.8306264526669457e-7,8150,tbalc,0,50,15,0,0,5,female_tbalc,sheffield
20,female,8.749160455278088e-7,3.943505806700364e-7,2.3874058181656313e-6,1.3731244525714391e-6,9912,tbalc,0,50,20,0,0,5,female_tbalc,sheffield
21,female,8.749160455278088e-7,3.943505806700364e-7,2.3874058181656313e-6,1.3731244525714391e-6,9912,tbalc,0,50,20,0,0,5,female_tbalc,sheffield
22,female,8.749160455278088e-7,3.943505806700364e-7,2.3874058181656313e-6,1.3731244525714391e-6,9912,tbalc,0,50,20,0,0,5,female_tbalc,sheffield
23,female,8.749160455278088e-7,3.943505806700364e-7,2.3874058181656313e-6,1.3731244525714391e-6,9912,tbalc,0,50,20,0,0,5,female_tbalc,sheffield
24,female,8.749160455278088e-7,3.943505806700364e-7,2.3874058181656313e-6,1.3731244525714391e-6,9912,tbalc,0,50,20,0,0,5,female_tbalc,sheffield
25,female,1.8092199458025625e-6,9.79520810303877e-7,6.42904880825916e-6,3.290767543500422e-6,10687,tbalc,0,50,25,0,0,5,female_tbalc,sheffield
26,female,1.8092199458025625e-6,9.79520810303877e-7,6.42904880825916e-6,3.290767543500422e-6,10687,tbalc,0,50,25,0,0,5,female_tbalc,sheffield
27,female,1.8092199458025625e-6,9.79520810303877e-7,6.42904880825916e-6,3.290767543500422e-6,10687,tbalc,0,50,25,0,0,5,female_tbalc,sheffield
28,female,1.8092199458025625e-6,9.79520810303877e-7,6.42904880825916e-6,3.290767543500422e-6,10687,tbalc,0,50,25,0,0,5,female_tbalc,sheffield
29,female,1.8092199458025625e-6,9.79520810303877e-7,6.42904880825916e-6,3.290767543500422e-6,10687,tbalc,0,50,25,0,0,5,female_tbalc,sheffield
30,female,6.319268471321308e-6,2.9321426705815193e-6,1.71735735609977e-5,1.0338423805007569e-5,9523,tbalc,0,50,30,0,0,5,female_tbalc,sheffield
31,female,6.319268471321308e-6,2.9321426705815193e-6,1.71735735609977e-5,1.0338423805007569e-5,9523,tbalc,0,50,30,0,0,5,female_tbalc,sheffield
32,female,6.319268471321308e-6,2.9321426705815193e-6,1.71735735609977e-5,1.0338423805007569e-5,9523,tbalc,0,50,30,0,0,5,female_tbalc,sheffield
33,female,6.319268471321308e-6,2.9321426705815193e-6,1.71735735609977e-5,1.0338423805007569e-5,9523,tbalc,0,50,30,0,0,5,female_tbalc,sheffield
34,female,6.319268471321308e-6,2.9321426705815193e-6,1.71735735609977e-5,1.0338423805007569e-5,9523,tbalc,0,50,30,0,0,5,female_tbalc,sheffield
35,female,1.8326870143545044e-5,7.496917525890939e-6,4.341777561826636e-5,2.6581128033612156e-5,8742,tbalc,0,50,35,0,0,5,female_tbalc,sheffield
36,female,1.8326870143545044e-5,7.496917525890939e-6,4.341777561826636e-5,2.6581128033612156e-5,8742,tbalc,0,50,35,0,0,5,female_tbalc,sheffield
37,female,1.8326870143545044e-5,7.496917525890939e-6,4.341777561826636e-5,2.6581128033612156e-5,8742,tbalc,0,50,35,0,0,5,female_tbalc,sheffield
38,female,1.8326870143545044e-5,7.496917525890939e-6,4.341777561826636e-5,2.6581128033612156e-5,8742,tbalc,0,50,35,0,0,5,female_tbalc,sheffield
39,female,1.8326870143545044e-5,7.496917525890939e-6,4.341777561826636e-5,2.6581128033612156e-5,8742,tbalc,0,50,35,0,0,5,female_tbalc,sheffield
40,female,4.574634338546516e-5,1.6680071763551532e-5,9.617306545934982e-5,5.923860648454006e-5,8291,tbalc,0,50,40,0,0,5,female_tbalc,sheffield
41,female,4.574634338546516e-5,1.6680071763551532e-5,9.617306545934982e-5,5.923860648454006e-5,8291,tbalc,0,50,40,0,0,5,female_tbalc,sheffield
42,female,4.574634338546516e-5,1.6680071763551532e-5,9.617306545934982e-5,5.923860648454006e-5,8291,tbalc,0,50,40,0,0,5,female_tbalc,sheffield
43,female,4.574634338546516e-5,1.6680071763551532e-5,9.617306545934982e-5,5.923860648454006e-5,8291,tbalc,0,50,40,0,0,5,female_tbalc,sheffield
44,female,4.574634338546516e-5,1.6680071763551532e-5,9.617306545934982e-5,5.923860648454006e-5,8291,tbalc,0,50,40,0,0,5,female_tbalc,sheffield
45,female,1.3102798797938044e-4,4.424373721404827e-5,2.5007149102139134e-4,1.6096200691513422e-4,9789,tbalc,0,50,45,0,1,5,female_tbalc,sheffield
46,female,1.3102798797938044e-4,4.424373721404827e-5,2.5007149102139134e-4,1.6096200691513422e-4,9789,tbalc,0,50,45,0,1,5,female_tbalc,sheffield
47,female,1.3102798797938044e-4,4.424373721404827e-5,2.5007149102139134e-4,1.6096200691513422e-4,9789,tbalc,0,50,45,0,1,5,female_tbalc,sheffield
48,female,1.3102798797938044e-4,4.424373721404827e-5,2.5007149102139134e-4,1.6096200691513422e-4,9789,tbalc,0,50,45,0,1,5,female_tbalc,sheffield
49,female,1.3102798797938044e-4,4.424373721404827e-5,2.5007149102139134e-4,1.6096200691513422e-4,9789,tbalc,0,50,45,0,1,5,female_tbalc,sheffield
50,female,2.8070152938451583e-4,1.009919825731752e-4,6.90474332373057e-4,3.6878479719212686e-4,9718,tbalc,0,50,50,0,3,5,female_tbalc,sheffield
