age,sex,mort,ylds (years lived with disability)_rate_adaod,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,8494,adaod,0,10,0,0,0,5,male_adaod,sheffield
1,male,0,0,0,1e-8,8494,adaod,0,10,0,0,0,5,male_adaod,sheffield
2,male,0,0,0,1e-8,8494,adaod,0,10,0,0,0,5,male_adaod,sheffield
3,male,0,0,0,1e-8,8494,adaod,0,10,0,0,0,5,male_adaod,sheffield
4,male,0,0,0,1e-8,8494,adaod,0,10,0,0,0,5,male_adaod,sheffield
5,male,0,0,0,1e-8,9025,adaod,0,10,5,0,0,5,male_adaod,sheffield
6,male,0,0,0,1e-8,9025,adaod,0,10,5,0,0,5,male_adaod,sheffield
7,male,0,0,0,1e-8,9025,adaod,0,10,5,0,0,5,male_adaod,sheffield
8,male,0,0,0,1e-8,9025,adaod,0,10,5,0,0,5,male_adaod,sheffield
9,male,0,0,0,1e-8,9025,adaod,0,10,5,0,0,5,male_adaod,sheffield
10,male,0,0,0,1e-8,8119,adaod,0,50,10,0,0,5,male_adaod,sheffield
11,male,0,0,0,1e-8,8119,adaod,0,50,10,0,0,5,male_adaod,sheffield
12,male,0,0,0,1e-8,8119,adaod,0,50,10,0,0,5,male_adaod,sheffield
13,male,0,0,0,1e-8,8119,adaod,0,50,10,0,0,5,male_adaod,sheffield
14,male,0,0,0,1e-8,8119,adaod,0,50,10,0,0,5,male_adaod,sheffield
15,male,0,0,0,1e-8,8294,adaod,0,50,15,0,0,5,male_adaod,sheffield
16,male,0,0,0,1e-8,8294,adaod,0,50,15,0,0,5,male_adaod,sheffield
17,male,0,0,0,1e-8,8294,adaod,0,50,15,0,0,5,male_adaod,sheffield
18,male,0,0,0,1e-8,8294,adaod,0,50,15,0,0,5,male_adaod,sheffield
19,male,0,0,0,1e-8,8294,adaod,0,50,15,0,0,5,male_adaod,sheffield
20,male,0,0,0,1e-8,9947,adaod,0,50,20,0,0,5,male_adaod,sheffield
21,male,0,0,0,1e-8,9947,adaod,0,50,20,0,0,5,male_adaod,sheffield
22,male,0,0,0,1e-8,9947,adaod,0,50,20,0,0,5,male_adaod,sheffield
23,male,0,0,0,1e-8,9947,adaod,0,50,20,0,0,5,male_adaod,sheffield
24,male,0,0,0,1e-8,9947,adaod,0,50,20,0,0,5,male_adaod,sheffield
25,male,0,0,0,1e-8,10638,adaod,0,50,25,0,0,5,male_adaod,sheffield
26,male,0,0,0,1e-8,10638,adaod,0,50,25,0,0,5,male_adaod,sheffield
27,male,0,0,0,1e-8,10638,adaod,0,50,25,0,0,5,male_adaod,sheffield
28,male,0,0,0,1e-8,10638,adaod,0,50,25,0,0,5,male_adaod,sheffield
29,male,0,0,0,1e-8,10638,adaod,0,50,25,0,0,5,male_adaod,sheffield
30,male,0,0,0,1e-8,9676,adaod,0,50,30,0,0,5,male_adaod,sheffield
31,male,0,0,0,1e-8,9676,adaod,0,50,30,0,0,5,male_adaod,sheffield
32,male,0,0,0,1e-8,9676,adaod,0,50,30,0,0,5,male_adaod,sheffield
33,male,0,0,0,1e-8,9676,adaod,0,50,30,0,0,5,male_adaod,sheffield
34,male,0,0,0,1e-8,9676,adaod,0,50,30,0,0,5,male_adaod,sheffield
35,male,0,0,0,1e-8,9149,adaod,0,50,35,0,0,5,male_adaod,sheffield
36,male,0,0,0,1e-8,9149,adaod,0,50,35,0,0,5,male_adaod,sheffield
37,male,0,0,0,1e-8,9149,adaod,0,50,35,0,0,5,male_adaod,sheffield
38,male,0,0,0,1e-8,9149,adaod,0,50,35,0,0,5,male_adaod,sheffield
39,male,0,0,0,1e-8,9149,adaod,0,50,35,0,0,5,male_adaod,sheffield
40,male,1.937742652935655e-6,7.982545030106009e-6,5.995772456642348e-5,3.567815504834983e-5,8485,adaod,0,50,40,0,0,5,male_adaod,sheffield
41,male,1.937742652935655e-6,7.982545030106009e-6,5.995772456642348e-5,3.567815504834983e-5,8485,adaod,0,50,40,0,0,5,male_adaod,sheffield
42,male,1.937742652935655e-6,7.982545030106009e-6,5.995772456642348e-5,3.567815504834983e-5,8485,adaod,0,50,40,0,0,5,male_adaod,sheffield
43,male,1.937742652935655e-6,7.982545030106009e-6,5.995772456642348e-5,3.567815504834983e-5,8485,adaod,0,50,40,0,0,5,male_adaod,sheffield
44,male,1.937742652935655e-6,7.982545030106009e-6,5.995772456642348e-5,3.567815504834983e-5,8485,adaod,0,50,40,0,0,5,male_adaod,sheffield
