age,sex,mort,ylds (years lived with disability)_rate_brsc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,8494,brsc,0,10,0,0,0,5,male_brsc,sheffield
1,male,0,0,0,1e-8,8494,brsc,0,10,0,0,0,5,male_brsc,sheffield
2,male,0,0,0,1e-8,8494,brsc,0,10,0,0,0,5,male_brsc,sheffield
3,male,0,0,0,1e-8,8494,brsc,0,10,0,0,0,5,male_brsc,sheffield
4,male,0,0,0,1e-8,8494,brsc,0,10,0,0,0,5,male_brsc,sheffield
5,male,0,0,0,1e-8,9025,brsc,0,10,5,0,0,5,male_brsc,sheffield
6,male,0,0,0,1e-8,9025,brsc,0,10,5,0,0,5,male_brsc,sheffield
7,male,0,0,0,1e-8,9025,brsc,0,10,5,0,0,5,male_brsc,sheffield
8,male,0,0,0,1e-8,9025,brsc,0,10,5,0,0,5,male_brsc,sheffield
9,male,0,0,0,1e-8,9025,brsc,0,10,5,0,0,5,male_brsc,sheffield
10,male,0,0,0,1e-8,8119,brsc,0,50,10,0,0,5,male_brsc,sheffield
11,male,0,0,0,1e-8,8119,brsc,0,50,10,0,0,5,male_brsc,sheffield
12,male,0,0,0,1e-8,8119,brsc,0,50,10,0,0,5,male_brsc,sheffield
13,male,0,0,0,1e-8,8119,brsc,0,50,10,0,0,5,male_brsc,sheffield
14,male,0,0,0,1e-8,8119,brsc,0,50,10,0,0,5,male_brsc,sheffield
15,male,1.0486596467005377e-7,5.839601654512906e-7,6.2408598952857065e-6,7.01965472813245e-7,8294,brsc,0,50,15,0,0,5,male_brsc,sheffield
16,male,1.0486596467005377e-7,5.839601654512906e-7,6.2408598952857065e-6,7.01965472813245e-7,8294,brsc,0,50,15,0,0,5,male_brsc,sheffield
17,male,1.0486596467005377e-7,5.839601654512906e-7,6.2408598952857065e-6,7.01965472813245e-7,8294,brsc,0,50,15,0,0,5,male_brsc,sheffield
18,male,1.0486596467005377e-7,5.839601654512906e-7,6.2408598952857065e-6,7.01965472813245e-7,8294,brsc,0,50,15,0,0,5,male_brsc,sheffield
19,male,1.0486596467005377e-7,5.839601654512906e-7,6.2408598952857065e-6,7.01965472813245e-7,8294,brsc,0,50,15,0,0,5,male_brsc,sheffield
20,male,1.0791930454180009e-7,7.552831196238917e-7,8.648999025947466e-6,8.510870147799349e-7,9947,brsc,0,50,20,0,0,5,male_brsc,sheffield
21,male,1.0791930454180009e-7,7.552831196238917e-7,8.648999025947466e-6,8.510870147799349e-7,9947,brsc,0,50,20,0,0,5,male_brsc,sheffield
22,male,1.0791930454180009e-7,7.552831196238917e-7,8.648999025947466e-6,8.510870147799349e-7,9947,brsc,0,50,20,0,0,5,male_brsc,sheffield
23,male,1.0791930454180009e-7,7.552831196238917e-7,8.648999025947466e-6,8.510870147799349e-7,9947,brsc,0,50,20,0,0,5,male_brsc,sheffield
24,male,1.0791930454180009e-7,7.552831196238917e-7,8.648999025947466e-6,8.510870147799349e-7,9947,brsc,0,50,20,0,0,5,male_brsc,sheffield
25,male,1.210680750782869e-7,9.706608986525981e-7,1.1290155351158107e-5,1.0867861850184345e-6,10638,brsc,0,50,25,0,0,5,male_brsc,sheffield
26,male,1.210680750782869e-7,9.706608986525981e-7,1.1290155351158107e-5,1.0867861850184345e-6,10638,brsc,0,50,25,0,0,5,male_brsc,sheffield
27,male,1.210680750782869e-7,9.706608986525981e-7,1.1290155351158107e-5,1.0867861850184345e-6,10638,brsc,0,50,25,0,0,5,male_brsc,sheffield
28,male,1.210680750782869e-7,9.706608986525981e-7,1.1290155351158107e-5,1.0867861850184345e-6,10638,brsc,0,50,25,0,0,5,male_brsc,sheffield
29,male,1.210680750782869e-7,9.706608986525981e-7,1.1290155351158107e-5,1.0867861850184345e-6,10638,brsc,0,50,25,0,0,5,male_brsc,sheffield
30,male,2.3604617395925585e-7,1.2443569554239636e-6,1.4184740501611057e-5,1.4306001316762307e-6,9676,brsc,0,50,30,0,0,5,male_brsc,sheffield
31,male,2.3604617395925585e-7,1.2443569554239636e-6,1.4184740501611057e-5,1.4306001316762307e-6,9676,brsc,0,50,30,0,0,5,male_brsc,sheffield
32,male,2.3604617395925585e-7,1.2443569554239636e-6,1.4184740501611057e-5,1.4306001316762307e-6,9676,brsc,0,50,30,0,0,5,male_brsc,sheffield
33,male,2.3604617395925585e-7,1.2443569554239636e-6,1.4184740501611057e-5,1.4306001316762307e-6,9676,brsc,0,50,30,0,0,5,male_brsc,sheffield
34,male,2.3604617395925585e-7,1.2443569554239636e-6,1.4184740501611057e-5,1.4306001316762307e-6,9676,brsc,0,50,30,0,0,5,male_brsc,sheffield
35,male,6.633779307792466e-7,2.711446204955962e-6,2.948571549306971e-5,3.2463036806925595e-6,9149,brsc,0,50,35,0,0,5,male_brsc,sheffield
36,male,6.633779307792466e-7,2.711446204955962e-6,2.948571549306971e-5,3.2463036806925595e-6,9149,brsc,0,50,35,0,0,5,male_brsc,sheffield
37,male,6.633779307792466e-7,2.711446204955962e-6,2.948571549306971e-5,3.2463036806925595e-6,9149,brsc,0,50,35,0,0,5,male_brsc,sheffield
38,male,6.633779307792466e-7,2.711446204955962e-6,2.948571549306971e-5,3.2463036806925595e-6,9149,brsc,0,50,35,0,0,5,male_brsc,sheffield
39,male,6.633779307792466e-7,2.711446204955962e-6,2.948571549306971e-5,3.2463036806925595e-6,9149,brsc,0,50,35,0,0,5,male_brsc,sheffield
40,male,1.2391460121801503e-6,4.60932302328443e-6,4.93848036499723e-5,5.5602756126204465e-6,8485,brsc,0,50,40,0,0,5,male_brsc,sheffield
41,male,1.2391460121801503e-6,4.60932302328443e-6,4.93848036499723e-5,5.5602756126204465e-6,8485,brsc,0,50,40,0,0,5,male_brsc,sheffield
42,male,1.2391460121801503e-6,4.60932302328443e-6,4.93848036499723e-5,5.5602756126204465e-6,8485,brsc,0,50,40,0,0,5,male_brsc,sheffield
43,male,1.2391460121801503e-6,4.60932302328443e-6,4.93848036499723e-5,5.5602756126204465e-6,8485,brsc,0,50,40,0,0,5,male_brsc,sheffield
44,male,1.2391460121801503e-6,4.60932302328443e-6,4.93848036499723e-5,5.5602756126204465e-6,8485,brsc,0,50,40,0,0,5,male_brsc,sheffield
45,male,2.0545996482900704e-6,6.727209712427055e-6,7.119428406708409e-5,8.069538599246308e-6,9884,brsc,0,50,45,0,0,5,male_brsc,sheffield
46,male,2.0545996482900704e-6,6.727209712427055e-6,7.119428406708409e-5,8.069538599246308e-6,9884,brsc,0,50,45,0,0,5,male_brsc,sheffield
47,male,2.0545996482900704e-6,6.727209712427055e-6,7.119428406708409e-5,8.069538599246308e-6,9884,brsc,0,50,45,0,0,5,male_brsc,sheffield
48,male,2.0545996482900704e-6,6.727209712427055e-6,7.119428406708409e-5,8.069538599246308e-6,9884,brsc,0,50,45,0,0,5,male_brsc,sheffield
49,male,2.0545996482900704e-6,6.727209712427055e-6,7.119428406708409e-5,8.069538599246308e-6,9884,brsc,0,50,45,0,0,5,male_brsc,sheffield
50,male,3.2095303692891244e-6,7.948569443980496e-6,8.420387368821044e-5,9.567322840214843e-6,9954,brsc,0,50,50,0,0,5,male_brsc,sheffield
