age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,8494,carc,0,10,0,0,0,5,male_carc,sheffield
1,male,0,0,0,1e-8,8494,carc,0,10,0,0,0,5,male_carc,sheffield
2,male,0,0,0,1e-8,8494,carc,0,10,0,0,0,5,male_carc,sheffield
3,male,0,0,0,1e-8,8494,carc,0,10,0,0,0,5,male_carc,sheffield
4,male,0,0,0,1e-8,8494,carc,0,10,0,0,0,5,male_carc,sheffield
5,male,0,0,0,1e-8,9025,carc,0,10,5,0,0,5,male_carc,sheffield
6,male,0,0,0,1e-8,9025,carc,0,10,5,0,0,5,male_carc,sheffield
7,male,0,0,0,1e-8,9025,carc,0,10,5,0,0,5,male_carc,sheffield
8,male,0,0,0,1e-8,9025,carc,0,10,5,0,0,5,male_carc,sheffield
9,male,0,0,0,1e-8,9025,carc,0,10,5,0,0,5,male_carc,sheffield
10,male,0,0,0,1e-8,8119,carc,0,50,10,0,0,5,male_carc,sheffield
11,male,0,0,0,1e-8,8119,carc,0,50,10,0,0,5,male_carc,sheffield
12,male,0,0,0,1e-8,8119,carc,0,50,10,0,0,5,male_carc,sheffield
13,male,0,0,0,1e-8,8119,carc,0,50,10,0,0,5,male_carc,sheffield
14,male,0,0,0,1e-8,8119,carc,0,50,10,0,0,5,male_carc,sheffield
15,male,5.225101143233778e-7,1.8195797939300112e-6,1.62427884579129e-5,2.363100289819854e-6,8294,carc,0,50,15,0,0,5,male_carc,sheffield
16,male,5.225101143233778e-7,1.8195797939300112e-6,1.62427884579129e-5,2.363100289819854e-6,8294,carc,0,50,15,0,0,5,male_carc,sheffield
17,male,5.225101143233778e-7,1.8195797939300112e-6,1.62427884579129e-5,2.363100289819854e-6,8294,carc,0,50,15,0,0,5,male_carc,sheffield
18,male,5.225101143233778e-7,1.8195797939300112e-6,1.62427884579129e-5,2.363100289819854e-6,8294,carc,0,50,15,0,0,5,male_carc,sheffield
19,male,5.225101143233778e-7,1.8195797939300112e-6,1.62427884579129e-5,2.363100289819854e-6,8294,carc,0,50,15,0,0,5,male_carc,sheffield
20,male,1.8455064303091873e-6,7.41955187207771e-6,6.885029966577063e-5,9.798906951779606e-6,9947,carc,0,50,20,0,0,5,male_carc,sheffield
21,male,1.8455064303091873e-6,7.41955187207771e-6,6.885029966577063e-5,9.798906951779606e-6,9947,carc,0,50,20,0,0,5,male_carc,sheffield
22,male,1.8455064303091873e-6,7.41955187207771e-6,6.885029966577063e-5,9.798906951779606e-6,9947,carc,0,50,20,0,0,5,male_carc,sheffield
23,male,1.8455064303091873e-6,7.41955187207771e-6,6.885029966577063e-5,9.798906951779606e-6,9947,carc,0,50,20,0,0,5,male_carc,sheffield
24,male,1.8455064303091873e-6,7.41955187207771e-6,6.885029966577063e-5,9.798906951779606e-6,9947,carc,0,50,20,0,0,5,male_carc,sheffield
25,male,4.5966319840099265e-6,1.8912068481595592e-5,1.8404677523864448e-4,2.614480048465158e-5,10638,carc,0,50,25,0,0,5,male_carc,sheffield
26,male,4.5966319840099265e-6,1.8912068481595592e-5,1.8404677523864448e-4,2.614480048465158e-5,10638,carc,0,50,25,0,0,5,male_carc,sheffield
27,male,4.5966319840099265e-6,1.8912068481595592e-5,1.8404677523864448e-4,2.614480048465158e-5,10638,carc,0,50,25,0,0,5,male_carc,sheffield
28,male,4.5966319840099265e-6,1.8912068481595592e-5,1.8404677523864448e-4,2.614480048465158e-5,10638,carc,0,50,25,0,0,5,male_carc,sheffield
29,male,4.5966319840099265e-6,1.8912068481595592e-5,1.8404677523864448e-4,2.614480048465158e-5,10638,carc,0,50,25,0,0,5,male_carc,sheffield
30,male,1.1879231570792092e-5,4.322601380653137e-5,4.5210733779252007e-4,6.497412880756392e-5,9676,carc,0,50,30,0,0,5,male_carc,sheffield
31,male,1.1879231570792092e-5,4.322601380653137e-5,4.5210733779252007e-4,6.497412880756392e-5,9676,carc,0,50,30,0,0,5,male_carc,sheffield
32,male,1.1879231570792092e-5,4.322601380653137e-5,4.5210733779252007e-4,6.497412880756392e-5,9676,carc,0,50,30,0,0,5,male_carc,sheffield
33,male,1.1879231570792092e-5,4.322601380653137e-5,4.5210733779252007e-4,6.497412880756392e-5,9676,carc,0,50,30,0,0,5,male_carc,sheffield
34,male,1.1879231570792092e-5,4.322601380653137e-5,4.5210733779252007e-4,6.497412880756392e-5,9676,carc,0,50,30,0,0,5,male_carc,sheffield
35,male,2.4007418625591605e-5,7.678867065937363e-5,8.39740103432585e-4,1.2005984879765985e-4,9149,carc,0,50,35,0,0,5,male_carc,sheffield
36,male,2.4007418625591605e-5,7.678867065937363e-5,8.39740103432585e-4,1.2005984879765985e-4,9149,carc,0,50,35,0,0,5,male_carc,sheffield
37,male,2.4007418625591605e-5,7.678867065937363e-5,8.39740103432585e-4,1.2005984879765985e-4,9149,carc,0,50,35,0,0,5,male_carc,sheffield
38,male,2.4007418625591605e-5,7.678867065937363e-5,8.39740103432585e-4,1.2005984879765985e-4,9149,carc,0,50,35,0,0,5,male_carc,sheffield
39,male,2.4007418625591605e-5,7.678867065937363e-5,8.39740103432585e-4,1.2005984879765985e-4,9149,carc,0,50,35,0,0,5,male_carc,sheffield
40,male,4.4509666808873265e-5,1.2643662735183832e-4,0.0014147977840393811,2.0205502045762288e-4,8485,carc,0,50,40,0,0,5,male_carc,sheffield
41,male,4.4509666808873265e-5,1.2643662735183832e-4,0.0014147977840393811,2.0205502045762288e-4,8485,carc,0,50,40,0,0,5,male_carc,sheffield
42,male,4.4509666808873265e-5,1.2643662735183832e-4,0.0014147977840393811,2.0205502045762288e-4,8485,carc,0,50,40,0,0,5,male_carc,sheffield
