age,sex,mort,ylds (years lived with disability)_rate_dmt2,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,8494,dmt2,0,10,0,0,0,5,male_dmt2,sheffield
1,male,0,0,0,1e-8,8494,dmt2,0,10,0,0,0,5,male_dmt2,sheffield
2,male,0,0,0,1e-8,8494,dmt2,0,10,0,0,0,5,male_dmt2,sheffield
3,male,0,0,0,1e-8,8494,dmt2,0,10,0,0,0,5,male_dmt2,sheffield
4,male,0,0,0,1e-8,8494,dmt2,0,10,0,0,0,5,male_dmt2,sheffield
5,male,0,0,0,1e-8,9025,dmt2,0,10,5,0,0,5,male_dmt2,sheffield
6,male,0,0,0,1e-8,9025,dmt2,0,10,5,0,0,5,male_dmt2,sheffield
7,male,0,0,0,1e-8,9025,dmt2,0,10,5,0,0,5,male_dmt2,sheffield
8,male,0,0,0,1e-8,9025,dmt2,0,10,5,0,0,5,male_dmt2,sheffield
9,male,0,0,0,1e-8,9025,dmt2,0,10,5,0,0,5,male_dmt2,sheffield
10,male,0,2.4844456399800868e-5,4.968627310165383e-4,6.22223974738462e-4,8119,dmt2,0,50,10,0,0,5,male_dmt2,sheffield
11,male,0,2.4844456399800868e-5,4.968627310165383e-4,6.22223974738462e-4,8119,dmt2,0,50,10,0,0,5,male_dmt2,sheffield
12,male,0,2.4844456399800868e-5,4.968627310165383e-4,6.22223974738462e-4,8119,dmt2,0,50,10,0,0,5,male_dmt2,sheffield
13,male,0,2.4844456399800868e-5,4.968627310165383e-4,6.22223974738462e-4,8119,dmt2,0,50,10,0,0,5,male_dmt2,sheffield
14,male,0,2.4844456399800868e-5,4.968627310165383e-4,6.22223974738462e-4,8119,dmt2,0,50,10,0,0,5,male_dmt2,sheffield
15,male,1.1100878061451902e-7,4.512644638428444e-4,0.008601088084606376,0.0028733436540494196,8294,dmt2,0,50,15,0,0,5,male_dmt2,sheffield
16,male,1.1100878061451902e-7,4.512644638428444e-4,0.008601088084606376,0.0028733436540494196,8294,dmt2,0,50,15,0,0,5,male_dmt2,sheffield
17,male,1.1100878061451902e-7,4.512644638428444e-4,0.008601088084606376,0.0028733436540494196,8294,dmt2,0,50,15,0,0,5,male_dmt2,sheffield
18,male,1.1100878061451902e-7,4.512644638428444e-4,0.008601088084606376,0.0028733436540494196,8294,dmt2,0,50,15,0,0,5,male_dmt2,sheffield
19,male,1.1100878061451902e-7,4.512644638428444e-4,0.008601088084606376,0.0028733436540494196,8294,dmt2,0,50,15,0,0,5,male_dmt2,sheffield
20,male,2.0902434101460425e-7,0.0014191036793861779,0.025415019737413818,0.0030531346797340853,9947,dmt2,0,50,20,1,0,5,male_dmt2,sheffield
21,male,2.0902434101460425e-7,0.0014191036793861779,0.025415019737413818,0.0030531346797340853,9947,dmt2,0,50,20,1,0,5,male_dmt2,sheffield
22,male,2.0902434101460425e-7,0.0014191036793861779,0.025415019737413818,0.0030531346797340853,9947,dmt2,0,50,20,1,0,5,male_dmt2,sheffield
23,male,2.0902434101460425e-7,0.0014191036793861779,0.025415019737413818,0.0030531346797340853,9947,dmt2,0,50,20,1,0,5,male_dmt2,sheffield
24,male,2.0902434101460425e-7,0.0014191036793861779,0.025415019737413818,0.0030531346797340853,9947,dmt2,0,50,20,1,0,5,male_dmt2,sheffield
25,male,3.0878853739675456e-7,0.002041872614422999,0.034565545787737254,0.0011252802307791584,10638,dmt2,0,50,25,2,0,5,male_dmt2,sheffield
26,male,3.0878853739675456e-7,0.002041872614422999,0.034565545787737254,0.0011252802307791584,10638,dmt2,0,50,25,2,0,5,male_dmt2,sheffield
27,male,3.0878853739675456e-7,0.002041872614422999,0.034565545787737254,0.0011252802307791584,10638,dmt2,0,50,25,2,0,5,male_dmt2,sheffield
28,male,3.0878853739675456e-7,0.002041872614422999,0.034565545787737254,0.0011252802307791584,10638,dmt2,0,50,25,2,0,5,male_dmt2,sheffield
29,male,3.0878853739675456e-7,0.002041872614422999,0.034565545787737254,0.0011252802307791584,10638,dmt2,0,50,25,2,0,5,male_dmt2,sheffield
30,male,1.4106007759364606e-6,0.0023411163251028004,0.037872998573912714,7.947086615112246e-4,9676,dmt2,0,50,30,2,0,5,male_dmt2,sheffield
31,male,1.4106007759364606e-6,0.0023411163251028004,0.037872998573912714,7.947086615112246e-4,9676,dmt2,0,50,30,2,0,5,male_dmt2,sheffield
32,male,1.4106007759364606e-6,0.0023411163251028004,0.037872998573912714,7.947086615112246e-4,9676,dmt2,0,50,30,2,0,5,male_dmt2,sheffield
33,male,1.4106007759364606e-6,0.0023411163251028004,0.037872998573912714,7.947086615112246e-4,9676,dmt2,0,50,30,2,0,5,male_dmt2,sheffield
34,male,1.4106007759364606e-6,0.0023411163251028004,0.037872998573912714,7.947086615112246e-4,9676,dmt2,0,50,30,2,0,5,male_dmt2,sheffield
35,male,2.5812518779766116e-6,0.002622839762793104,0.04096242774867095,0.0010095814623745072,9149,dmt2,0,50,35,2,0,5,male_dmt2,sheffield
36,male,2.5812518779766116e-6,0.002622839762793104,0.04096242774867095,0.0010095814623745072,9149,dmt2,0,50,35,2,0,5,male_dmt2,sheffield
37,male,2.5812518779766116e-6,0.002622839762793104,0.04096242774867095,0.0010095814623745072,9149,dmt2,0,50,35,2,0,5,male_dmt2,sheffield
38,male,2.5812518779766116e-6,0.002622839762793104,0.04096242774867095,0.0010095814623745072,9149,dmt2,0,50,35,2,0,5,male_dmt2,sheffield
39,male,2.5812518779766116e-6,0.002622839762793104,0.04096242774867095,0.0010095814623745072,9149,dmt2,0,50,35,2,0,5,male_dmt2,sheffield
40,male,4.0386985918830645e-6,0.003138035893460364,0.047427443823776304,0.002678360857737517,8485,dmt2,0,50,40,2,0,5,male_dmt2,sheffield
41,male,4.0386985918830645e-6,0.003138035893460364,0.047427443823776304,0.002678360857737517,8485,dmt2,0,50,40,2,0,5,male_dmt2,sheffield
42,male,4.0386985918830645e-6,0.003138035893460364,0.047427443823776304,0.002678360857737517,8485,dmt2,0,50,40,2,0,5,male_dmt2,sheffield
43,male,4.0386985918830645e-6,0.003138035893460364,0.047427443823776304,0.002678360857737517,8485,dmt2,0,50,40,2,0,5,male_dmt2,sheffield
44,male,4.0386985918830645e-6,0.003138035893460364,0.047427443823776304,0.002678360857737517,8485,dmt2,0,50,40,2,0,5,male_dmt2,sheffield
45,male,1.44432340597225e-5,0.004551010335784389,0.06674888439079582,0.00569345910932553,9884,dmt2,0,50,45,3,0,5,male_dmt2,sheffield
46,male,1.44432340597225e-5,0.004551010335784389,0.06674888439079582,0.00569345910932553,9884,dmt2,0,50,45,3,0,5,male_dmt2,sheffield
47,male,1.44432340597225e-5,0.004551010335784389,0.06674888439079582,0.00569345910932553,9884,dmt2,0,50,45,3,0,5,male_dmt2,sheffield
48,male,1.44432340597225e-5,0.004551010335784389,0.06674888439079582,0.00569345910932553,9884,dmt2,0,50,45,3,0,5,male_dmt2,sheffield
49,male,1.44432340597225e-5,0.004551010335784389,0.06674888439079582,0.00569345910932553,9884,dmt2,0,50,45,3,0,5,male_dmt2,sheffield
50,male,1.733337549336132e-5,0.006688938524851791,0.09750843818971619,0.006847148706574274,9954,dmt2,0,50,50,5,0,5,male_dmt2,sheffield
51,male,1.733337549336132e-5,0.006688938524851791,0.09750843818971619,0.006847148706574274,9954,dmt2,0,50,50,5,0,5,male_dmt2,sheffield
52,male,1.733337549336132e-5,0.006688938524851791,0.09750843818971619,0.006847148706574274,9954,dmt2,0,50,50,5,0,5,male_dmt2,sheffield
53,male,1.733337549336132e-5,0.006688938524851791,0.09750843818971619,0.006847148706574274,9954,dmt2,0,50,50,5,0,5,male_dmt2,sheffield
54,male,1.733337549336132e-5,0.006688938524851791,0.09750843818971619,0.006847148706574274,9954,dmt2,0,50,50,5,0,5,male_dmt2,sheffield
55,male,3.0138134772856973e-5,0.008595274776686788,0.12794340939074697,0.0063481958640705565,8852,dmt2,0,50,55,6,0,5,male_dmt2,sheffield
