age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,8494,stmc,0,10,0,0,0,5,male_stmc,sheffield
1,male,0,0,0,1e-8,8494,stmc,0,10,0,0,0,5,male_stmc,sheffield
2,male,0,0,0,1e-8,8494,stmc,0,10,0,0,0,5,male_stmc,sheffield
3,male,0,0,0,1e-8,8494,stmc,0,10,0,0,0,5,male_stmc,sheffield
4,male,0,0,0,1e-8,8494,stmc,0,10,0,0,0,5,male_stmc,sheffield
5,male,0,0,0,1e-8,9025,stmc,0,10,5,0,0,5,male_stmc,sheffield
6,male,0,0,0,1e-8,9025,stmc,0,10,5,0,0,5,male_stmc,sheffield
7,male,0,0,0,1e-8,9025,stmc,0,10,5,0,0,5,male_stmc,sheffield
8,male,0,0,0,1e-8,9025,stmc,0,10,5,0,0,5,male_stmc,sheffield
9,male,0,0,0,1e-8,9025,stmc,0,10,5,0,0,5,male_stmc,sheffield
10,male,0,0,0,1e-8,8119,stmc,0,50,10,0,0,5,male_stmc,sheffield
11,male,0,0,0,1e-8,8119,stmc,0,50,10,0,0,5,male_stmc,sheffield
12,male,0,0,0,1e-8,8119,stmc,0,50,10,0,0,5,male_stmc,sheffield
13,male,0,0,0,1e-8,8119,stmc,0,50,10,0,0,5,male_stmc,sheffield
14,male,0,0,0,1e-8,8119,stmc,0,50,10,0,0,5,male_stmc,sheffield
15,male,2.5494815318367424e-7,3.676778332335198e-7,3.620041504260813e-6,9.319495494012863e-7,8294,stmc,0,50,15,0,0,5,male_stmc,sheffield
16,male,2.5494815318367424e-7,3.676778332335198e-7,3.620041504260813e-6,9.319495494012863e-7,8294,stmc,0,50,15,0,0,5,male_stmc,sheffield
17,male,2.5494815318367424e-7,3.676778332335198e-7,3.620041504260813e-6,9.319495494012863e-7,8294,stmc,0,50,15,0,0,5,male_stmc,sheffield
