age,sex,mort,ylds (years lived with disability)_rate_strk,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,1.8094857368378548e-6,2.536275815819467e-5,0,7.653044261524245e-5,8494,strk,0,10,0,0,0,5,male_strk,sheffield
1,male,1.8094857368378548e-6,2.536275815819467e-5,0,7.653044261524245e-5,8494,strk,0,10,0,0,0,5,male_strk,sheffield
2,male,1.8094857368378548e-6,2.536275815819467e-5,0,7.653044261524245e-5,8494,strk,0,10,0,0,0,5,male_strk,sheffield
3,male,1.8094857368378548e-6,2.536275815819467e-5,0,7.653044261524245e-5,8494,strk,0,10,0,0,0,5,male_strk,sheffield
4,male,1.8094857368378548e-6,2.536275815819467e-5,0,7.653044261524245e-5,8494,strk,0,10,0,0,0,5,male_strk,sheffield
5,male,6.605742660979864e-7,6.637934541213209e-5,2.7846619152596365e-4,5.290064845911299e-5,9025,strk,0,10,5,0,0,5,male_strk,sheffield
6,male,6.605742660979864e-7,6.637934541213209e-5,2.7846619152596365e-4,5.290064845911299e-5,9025,strk,0,10,5,0,0,5,male_strk,sheffield
7,male,6.605742660979864e-7,6.637934541213209e-5,2.7846619152596365e-4,5.290064845911299e-5,9025,strk,0,10,5,0,0,5,male_strk,sheffield
8,male,6.605742660979864e-7,6.637934541213209e-5,2.7846619152596365e-4,5.290064845911299e-5,9025,strk,0,10,5,0,0,5,male_strk,sheffield
9,male,6.605742660979864e-7,6.637934541213209e-5,2.7846619152596365e-4,5.290064845911299e-5,9025,strk,0,10,5,0,0,5,male_strk,sheffield
10,male,1.279647685343427e-6,1.0499643317761797e-4,4.0938823275886037e-4,4.9663194055727354e-5,8119,strk,0,50,10,0,0,5,male_strk,sheffield
11,male,1.279647685343427e-6,1.0499643317761797e-4,4.0938823275886037e-4,4.9663194055727354e-5,8119,strk,0,50,10,0,0,5,male_strk,sheffield
12,male,1.279647685343427e-6,1.0499643317761797e-4,4.0938823275886037e-4,4.9663194055727354e-5,8119,strk,0,50,10,0,0,5,male_strk,sheffield
13,male,1.279647685343427e-6,1.0499643317761797e-4,4.0938823275886037e-4,4.9663194055727354e-5,8119,strk,0,50,10,0,0,5,male_strk,sheffield
14,male,1.279647685343427e-6,1.0499643317761797e-4,4.0938823275886037e-4,4.9663194055727354e-5,8119,strk,0,50,10,0,0,5,male_strk,sheffield
15,male,3.741304658756751e-6,1.4155870649643445e-4,5.599812081410162e-4,4.8116029166492265e-5,8294,strk,0,50,15,0,0,5,male_strk,sheffield
16,male,3.741304658756751e-6,1.4155870649643445e-4,5.599812081410162e-4,4.8116029166492265e-5,8294,strk,0,50,15,0,0,5,male_strk,sheffield
17,male,3.741304658756751e-6,1.4155870649643445e-4,5.599812081410162e-4,4.8116029166492265e-5,8294,strk,0,50,15,0,0,5,male_strk,sheffield
18,male,3.741304658756751e-6,1.4155870649643445e-4,5.599812081410162e-4,4.8116029166492265e-5,8294,strk,0,50,15,0,0,5,male_strk,sheffield
19,male,3.741304658756751e-6,1.4155870649643445e-4,5.599812081410162e-4,4.8116029166492265e-5,8294,strk,0,50,15,0,0,5,male_strk,sheffield
20,male,6.781142955260019e-6,1.821034765071964e-4,9.12625039461606e-4,6.05093639251176e-5,9947,strk,0,50,20,0,0,5,male_strk,sheffield
21,male,6.781142955260019e-6,1.821034765071964e-4,9.12625039461606e-4,6.05093639251176e-5,9947,strk,0,50,20,0,0,5,male_strk,sheffield
22,male,6.781142955260019e-6,1.821034765071964e-4,9.12625039461606e-4,6.05093639251176e-5,9947,strk,0,50,20,0,0,5,male_strk,sheffield
23,male,6.781142955260019e-6,1.821034765071964e-4,9.12625039461606e-4,6.05093639251176e-5,9947,strk,0,50,20,0,0,5,male_strk,sheffield
24,male,6.781142955260019e-6,1.821034765071964e-4,9.12625039461606e-4,6.05093639251176e-5,9947,strk,0,50,20,0,0,5,male_strk,sheffield
25,male,1.0572602014400556e-5,2.333474948354068e-4,0.0013675859626302584,8.674516377091511e-5,10638,strk,0,50,25,0,0,5,male_strk,sheffield
26,male,1.0572602014400556e-5,2.333474948354068e-4,0.0013675859626302584,8.674516377091511e-5,10638,strk,0,50,25,0,0,5,male_strk,sheffield
27,male,1.0572602014400556e-5,2.333474948354068e-4,0.0013675859626302584,8.674516377091511e-5,10638,strk,0,50,25,0,0,5,male_strk,sheffield
28,male,1.0572602014400556e-5,2.333474948354068e-4,0.0013675859626302584,8.674516377091511e-5,10638,strk,0,50,25,0,0,5,male_strk,sheffield
29,male,1.0572602014400556e-5,2.333474948354068e-4,0.0013675859626302584,8.674516377091511e-5,10638,strk,0,50,25,0,0,5,male_strk,sheffield
30,male,1.8215601982704676e-5,3.098982037913157e-4,0.0020051958303088503,1.6453651374436266e-4,9676,strk,0,50,30,0,0,5,male_strk,sheffield
31,male,1.8215601982704676e-5,3.098982037913157e-4,0.0020051958303088503,1.6453651374436266e-4,9676,strk,0,50,30,0,0,5,male_strk,sheffield
32,male,1.8215601982704676e-5,3.098982037913157e-4,0.0020051958303088503,1.6453651374436266e-4,9676,strk,0,50,30,0,0,5,male_strk,sheffield
33,male,1.8215601982704676e-5,3.098982037913157e-4,0.0020051958303088503,1.6453651374436266e-4,9676,strk,0,50,30,0,0,5,male_strk,sheffield
34,male,1.8215601982704676e-5,3.098982037913157e-4,0.0020051958303088503,1.6453651374436266e-4,9676,strk,0,50,30,0,0,5,male_strk,sheffield
35,male,3.6730978147602157e-5,4.2909168235990587e-4,0.0033345930756966836,2.938741713008968e-4,9149,strk,0,50,35,0,0,5,male_strk,sheffield
36,male,3.6730978147602157e-5,4.2909168235990587e-4,0.0033345930756966836,2.938741713008968e-4,9149,strk,0,50,35,0,0,5,male_strk,sheffield
37,male,3.6730978147602157e-5,4.2909168235990587e-4,0.0033345930756966836,2.938741713008968e-4,9149,strk,0,50,35,0,0,5,male_strk,sheffield
38,male,3.6730978147602157e-5,4.2909168235990587e-4,0.0033345930756966836,2.938741713008968e-4,9149,strk,0,50,35,0,0,5,male_strk,sheffield
39,male,3.6730978147602157e-5,4.2909168235990587e-4,0.0033345930756966836,2.938741713008968e-4,9149,strk,0,50,35,0,0,5,male_strk,sheffield
40,male,6.414202032695348e-5,6.552300857939667e-4,0.005363815364264096,5.515248733944513e-4,8485,strk,0,50,40,0,1,5,male_strk,sheffield
41,male,6.414202032695348e-5,6.552300857939667e-4,0.005363815364264096,5.515248733944513e-4,8485,strk,0,50,40,0,1,5,male_strk,sheffield
42,male,6.414202032695348e-5,6.552300857939667e-4,0.005363815364264096,5.515248733944513e-4,8485,strk,0,50,40,0,1,5,male_strk,sheffield
43,male,6.414202032695348e-5,6.552300857939667e-4,0.005363815364264096,5.515248733944513e-4,8485,strk,0,50,40,0,1,5,male_strk,sheffield
44,male,6.414202032695348e-5,6.552300857939667e-4,0.005363815364264096,5.515248733944513e-4,8485,strk,0,50,40,0,1,5,male_strk,sheffield
45,male,1.025592986903077e-4,0.001046702649144421,0.008667774620244841,9.372029356960839e-4,9884,strk,0,50,45,0,1,5,male_strk,sheffield
46,male,1.025592986903077e-4,0.001046702649144421,0.008667774620244841,9.372029356960839e-4,9884,strk,0,50,45,0,1,5,male_strk,sheffield
47,male,1.025592986903077e-4,0.001046702649144421,0.008667774620244841,9.372029356960839e-4,9884,strk,0,50,45,0,1,5,male_strk,sheffield
48,male,1.025592986903077e-4,0.001046702649144421,0.008667774620244841,9.372029356960839e-4,9884,strk,0,50,45,0,1,5,male_strk,sheffield
49,male,1.025592986903077e-4,0.001046702649144421,0.008667774620244841,9.372029356960839e-4,9884,strk,0,50,45,0,1,5,male_strk,sheffield
50,male,1.312801249504226e-4,0.0016195268739181263,0.013577477464174436,0.0015190554781401443,9954,strk,0,50,50,1,1,5,male_strk,sheffield
