age,sex,mort,ylds (years lived with disability)_rate_utrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,8494,utrc,0,10,0,0,0,5,male_utrc,sheffield
1,male,0,0,0,1e-8,8494,utrc,0,10,0,0,0,5,male_utrc,sheffield
2,male,0,0,0,1e-8,8494,utrc,0,10,0,0,0,5,male_utrc,sheffield
3,male,0,0,0,1e-8,8494,utrc,0,10,0,0,0,5,male_utrc,sheffield
4,male,0,0,0,1e-8,8494,utrc,0,10,0,0,0,5,male_utrc,sheffield
5,male,0,0,0,1e-8,9025,utrc,0,10,5,0,0,5,male_utrc,sheffield
6,male,0,0,0,1e-8,9025,utrc,0,10,5,0,0,5,male_utrc,sheffield
7,male,0,0,0,1e-8,9025,utrc,0,10,5,0,0,5,male_utrc,sheffield
8,male,0,0,0,1e-8,9025,utrc,0,10,5,0,0,5,male_utrc,sheffield
9,male,0,0,0,1e-8,9025,utrc,0,10,5,0,0,5,male_utrc,sheffield
10,male,0,0,0,1e-8,8119,utrc,0,50,10,0,0,5,male_utrc,sheffield
11,male,0,0,0,1e-8,8119,utrc,0,50,10,0,0,5,male_utrc,sheffield
12,male,0,0,0,1e-8,8119,utrc,0,50,10,0,0,5,male_utrc,sheffield
13,male,0,0,0,1e-8,8119,utrc,0,50,10,0,0,5,male_utrc,sheffield
14,male,0,0,0,1e-8,8119,utrc,0,50,10,0,0,5,male_utrc,sheffield
15,male,0,0,0,1e-8,8294,utrc,0,50,15,0,0,5,male_utrc,sheffield
16,male,0,0,0,1e-8,8294,utrc,0,50,15,0,0,5,male_utrc,sheffield
17,male,0,0,0,1e-8,8294,utrc,0,50,15,0,0,5,male_utrc,sheffield
18,male,0,0,0,1e-8,8294,utrc,0,50,15,0,0,5,male_utrc,sheffield
19,male,0,0,0,1e-8,8294,utrc,0,50,15,0,0,5,male_utrc,sheffield
20,male,0,0,0,1e-8,9947,utrc,0,50,20,0,0,5,male_utrc,sheffield
21,male,0,0,0,1e-8,9947,utrc,0,50,20,0,0,5,male_utrc,sheffield
22,male,0,0,0,1e-8,9947,utrc,0,50,20,0,0,5,male_utrc,sheffield
23,male,0,0,0,1e-8,9947,utrc,0,50,20,0,0,5,male_utrc,sheffield
24,male,0,0,0,1e-8,9947,utrc,0,50,20,0,0,5,male_utrc,sheffield
25,male,0,0,0,1e-8,10638,utrc,0,50,25,0,0,5,male_utrc,sheffield
26,male,0,0,0,1e-8,10638,utrc,0,50,25,0,0,5,male_utrc,sheffield
27,male,0,0,0,1e-8,10638,utrc,0,50,25,0,0,5,male_utrc,sheffield
28,male,0,0,0,1e-8,10638,utrc,0,50,25,0,0,5,male_utrc,sheffield
29,male,0,0,0,1e-8,10638,utrc,0,50,25,0,0,5,male_utrc,sheffield
30,male,0,0,0,1e-8,9676,utrc,0,50,30,0,0,5,male_utrc,sheffield
