age,sex,mort,ylds (years lived with disability)_rate_adaod,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,18936,adaod,0,10,0,0,0,5,female_adaod,westmidlands
1,female,0,0,0,1e-8,18936,adaod,0,10,0,0,0,5,female_adaod,westmidlands
2,female,0,0,0,1e-8,18936,adaod,0,10,0,0,0,5,female_adaod,westmidlands
3,female,0,0,0,1e-8,18936,adaod,0,10,0,0,0,5,female_adaod,westmidlands
4,female,0,0,0,1e-8,18936,adaod,0,10,0,0,0,5,female_adaod,westmidlands
5,female,0,0,0,1e-8,20105,adaod,0,10,5,0,0,5,female_adaod,westmidlands
6,female,0,0,0,1e-8,20105,adaod,0,10,5,0,0,5,female_adaod,westmidlands
7,female,0,0,0,1e-8,20105,adaod,0,10,5,0,0,5,female_adaod,westmidlands
8,female,0,0,0,1e-8,20105,adaod,0,10,5,0,0,5,female_adaod,westmidlands
9,female,0,0,0,1e-8,20105,adaod,0,10,5,0,0,5,female_adaod,westmidlands
10,female,0,0,0,1e-8,18311,adaod,0,50,10,0,0,5,female_adaod,westmidlands
11,female,0,0,0,1e-8,18311,adaod,0,50,10,0,0,5,female_adaod,westmidlands
12,female,0,0,0,1e-8,18311,adaod,0,50,10,0,0,5,female_adaod,westmidlands
13,female,0,0,0,1e-8,18311,adaod,0,50,10,0,0,5,female_adaod,westmidlands
14,female,0,0,0,1e-8,18311,adaod,0,50,10,0,0,5,female_adaod,westmidlands
15,female,0,0,0,1e-8,18007,adaod,0,50,15,0,0,5,female_adaod,westmidlands
16,female,0,0,0,1e-8,18007,adaod,0,50,15,0,0,5,female_adaod,westmidlands
17,female,0,0,0,1e-8,18007,adaod,0,50,15,0,0,5,female_adaod,westmidlands
18,female,0,0,0,1e-8,18007,adaod,0,50,15,0,0,5,female_adaod,westmidlands
19,female,0,0,0,1e-8,18007,adaod,0,50,15,0,0,5,female_adaod,westmidlands
20,female,0,0,0,1e-8,20367,adaod,0,50,20,0,0,5,female_adaod,westmidlands
21,female,0,0,0,1e-8,20367,adaod,0,50,20,0,0,5,female_adaod,westmidlands
22,female,0,0,0,1e-8,20367,adaod,0,50,20,0,0,5,female_adaod,westmidlands
23,female,0,0,0,1e-8,20367,adaod,0,50,20,0,0,5,female_adaod,westmidlands
24,female,0,0,0,1e-8,20367,adaod,0,50,20,0,0,5,female_adaod,westmidlands
25,female,0,0,0,1e-8,22259,adaod,0,50,25,0,0,5,female_adaod,westmidlands
26,female,0,0,0,1e-8,22259,adaod,0,50,25,0,0,5,female_adaod,westmidlands
27,female,0,0,0,1e-8,22259,adaod,0,50,25,0,0,5,female_adaod,westmidlands
28,female,0,0,0,1e-8,22259,adaod,0,50,25,0,0,5,female_adaod,westmidlands
29,female,0,0,0,1e-8,22259,adaod,0,50,25,0,0,5,female_adaod,westmidlands
30,female,0,0,0,1e-8,21316,adaod,0,50,30,0,0,5,female_adaod,westmidlands
31,female,0,0,0,1e-8,21316,adaod,0,50,30,0,0,5,female_adaod,westmidlands
32,female,0,0,0,1e-8,21316,adaod,0,50,30,0,0,5,female_adaod,westmidlands
33,female,0,0,0,1e-8,21316,adaod,0,50,30,0,0,5,female_adaod,westmidlands
34,female,0,0,0,1e-8,21316,adaod,0,50,30,0,0,5,female_adaod,westmidlands
35,female,0,0,0,1e-8,19920,adaod,0,50,35,0,0,5,female_adaod,westmidlands
36,female,0,0,0,1e-8,19920,adaod,0,50,35,0,0,5,female_adaod,westmidlands
37,female,0,0,0,1e-8,19920,adaod,0,50,35,0,0,5,female_adaod,westmidlands
38,female,0,0,0,1e-8,19920,adaod,0,50,35,0,0,5,female_adaod,westmidlands
39,female,0,0,0,1e-8,19920,adaod,0,50,35,0,0,5,female_adaod,westmidlands
40,female,1.7497420955732527e-6,9.728424723043201e-6,7.303828636816966e-5,4.338360831524613e-5,17661,adaod,0,50,40,0,0,5,female_adaod,westmidlands
41,female,1.7497420955732527e-6,9.728424723043201e-6,7.303828636816966e-5,4.338360831524613e-5,17661,adaod,0,50,40,0,0,5,female_adaod,westmidlands
42,female,1.7497420955732527e-6,9.728424723043201e-6,7.303828636816966e-5,4.338360831524613e-5,17661,adaod,0,50,40,0,0,5,female_adaod,westmidlands
43,female,1.7497420955732527e-6,9.728424723043201e-6,7.303828636816966e-5,4.338360831524613e-5,17661,adaod,0,50,40,0,0,5,female_adaod,westmidlands
44,female,1.7497420955732527e-6,9.728424723043201e-6,7.303828636816966e-5,4.338360831524613e-5,17661,adaod,0,50,40,0,0,5,female_adaod,westmidlands
