age,sex,mort,ylds (years lived with disability)_rate_dmt2,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,18936,dmt2,0,10,0,0,0,5,female_dmt2,westmidlands
1,female,0,0,0,1e-8,18936,dmt2,0,10,0,0,0,5,female_dmt2,westmidlands
2,female,0,0,0,1e-8,18936,dmt2,0,10,0,0,0,5,female_dmt2,westmidlands
3,female,0,0,0,1e-8,18936,dmt2,0,10,0,0,0,5,female_dmt2,westmidlands
4,female,0,0,0,1e-8,18936,dmt2,0,10,0,0,0,5,female_dmt2,westmidlands
5,female,0,0,0,1e-8,20105,dmt2,0,10,5,0,0,5,female_dmt2,westmidlands
6,female,0,0,0,1e-8,20105,dmt2,0,10,5,0,0,5,female_dmt2,westmidlands
7,female,0,0,0,1e-8,20105,dmt2,0,10,5,0,0,5,female_dmt2,westmidlands
8,female,0,0,0,1e-8,20105,dmt2,0,10,5,0,0,5,female_dmt2,westmidlands
9,female,0,0,0,1e-8,20105,dmt2,0,10,5,0,0,5,female_dmt2,westmidlands
10,female,0,2.288832454194173e-4,0.004596240571825995,0.0021933274978400354,18311,dmt2,0,50,10,0,0,5,female_dmt2,westmidlands
11,female,0,2.288832454194173e-4,0.004596240571825995,0.0021933274978400354,18311,dmt2,0,50,10,0,0,5,female_dmt2,westmidlands
12,female,0,2.288832454194173e-4,0.004596240571825995,0.0021933274978400354,18311,dmt2,0,50,10,0,0,5,female_dmt2,westmidlands
13,female,0,2.288832454194173e-4,0.004596240571825995,0.0021933274978400354,18311,dmt2,0,50,10,0,0,5,female_dmt2,westmidlands
14,female,0,2.288832454194173e-4,0.004596240571825995,0.0021933274978400354,18311,dmt2,0,50,10,0,0,5,female_dmt2,westmidlands
15,female,1.6028501542993893e-7,0.001171904008388546,0.022442733314048006,0.003932971502770353,18007,dmt2,0,50,15,1,0,5,female_dmt2,westmidlands
16,female,1.6028501542993893e-7,0.001171904008388546,0.022442733314048006,0.003932971502770353,18007,dmt2,0,50,15,1,0,5,female_dmt2,westmidlands
17,female,1.6028501542993893e-7,0.001171904008388546,0.022442733314048006,0.003932971502770353,18007,dmt2,0,50,15,1,0,5,female_dmt2,westmidlands
18,female,1.6028501542993893e-7,0.001171904008388546,0.022442733314048006,0.003932971502770353,18007,dmt2,0,50,15,1,0,5,female_dmt2,westmidlands
19,female,1.6028501542993893e-7,0.001171904008388546,0.022442733314048006,0.003932971502770353,18007,dmt2,0,50,15,1,0,5,female_dmt2,westmidlands
20,female,2.4493315810449213e-7,0.0021342661932275313,0.03856283607925474,0.002666833613679265,20367,dmt2,0,50,20,2,0,5,female_dmt2,westmidlands
21,female,2.4493315810449213e-7,0.0021342661932275313,0.03856283607925474,0.002666833613679265,20367,dmt2,0,50,20,2,0,5,female_dmt2,westmidlands
22,female,2.4493315810449213e-7,0.0021342661932275313,0.03856283607925474,0.002666833613679265,20367,dmt2,0,50,20,2,0,5,female_dmt2,westmidlands
23,female,2.4493315810449213e-7,0.0021342661932275313,0.03856283607925474,0.002666833613679265,20367,dmt2,0,50,20,2,0,5,female_dmt2,westmidlands
24,female,2.4493315810449213e-7,0.0021342661932275313,0.03856283607925474,0.002666833613679265,20367,dmt2,0,50,20,2,0,5,female_dmt2,westmidlands
25,female,4.004378405289626e-7,0.0027029513278090133,0.04645552893581313,0.0010963142062406254,22259,dmt2,0,50,25,2,0,5,female_dmt2,westmidlands
26,female,4.004378405289626e-7,0.0027029513278090133,0.04645552893581313,0.0010963142062406254,22259,dmt2,0,50,25,2,0,5,female_dmt2,westmidlands
27,female,4.004378405289626e-7,0.0027029513278090133,0.04645552893581313,0.0010963142062406254,22259,dmt2,0,50,25,2,0,5,female_dmt2,westmidlands
28,female,4.004378405289626e-7,0.0027029513278090133,0.04645552893581313,0.0010963142062406254,22259,dmt2,0,50,25,2,0,5,female_dmt2,westmidlands
29,female,4.004378405289626e-7,0.0027029513278090133,0.04645552893581313,0.0010963142062406254,22259,dmt2,0,50,25,2,0,5,female_dmt2,westmidlands
30,female,1.2774830342000742e-6,0.003012126900653468,0.04949216091260549,9.542331105426834e-4,21316,dmt2,0,50,30,2,0,5,female_dmt2,westmidlands
31,female,1.2774830342000742e-6,0.003012126900653468,0.04949216091260549,9.542331105426834e-4,21316,dmt2,0,50,30,2,0,5,female_dmt2,westmidlands
32,female,1.2774830342000742e-6,0.003012126900653468,0.04949216091260549,9.542331105426834e-4,21316,dmt2,0,50,30,2,0,5,female_dmt2,westmidlands
33,female,1.2774830342000742e-6,0.003012126900653468,0.04949216091260549,9.542331105426834e-4,21316,dmt2,0,50,30,2,0,5,female_dmt2,westmidlands
34,female,1.2774830342000742e-6,0.003012126900653468,0.04949216091260549,9.542331105426834e-4,21316,dmt2,0,50,30,2,0,5,female_dmt2,westmidlands
35,female,1.8946826318624346e-6,0.0033552310714949772,0.053107472474844084,0.0013030307405186047,19920,dmt2,0,50,35,3,0,5,female_dmt2,westmidlands
36,female,1.8946826318624346e-6,0.0033552310714949772,0.053107472474844084,0.0013030307405186047,19920,dmt2,0,50,35,3,0,5,female_dmt2,westmidlands
37,female,1.8946826318624346e-6,0.0033552310714949772,0.053107472474844084,0.0013030307405186047,19920,dmt2,0,50,35,3,0,5,female_dmt2,westmidlands
38,female,1.8946826318624346e-6,0.0033552310714949772,0.053107472474844084,0.0013030307405186047,19920,dmt2,0,50,35,3,0,5,female_dmt2,westmidlands
39,female,1.8946826318624346e-6,0.0033552310714949772,0.053107472474844084,0.0013030307405186047,19920,dmt2,0,50,35,3,0,5,female_dmt2,westmidlands
40,female,2.7371747105327966e-6,0.0039244541268230555,0.06019143071698802,0.0027532676279008648,17661,dmt2,0,50,40,3,0,5,female_dmt2,westmidlands
