age,sex,mort,ylds (years lived with disability)_rate_utrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,18936,utrc,0,10,0,0,0,5,female_utrc,westmidlands
1,female,0,0,0,1e-8,18936,utrc,0,10,0,0,0,5,female_utrc,westmidlands
2,female,0,0,0,1e-8,18936,utrc,0,10,0,0,0,5,female_utrc,westmidlands
3,female,0,0,0,1e-8,18936,utrc,0,10,0,0,0,5,female_utrc,westmidlands
4,female,0,0,0,1e-8,18936,utrc,0,10,0,0,0,5,female_utrc,westmidlands
5,female,0,0,0,1e-8,20105,utrc,0,10,5,0,0,5,female_utrc,westmidlands
6,female,0,0,0,1e-8,20105,utrc,0,10,5,0,0,5,female_utrc,westmidlands
7,female,0,0,0,1e-8,20105,utrc,0,10,5,0,0,5,female_utrc,westmidlands
8,female,0,0,0,1e-8,20105,utrc,0,10,5,0,0,5,female_utrc,westmidlands
9,female,0,0,0,1e-8,20105,utrc,0,10,5,0,0,5,female_utrc,westmidlands
10,female,0,0,0,1e-8,18311,utrc,0,50,10,0,0,5,female_utrc,westmidlands
11,female,0,0,0,1e-8,18311,utrc,0,50,10,0,0,5,female_utrc,westmidlands
12,female,0,0,0,1e-8,18311,utrc,0,50,10,0,0,5,female_utrc,westmidlands
13,female,0,0,0,1e-8,18311,utrc,0,50,10,0,0,5,female_utrc,westmidlands
14,female,0,0,0,1e-8,18311,utrc,0,50,10,0,0,5,female_utrc,westmidlands
15,female,1.2660262403503249e-7,1.1599641599476611e-6,1.7305975627081535e-5,2.0246449676190708e-6,18007,utrc,0,50,15,0,0,5,female_utrc,westmidlands
16,female,1.2660262403503249e-7,1.1599641599476611e-6,1.7305975627081535e-5,2.0246449676190708e-6,18007,utrc,0,50,15,0,0,5,female_utrc,westmidlands
17,female,1.2660262403503249e-7,1.1599641599476611e-6,1.7305975627081535e-5,2.0246449676190708e-6,18007,utrc,0,50,15,0,0,5,female_utrc,westmidlands
18,female,1.2660262403503249e-7,1.1599641599476611e-6,1.7305975627081535e-5,2.0246449676190708e-6,18007,utrc,0,50,15,0,0,5,female_utrc,westmidlands
