age,sex,mort,ylds (years lived with disability)_rate_brsc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,20018,brsc,0,10,0,0,0,5,male_brsc,westmidlands
1,male,0,0,0,1e-8,20018,brsc,0,10,0,0,0,5,male_brsc,westmidlands
2,male,0,0,0,1e-8,20018,brsc,0,10,0,0,0,5,male_brsc,westmidlands
3,male,0,0,0,1e-8,20018,brsc,0,10,0,0,0,5,male_brsc,westmidlands
4,male,0,0,0,1e-8,20018,brsc,0,10,0,0,0,5,male_brsc,westmidlands
5,male,0,0,0,1e-8,21167,brsc,0,10,5,0,0,5,male_brsc,westmidlands
6,male,0,0,0,1e-8,21167,brsc,0,10,5,0,0,5,male_brsc,westmidlands
7,male,0,0,0,1e-8,21167,brsc,0,10,5,0,0,5,male_brsc,westmidlands
8,male,0,0,0,1e-8,21167,brsc,0,10,5,0,0,5,male_brsc,westmidlands
9,male,0,0,0,1e-8,21167,brsc,0,10,5,0,0,5,male_brsc,westmidlands
10,male,0,0,0,1e-8,19371,brsc,0,50,10,0,0,5,male_brsc,westmidlands
11,male,0,0,0,1e-8,19371,brsc,0,50,10,0,0,5,male_brsc,westmidlands
12,male,0,0,0,1e-8,19371,brsc,0,50,10,0,0,5,male_brsc,westmidlands
13,male,0,0,0,1e-8,19371,brsc,0,50,10,0,0,5,male_brsc,westmidlands
14,male,0,0,0,1e-8,19371,brsc,0,50,10,0,0,5,male_brsc,westmidlands
15,male,9.016232170063399e-8,4.893699461261764e-7,5.244523508751589e-6,5.871349120859072e-7,18825,brsc,0,50,15,0,0,5,male_brsc,westmidlands
16,male,9.016232170063399e-8,4.893699461261764e-7,5.244523508751589e-6,5.871349120859072e-7,18825,brsc,0,50,15,0,0,5,male_brsc,westmidlands
17,male,9.016232170063399e-8,4.893699461261764e-7,5.244523508751589e-6,5.871349120859072e-7,18825,brsc,0,50,15,0,0,5,male_brsc,westmidlands
18,male,9.016232170063399e-8,4.893699461261764e-7,5.244523508751589e-6,5.871349120859072e-7,18825,brsc,0,50,15,0,0,5,male_brsc,westmidlands
19,male,9.016232170063399e-8,4.893699461261764e-7,5.244523508751589e-6,5.871349120859072e-7,18825,brsc,0,50,15,0,0,5,male_brsc,westmidlands
20,male,8.556934800993891e-8,5.84810584228675e-7,6.83896908748721e-6,6.493694626904598e-7,20491,brsc,0,50,20,0,0,5,male_brsc,westmidlands
21,male,8.556934800993891e-8,5.84810584228675e-7,6.83896908748721e-6,6.493694626904598e-7,20491,brsc,0,50,20,0,0,5,male_brsc,westmidlands
22,male,8.556934800993891e-8,5.84810584228675e-7,6.83896908748721e-6,6.493694626904598e-7,20491,brsc,0,50,20,0,0,5,male_brsc,westmidlands
23,male,8.556934800993891e-8,5.84810584228675e-7,6.83896908748721e-6,6.493694626904598e-7,20491,brsc,0,50,20,0,0,5,male_brsc,westmidlands
24,male,8.556934800993891e-8,5.84810584228675e-7,6.83896908748721e-6,6.493694626904598e-7,20491,brsc,0,50,20,0,0,5,male_brsc,westmidlands
25,male,1.115391343224259e-7,8.701069489577283e-7,1.0174064047316935e-5,9.703846146364861e-7,22079,brsc,0,50,25,0,0,5,male_brsc,westmidlands
26,male,1.115391343224259e-7,8.701069489577283e-7,1.0174064047316935e-5,9.703846146364861e-7,22079,brsc,0,50,25,0,0,5,male_brsc,westmidlands
27,male,1.115391343224259e-7,8.701069489577283e-7,1.0174064047316935e-5,9.703846146364861e-7,22079,brsc,0,50,25,0,0,5,male_brsc,westmidlands
28,male,1.115391343224259e-7,8.701069489577283e-7,1.0174064047316935e-5,9.703846146364861e-7,22079,brsc,0,50,25,0,0,5,male_brsc,westmidlands
29,male,1.115391343224259e-7,8.701069489577283e-7,1.0174064047316935e-5,9.703846146364861e-7,22079,brsc,0,50,25,0,0,5,male_brsc,westmidlands
30,male,2.454888644387403e-7,1.2478272720970149e-6,1.413009046600957e-5,1.4401116392990197e-6,21569,brsc,0,50,30,0,0,5,male_brsc,westmidlands
31,male,2.454888644387403e-7,1.2478272720970149e-6,1.413009046600957e-5,1.4401116392990197e-6,21569,brsc,0,50,30,0,0,5,male_brsc,westmidlands
32,male,2.454888644387403e-7,1.2478272720970149e-6,1.413009046600957e-5,1.4401116392990197e-6,21569,brsc,0,50,30,0,0,5,male_brsc,westmidlands
33,male,2.454888644387403e-7,1.2478272720970149e-6,1.413009046600957e-5,1.4401116392990197e-6,21569,brsc,0,50,30,0,0,5,male_brsc,westmidlands
34,male,2.454888644387403e-7,1.2478272720970149e-6,1.413009046600957e-5,1.4401116392990197e-6,21569,brsc,0,50,30,0,0,5,male_brsc,westmidlands
35,male,5.035763686586655e-7,2.0209797491253256e-6,2.2257525074414375e-5,2.397441050040554e-6,19924,brsc,0,50,35,0,0,5,male_brsc,westmidlands
36,male,5.035763686586655e-7,2.0209797491253256e-6,2.2257525074414375e-5,2.397441050040554e-6,19924,brsc,0,50,35,0,0,5,male_brsc,westmidlands
37,male,5.035763686586655e-7,2.0209797491253256e-6,2.2257525074414375e-5,2.397441050040554e-6,19924,brsc,0,50,35,0,0,5,male_brsc,westmidlands
38,male,5.035763686586655e-7,2.0209797491253256e-6,2.2257525074414375e-5,2.397441050040554e-6,19924,brsc,0,50,35,0,0,5,male_brsc,westmidlands
39,male,5.035763686586655e-7,2.0209797491253256e-6,2.2257525074414375e-5,2.397441050040554e-6,19924,brsc,0,50,35,0,0,5,male_brsc,westmidlands
40,male,1.079504383647013e-6,3.881490391697107e-6,4.172553366508438e-5,4.669396230605335e-6,17844,brsc,0,50,40,0,0,5,male_brsc,westmidlands
41,male,1.079504383647013e-6,3.881490391697107e-6,4.172553366508438e-5,4.669396230605335e-6,17844,brsc,0,50,40,0,0,5,male_brsc,westmidlands
42,male,1.079504383647013e-6,3.881490391697107e-6,4.172553366508438e-5,4.669396230605335e-6,17844,brsc,0,50,40,0,0,5,male_brsc,westmidlands
43,male,1.079504383647013e-6,3.881490391697107e-6,4.172553366508438e-5,4.669396230605335e-6,17844,brsc,0,50,40,0,0,5,male_brsc,westmidlands
44,male,1.079504383647013e-6,3.881490391697107e-6,4.172553366508438e-5,4.669396230605335e-6,17844,brsc,0,50,40,0,0,5,male_brsc,westmidlands
45,male,1.8747534427819693e-6,5.95193402801451e-6,6.310284948518214e-5,7.134400141106275e-6,19328,brsc,0,50,45,0,0,5,male_brsc,westmidlands
46,male,1.8747534427819693e-6,5.95193402801451e-6,6.310284948518214e-5,7.134400141106275e-6,19328,brsc,0,50,45,0,0,5,male_brsc,westmidlands
47,male,1.8747534427819693e-6,5.95193402801451e-6,6.310284948518214e-5,7.134400141106275e-6,19328,brsc,0,50,45,0,0,5,male_brsc,westmidlands
48,male,1.8747534427819693e-6,5.95193402801451e-6,6.310284948518214e-5,7.134400141106275e-6,19328,brsc,0,50,45,0,0,5,male_brsc,westmidlands
49,male,1.8747534427819693e-6,5.95193402801451e-6,6.310284948518214e-5,7.134400141106275e-6,19328,brsc,0,50,45,0,0,5,male_brsc,westmidlands
50,male,3.4685174582612e-6,8.31950261765627e-6,8.74072301989615e-5,1.0082564828795026e-5,18342,brsc,0,50,50,0,0,5,male_brsc,westmidlands
51,male,3.4685174582612e-6,8.31950261765627e-6,8.74072301989615e-5,1.0082564828795026e-5,18342,brsc,0,50,50,0,0,5,male_brsc,westmidlands
52,male,3.4685174582612e-6,8.31950261765627e-6,8.74072301989615e-5,1.0082564828795026e-5,18342,brsc,0,50,50,0,0,5,male_brsc,westmidlands
53,male,3.4685174582612e-6,8.31950261765627e-6,8.74072301989615e-5,1.0082564828795026e-5,18342,brsc,0,50,50,0,0,5,male_brsc,westmidlands
54,male,3.4685174582612e-6,8.31950261765627e-6,8.74072301989615e-5,1.0082564828795026e-5,18342,brsc,0,50,50,0,0,5,male_brsc,westmidlands
55,male,5.804286698215722e-6,1.235746737984993e-5,1.290806592333811e-4,1.500532741694154e-5,15863,brsc,0,50,55,0,0,5,male_brsc,westmidlands
56,male,5.804286698215722e-6,1.235746737984993e-5,1.290806592333811e-4,1.500532741694154e-5,15863,brsc,0,50,55,0,0,5,male_brsc,westmidlands
57,male,5.804286698215722e-6,1.235746737984993e-5,1.290806592333811e-4,1.500532741694154e-5,15863,brsc,0,50,55,0,0,5,male_brsc,westmidlands
58,male,5.804286698215722e-6,1.235746737984993e-5,1.290806592333811e-4,1.500532741694154e-5,15863,brsc,0,50,55,0,0,5,male_brsc,westmidlands
59,male,5.804286698215722e-6,1.235746737984993e-5,1.290806592333811e-4,1.500532741694154e-5,15863,brsc,0,50,55,0,0,5,male_brsc,westmidlands
60,male,1.1214499206068018e-5,2.300844093224317e-5,2.417528503931967e-4,2.8845206878471306e-5,13427,brsc,0,50,60,0,0,5,male_brsc,westmidlands
61,male,1.1214499206068018e-5,2.300844093224317e-5,2.417528503931967e-4,2.8845206878471306e-5,13427,brsc,0,50,60,0,0,5,male_brsc,westmidlands
62,male,1.1214499206068018e-5,2.300844093224317e-5,2.417528503931967e-4,2.8845206878471306e-5,13427,brsc,0,50,60,0,0,5,male_brsc,westmidlands
63,male,1.1214499206068018e-5,2.300844093224317e-5,2.417528503931967e-4,2.8845206878471306e-5,13427,brsc,0,50,60,0,0,5,male_brsc,westmidlands
64,male,1.1214499206068018e-5,2.300844093224317e-5,2.417528503931967e-4,2.8845206878471306e-5,13427,brsc,0,50,60,0,0,5,male_brsc,westmidlands
65,male,1.8720182241958958e-5,3.547662412962848e-5,3.6686571026729313e-4,4.494960261888701e-5,12231,brsc,0,50,65,0,0,5,male_brsc,westmidlands
66,male,1.8720182241958958e-5,3.547662412962848e-5,3.6686571026729313e-4,4.494960261888701e-5,12231,brsc,0,50,65,0,0,5,male_brsc,westmidlands
67,male,1.8720182241958958e-5,3.547662412962848e-5,3.6686571026729313e-4,4.494960261888701e-5,12231,brsc,0,50,65,0,0,5,male_brsc,westmidlands
68,male,1.8720182241958958e-5,3.547662412962848e-5,3.6686571026729313e-4,4.494960261888701e-5,12231,brsc,0,50,65,0,0,5,male_brsc,westmidlands
69,male,1.8720182241958958e-5,3.547662412962848e-5,3.6686571026729313e-4,4.494960261888701e-5,12231,brsc,0,50,65,0,0,5,male_brsc,westmidlands
70,male,2.6341060492141834e-5,4.754088729897926e-5,4.851893383073124e-4,6.0090674160572794e-5,10547,brsc,0,50,70,0,0,5,male_brsc,westmidlands
71,male,2.6341060492141834e-5,4.754088729897926e-5,4.851893383073124e-4,6.0090674160572794e-5,10547,brsc,0,50,70,0,0,5,male_brsc,westmidlands
72,male,2.6341060492141834e-5,4.754088729897926e-5,4.851893383073124e-4,6.0090674160572794e-5,10547,brsc,0,50,70,0,0,5,male_brsc,westmidlands
73,male,2.6341060492141834e-5,4.754088729897926e-5,4.851893383073124e-4,6.0090674160572794e-5,10547,brsc,0,50,70,0,0,5,male_brsc,westmidlands
74,male,2.6341060492141834e-5,4.754088729897926e-5,4.851893383073124e-4,6.0090674160572794e-5,10547,brsc,0,50,70,0,0,5,male_brsc,westmidlands
75,male,3.746345912894915e-5,6.052456367422927e-5,6.143738037486578e-4,7.635233427463936e-5,7817,brsc,0,50,75,0,0,5,male_brsc,westmidlands
76,male,3.746345912894915e-5,6.052456367422927e-5,6.143738037486578e-4,7.635233427463936e-5,7817,brsc,0,50,75,0,0,5,male_brsc,westmidlands
77,male,3.746345912894915e-5,6.052456367422927e-5,6.143738037486578e-4,7.635233427463936e-5,7817,brsc,0,50,75,0,0,5,male_brsc,westmidlands
78,male,3.746345912894915e-5,6.052456367422927e-5,6.143738037486578e-4,7.635233427463936e-5,7817,brsc,0,50,75,0,0,5,male_brsc,westmidlands
79,male,3.746345912894915e-5,6.052456367422927e-5,6.143738037486578e-4,7.635233427463936e-5,7817,brsc,0,50,75,0,0,5,male_brsc,westmidlands
80,male,5.16534786188582e-5,5.603456474984359e-5,5.741671416620908e-4,7.674118331403577e-5,5479,brsc,0,20,80,0,0,5,male_brsc,westmidlands
81,male,5.16534786188582e-5,5.603456474984359e-5,5.741671416620908e-4,7.674118331403577e-5,5479,brsc,0,20,80,0,0,5,male_brsc,westmidlands
82,male,5.16534786188582e-5,5.603456474984359e-5,5.741671416620908e-4,7.674118331403577e-5,5479,brsc,0,20,80,0,0,5,male_brsc,westmidlands
83,male,5.16534786188582e-5,5.603456474984359e-5,5.741671416620908e-4,7.674118331403577e-5,5479,brsc,0,20,80,0,0,5,male_brsc,westmidlands
84,male,5.16534786188582e-5,5.603456474984359e-5,5.741671416620908e-4,7.674118331403577e-5,5479,brsc,0,20,80,0,0,5,male_brsc,westmidlands
85,male,8.084341504484756e-5,7.814040278714505e-5,7.819453426131919e-4,1.2024361760754487e-4,2957,brsc,0,20,85,0,0,5,male_brsc,westmidlands
86,male,8.084341504484756e-5,7.814040278714505e-5,7.819453426131919e-4,1.2024361760754487e-4,2957,brsc,0,20,85,0,0,5,male_brsc,westmidlands
87,male,8.084341504484756e-5,7.814040278714505e-5,7.819453426131919e-4,1.2024361760754487e-4,2957,brsc,0,20,85,0,0,5,male_brsc,westmidlands
88,male,8.084341504484756e-5,7.814040278714505e-5,7.819453426131919e-4,1.2024361760754487e-4,2957,brsc,0,20,85,0,0,5,male_brsc,westmidlands
89,male,8.084341504484756e-5,7.814040278714505e-5,7.819453426131919e-4,1.2024361760754487e-4,2957,brsc,0,20,85,0,0,5,male_brsc,westmidlands
90,male,1.232545729714251e-4,1.056455577429096e-4,9.90129993458245e-4,1.839545277663631e-4,1059,brsc,0,10,90,0,0,5,male_brsc,westmidlands
91,male,1.232545729714251e-4,1.056455577429096e-4,9.90129993458245e-4,1.839545277663631e-4,1059,brsc,0,10,90,0,0,5,male_brsc,westmidlands
92,male,1.232545729714251e-4,1.056455577429096e-4,9.90129993458245e-4,1.839545277663631e-4,1059,brsc,0,10,90,0,0,5,male_brsc,westmidlands
93,male,1.232545729714251e-4,1.056455577429096e-4,9.90129993458245e-4,1.839545277663631e-4,1059,brsc,0,10,90,0,0,5,male_brsc,westmidlands
94,male,1.232545729714251e-4,1.056455577429096e-4,9.90129993458245e-4,1.839545277663631e-4,1059,brsc,0,10,90,0,0,5,male_brsc,westmidlands
95,male,2.0289008461690021e-4,9.241094687836921e-5,8.440146274192332e-4,3.0337025886852163e-4,179,brsc,0,10,95,0,0,6,male_brsc,westmidlands
96,male,2.0289008461690021e-4,9.241094687836921e-5,8.440146274192332e-4,3.0337025886852163e-4,179,brsc,0,10,95,0,0,6,male_brsc,westmidlands
97,male,2.0289008461690021e-4,9.241094687836921e-5,8.440146274192332e-4,3.0337025886852163e-4,179,brsc,0,10,95,0,0,6,male_brsc,westmidlands
98,male,2.0289008461690021e-4,9.241094687836921e-5,8.440146274192332e-4,3.0337025886852163e-4,179,brsc,0,10,95,0,0,6,male_brsc,westmidlands
99,male,2.0289008461690021e-4,9.241094687836921e-5,8.440146274192332e-4,3.0337025886852163e-4,179,brsc,0,10,95,0,0,6,male_brsc,westmidlands
100,male,2.0289008461690021e-4,9.241094687836921e-5,8.440146274192332e-4,3.0337025886852163e-4,179,brsc,0,10,95,0,0,6,male_brsc,westmidlands
