age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,20018,carc,0,10,0,0,0,5,male_carc,westmidlands
1,male,0,0,0,1e-8,20018,carc,0,10,0,0,0,5,male_carc,westmidlands
2,male,0,0,0,1e-8,20018,carc,0,10,0,0,0,5,male_carc,westmidlands
3,male,0,0,0,1e-8,20018,carc,0,10,0,0,0,5,male_carc,westmidlands
4,male,0,0,0,1e-8,20018,carc,0,10,0,0,0,5,male_carc,westmidlands
5,male,0,0,0,1e-8,21167,carc,0,10,5,0,0,5,male_carc,westmidlands
6,male,0,0,0,1e-8,21167,carc,0,10,5,0,0,5,male_carc,westmidlands
7,male,0,0,0,1e-8,21167,carc,0,10,5,0,0,5,male_carc,westmidlands
8,male,0,0,0,1e-8,21167,carc,0,10,5,0,0,5,male_carc,westmidlands
9,male,0,0,0,1e-8,21167,carc,0,10,5,0,0,5,male_carc,westmidlands
10,male,0,0,0,1e-8,19371,carc,0,50,10,0,0,5,male_carc,westmidlands
11,male,0,0,0,1e-8,19371,carc,0,50,10,0,0,5,male_carc,westmidlands
12,male,0,0,0,1e-8,19371,carc,0,50,10,0,0,5,male_carc,westmidlands
13,male,0,0,0,1e-8,19371,carc,0,50,10,0,0,5,male_carc,westmidlands
14,male,0,0,0,1e-8,19371,carc,0,50,10,0,0,5,male_carc,westmidlands
15,male,3.9919259953640497e-7,1.3561930961479372e-6,1.2112589263301137e-5,1.7636683980805538e-6,18825,carc,0,50,15,0,0,5,male_carc,westmidlands
16,male,3.9919259953640497e-7,1.3561930961479372e-6,1.2112589263301137e-5,1.7636683980805538e-6,18825,carc,0,50,15,0,0,5,male_carc,westmidlands
17,male,3.9919259953640497e-7,1.3561930961479372e-6,1.2112589263301137e-5,1.7636683980805538e-6,18825,carc,0,50,15,0,0,5,male_carc,westmidlands
18,male,3.9919259953640497e-7,1.3561930961479372e-6,1.2112589263301137e-5,1.7636683980805538e-6,18825,carc,0,50,15,0,0,5,male_carc,westmidlands
19,male,3.9919259953640497e-7,1.3561930961479372e-6,1.2112589263301137e-5,1.7636683980805538e-6,18825,carc,0,50,15,0,0,5,male_carc,westmidlands
20,male,1.4191828850090181e-6,5.527431750658471e-6,5.1418889361805644e-5,7.311895929451743e-6,20491,carc,0,50,20,0,0,5,male_carc,westmidlands
21,male,1.4191828850090181e-6,5.527431750658471e-6,5.1418889361805644e-5,7.311895929451743e-6,20491,carc,0,50,20,0,0,5,male_carc,westmidlands
22,male,1.4191828850090181e-6,5.527431750658471e-6,5.1418889361805644e-5,7.311895929451743e-6,20491,carc,0,50,20,0,0,5,male_carc,westmidlands
23,male,1.4191828850090181e-6,5.527431750658471e-6,5.1418889361805644e-5,7.311895929451743e-6,20491,carc,0,50,20,0,0,5,male_carc,westmidlands
24,male,1.4191828850090181e-6,5.527431750658471e-6,5.1418889361805644e-5,7.311895929451743e-6,20491,carc,0,50,20,0,0,5,male_carc,westmidlands
25,male,4.2001054286928006e-6,1.6969899064540376e-5,1.6561802785047914e-4,2.3596706017182802e-5,22079,carc,0,50,25,0,0,5,male_carc,westmidlands
26,male,4.2001054286928006e-6,1.6969899064540376e-5,1.6561802785047914e-4,2.3596706017182802e-5,22079,carc,0,50,25,0,0,5,male_carc,westmidlands
27,male,4.2001054286928006e-6,1.6969899064540376e-5,1.6561802785047914e-4,2.3596706017182802e-5,22079,carc,0,50,25,0,0,5,male_carc,westmidlands
28,male,4.2001054286928006e-6,1.6969899064540376e-5,1.6561802785047914e-4,2.3596706017182802e-5,22079,carc,0,50,25,0,0,5,male_carc,westmidlands
29,male,4.2001054286928006e-6,1.6969899064540376e-5,1.6561802785047914e-4,2.3596706017182802e-5,22079,carc,0,50,25,0,0,5,male_carc,westmidlands
30,male,1.3659342869541101e-5,4.778228026900486e-5,5.002392322208123e-4,7.234956765557944e-5,21569,carc,0,50,30,0,0,5,male_carc,westmidlands
31,male,1.3659342869541101e-5,4.778228026900486e-5,5.002392322208123e-4,7.234956765557944e-5,21569,carc,0,50,30,0,0,5,male_carc,westmidlands
32,male,1.3659342869541101e-5,4.778228026900486e-5,5.002392322208123e-4,7.234956765557944e-5,21569,carc,0,50,30,0,0,5,male_carc,westmidlands
33,male,1.3659342869541101e-5,4.778228026900486e-5,5.002392322208123e-4,7.234956765557944e-5,21569,carc,0,50,30,0,0,5,male_carc,westmidlands
34,male,1.3659342869541101e-5,4.778228026900486e-5,5.002392322208123e-4,7.234956765557944e-5,21569,carc,0,50,30,0,0,5,male_carc,westmidlands
35,male,2.0276502250221627e-5,6.284065846697803e-5,6.87954228253062e-4,9.855117737062157e-5,19924,carc,0,50,35,0,0,5,male_carc,westmidlands
36,male,2.0276502250221627e-5,6.284065846697803e-5,6.87954228253062e-4,9.855117737062157e-5,19924,carc,0,50,35,0,0,5,male_carc,westmidlands
37,male,2.0276502250221627e-5,6.284065846697803e-5,6.87954228253062e-4,9.855117737062157e-5,19924,carc,0,50,35,0,0,5,male_carc,westmidlands
38,male,2.0276502250221627e-5,6.284065846697803e-5,6.87954228253062e-4,9.855117737062157e-5,19924,carc,0,50,35,0,0,5,male_carc,westmidlands
39,male,2.0276502250221627e-5,6.284065846697803e-5,6.87954228253062e-4,9.855117737062157e-5,19924,carc,0,50,35,0,0,5,male_carc,westmidlands
40,male,4.267133165021834e-5,1.1686527903048107e-4,0.0013058162775005499,1.8735347447615622e-4,17844,carc,0,50,40,0,1,5,male_carc,westmidlands
41,male,4.267133165021834e-5,1.1686527903048107e-4,0.0013058162775005499,1.8735347447615622e-4,17844,carc,0,50,40,0,1,5,male_carc,westmidlands
42,male,4.267133165021834e-5,1.1686527903048107e-4,0.0013058162775005499,1.8735347447615622e-4,17844,carc,0,50,40,0,1,5,male_carc,westmidlands
43,male,4.267133165021834e-5,1.1686527903048107e-4,0.0013058162775005499,1.8735347447615622e-4,17844,carc,0,50,40,0,1,5,male_carc,westmidlands
44,male,4.267133165021834e-5,1.1686527903048107e-4,0.0013058162775005499,1.8735347447615622e-4,17844,carc,0,50,40,0,1,5,male_carc,westmidlands
45,male,8.278335635546838e-5,1.7203753168209263e-4,0.0019463385707558475,2.901740171882039e-4,19328,carc,0,50,45,0,2,5,male_carc,westmidlands
46,male,8.278335635546838e-5,1.7203753168209263e-4,0.0019463385707558475,2.901740171882039e-4,19328,carc,0,50,45,0,2,5,male_carc,westmidlands
47,male,8.278335635546838e-5,1.7203753168209263e-4,0.0019463385707558475,2.901740171882039e-4,19328,carc,0,50,45,0,2,5,male_carc,westmidlands
48,male,8.278335635546838e-5,1.7203753168209263e-4,0.0019463385707558475,2.901740171882039e-4,19328,carc,0,50,45,0,2,5,male_carc,westmidlands
49,male,8.278335635546838e-5,1.7203753168209263e-4,0.0019463385707558475,2.901740171882039e-4,19328,carc,0,50,45,0,2,5,male_carc,westmidlands
50,male,1.6028423448344775e-4,3.083607908101671e-4,0.0036297204509586727,5.45286796007239e-4,18342,carc,0,50,50,0,3,5,male_carc,westmidlands
51,male,1.6028423448344775e-4,3.083607908101671e-4,0.0036297204509586727,5.45286796007239e-4,18342,carc,0,50,50,0,3,5,male_carc,westmidlands
