age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,6.808190645449349e-7,2.255875038294274e-5,3.4674189326482216e-4,1.1589262696235009e-4,20018,copd,0,10,0,0,0,5,male_copd,westmidlands
1,male,6.808190645449349e-7,2.255875038294274e-5,3.4674189326482216e-4,1.1589262696235009e-4,20018,copd,0,10,0,0,0,5,male_copd,westmidlands
2,male,6.808190645449349e-7,2.255875038294274e-5,3.4674189326482216e-4,1.1589262696235009e-4,20018,copd,0,10,0,0,0,5,male_copd,westmidlands
3,male,6.808190645449349e-7,2.255875038294274e-5,3.4674189326482216e-4,1.1589262696235009e-4,20018,copd,0,10,0,0,0,5,male_copd,westmidlands
4,male,6.808190645449349e-7,2.255875038294274e-5,3.4674189326482216e-4,1.1589262696235009e-4,20018,copd,0,10,0,0,0,5,male_copd,westmidlands
5,male,2.078368556279201e-7,6.919317198195506e-5,0.001086663310951296,1.4682398836007537e-4,21167,copd,0,10,5,0,0,5,male_copd,westmidlands
6,male,2.078368556279201e-7,6.919317198195506e-5,0.001086663310951296,1.4682398836007537e-4,21167,copd,0,10,5,0,0,5,male_copd,westmidlands
7,male,2.078368556279201e-7,6.919317198195506e-5,0.001086663310951296,1.4682398836007537e-4,21167,copd,0,10,5,0,0,5,male_copd,westmidlands
8,male,2.078368556279201e-7,6.919317198195506e-5,0.001086663310951296,1.4682398836007537e-4,21167,copd,0,10,5,0,0,5,male_copd,westmidlands
9,male,2.078368556279201e-7,6.919317198195506e-5,0.001086663310951296,1.4682398836007537e-4,21167,copd,0,10,5,0,0,5,male_copd,westmidlands
10,male,2.3459224314214756e-7,1.284950112212252e-4,0.0020499522425528015,2.807120399446769e-4,19371,copd,0,50,10,0,0,5,male_copd,westmidlands
11,male,2.3459224314214756e-7,1.284950112212252e-4,0.0020499522425528015,2.807120399446769e-4,19371,copd,0,50,10,0,0,5,male_copd,westmidlands
12,male,2.3459224314214756e-7,1.284950112212252e-4,0.0020499522425528015,2.807120399446769e-4,19371,copd,0,50,10,0,0,5,male_copd,westmidlands
13,male,2.3459224314214756e-7,1.284950112212252e-4,0.0020499522425528015,2.807120399446769e-4,19371,copd,0,50,10,0,0,5,male_copd,westmidlands
14,male,2.3459224314214756e-7,1.284950112212252e-4,0.0020499522425528015,2.807120399446769e-4,19371,copd,0,50,10,0,0,5,male_copd,westmidlands
15,male,5.303371206625699e-7,2.521278400345026e-4,0.004112317496259395,5.446459745965764e-4,18825,copd,0,50,15,0,0,5,male_copd,westmidlands
16,male,5.303371206625699e-7,2.521278400345026e-4,0.004112317496259395,5.446459745965764e-4,18825,copd,0,50,15,0,0,5,male_copd,westmidlands
17,male,5.303371206625699e-7,2.521278400345026e-4,0.004112317496259395,5.446459745965764e-4,18825,copd,0,50,15,0,0,5,male_copd,westmidlands
18,male,5.303371206625699e-7,2.521278400345026e-4,0.004112317496259395,5.446459745965764e-4,18825,copd,0,50,15,0,0,5,male_copd,westmidlands
19,male,5.303371206625699e-7,2.521278400345026e-4,0.004112317496259395,5.446459745965764e-4,18825,copd,0,50,15,0,0,5,male_copd,westmidlands
20,male,7.61587537738945e-7,4.5141764340750383e-4,0.00749503108832741,8.097049098069401e-4,20491,copd,0,50,20,0,0,5,male_copd,westmidlands
21,male,7.61587537738945e-7,4.5141764340750383e-4,0.00749503108832741,8.097049098069401e-4,20491,copd,0,50,20,0,0,5,male_copd,westmidlands
22,male,7.61587537738945e-7,4.5141764340750383e-4,0.00749503108832741,8.097049098069401e-4,20491,copd,0,50,20,0,0,5,male_copd,westmidlands
23,male,7.61587537738945e-7,4.5141764340750383e-4,0.00749503108832741,8.097049098069401e-4,20491,copd,0,50,20,0,0,5,male_copd,westmidlands
24,male,7.61587537738945e-7,4.5141764340750383e-4,0.00749503108832741,8.097049098069401e-4,20491,copd,0,50,20,0,0,5,male_copd,westmidlands
25,male,1.0025826867440386e-6,7.235054723185801e-4,0.012204729031614198,0.0010748358589693454,22079,copd,0,50,25,1,0,5,male_copd,westmidlands
26,male,1.0025826867440386e-6,7.235054723185801e-4,0.012204729031614198,0.0010748358589693454,22079,copd,0,50,25,1,0,5,male_copd,westmidlands
27,male,1.0025826867440386e-6,7.235054723185801e-4,0.012204729031614198,0.0010748358589693454,22079,copd,0,50,25,1,0,5,male_copd,westmidlands
28,male,1.0025826867440386e-6,7.235054723185801e-4,0.012204729031614198,0.0010748358589693454,22079,copd,0,50,25,1,0,5,male_copd,westmidlands
29,male,1.0025826867440386e-6,7.235054723185801e-4,0.012204729031614198,0.0010748358589693454,22079,copd,0,50,25,1,0,5,male_copd,westmidlands
30,male,2.3116020624333256e-6,0.0010743386667006344,0.01839619291195883,0.0014373742376298355,21569,copd,0,50,30,1,0,5,male_copd,westmidlands
31,male,2.3116020624333256e-6,0.0010743386667006344,0.01839619291195883,0.0014373742376298355,21569,copd,0,50,30,1,0,5,male_copd,westmidlands
32,male,2.3116020624333256e-6,0.0010743386667006344,0.01839619291195883,0.0014373742376298355,21569,copd,0,50,30,1,0,5,male_copd,westmidlands
33,male,2.3116020624333256e-6,0.0010743386667006344,0.01839619291195883,0.0014373742376298355,21569,copd,0,50,30,1,0,5,male_copd,westmidlands
34,male,2.3116020624333256e-6,0.0010743386667006344,0.01839619291195883,0.0014373742376298355,21569,copd,0,50,30,1,0,5,male_copd,westmidlands
35,male,4.93196917540897e-6,0.0015691708027825678,0.027156304084646712,0.002164912518588123,19924,copd,0,50,35,1,0,5,male_copd,westmidlands
36,male,4.93196917540897e-6,0.0015691708027825678,0.027156304084646712,0.002164912518588123,19924,copd,0,50,35,1,0,5,male_copd,westmidlands
37,male,4.93196917540897e-6,0.0015691708027825678,0.027156304084646712,0.002164912518588123,19924,copd,0,50,35,1,0,5,male_copd,westmidlands
38,male,4.93196917540897e-6,0.0015691708027825678,0.027156304084646712,0.002164912518588123,19924,copd,0,50,35,1,0,5,male_copd,westmidlands
39,male,4.93196917540897e-6,0.0015691708027825678,0.027156304084646712,0.002164912518588123,19924,copd,0,50,35,1,0,5,male_copd,westmidlands
40,male,1.8278861121163152e-5,0.0023114486827060274,0.04043476674803253,0.003182352503832978,17844,copd,0,50,40,2,0,5,male_copd,westmidlands
41,male,1.8278861121163152e-5,0.0023114486827060274,0.04043476674803253,0.003182352503832978,17844,copd,0,50,40,2,0,5,male_copd,westmidlands
42,male,1.8278861121163152e-5,0.0023114486827060274,0.04043476674803253,0.003182352503832978,17844,copd,0,50,40,2,0,5,male_copd,westmidlands
43,male,1.8278861121163152e-5,0.0023114486827060274,0.04043476674803253,0.003182352503832978,17844,copd,0,50,40,2,0,5,male_copd,westmidlands
44,male,1.8278861121163152e-5,0.0023114486827060274,0.04043476674803253,0.003182352503832978,17844,copd,0,50,40,2,0,5,male_copd,westmidlands
45,male,4.032157429773131e-5,0.003370829329120642,0.05933439709048244,0.004546266713000485,19328,copd,0,50,45,3,1,5,male_copd,westmidlands
46,male,4.032157429773131e-5,0.003370829329120642,0.05933439709048244,0.004546266713000485,19328,copd,0,50,45,3,1,5,male_copd,westmidlands
47,male,4.032157429773131e-5,0.003370829329120642,0.05933439709048244,0.004546266713000485,19328,copd,0,50,45,3,1,5,male_copd,westmidlands
48,male,4.032157429773131e-5,0.003370829329120642,0.05933439709048244,0.004546266713000485,19328,copd,0,50,45,3,1,5,male_copd,westmidlands
49,male,4.032157429773131e-5,0.003370829329120642,0.05933439709048244,0.004546266713000485,19328,copd,0,50,45,3,1,5,male_copd,westmidlands
50,male,9.664160848403125e-5,0.004849901440931037,0.0859426823711839,0.006256264102509693,18342,copd,0,50,50,4,2,5,male_copd,westmidlands
51,male,9.664160848403125e-5,0.004849901440931037,0.0859426823711839,0.006256264102509693,18342,copd,0,50,50,4,2,5,male_copd,westmidlands
52,male,9.664160848403125e-5,0.004849901440931037,0.0859426823711839,0.006256264102509693,18342,copd,0,50,50,4,2,5,male_copd,westmidlands
53,male,9.664160848403125e-5,0.004849901440931037,0.0859426823711839,0.006256264102509693,18342,copd,0,50,50,4,2,5,male_copd,westmidlands
54,male,9.664160848403125e-5,0.004849901440931037,0.0859426823711839,0.006256264102509693,18342,copd,0,50,50,4,2,5,male_copd,westmidlands
55,male,2.2217355038876128e-4,0.006772803953749588,0.12062654730410696,0.00782655372106747,15863,copd,0,50,55,6,4,5,male_copd,westmidlands
56,male,2.2217355038876128e-4,0.006772803953749588,0.12062654730410696,0.00782655372106747,15863,copd,0,50,55,6,4,5,male_copd,westmidlands
57,male,2.2217355038876128e-4,0.006772803953749588,0.12062654730410696,0.00782655372106747,15863,copd,0,50,55,6,4,5,male_copd,westmidlands
58,male,2.2217355038876128e-4,0.006772803953749588,0.12062654730410696,0.00782655372106747,15863,copd,0,50,55,6,4,5,male_copd,westmidlands
59,male,2.2217355038876128e-4,0.006772803953749588,0.12062654730410696,0.00782655372106747,15863,copd,0,50,55,6,4,5,male_copd,westmidlands
60,male,6.09802045341394e-4,0.009110885886362276,0.1620422184835804,0.009368360812861257,13427,copd,0,50,60,8,8,5,male_copd,westmidlands
61,male,6.09802045341394e-4,0.009110885886362276,0.1620422184835804,0.009368360812861257,13427,copd,0,50,60,8,8,5,male_copd,westmidlands
62,male,6.09802045341394e-4,0.009110885886362276,0.1620422184835804,0.009368360812861257,13427,copd,0,50,60,8,8,5,male_copd,westmidlands
63,male,6.09802045341394e-4,0.009110885886362276,0.1620422184835804,0.009368360812861257,13427,copd,0,50,60,8,8,5,male_copd,westmidlands
64,male,6.09802045341394e-4,0.009110885886362276,0.1620422184835804,0.009368360812861257,13427,copd,0,50,60,8,8,5,male_copd,westmidlands
65,male,0.0012324947560630828,0.011936386762135662,0.2091311393684405,0.01090167053792691,12231,copd,0,50,65,10,15,5,male_copd,westmidlands
66,male,0.0012324947560630828,0.011936386762135662,0.2091311393684405,0.01090167053792691,12231,copd,0,50,65,10,15,5,male_copd,westmidlands
67,male,0.0012324947560630828,0.011936386762135662,0.2091311393684405,0.01090167053792691,12231,copd,0,50,65,10,15,5,male_copd,westmidlands
68,male,0.0012324947560630828,0.011936386762135662,0.2091311393684405,0.01090167053792691,12231,copd,0,50,65,10,15,5,male_copd,westmidlands
69,male,0.0012324947560630828,0.011936386762135662,0.2091311393684405,0.01090167053792691,12231,copd,0,50,65,10,15,5,male_copd,westmidlands
70,male,0.002092827040044104,0.015072052692102551,0.2606581570182742,0.01207619141969242,10547,copd,0,50,70,13,22,5,male_copd,westmidlands
71,male,0.002092827040044104,0.015072052692102551,0.2606581570182742,0.01207619141969242,10547,copd,0,50,70,13,22,5,male_copd,westmidlands
72,male,0.002092827040044104,0.015072052692102551,0.2606581570182742,0.01207619141969242,10547,copd,0,50,70,13,22,5,male_copd,westmidlands
73,male,0.002092827040044104,0.015072052692102551,0.2606581570182742,0.01207619141969242,10547,copd,0,50,70,13,22,5,male_copd,westmidlands
74,male,0.002092827040044104,0.015072052692102551,0.2606581570182742,0.01207619141969242,10547,copd,0,50,70,13,22,5,male_copd,westmidlands
75,male,0.003734176914897907,0.01803379683596878,0.3125223676932914,0.012002690457270222,7817,copd,0,50,75,16,29,5,male_copd,westmidlands
76,male,0.003734176914897907,0.01803379683596878,0.3125223676932914,0.012002690457270222,7817,copd,0,50,75,16,29,5,male_copd,westmidlands
77,male,0.003734176914897907,0.01803379683596878,0.3125223676932914,0.012002690457270222,7817,copd,0,50,75,16,29,5,male_copd,westmidlands
78,male,0.003734176914897907,0.01803379683596878,0.3125223676932914,0.012002690457270222,7817,copd,0,50,75,16,29,5,male_copd,westmidlands
79,male,0.003734176914897907,0.01803379683596878,0.3125223676932914,0.012002690457270222,7817,copd,0,50,75,16,29,5,male_copd,westmidlands
80,male,0.006243250647282745,0.020202588161675583,0.35610681470398364,0.011910844179833227,5479,copd,0,20,80,7,34,5,male_copd,westmidlands
81,male,0.006243250647282745,0.020202588161675583,0.35610681470398364,0.011910844179833227,5479,copd,0,20,80,7,34,5,male_copd,westmidlands
82,male,0.006243250647282745,0.020202588161675583,0.35610681470398364,0.011910844179833227,5479,copd,0,20,80,7,34,5,male_copd,westmidlands
83,male,0.006243250647282745,0.020202588161675583,0.35610681470398364,0.011910844179833227,5479,copd,0,20,80,7,34,5,male_copd,westmidlands
84,male,0.006243250647282745,0.020202588161675583,0.35610681470398364,0.011910844179833227,5479,copd,0,20,80,7,34,5,male_copd,westmidlands
85,male,0.011087936168765182,0.02180183214912723,0.3939652043501686,0.013878472545576363,2957,copd,0,20,85,8,33,5,male_copd,westmidlands
86,male,0.011087936168765182,0.02180183214912723,0.3939652043501686,0.013878472545576363,2957,copd,0,20,85,8,33,5,male_copd,westmidlands
87,male,0.011087936168765182,0.02180183214912723,0.3939652043501686,0.013878472545576363,2957,copd,0,20,85,8,33,5,male_copd,westmidlands
88,male,0.011087936168765182,0.02180183214912723,0.3939652043501686,0.013878472545576363,2957,copd,0,20,85,8,33,5,male_copd,westmidlands
