age,sex,mort,ylds (years lived with disability)_rate_crdd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,1.7855962834933813e-5,9.265307848945767e-5,7.774771507084979e-4,3.8927842799623867e-4,20018,crdd,0,10,0,0,0,5,male_crdd,westmidlands
1,male,1.7855962834933813e-5,9.265307848945767e-5,7.774771507084979e-4,3.8927842799623867e-4,20018,crdd,0,10,0,0,0,5,male_crdd,westmidlands
2,male,1.7855962834933813e-5,9.265307848945767e-5,7.774771507084979e-4,3.8927842799623867e-4,20018,crdd,0,10,0,0,0,5,male_crdd,westmidlands
3,male,1.7855962834933813e-5,9.265307848945767e-5,7.774771507084979e-4,3.8927842799623867e-4,20018,crdd,0,10,0,0,0,5,male_crdd,westmidlands
4,male,1.7855962834933813e-5,9.265307848945767e-5,7.774771507084979e-4,3.8927842799623867e-4,20018,crdd,0,10,0,0,0,5,male_crdd,westmidlands
5,male,3.0455234999224508e-6,2.013608917675861e-4,0.002040732059288272,2.3579094397983263e-4,21167,crdd,0,10,5,0,0,5,male_crdd,westmidlands
6,male,3.0455234999224508e-6,2.013608917675861e-4,0.002040732059288272,2.3579094397983263e-4,21167,crdd,0,10,5,0,0,5,male_crdd,westmidlands
7,male,3.0455234999224508e-6,2.013608917675861e-4,0.002040732059288272,2.3579094397983263e-4,21167,crdd,0,10,5,0,0,5,male_crdd,westmidlands
8,male,3.0455234999224508e-6,2.013608917675861e-4,0.002040732059288272,2.3579094397983263e-4,21167,crdd,0,10,5,0,0,5,male_crdd,westmidlands
9,male,3.0455234999224508e-6,2.013608917675861e-4,0.002040732059288272,2.3579094397983263e-4,21167,crdd,0,10,5,0,0,5,male_crdd,westmidlands
10,male,6.0442258703138635e-6,2.0326061258382864e-4,0.0014904601752285449,2.304518006249436e-4,19371,crdd,0,50,10,0,0,5,male_crdd,westmidlands
11,male,6.0442258703138635e-6,2.0326061258382864e-4,0.0014904601752285449,2.304518006249436e-4,19371,crdd,0,50,10,0,0,5,male_crdd,westmidlands
12,male,6.0442258703138635e-6,2.0326061258382864e-4,0.0014904601752285449,2.304518006249436e-4,19371,crdd,0,50,10,0,0,5,male_crdd,westmidlands
