age,sex,mort,ylds (years lived with disability)_rate_dmt2,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,20018,dmt2,0,10,0,0,0,5,male_dmt2,westmidlands
1,male,0,0,0,1e-8,20018,dmt2,0,10,0,0,0,5,male_dmt2,westmidlands
2,male,0,0,0,1e-8,20018,dmt2,0,10,0,0,0,5,male_dmt2,westmidlands
3,male,0,0,0,1e-8,20018,dmt2,0,10,0,0,0,5,male_dmt2,westmidlands
4,male,0,0,0,1e-8,20018,dmt2,0,10,0,0,0,5,male_dmt2,westmidlands
5,male,0,0,0,1e-8,21167,dmt2,0,10,5,0,0,5,male_dmt2,westmidlands
6,male,0,0,0,1e-8,21167,dmt2,0,10,5,0,0,5,male_dmt2,westmidlands
7,male,0,0,0,1e-8,21167,dmt2,0,10,5,0,0,5,male_dmt2,westmidlands
8,male,0,0,0,1e-8,21167,dmt2,0,10,5,0,0,5,male_dmt2,westmidlands
9,male,0,0,0,1e-8,21167,dmt2,0,10,5,0,0,5,male_dmt2,westmidlands
10,male,0,8.780750059755116e-5,0.0017582158156607298,9.817862075696107e-4,19371,dmt2,0,50,10,0,0,5,male_dmt2,westmidlands
11,male,0,8.780750059755116e-5,0.0017582158156607298,9.817862075696107e-4,19371,dmt2,0,50,10,0,0,5,male_dmt2,westmidlands
12,male,0,8.780750059755116e-5,0.0017582158156607298,9.817862075696107e-4,19371,dmt2,0,50,10,0,0,5,male_dmt2,westmidlands
13,male,0,8.780750059755116e-5,0.0017582158156607298,9.817862075696107e-4,19371,dmt2,0,50,10,0,0,5,male_dmt2,westmidlands
14,male,0,8.780750059755116e-5,0.0017582158156607298,9.817862075696107e-4,19371,dmt2,0,50,10,0,0,5,male_dmt2,westmidlands
15,male,1.0765152523643035e-7,6.929158366649916e-4,0.013170859539672024,0.003738736403244167,18825,dmt2,0,50,15,1,0,5,male_dmt2,westmidlands
16,male,1.0765152523643035e-7,6.929158366649916e-4,0.013170859539672024,0.003738736403244167,18825,dmt2,0,50,15,1,0,5,male_dmt2,westmidlands
17,male,1.0765152523643035e-7,6.929158366649916e-4,0.013170859539672024,0.003738736403244167,18825,dmt2,0,50,15,1,0,5,male_dmt2,westmidlands
18,male,1.0765152523643035e-7,6.929158366649916e-4,0.013170859539672024,0.003738736403244167,18825,dmt2,0,50,15,1,0,5,male_dmt2,westmidlands
19,male,1.0765152523643035e-7,6.929158366649916e-4,0.013170859539672024,0.003738736403244167,18825,dmt2,0,50,15,1,0,5,male_dmt2,westmidlands
20,male,2.364404382914276e-7,0.0019429277791164004,0.03475338184521123,0.004039940921042566,20491,dmt2,0,50,20,2,0,5,male_dmt2,westmidlands
21,male,2.364404382914276e-7,0.0019429277791164004,0.03475338184521123,0.004039940921042566,20491,dmt2,0,50,20,2,0,5,male_dmt2,westmidlands
22,male,2.364404382914276e-7,0.0019429277791164004,0.03475338184521123,0.004039940921042566,20491,dmt2,0,50,20,2,0,5,male_dmt2,westmidlands
